OBJECTID,Name,ZONE_CODE,COUNT,AREA,MEAN
1,Cardoso,1,197.000000000000000,314136894.176224708557129,1366.067227281289661
2,Ravena,2,195.000000000000000,310947687.128750324249268,1284.640465369591311
3,Praia da Vila Imbituba,3,194.000000000000000,309353083.605013132095337,1221.328623348904557
4,Praia do Porto Imbituba,4,198.000000000000000,315731497.699961900711060,1214.700819227430657
5,Ponta da Pinheira,5,196.000000000000000,312542290.652487516403198,1348.341710304727258
6,Mocambique,6,194.000000000000000,309353083.605013132095337,1437.258339164183326
7,Ponta das Canas,7,196.000000000000000,312542290.652487516403198,1437.031715237364551
8,Itagua&ccedil;u,8,170.000000000000000,271082599.035320818424225,1396.305816291360316
9,Ilha Comprida,9,198.000000000000000,315731497.699961900711060,1712.776726616753422
10,Iguape,10,194.000000000000000,309353083.605013132095337,1807.172636366381994
11,Peruibe,11,195.000000000000000,310947687.128750324249268,2059.906050931490427
12,Praia dos Pescadores,12,150.000000000000000,239190528.560577183961868,2188.186689453124927
13,Itanhaem,13,175.000000000000000,279055616.654006719589233,2187.978942522321631
14,Praia Grande,14,346.000000000000000,551732819.213064670562744,1939.758390393560376
15,Praia do Forte dos Andradas,15,205.000000000000000,326893722.366122126579285,2096.672233469893399
16,Praia da Ponta Grossa,16,196.000000000000000,312542290.652487516403198,2091.484616649393956
17,Itaipu,17,199.000000000000000,317326101.223699033260345,2044.469407584799001
18,Guaiuba,18,197.000000000000000,314136894.176224708557129,2094.090296091766959
19,Santos,19,197.000000000000000,314136894.176224708557129,2063.347222497620351
20,Morro do Maluf,20,200.000000000000000,318920704.747436225414276,2087.632446289062500
21,Praia da Enseada,21,197.000000000000000,314136894.176224708557129,2088.189616711611507
22,Embare,22,196.000000000000000,312542290.652487516403198,2059.018073257134802
23,Gonzaga,23,197.000000000000000,314136894.176224708557129,2041.056689577054158
24,Pereque,24,196.000000000000000,312542290.652487516403198,2042.160562320631470
25,Praia Preta,25,352.000000000000000,561300440.355487823486328,1932.472846638072724
26,Praia da Bertioga,26,140.000000000000000,223244493.323205381631851,2043.027800641741123
27,Maresias,27,102.000000000000000,162649559.421192497014999,1883.408286898743881
28,Canto de Moreira,28,119.000000000000000,189757819.324724555015564,1865.171108726693774
29,Itaguere,29,187.000000000000000,298190858.938852906227112,1860.339209898270383
30,Boicucanga,30,148.000000000000000,236001321.513102829456329,1838.027496337890625
31,Praia de Baleia,31,183.000000000000000,291812444.843904137611389,1823.552562275870969
32,Barra do Sahy,32,180.000000000000000,287028634.272692620754242,1821.438709852430520
33,Bananas Point,33,176.000000000000000,280650220.177743911743164,1819.994644858620404
34,Praia do Juquei,34,173.000000000000000,275866409.606532335281372,1817.710885990561792
35,Praia da Boracéia,35,158.000000000000000,251947356.750474631786346,1807.904825331289658
36,Praia Dura,36,194.000000000000000,309353083.605013132095337,1872.138143323131544
37,Pereque-Acu,37,149.000000000000000,237595925.036839991807938,1720.610144288747961
38,Itamambuca,38,161.000000000000000,256731167.321686178445816,1657.287132121020932
39,Praia da Fazenda,39,187.000000000000000,298190858.938852906227112,1592.933267358790090
40,Aventureiro,40,199.000000000000000,317326101.223699033260345,1303.286124838057503
41,Praia do Leste,41,197.000000000000000,314136894.176224708557129,1288.164877954473241
42,Praia do Sul,42,198.000000000000000,315731497.699961900711060,1291.599514431423586
43,Praia do Meio,43,564.000000000000000,899356387.387770175933838,1708.896749509987330
44,Restinga a Marambaia,44,194.000000000000000,309353083.605013132095337,921.216118881382840
45,Grumari,45,187.000000000000000,298190858.938852906227112,930.086403260256475
46,Reserva,46,159.000000000000000,253541960.274211823940277,966.674788565005883
47,Barra da Tijuca,47,157.000000000000000,250352753.226737439632416,996.902529965540452
48,Sao Conrado,48,136.000000000000000,216866079.228256642818451,1025.973179087919334
49,Bambui,49,96.000000000000000,153081938.278769403696060,1166.210867563883539
50,Itaipuacu,50,160.000000000000000,255136563.797948986291885,1057.896646118163972
51,Barra de Marica,51,68.000000000000000,108433039.614128321409225,1187.762061623966019
52,Camboinhas,52,193.000000000000000,307758480.081275999546051,1035.488188274166077
53,Pirantininga,53,194.000000000000000,309353083.605013132095337,1034.823735502577392
54,Jacone,54,87.000000000000000,138730506.565134763717651,1143.750635607489130
55,Figueira,55,188.000000000000000,299785462.462590038776398,1184.737222874418194
56,Praia do Fora,56,174.000000000000000,277461013.130269527435303,1050.592322338586655
57,Laje do Pao de Acucar,57,177.000000000000000,282244823.701481103897095,1049.854410807291742
58,Canal,58,182.000000000000000,290217841.320167005062103,1148.710771162431229
59,Praia Seca,59,180.000000000000000,287028634.272692620754242,1190.273510742187455
60,Caravelas,60,199.000000000000000,317326101.223699033260345,1715.237501594888499
61,Tucuns,61,196.000000000000000,312542290.652487516403198,1757.263830690967779
62,Praia Brava,62,196.000000000000000,312542290.652487516403198,1809.547445491868530
63,Marataizes,63,199.000000000000000,317326101.223699033260345,1599.886221880888797
64,Ponta do Ubu,64,184.000000000000000,293407048.367641329765320,1605.819256989852192
65,Ponta dos Castelhanos,65,173.000000000000000,275866409.606532335281372,1613.070693528720994
66,Maimba,66,180.000000000000000,287028634.272692620754242,1748.946281602647559
67,Praia do Morro,67,150.000000000000000,239190528.560577183961868,1865.783299153645885
68,Ponta de Bororo,68,181.000000000000000,288623237.796429812908173,2116.270192183183553
69,Tropical,69,148.000000000000000,236001321.513102829456329,2126.495338233741677
70,Dunas de Ule,70,143.000000000000000,228028303.894416898488998,2142.306539895651440
71,Guarapari - Ule,71,142.000000000000000,226433700.370679736137390,2143.702201735805374
72,Ponta da Fruta,72,141.000000000000000,224839096.846942543983459,2168.458184424866886
73,Coral Dois,73,158.000000000000000,251947356.750474631786346,2019.339972001087745
74,Ponta da Belina,74,159.000000000000000,253541960.274211823940277,2007.845071276778754
75,Coral Um,75,164.000000000000000,261514977.892897725105286,1986.859590856040313
76,Barrinha,76,166.000000000000000,264704184.940372079610825,1948.630241669804263
77,Praia de Camburi,77,189.000000000000000,301380065.986327230930328,1744.780947084780109
78,Velzyland,78,187.000000000000000,298190858.938852906227112,1786.133574297083896
79,Ponta da Cacao,79,189.000000000000000,301380065.986327230930328,1813.424238255415048
80,"Manguinhos, Brazil",80,189.000000000000000,301380065.986327230930328,1821.755188311218490
81,Praia da Baleia,81,190.000000000000000,302974669.510064423084259,1826.609491288034633
82,Jacaraipe - Solemar,82,196.000000000000000,312542290.652487516403198,1830.818056690449566
83,Xa,83,198.000000000000000,315731497.699961900711060,1830.895902383207158
84,Nova Almeida,84,170.000000000000000,271082599.035320818424225,1830.695749080882251
85,Regencia,85,170.000000000000000,271082599.035320818424225,2492.627764533547634
86,Guriri,86,186.000000000000000,296596255.415115714073181,1515.704186224168325
87,Milionarios,87,198.000000000000000,315731497.699961900711060,1567.597500271267336
88,Sul,88,197.000000000000000,314136894.176224708557129,1570.561698177744347
89,Pedra da Cachorra,89,199.000000000000000,317326101.223699033260345,1570.938436076868811
90,Jardim Atlantico,90,198.000000000000000,315731497.699961900711060,1575.664511324179330
91,Baduska,91,198.000000000000000,315731497.699961900711060,1578.069179342250663
92,Norte,92,177.000000000000000,282244823.701481103897095,1503.309528243070190
93,Havaizinho,93,222.000000000000000,354001982.269654214382172,2320.945319648261375
94,Sao Jose,94,129.000000000000000,205703854.562096387147903,1723.978072765261686
95,Corals,95,138.000000000000000,220055286.275730997323990,1764.692620761152739
96,Tony,96,201.000000000000000,320515308.271173417568207,1559.106557969430241
97,Meridien,97,195.000000000000000,310947687.128750324249268,1546.215248147035254
98,Amaralina,98,196.000000000000000,312542290.652487516403198,1509.815043235311805
99,Tubao,99,193.000000000000000,307758480.081275999546051,1496.828744206403826
100,Psiu,100,194.000000000000000,309353083.605013132095337,1501.991827266732344
101,Alex,101,197.000000000000000,314136894.176224708557129,1542.570474537496011
102,Terceira Ponte,102,195.000000000000000,310947687.128750324249268,1579.521454639923832
103,SESC,103,191.000000000000000,304569273.033801615238190,1583.061995101848879
104,Farol,104,370.000000000000000,590003303.782757043838501,2383.597123099661985
105,Pedro do Sal,105,188.000000000000000,299785462.462590038776398,1622.195583911652193
106,Itapoa,106,185.000000000000000,295001651.891378521919250,1621.885682801942494
107,Seper,107,191.000000000000000,304569273.033801615238190,1636.087974029061570
108,Corrente,108,190.000000000000000,302974669.510064423084259,1654.689989913137424
109,Stela Maris,109,187.000000000000000,298190858.938852906227112,1657.522033038623931
110,Plator,110,190.000000000000000,302974669.510064423084259,1671.573462235300212
111,Aleluia,111,183.000000000000000,291812444.843904137611389,1774.453966818220579
112,Ipitanga,112,181.000000000000000,288623237.796429812908173,1810.064779545062265
113,Vilas,113,178.000000000000000,283839427.225218236446381,1853.800818282566752
114,Busca Vida,114,191.000000000000000,304569273.033801615238190,1866.900034639847945
115,Itacimirim,115,180.000000000000000,287028634.272692620754242,1899.125334337022650
116,Praia do Forte,116,165.000000000000000,263109581.416634887456894,1702.212353515624955
117,Imbassai,117,175.000000000000000,279055616.654006719589233,2139.472792968750127
118,Costa do Sauipe,118,107.000000000000000,170622577.039878398180008,2002.269090884199841
119,Marlin,119,158.000000000000000,251947356.750474631786346,1679.203533703767789
120,Conde,120,194.000000000000000,309353083.605013132095337,1724.571498595562161
121,Mangue Seco,121,198.000000000000000,315731497.699961900711060,2383.150379527698988
122,Mosqueiro,122,168.000000000000000,267893391.987846434116364,2406.557429722377037
123,Aruana,123,194.000000000000000,309353083.605013132095337,2392.453381725193140
124,Hawaiizinho,124,187.000000000000000,298190858.938852906227112,2334.535617114388515
125,Pirambu,125,201.000000000000000,320515308.271173417568207,1822.867299245957611
126,Ponta do Mangue,126,193.000000000000000,307758480.081275999546051,1864.594085851481623
127,Pontal de Peba,127,195.000000000000000,310947687.128750324249268,1426.505512570112160
128,Mihai,128,196.000000000000000,312542290.652487516403198,1392.401449398118530
129,Pontal do Coruripe,129,199.000000000000000,317326101.223699033260345,1390.278496363654313
130,Forjos,130,197.000000000000000,314136894.176224708557129,1640.832537500991521
131,Poxim,131,199.000000000000000,317326101.223699033260345,2066.524146611965989
132,Jacarecica,132,188.000000000000000,299785462.462590038776398,2317.082929895279449
133,Praia do Pontal,133,196.000000000000000,312542290.652487516403198,2159.048134940011096
134,Salgema,134,200.000000000000000,318920704.747436225414276,2196.183150634765752
135,Pier do Emissario,135,193.000000000000000,307758480.081275999546051,2194.332313339944903
136,Praia do Sobral,136,200.000000000000000,318920704.747436225414276,2194.344716186523328
137,"Pico da Barra, Brazil",137,200.000000000000000,318920704.747436225414276,2207.515245361328198
138,Pedra Virada,138,199.000000000000000,317326101.223699033260345,2210.071267592847107
139,Praia de Jatiuca,139,197.000000000000000,314136894.176224708557129,2104.393042859692287
140,Garca Torta,140,196.000000000000000,312542290.652487516403198,1985.210172692123706
141,Mirante da Sirena,141,200.000000000000000,318920704.747436225414276,1899.035048828124900
142,Japaratinga,142,196.000000000000000,312542290.652487516403198,2435.896601462850867
143,Impossivel,143,198.000000000000000,315731497.699961900711060,2439.210995452572661
144,Serrambi,144,195.000000000000000,310947687.128750324249268,2362.463208633814247
145,Porto de Galinhas,145,165.000000000000000,263109581.416634887456894,2663.349786931818016
146,Cupe,146,169.000000000000000,269487995.511583626270294,2681.826957747780853
147,Gaibu,147,196.000000000000000,312542290.652487516403198,2519.652624013472632
148,Bessa,148,181.000000000000000,288623237.796429812908173,2240.528699337448415
149,Saji,149,189.000000000000000,301380065.986327230930328,3080.341397724454509
150,Xilauzinho,150,175.000000000000000,279055616.654006719589233,3241.375784737723279
151,Mar Aberto,151,172.000000000000000,274271806.082795143127441,3197.792069546012044
152,Pontal,152,171.000000000000000,272677202.559058010578156,3142.849555835389310
153,Mar da Frente,153,168.000000000000000,267893391.987846434116364,3026.464468093145570
154,Lajinha,154,190.000000000000000,302974669.510064423084259,2365.040084035772907
155,Afogados,155,195.000000000000000,310947687.128750324249268,2305.601151216947073
156,Sororoca,156,197.000000000000000,314136894.176224708557129,2324.289602831535376
157,Abacateiro,157,195.000000000000000,310947687.128750324249268,2307.323021208934279
