OBJECTID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,oceanic_pa
1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,23.964125707427900,0.076280181264254
2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,82.703962862086797,0.263254890055793
3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,29.002145607435398,0.092316696673885
4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,21.981302352121499,0.069968658498753
5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,13.783201452239000,0.043873292855105
6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,125.797407204101006,0.400425583693534
7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,153.715506984450002,0.489291655329040
8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,138.710002495207988,0.441527651068030
9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,122.788442579095005,0.390847751820367
10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,13,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,10000.000000000000000,14,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,10000.000000000000000,15,62831.853071795863798,314159265.358979284763336,12.710466799058500,0.040458672401512
16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,62831.853071795863798,314159265.358979284763336,59.797759861906101,0.190342181356890
17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,10000.000000000000000,17,62831.853071795863798,314159265.358979284763336,54.068656030288103,0.172105877471116
18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,10000.000000000000000,18,62831.853071795863798,314159265.358979284763336,68.970016512463900,0.219538381061766
19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,10000.000000000000000,19,62831.853071795863798,314159265.358979284763336,54.559433957789203,0.173668072133559
20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,10000.000000000000000,20,62831.853071795863798,314159265.358979284763336,51.484899099056200,0.163881523724045
21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,10000.000000000000000,21,62831.853071795863798,314159265.358979284763336,59.936542738147601,0.190783940972297
22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,10000.000000000000000,22,62831.853071795863798,314159265.358979284763336,1.888538018703770,0.006011403217874
23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,10000.000000000000000,23,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,10000.000000000000000,24,62831.853071795863798,314159265.358979284763336,29.029817904992701,0.092404780332744
25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,10000.000000000000000,25,62831.853071795863798,314159265.358979284763336,27.400758037639498,0.087219321723106
26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,10000.000000000000000,26,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,10000.000000000000000,27,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,29,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,30,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,0.000000000000000,0.000000000000000
43,42,Sudeste,NA,Praia da Fazenda,-23.361352000000000,-44.859766000000000,NA,NA,NA,NA,NA,10000.000000000000000,43,62831.853071795863798,314159265.358979284763336,24.334206019421899,0.077458183484151
44,43,Sudeste,NA,Aventureiro,-23.184405999999999,-44.315804000000000,NA,NA,NA,NA,NA,10000.000000000000000,44,62831.853071795863798,314159265.358979284763336,144.163969171165007,0.458888166186771
45,44,Sudeste,NA,Praia do Leste,-23.179746000000002,-44.274093999999998,NA,NA,NA,NA,NA,10000.000000000000000,45,62831.853071795863798,314159265.358979284763336,103.456520795105007,0.329312333592609
46,45,Sudeste,NA,Praia do Sul,-23.178656000000000,-44.296756999999999,NA,NA,NA,NA,NA,10000.000000000000000,46,62831.853071795863798,314159265.358979284763336,123.720904077374996,0.393815868954250
47,46,Sudeste,NA,Praia do Meio,-23.066913000000000,-43.549809000000003,NA,NA,NA,NA,NA,10000.000000000000000,47,62831.853071795863798,314159265.358979284763336,146.922423179233988,0.467668598000287
48,47,Sudeste,NA,Restinga a Marambaia,-23.061833000000000,-43.591673000000000,NA,NA,NA,NA,NA,10000.000000000000000,48,62831.853071795863798,314159265.358979284763336,143.122302690032996,0.455572438796265
49,48,Sudeste,NA,Grumari,-23.050469000000000,-43.533907999999997,NA,NA,NA,NA,NA,10000.000000000000000,49,62831.853071795863798,314159265.358979284763336,120.192738771061002,0.382585369983346
50,49,Sudeste,NA,Reserva,-23.022717000000000,-43.440916000000001,NA,NA,NA,NA,NA,10000.000000000000000,50,62831.853071795863798,314159265.358979284763336,116.255705559174004,0.370053404047570
51,50,Sudeste,NA,Barra da Tijuca,-23.020340120000000,-43.372478489999999,NA,NA,NA,NA,NA,10000.000000000000000,51,62831.853071795863798,314159265.358979284763336,132.301242143233992,0.421127933285870
52,51,Sudeste,NA,Barra da Tijuca,-23.014886109999999,-43.372222219999998,NA,NA,NA,NA,NA,10000.000000000000000,52,62831.853071795863798,314159265.358979284763336,122.090167581838998,0.388625073471351
