OBJECTID,Name,ZONE_CODE,COUNT,AREA,MEAN
1,Cardoso,1,261.000000000000000,261000000.000000000000000,175.789272030651347
2,Ravena,2,255.000000000000000,255000000.000000000000000,175.588235294117652
3,Praia da Vila Imbituba,3,266.000000000000000,266000000.000000000000000,171.428571428571416
4,Praia do Porto Imbituba,4,258.000000000000000,258000000.000000000000000,178.852713178294579
5,Ponta da Pinheira,5,313.000000000000000,313000000.000000000000000,179.862619808306704
6,Mocambique,6,311.000000000000000,311000000.000000000000000,66.199356913183280
7,Ponta das Canas,7,313.000000000000000,313000000.000000000000000,67.533546325878589
8,Itagua&ccedil;u,8,310.000000000000000,310000000.000000000000000,121.380645161290317
9,Ilha Comprida,9,241.000000000000000,241000000.000000000000000,216.381742738589224
10,Iguape,10,279.000000000000000,279000000.000000000000000,191.949820788530474
11,Peruibe,11,317.000000000000000,317000000.000000000000000,229.129337539432186
12,Praia dos Pescadores,12,272.000000000000000,272000000.000000000000000,237.268382352941188
13,Itanhaem,13,307.000000000000000,307000000.000000000000000,238.042345276872965
14,Praia Grande,14,445.000000000000000,445000000.000000000000000,232.829213483146077
15,Praia do Forte dos Andradas,15,260.000000000000000,260000000.000000000000000,233.711538461538453
16,Praia da Ponta Grossa,16,261.000000000000000,261000000.000000000000000,234.536398467432946
17,Itaipu,17,270.000000000000000,270000000.000000000000000,236.962962962962962
18,Guaiuba,18,275.000000000000000,275000000.000000000000000,234.407272727272726
19,Santos,19,277.000000000000000,277000000.000000000000000,236.400722021660641
20,Morro do Maluf,20,288.000000000000000,288000000.000000000000000,234.229166666666657
21,Praia da Enseada,21,250.000000000000000,250000000.000000000000000,232.883999999999986
22,Embare,22,314.000000000000000,314000000.000000000000000,237.484076433121032
23,Gonzaga,23,311.000000000000000,311000000.000000000000000,238.681672025723486
24,Pereque,24,297.000000000000000,297000000.000000000000000,231.575757575757564
25,Praia Preta,25,544.000000000000000,544000000.000000000000000,225.163602941176464
26,Praia da Bertioga,26,250.000000000000000,250000000.000000000000000,236.632000000000005
27,Maresias,27,317.000000000000000,317000000.000000000000000,178.731861198738159
28,Canto de Moreira,28,309.000000000000000,309000000.000000000000000,177.731391585760520
29,Itaguere,29,238.000000000000000,238000000.000000000000000,244.613445378151255
30,Boicucanga,30,289.000000000000000,289000000.000000000000000,197.494809688581313
31,Praia de Baleia,31,273.000000000000000,273000000.000000000000000,225.663003663003650
32,Barra do Sahy,32,276.000000000000000,276000000.000000000000000,227.916666666666657
33,Bananas Point,33,280.000000000000000,280000000.000000000000000,230.078571428571422
34,Praia do Juquei,34,297.000000000000000,297000000.000000000000000,221.060606060606062
35,Praia da Boracéia,35,303.000000000000000,303000000.000000000000000,232.815181518151803
36,Praia Dura,36,310.000000000000000,310000000.000000000000000,228.925806451612914
37,Pereque-Acu,37,316.000000000000000,316000000.000000000000000,233.088607594936718
38,Itamambuca,38,312.000000000000000,312000000.000000000000000,245.250000000000000
39,Praia da Fazenda,39,263.000000000000000,263000000.000000000000000,250.281368821292773
40,Aventureiro,40,312.000000000000000,312000000.000000000000000,44.759615384615387
41,Praia do Leste,41,313.000000000000000,313000000.000000000000000,71.268370607028757
42,Praia do Sul,42,313.000000000000000,313000000.000000000000000,60.373801916932905
43,Praia do Meio,43,853.000000000000000,853000000.000000000000000,188.844079718640103
44,Restinga a Marambaia,44,316.000000000000000,316000000.000000000000000,244.085443037974670
45,Grumari,45,314.000000000000000,314000000.000000000000000,246.146496815286611
46,Reserva,46,310.000000000000000,310000000.000000000000000,252.080645161290334
47,Barra da Tijuca,47,297.000000000000000,297000000.000000000000000,254.589225589225578
48,Sao Conrado,48,307.000000000000000,307000000.000000000000000,254.162866449511398
49,Bambui,49,299.000000000000000,299000000.000000000000000,249.260869565217405
50,Itaipuacu,50,313.000000000000000,313000000.000000000000000,250.555910543130977
51,Barra de Marica,51,238.000000000000000,238000000.000000000000000,248.605042016806721
52,Camboinhas,52,312.000000000000000,312000000.000000000000000,251.471153846153840
53,Pirantininga,53,314.000000000000000,314000000.000000000000000,252.181528662420391
54,Jacone,54,258.000000000000000,258000000.000000000000000,246.794573643410843
55,Figueira,55,273.000000000000000,273000000.000000000000000,238.868131868131854
56,Praia do Fora,56,312.000000000000000,312000000.000000000000000,253.657051282051270
57,Laje do Pao de Acucar,57,313.000000000000000,313000000.000000000000000,253.859424920127793
58,Canal,58,277.000000000000000,277000000.000000000000000,245.523465703971112
59,Praia Seca,59,281.000000000000000,281000000.000000000000000,243.551601423487540
60,Caravelas,60,314.000000000000000,314000000.000000000000000,229.124203821656039
61,Tucuns,61,304.000000000000000,304000000.000000000000000,191.661184210526329
62,Praia Brava,62,241.000000000000000,241000000.000000000000000,93.398340248962654
63,Marataizes,63,224.000000000000000,224000000.000000000000000,227.669642857142861
64,Ponta do Ubu,64,270.000000000000000,270000000.000000000000000,224.685185185185190
65,Ponta dos Castelhanos,65,252.000000000000000,252000000.000000000000000,224.869047619047620
66,Maimba,66,239.000000000000000,239000000.000000000000000,223.610878661087867
67,Praia do Morro,67,271.000000000000000,271000000.000000000000000,223.560885608856097
68,Ponta de Bororo,68,232.000000000000000,232000000.000000000000000,221.495689655172413
69,Tropical,69,283.000000000000000,283000000.000000000000000,221.399293286219091
70,Dunas de Ule,70,285.000000000000000,285000000.000000000000000,221.473684210526329
71,Guarapari - Ule,71,282.000000000000000,282000000.000000000000000,221.429078014184398
72,Ponta da Fruta,72,290.000000000000000,290000000.000000000000000,221.613793103448273
73,Coral Dois,73,302.000000000000000,302000000.000000000000000,223.360927152317885
74,Ponta da Belina,74,301.000000000000000,301000000.000000000000000,223.511627906976742
75,Coral Um,75,295.000000000000000,295000000.000000000000000,223.803389830508479
76,Barrinha,76,293.000000000000000,293000000.000000000000000,224.488054607508531
77,Praia de Camburi,77,311.000000000000000,311000000.000000000000000,224.051446945337631
78,Velzyland,78,260.000000000000000,260000000.000000000000000,223.765384615384619
79,Ponta da Cacao,79,223.000000000000000,223000000.000000000000000,223.672645739910308
80,"Manguinhos, Brazil",80,208.000000000000000,208000000.000000000000000,223.817307692307679
81,Praia da Baleia,81,196.000000000000000,196000000.000000000000000,224.270408163265301
82,Jacaraipe - Solemar,82,165.000000000000000,165000000.000000000000000,224.763636363636351
83,Xa,83,165.000000000000000,165000000.000000000000000,224.787878787878782
84,Nova Almeida,84,194.000000000000000,194000000.000000000000000,225.788659793814446
85,Regencia,85,148.000000000000000,148000000.000000000000000,220.479729729729740
86,Guriri,86,200.000000000000000,200000000.000000000000000,216.599999999999994
87,Milionarios,87,316.000000000000000,316000000.000000000000000,204.281645569620252
88,Sul,88,317.000000000000000,317000000.000000000000000,204.495268138801265
89,Pedra da Cachorra,89,317.000000000000000,317000000.000000000000000,204.618296529968461
90,Jardim Atlantico,90,317.000000000000000,317000000.000000000000000,204.722397476340689
91,Baduska,91,311.000000000000000,311000000.000000000000000,204.794212218649506
92,Norte,92,286.000000000000000,286000000.000000000000000,205.031468531468533
93,Havaizinho,93,467.000000000000000,467000000.000000000000000,166.357601713062110
94,Sao Jose,94,312.000000000000000,312000000.000000000000000,193.900641025641022
95,Corals,95,297.000000000000000,297000000.000000000000000,192.494949494949509
96,Tony,96,190.000000000000000,190000000.000000000000000,174.784210526315803
97,Meridien,97,189.000000000000000,189000000.000000000000000,174.719576719576708
98,Amaralina,98,193.000000000000000,193000000.000000000000000,174.362694300518143
99,Tubao,99,203.000000000000000,203000000.000000000000000,174.073891625615772
100,Psiu,100,235.000000000000000,235000000.000000000000000,173.442553191489367
101,Alex,101,278.000000000000000,278000000.000000000000000,172.485611510791358
102,Terceira Ponte,102,296.000000000000000,296000000.000000000000000,172.236486486486484
103,SESC,103,298.000000000000000,298000000.000000000000000,172.070469798657712
104,Farol,104,596.000000000000000,596000000.000000000000000,154.553691275167779
105,Pedro do Sal,105,283.000000000000000,283000000.000000000000000,171.469964664310965
106,Itapoa,106,308.000000000000000,308000000.000000000000000,171.665584415584419
107,Seper,107,279.000000000000000,279000000.000000000000000,171.448028673835125
108,Corrente,108,276.000000000000000,276000000.000000000000000,171.442028985507250
109,Stela Maris,109,272.000000000000000,272000000.000000000000000,171.426470588235304
110,Plator,110,269.000000000000000,269000000.000000000000000,171.412639405204459
111,Aleluia,111,232.000000000000000,232000000.000000000000000,171.521551724137936
112,Ipitanga,112,223.000000000000000,223000000.000000000000000,171.573991031390136
113,Vilas,113,206.000000000000000,206000000.000000000000000,171.791262135922324
