OBJECTID,id,COUNT,AREA,MEAN
1,0,333097.000000000000000,314151595.721629977226257,0.012996214315950
2,1,333091.000000000000000,314145936.980859756469727,0.040559486746865
3,2,333120.000000000000000,314173287.561249077320099,0.043858069164265
4,3,333114.000000000000000,314167628.820478856563568,0.054470841813914
5,4,333112.000000000000000,314165742.573555469512939,0.132510987295564
6,5,333114.000000000000000,314167628.820478856563568,0.203870146556434
7,6,333092.000000000000000,314146880.104321479797363,0.098456282348420
8,7,333103.000000000000000,314157254.462400138378143,0.159305079810149
9,8,333114.000000000000000,314167628.820478856563568,0.256951073806565
10,9,333099.000000000000000,314153481.968553364276886,0.258154482601269
11,10,333108.000000000000000,314161970.079708635807037,0.201628300731294
12,11,333108.000000000000000,314161970.079708635807037,0.259117163202325
13,12,333094.000000000000000,314148766.351244866847992,0.299672164614193
14,13,333097.000000000000000,314151595.721629977226257,0.288501547597246
15,14,333115.000000000000000,314168571.943940579891205,0.179721717725110
16,15,333094.000000000000000,314148766.351244866847992,0.073111494052730
17,16,333100.000000000000000,314154425.092015087604523,0.082029420594416
18,17,333109.000000000000000,314162913.203170359134674,0.084584925654966
19,18,333101.000000000000000,314155368.215476751327515,0.129201053134034
20,19,333095.000000000000000,314149709.474706590175629,0.095074978609706
21,20,333097.000000000000000,314151595.721629977226257,0.100733419994776
22,21,333099.000000000000000,314153481.968553364276886,0.215467473633965
23,22,333088.000000000000000,314143107.610474705696106,0.209539220866558
24,23,333105.000000000000000,314159140.709323585033417,0.209483496194894
25,24,333100.000000000000000,314154425.092015087604523,0.223806664665266
26,25,333100.000000000000000,314154425.092015087604523,0.429993995797058
27,26,333101.000000000000000,314155368.215476751327515,0.421178561457336
28,27,333096.000000000000000,314150652.598168253898621,0.491125681485217
29,28,333088.000000000000000,314143107.610474705696106,0.577054712268229
30,29,333100.000000000000000,314154425.092015087604523,0.506688682077454
31,30,333107.000000000000000,314161026.956246972084045,0.444788011059509
32,31,333109.000000000000000,314162913.203170359134674,0.474691467357532
33,32,333111.000000000000000,314164799.450093746185303,0.474130244873330
34,33,333102.000000000000000,314156311.338938474655151,0.464725519510540
35,34,333109.000000000000000,314162913.203170359134674,0.454613955191844
36,35,333101.000000000000000,314155368.215476751327515,0.473613108336511
37,36,333121.000000000000000,314174230.684710741043091,0.465314405276161
38,37,333095.000000000000000,314149709.474706590175629,0.481039943559645
39,38,333091.000000000000000,314145936.980859756469727,0.482441735141448
40,39,333103.000000000000000,314157254.462400138378143,0.618874642377883
41,40,333098.000000000000000,314152538.845091640949249,0.591435553500772
42,41,333077.000000000000000,314132733.252395987510681,0.460674258504790
43,42,333110.000000000000000,314163856.326632082462311,0.497430278286452
44,43,333086.000000000000000,314141221.363551259040833,0.310442348222381
45,44,333102.000000000000000,314156311.338938474655151,0.462404909006851
46,45,333097.000000000000000,314151595.721629977226257,0.385581377196432
47,46,333098.000000000000000,314152538.845091640949249,0.180574485586824
48,47,333108.000000000000000,314161970.079708635807037,0.175399570109394
49,48,333099.000000000000000,314153481.968553364276886,0.221051399133591
50,49,333107.000000000000000,314161026.956246972084045,0.195270588729748
51,50,333093.000000000000000,314147823.227783143520355,0.107234315941794
52,51,333100.000000000000000,314154425.092015087604523,0.128207745421795
53,52,333108.000000000000000,314161970.079708635807037,0.263578178848902
54,53,333096.000000000000000,314150652.598168253898621,0.101730432067632
55,54,333099.000000000000000,314153481.968553364276886,0.186322985058496
