OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
1,1,1,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,1,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
2,1,2,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,2,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
3,1,3,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,3,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
4,1,4,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,4,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
5,1,5,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,5,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
6,1,6,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,6,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
7,3,7,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,7,2913606,Ilhéus,BA,1588.555000000000064,107971.000000000000000,131456.000000000000000,223750.000000000000000,222127.000000000000000,184236.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
8,2,8,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,8,2914901,Itacaré,BA,726.264999999999986,14104.000000000000000,13207.000000000000000,18431.000000000000000,18120.000000000000000,24318.000000000000000,0.000000000000000,0.000000000000000,6198.000000000000000,62831.853071795863798,314159265.358979284763336
9,2,9,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,9,2914901,Itacaré,BA,726.264999999999986,14104.000000000000000,13207.000000000000000,18431.000000000000000,18120.000000000000000,24318.000000000000000,0.000000000000000,0.000000000000000,6198.000000000000000,62831.853071795863798,314159265.358979284763336
10,1,10,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,10,2927408,Salvador,BA,693.452999999999975,1007195.000000000000000,1502013.000000000000000,2075273.000000000000000,2443107.000000000000000,2675656.000000000000000,0.000000000000000,0.000000000000000,232549.000000000000000,62831.853071795863798,314159265.358979284763336
