OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
1,1,1,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,1,1,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
2,1,2,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,2,2,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
3,1,3,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,3,3,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
4,1,4,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,4,4,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
5,1,5,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,5,5,183,SBIL,Ilhéus,Nacional,Bahia - Jorge Amado,45.000000000000000,1,BA,4.000000000000000,1577.000000000000000,Public,asfalto ou concreto Asfáltico,2913606.000000000000000,62831.853071795863798,314159265.358979284763336
6,0,6,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,6,6,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
7,0,7,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,7,7,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
8,0,8,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,8,8,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
9,0,9,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,9,9,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
10,0,10,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,10,10,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
11,0,11,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,11,11,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
12,0,12,104,Nordeste,NA,Amaralina,-13.015369000000000,-38.471834000000001,NA,NA,NA,NA,NA,10000.000000000000000,12,12,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
13,0,13,105,Nordeste,NA,Tubao,-13.010683999999999,-38.461410999999998,NA,NA,NA,NA,NA,10000.000000000000000,13,13,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
14,0,14,106,Nordeste,NA,Psiu,-12.995919000000001,-38.439390000000003,NA,NA,NA,NA,NA,10000.000000000000000,14,14,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
15,0,15,107,Nordeste,NA,Alex,-12.973279000000000,-38.406477000000002,NA,NA,NA,NA,NA,10000.000000000000000,15,15,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
16,0,16,108,Nordeste,NA,Terceira Ponte,-12.963839999999999,-38.396822000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,16,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
17,1,17,109,Nordeste,NA,SESC,-12.960485000000000,-38.390998000000003,NA,NA,NA,NA,NA,10000.000000000000000,17,17,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
18,1,18,110,Nordeste,NA,Farol,-12.958147000000000,-38.352812999999998,NA,NA,NA,NA,NA,10000.000000000000000,18,18,2626,SBSV,Salvador,Internacional,Deputado Luís Eduardo Magalhães,45.000000000000000,2,BA,19.000000000000000,3005.000000000000000,Public,asfalto ou concreto Asfáltico,2927408.000000000000000,62831.853071795863798,314159265.358979284763336
