OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Leng,Shape_Area,F2010,SLR_employ,F2010_1,F2010_12,F2010_12_1,F2010_12_2,F2010_12_3,F2010_12_4,F2010_12_5,F2010_12_6,F2010_12_7,F2010_12_8,Shape_Le_1,Shape_Ar_1
1,1,1,93,Nordeste,NA,Milionarios,-14.847631000000000,-39.022942000000000,NA,NA,NA,NA,NA,10000.000000000000000,1,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
2,1,2,94,Nordeste,NA,Sul,-14.831120000000000,-39.022562999999998,NA,NA,NA,NA,NA,10000.000000000000000,2,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
3,1,3,95,Nordeste,NA,Pedra da Cachorra,-14.821026000000000,-39.023632999999997,NA,NA,NA,NA,NA,10000.000000000000000,3,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
4,1,4,96,Nordeste,NA,Jardim Atlantico,-14.815026000000000,-39.023400000000002,NA,NA,NA,NA,NA,10000.000000000000000,4,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
5,1,5,97,Nordeste,NA,Baduska,-14.809442000000001,-39.023423000000001,NA,NA,NA,NA,NA,10000.000000000000000,5,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
6,1,6,98,Nordeste,NA,Norte,-14.660090000000000,-39.063006999999999,NA,NA,NA,NA,NA,10000.000000000000000,6,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
7,3,7,99,Nordeste,NA,Havaizinho,-14.468062000000000,-39.023161000000002,NA,NA,NA,NA,NA,10000.000000000000000,7,2913606,Ilhéus,BA,"Sports, recreation and leisure activities",33.000000000000000,140.000000000000000,0.000000000000000,0.000000000000000,184236.000000000000000,0.000759894917389,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,184236.000000000000000,62831.853071795863798,314159265.358979284763336
8,2,8,100,Nordeste,NA,Sao Jose,-14.316062000000001,-38.990701000000001,NA,NA,NA,NA,NA,10000.000000000000000,8,2914901,Itacaré,BA,"Sports, recreation and leisure activities",6.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24318.000000000000000,0.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,62831.853071795863798,314159265.358979284763336
9,2,9,101,Nordeste,NA,Corals,-14.275408000000001,-38.982568999999998,NA,NA,NA,NA,NA,10000.000000000000000,9,2914901,Itacaré,BA,"Sports, recreation and leisure activities",6.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24318.000000000000000,0.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,24318.000000000000000,62831.853071795863798,314159265.358979284763336
10,1,10,102,Nordeste,NA,Tony,-13.016731999999999,-38.488781000000003,NA,NA,NA,NA,NA,10000.000000000000000,10,2927408,Salvador,BA,"Sports, recreation and leisure activities",513.000000000000000,3860.000000000000000,0.000000000000000,0.000000000000000,2675656.000000000000000,0.001442636871107,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,62831.853071795863798,314159265.358979284763336
11,1,11,103,Nordeste,NA,Meridien,-13.016598000000000,-38.484878999999999,NA,NA,NA,NA,NA,10000.000000000000000,11,2927408,Salvador,BA,"Sports, recreation and leisure activities",513.000000000000000,3860.000000000000000,0.000000000000000,0.000000000000000,2675656.000000000000000,0.001442636871107,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,2675656.000000000000000,62831.853071795863798,314159265.358979284763336
