OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,Shape_Leng,Shape_Area,pop_change,Shape_Le_1,Shape_Ar_1
1,2,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,10000.000000000000000,1,4208807,Jaguaruna,SC,326.362000000000023,14397.000000000000000,14699.000000000000000,18427.000000000000000,14613.000000000000000,17290.000000000000000,0.000000000000000,0.000000000000000,2677.000000000000000,62831.853071795863798,314159265.358979284763336
2,2,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,10000.000000000000000,2,4209409,Laguna,SC,333.259999999999991,35042.000000000000000,39531.000000000000000,44862.000000000000000,47568.000000000000000,51562.000000000000000,0.000000000000000,0.000000000000000,3994.000000000000000,62831.853071795863798,314159265.358979284763336
3,2,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,10000.000000000000000,3,4207205,Imaruí,SC,542.238000000000056,21041.000000000000000,18973.000000000000000,15431.000000000000000,13404.000000000000000,11672.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
4,2,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,10000.000000000000000,4,4207205,Imaruí,SC,542.238000000000056,21041.000000000000000,18973.000000000000000,15431.000000000000000,13404.000000000000000,11672.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,62831.853071795863798,314159265.358979284763336
5,4,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,10000.000000000000000,5,4205407,Florianópolis,SC,674.844000000000051,138337.000000000000000,187880.000000000000000,255390.000000000000000,342315.000000000000000,421240.000000000000000,0.000000000000000,0.000000000000000,78925.000000000000000,62831.853071795863798,314159265.358979284763336
6,1,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,10000.000000000000000,6,4205407,Florianópolis,SC,674.844000000000051,138337.000000000000000,187880.000000000000000,255390.000000000000000,342315.000000000000000,421240.000000000000000,0.000000000000000,0.000000000000000,78925.000000000000000,62831.853071795863798,314159265.358979284763336
7,1,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,10000.000000000000000,7,4205407,Florianópolis,SC,674.844000000000051,138337.000000000000000,187880.000000000000000,255390.000000000000000,342315.000000000000000,421240.000000000000000,0.000000000000000,0.000000000000000,78925.000000000000000,62831.853071795863798,314159265.358979284763336
8,2,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,10000.000000000000000,8,4208450,Itapoá,SC,245.394000000000005,0.000000000000000,0.000000000000000,4007.000000000000000,8839.000000000000000,14763.000000000000000,0.000000000000000,0.000000000000000,5924.000000000000000,62831.853071795863798,314159265.358979284763336
9,2,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,10000.000000000000000,9,4109609,Guaratuba,PR,1326.670000000000073,9734.000000000000000,12178.000000000000000,17998.000000000000000,27257.000000000000000,32095.000000000000000,0.000000000000000,0.000000000000000,4838.000000000000000,62831.853071795863798,314159265.358979284763336
10,2,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,10000.000000000000000,10,3520301,Iguape,SP,1978.795000000000073,19211.000000000000000,23363.000000000000000,27937.000000000000000,27427.000000000000000,28841.000000000000000,0.000000000000000,0.000000000000000,1414.000000000000000,62831.853071795863798,314159265.358979284763336
