OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,ogc_fid,idi_tuaria,idseq,cdi_tuaria,nome,tipo,cdbigrama,cdtrigrama,cdterminal,situacao,gestao,modalidade,companhia,cnpj,legislacao,pro_didade,endereco,com_emento,numero,bairro,cep,idcidade,cidade,idestado,estado,idr_rafica,reg_rafica,loc_izacao,latitude,longitude,observacao,fonte,cdc_troide,Shape_Leng,Shape_Area
1,0,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,10000.000000000000000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
2,1,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,10000.000000000000000,2,13,15.000000000000000,0.000000000000000,BRLAG,Laguna,Organized Port,BR,LAG, ,In operation,SEP,http://www.portodesantos.com.br/, , ,Lei 5.917/73,0.000000000000000, , ,0.000000000000000, , ,BR420940,Laguna,BR42,SC,2.000000000000000,Regi, ,-28.496666r,-48.76972199999999a, ,ANTAQ, ,62831.853071795863798,314159265.358979284763336
3,2,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,10000.000000000000000,3,137,204.000000000000000,0.000000000000000,BRSC014,Terminal Privativo de Imbituba,Terminal for private use,BR,BRS,BRSC014,Unknown,Privada,Terminal de uso privado,IMBITUBA EMPREENDIMENTOS E PARTICIPAOUES S.A,27276211000108,CA 013/2017-ANTAQ,0.000000000000000,RUA ITAGIBA, ,1500.000000000000000,AGUADA,88780000,4207304, , , ,0.000000000000000, , ,-28.2264,-48.657,"CA 013/2017-ANTAQ: adaptaE o do TA 362/2007-ANTAQ, de 06/06/2007",Antaq, ,62831.853071795863798,314159265.358979284763336
4,2,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,10000.000000000000000,4,137,204.000000000000000,0.000000000000000,BRSC014,Terminal Privativo de Imbituba,Terminal for private use,BR,BRS,BRSC014,Unknown,Privada,Terminal de uso privado,IMBITUBA EMPREENDIMENTOS E PARTICIPAOUES S.A,27276211000108,CA 013/2017-ANTAQ,0.000000000000000,RUA ITAGIBA, ,1500.000000000000000,AGUADA,88780000,4207304, , , ,0.000000000000000, , ,-28.2264,-48.657,"CA 013/2017-ANTAQ: adaptaE o do TA 362/2007-ANTAQ, de 06/06/2007",Antaq, ,62831.853071795863798,314159265.358979284763336
5,0,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,10000.000000000000000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
6,0,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,10000.000000000000000,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
7,0,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,10000.000000000000000,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
8,3,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,10000.000000000000000,8,81,145.000000000000000,0.000000000000000,BRSC007,Terminal Aquavi rio de S2o Francisco do Sul,Terminal for private use,BR,BRS,BRSC007,In operation,Privada,Terminal de uso privado,PETROBRAS TRANSPORTE S.A - TRANSPETRO,02709449002011,CA 79/2015-ANTAQ,0.000000000000000,Avenida Felipe Musse, ,803.000000000000000,Ubatuba,89240000,4216206, , , ,0.000000000000000, , ,-26.2279,-48.5299,Atualiza,Antaq, ,62831.853071795863798,314159265.358979284763336
9,0,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,10000.000000000000000,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
10,0,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
11,0,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
12,0,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
13,0,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
14,0,14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,10000.000000000000000,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
15,0,15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,10000.000000000000000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
