OBJECTID,id,region,zone,name,lat,long,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Length
1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,240.994256979109991
2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,380.857591610886004
3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,391.933404426294999
4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,504.316121067107019
5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,324.705037670482000
6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,485.032088187347995
7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,580.159256339082049
8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,361.663877609312976
9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,523.038465199767984
10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,357.817025977846981
11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,471.468375434812003
12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,828.549696704415965
13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,10000.000000000000000,13,62831.853071795863798,314159265.358979284763336,969.146655881997958
14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,10000.000000000000000,14,62831.853071795863798,314159265.358979284763336,759.917465183027048
15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,10000.000000000000000,15,62831.853071795863798,314159265.358979284763336,1228.356115535129902
16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,10000.000000000000000,16,62831.853071795863798,314159265.358979284763336,935.685287953485044
17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,10000.000000000000000,17,62831.853071795863798,314159265.358979284763336,993.056273145475984
18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,10000.000000000000000,18,62831.853071795863798,314159265.358979284763336,1033.449832611380089
19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,10000.000000000000000,19,62831.853071795863798,314159265.358979284763336,1230.635717033439960
20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,10000.000000000000000,20,62831.853071795863798,314159265.358979284763336,1178.894368249319996
21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,10000.000000000000000,21,62831.853071795863798,314159265.358979284763336,1460.768379421170039
22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,10000.000000000000000,22,62831.853071795863798,314159265.358979284763336,1213.576760187909940
23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,10000.000000000000000,23,62831.853071795863798,314159265.358979284763336,841.946603843225034
