OBJECTID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,SUM_Area_S,protected_
1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,10000.000000000000000,1,62831.853071795863798,314159265.358979284763336,209.011643299822993,0.665304723898538
2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,10000.000000000000000,2,62831.853071795863798,314159265.358979284763336,144.802779606224988,0.460921562955540
3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,10000.000000000000000,3,62831.853071795863798,314159265.358979284763336,156.083590014151014,0.496829497725619
4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,10000.000000000000000,4,62831.853071795863798,314159265.358979284763336,136.582460229199995,0.434755473702588
5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,10000.000000000000000,5,62831.853071795863798,314159265.358979284763336,221.080603569221012,0.703721417595626
6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,10000.000000000000000,6,62831.853071795863798,314159265.358979284763336,44.498023997131597,0.141641609539306
7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,10000.000000000000000,7,62831.853071795863798,314159265.358979284763336,13.731852442364801,0.043709843880218
8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,10000.000000000000000,8,62831.853071795863798,314159265.358979284763336,14.196591849760001,0.045189155358948
9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,10000.000000000000000,9,62831.853071795863798,314159265.358979284763336,86.733479093911399,0.276081238587072
10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,10,62831.853071795863798,314159265.358979284763336,248.921755312903002,0.792342556023196
11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,11,62831.853071795863798,314159265.358979284763336,236.211461366950005,0.751884433830208
12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,12,62831.853071795863798,314159265.358979284763336,203.060740260513995,0.646362411207206
13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,13,62831.853071795863798,314159265.358979284763336,133.557172639111002,0.425125684217844
14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,10000.000000000000000,14,62831.853071795863798,314159265.358979284763336,146.153178332456008,0.465220015604034
15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,10000.000000000000000,15,62831.853071795863798,314159265.358979284763336,131.942251589433994,0.419985230862659
16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,62831.853071795863798,314159265.358979284763336,114.989396237475006,0.366022616286935
17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,10000.000000000000000,17,62831.853071795863798,314159265.358979284763336,115.361044354032998,0.367205608983755
18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,10000.000000000000000,18,62831.853071795863798,314159265.358979284763336,101.681867574348004,0.323663436945460
19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,10000.000000000000000,19,62831.853071795863798,314159265.358979284763336,95.637697659698603,0.304424246569385
20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,10000.000000000000000,20,62831.853071795863798,314159265.358979284763336,104.284228876265004,0.331947010243683
21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,10000.000000000000000,21,62831.853071795863798,314159265.358979284763336,83.128232507049901,0.264605382279788
22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,10000.000000000000000,22,62831.853071795863798,314159265.358979284763336,122.480786647591998,0.389868452574962
23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,10000.000000000000000,23,62831.853071795863798,314159265.358979284763336,163.460894765603996,0.520312188083401
24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,10000.000000000000000,24,62831.853071795863798,314159265.358979284763336,55.373279941908201,0.176258624359320
25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,10000.000000000000000,25,62831.853071795863798,314159265.358979284763336,41.649557861103297,0.132574660223730
26,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,10000.000000000000000,26,62831.853071795863798,314159265.358979284763336,160.476804595272000,0.510813534058595
27,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,10000.000000000000000,27,62831.853071795863798,314159265.358979284763336,209.092916998743988,0.665563426117071
28,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,28,62831.853071795863798,314159265.358979284763336,209.379540062903004,0.666475775666372
29,28,Sudeste,NA,Maresias,-23.793693260000001,-45.559764340000001,NA,NA,NA,NA,NA,10000.000000000000000,29,62831.853071795863798,314159265.358979284763336,241.687759129788986,0.769316031006186
30,29,Sudeste,NA,Canto de Moreira,-23.793056000000000,-45.587394000000003,NA,NA,NA,NA,NA,10000.000000000000000,30,62831.853071795863798,314159265.358979284763336,235.743860200532993,0.750396013089592
31,30,Sudeste,NA,Itaguere,-23.786995000000001,-45.971372000000002,NA,NA,NA,NA,NA,10000.000000000000000,31,62831.853071795863798,314159265.358979284763336,219.126091340400990,0.697500011944620
32,31,Sudeste,NA,Boicucanga,-23.784431000000001,-45.631354999999999,NA,NA,NA,NA,NA,10000.000000000000000,32,62831.853071795863798,314159265.358979284763336,228.948836366112999,0.728766780456088
33,32,Sudeste,NA,Praia de Baleia,-23.775839000000001,-45.683985999999997,NA,NA,NA,NA,NA,10000.000000000000000,33,62831.853071795863798,314159265.358979284763336,216.411919664911011,0.688860535173536
34,33,Sudeste,NA,Barra do Sahy,-23.774384999999999,-45.697569999999999,NA,NA,NA,NA,NA,10000.000000000000000,34,62831.853071795863798,314159265.358979284763336,210.138344637399001,0.668891125643807
35,34,Sudeste,NA,Praia Preta,-23.773009999999999,-45.715814999999999,NA,NA,NA,NA,NA,10000.000000000000000,35,62831.853071795863798,314159265.358979284763336,206.817880834898006,0.658321761093292
36,35,Sudeste,NA,Bananas Point,-23.771605000000001,-45.706209999999999,NA,NA,NA,NA,NA,10000.000000000000000,36,62831.853071795863798,314159265.358979284763336,207.045719119544003,0.659046992877832
37,36,Sudeste,NA,Praia do Juquei,-23.768115000000002,-45.745452999999998,NA,NA,NA,NA,NA,10000.000000000000000,37,62831.853071795863798,314159265.358979284763336,206.413370094924005,0.657034163417280
38,37,Sudeste,NA,Barra do Una,-23.763818000000001,-45.762779999999999,NA,NA,NA,NA,NA,10000.000000000000000,38,62831.853071795863798,314159265.358979284763336,199.695844970519005,0.635651616839419
39,38,Sudeste,NA,Praia da Boracéia,-23.758372999999999,-45.828777000000002,NA,NA,NA,NA,NA,10000.000000000000000,39,62831.853071795863798,314159265.358979284763336,203.847533253465997,0.648866851087573
40,39,Sudeste,NA,Praia Dura,-23.496058000000001,-45.171014000000000,NA,NA,NA,NA,NA,10000.000000000000000,40,62831.853071795863798,314159265.358979284763336,192.162162469393991,0.611671160644640
41,40,Sudeste,NA,Pereque-Acu,-23.424565000000001,-45.062697000000000,NA,NA,NA,NA,NA,10000.000000000000000,41,62831.853071795863798,314159265.358979284763336,186.911141300031005,0.594956641136953
42,41,Sudeste,NA,Itamambuca,-23.406683000000001,-45.008741000000001,NA,NA,NA,NA,NA,10000.000000000000000,42,62831.853071795863798,314159265.358979284763336,216.830653176362006,0.690193405337248
