OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci_w_climate,sci_wo_climate,difference
1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.872303918700000,0.133880857400000,0.198581741600000,0.027479848800000,0.048814925800000,0.224507569100000,1.505568861400000,0.226002780000000,0.262027164300000,-0.036024384300000
2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.799880704900000,0.224136484100000,0.113475143100000,0.512867655400000,0.169313684300000,0.155538320800000,1.975211992600000,0.386817670600000,0.411707979400000,-0.024890308800000
3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.783717014500000,0.134741086700000,0.113475143100000,0.000000000000000,0.126237756300000,0.167655479900000,1.325826480500000,0.164455512700000,0.151778506500000,0.012677006200000
4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.785790739900000,0.141621756200000,0.170212714700000,0.000000000000000,0.159009910000000,0.146708554800000,1.403343675600000,0.190998899400000,0.170961041800000,0.020037857600000
5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.860224483000000,0.228583839500000,0.085106598500000,0.078541879600000,0.285283651000000,0.756015785800000,2.293756237400000,0.495893380400000,0.498553094000000,-0.002659713600000
6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.771990472500000,0.234888095800000,0.113475143100000,0.364759348300000,0.162395168200000,0.160101743000000,1.807609970900000,0.329427497100000,0.342821753600000,-0.013394256500000
7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.718858043000000,0.213554385600000,0.170212714700000,0.221829018100000,0.117462860300000,0.059008502800000,1.500925524500000,0.224412811600000,0.230606645700000,-0.006193834100000
8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.801333225500000,0.325956616700000,0.170212714700000,0.527073774200000,0.362081601800000,0.291683182000000,2.478341114900000,0.559098812200000,0.544762159100000,0.014336653100000
9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.829628482000000,0.568629435300000,0.141844170000000,0.105743693600000,0.388418329100000,0.229169245400000,2.263433355400000,0.485510239200000,0.441338835600000,0.044171403600000
10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,0.896025518100000,0.386033000700000,0.028369026900000,0.000000000000000,0.164112092400000,0.358861189500000,1.833400827600000,0.338258785200000,0.353142429300000,-0.014883644100000
