OID_,id,COUNT,AREA,MEAN
1,9,199.000000000000000,317326101.223699212074280,1714.086922036942497
2,10,196.000000000000000,312542290.652487635612488,1809.833478655134058
3,11,200.000000000000000,318920704.747436404228210,2060.951774902343914
4,12,154.000000000000000,245568942.655526012182236,2190.572222821124342
5,13,180.000000000000000,287028634.272692739963531,2191.262700737847354
6,14,190.000000000000000,302974669.510064542293549,2037.583029656660983
7,15,196.000000000000000,312542290.652487635612488,2097.726657166772839
8,16,199.000000000000000,317326101.223699212074280,2097.209570803234783
9,17,196.000000000000000,312542290.652487635612488,2093.070221570072590
10,18,194.000000000000000,309353083.605013310909271,2047.696753433070171
11,19,199.000000000000000,317326101.223699212074280,2094.817494454694952
12,20,200.000000000000000,318920704.747436404228210,2066.361866455078143
13,21,197.000000000000000,314136894.176224827766418,2090.912294029585155
14,22,198.000000000000000,315731497.699962019920349,2092.492677014284254
15,23,197.000000000000000,314136894.176224827766418,2064.544201846050782
16,24,199.000000000000000,317326101.223699212074280,2044.819775758676087
17,25,196.000000000000000,312542290.652487635612488,2046.993623694595044
18,26,180.000000000000000,287028634.272692739963531,2043.312421332464965
19,27,147.000000000000000,234406717.989365726709366,2046.181549279868477
20,28,107.000000000000000,170622577.039878457784653,1889.000092408367436
21,29,124.000000000000000,197730836.943410545587540,1871.203265774634701
22,30,190.000000000000000,302974669.510064542293549,1864.766723632812500
23,31,155.000000000000000,247163546.179263204336166,1841.638325352822676
24,32,187.000000000000000,298190858.938853025436401,1826.244449391084117
25,33,187.000000000000000,298190858.938853025436401,1825.766234698780181
26,34,182.000000000000000,290217841.320167124271393,1824.672319684709009
27,35,182.000000000000000,290217841.320167124271393,1823.256479787302624
28,36,177.000000000000000,282244823.701481223106384,1819.970876920021283
29,37,173.000000000000000,275866409.606532454490662,1817.210118288249305
30,38,163.000000000000000,259920374.369160652160645,1810.565625898677354
31,39,194.000000000000000,309353083.605013310909271,1877.275263520860335
32,40,151.000000000000000,240785132.084314465522766,1722.002146335626776
33,41,166.000000000000000,264704184.940372198820114,1662.830209019672566
34,42,188.000000000000000,299785462.462590217590332,1595.378877031042293
35,43,198.000000000000000,315731497.699962019920349,1309.136398777817021
36,44,197.000000000000000,314136894.176224827766418,1292.254000436231308
37,45,197.000000000000000,314136894.176224827766418,1294.759753851721371
38,46,194.000000000000000,309353083.605013310909271,936.599318356858248
39,47,196.000000000000000,312542290.652487635612488,924.327113560267776
40,48,190.000000000000000,302974669.510064542293549,933.463844700863547
41,49,163.000000000000000,259920374.369160652160645,968.514114847943688
42,50,161.000000000000000,256731167.321686297655106,999.062026503663446
43,51,151.000000000000000,240785132.084314465522766,995.961178811180503
44,52,139.000000000000000,221649889.799468278884888,1025.956773497217682
45,53,102.000000000000000,162649559.421192556619644,1167.537208706724869
46,54,161.000000000000000,256731167.321686297655106,1063.506070912994801
47,55,74.000000000000000,118000660.756551459431648,1187.739525047508323
48,56,190.000000000000000,302974669.510064542293549,1038.647624126233268
49,57,199.000000000000000,317326101.223699212074280,1037.734754706147896
50,58,92.000000000000000,146703524.183820724487305,1147.948421312414894
51,59,194.000000000000000,309353083.605013310909271,1179.797603017276742
52,60,177.000000000000000,282244823.701481223106384,1050.722535559013068
53,61,177.000000000000000,282244823.701481223106384,1049.500781387933102
54,62,185.000000000000000,295001651.891378641128540,1147.120622624577891
55,63,186.000000000000000,296596255.415115833282471,1184.139115528393404
56,64,195.000000000000000,310947687.128750443458557,1712.984078901241674
57,65,201.000000000000000,320515308.271173536777496,1753.631265668726428
58,66,197.000000000000000,314136894.176224827766418,1810.308979789617752
59,67,195.000000000000000,310947687.128750443458557,1602.571379832732191
60,68,186.000000000000000,296596255.415115833282471,1612.864892446866634
61,69,173.000000000000000,275866409.606532454490662,1617.567095629741743
62,70,184.000000000000000,293407048.367641448974609,1751.314266038977621
63,71,152.000000000000000,242379735.608051657676697,1862.218831915604596
64,72,182.000000000000000,290217841.320167124271393,2117.963384271978157
65,73,153.000000000000000,243974339.131788820028305,2123.704206878063360
66,74,143.000000000000000,228028303.894417017698288,2141.461217493444110
67,75,145.000000000000000,231217510.941891372203827,2142.943381263469746
68,76,146.000000000000000,232812114.465628564357758,2166.633282387093004
69,77,155.000000000000000,247163546.179263204336166,2031.629600081905437
70,78,160.000000000000000,255136563.797949105501175,2021.448143005371094
71,79,159.000000000000000,253541960.274211913347244,1998.299094530022103
72,80,165.000000000000000,263109581.416635006666183,1969.671036044034281
73,81,166.000000000000000,264704184.940372198820114,1955.686774196394936
74,82,190.000000000000000,302974669.510064542293549,1745.207830489309572
75,83,187.000000000000000,298190858.938853025436401,1786.211440795245835
76,84,189.000000000000000,301380065.986327409744263,1811.981146918402828
77,85,189.000000000000000,301380065.986327409744263,1821.574108951306016
78,86,189.000000000000000,301380065.986327409744263,1826.324874958663941
79,87,200.000000000000000,318920704.747436404228210,1830.519031982422121
80,88,197.000000000000000,314136894.176224827766418,1830.744889777324033
81,89,172.000000000000000,274271806.082795262336731,1830.963187284248079
82,90,162.000000000000000,258325770.845423460006714,1830.380153326340633
83,91,171.000000000000000,272677202.559058129787445,2494.929480480171151
84,92,182.000000000000000,290217841.320167124271393,1519.306798243260118
85,329,176.000000000000000,280650220.177744030952454,2028.778701782226335
86,330,193.000000000000000,307758480.081276118755341,2179.357671075535109
87,332,196.000000000000000,312542290.652487635612488,2095.288646464443900
88,333,197.000000000000000,314136894.176224827766418,2094.176772684010757
89,334,198.000000000000000,315731497.699962019920349,2093.207877110953632
90,335,196.000000000000000,312542290.652487635612488,2020.889921850087603
91,336,196.000000000000000,312542290.652487635612488,2019.051322469905699
92,337,199.000000000000000,317326101.223699212074280,2029.121906529718672
93,338,199.000000000000000,317326101.223699212074280,2075.812627591080400
94,339,198.000000000000000,315731497.699962019920349,1552.343532369594186
95,340,197.000000000000000,314136894.176224827766418,2040.461916541084975
96,341,199.000000000000000,317326101.223699212074280,2047.944215707443391
97,342,197.000000000000000,314136894.176224827766418,2044.347493902680753
98,343,166.000000000000000,264704184.940372198820114,2046.229520866669645
99,344,202.000000000000000,322109911.794910728931427,1835.352628500154651
100,345,132.000000000000000,210487665.133308023214340,2049.078373764500611
101,346,128.000000000000000,204109251.038359284400940,1918.651886940002441
102,347,161.000000000000000,256731167.321686297655106,1899.217442861995323
103,348,162.000000000000000,258325770.845423460006714,1940.113401059751141
104,349,113.000000000000000,180190198.182301551103592,1902.967726985965101
105,350,183.000000000000000,291812444.843904316425323,1890.357712042136427
106,351,109.000000000000000,173811784.087352842092514,1877.086939820455655
107,352,163.000000000000000,259920374.369160652160645,1831.817528098638377
108,353,180.000000000000000,287028634.272692739963531,1827.793480088975457
109,354,183.000000000000000,291812444.843904316425323,1832.440777221012922
110,355,175.000000000000000,279055616.654006838798523,1820.376075613839021
111,356,196.000000000000000,312542290.652487635612488,1941.054284543407221
112,357,195.000000000000000,310947687.128750443458557,1985.903251452323730
113,358,186.000000000000000,296596255.415115833282471,1940.579151440692158
114,359,188.000000000000000,299785462.462590217590332,1923.855350575548300
115,360,200.000000000000000,318920704.747436404228210,1896.339172363281250
116,361,196.000000000000000,312542290.652487635612488,1821.010881073620567
117,362,194.000000000000000,309353083.605013310909271,1809.553148407296931
118,363,190.000000000000000,302974669.510064542293549,1788.867728464226957
119,364,190.000000000000000,302974669.510064542293549,1773.159414833470464
120,365,186.000000000000000,296596255.415115833282471,1738.782459546161135
121,366,159.000000000000000,253541960.274211913347244,1694.192744417010317
122,367,166.000000000000000,264704184.940372198820114,1652.555696418486605
123,368,183.000000000000000,291812444.843904316425323,1620.854147989242165
124,369,196.000000000000000,312542290.652487635612488,1610.833128637197206
125,370,200.000000000000000,318920704.747436404228210,1571.831243286133031
126,371,199.000000000000000,317326101.223699212074280,1562.052712291928401
