OID_,id,COUNT,AREA,MEAN
1,9,241.000000000000000,241000000.000000000000000,216.381742738589082
2,10,279.000000000000000,279000000.000000000000000,191.949820788530388
3,11,317.000000000000000,317000000.000000000000000,229.129337539432242
4,12,272.000000000000000,272000000.000000000000000,237.268382352941188
5,13,307.000000000000000,307000000.000000000000000,238.042345276872965
6,14,253.000000000000000,253000000.000000000000000,238.110671936758905
7,15,254.000000000000000,254000000.000000000000000,233.669291338582667
8,16,257.000000000000000,257000000.000000000000000,233.719844357976655
9,17,261.000000000000000,261000000.000000000000000,234.536398467433003
10,18,270.000000000000000,270000000.000000000000000,236.962962962962877
11,19,275.000000000000000,275000000.000000000000000,234.407272727272698
12,20,277.000000000000000,277000000.000000000000000,236.400722021660613
13,21,288.000000000000000,288000000.000000000000000,234.229166666666686
14,22,250.000000000000000,250000000.000000000000000,232.884000000000043
15,23,314.000000000000000,314000000.000000000000000,237.484076433120947
16,24,311.000000000000000,311000000.000000000000000,238.681672025723543
17,25,297.000000000000000,297000000.000000000000000,231.575757575757564
18,26,262.000000000000000,262000000.000000000000000,223.236641221374043
19,27,250.000000000000000,250000000.000000000000000,236.632000000000033
20,28,317.000000000000000,317000000.000000000000000,178.731861198738159
21,29,309.000000000000000,309000000.000000000000000,177.731391585760520
22,30,238.000000000000000,238000000.000000000000000,244.613445378151255
23,31,289.000000000000000,289000000.000000000000000,197.494809688581313
24,32,273.000000000000000,273000000.000000000000000,225.663003663003678
25,33,276.000000000000000,276000000.000000000000000,227.916666666666657
26,34,282.000000000000000,282000000.000000000000000,226.953900709219852
27,35,280.000000000000000,280000000.000000000000000,230.078571428571365
28,36,297.000000000000000,297000000.000000000000000,221.060606060606062
29,37,305.000000000000000,305000000.000000000000000,221.213114754098285
30,38,303.000000000000000,303000000.000000000000000,232.815181518151746
31,39,310.000000000000000,310000000.000000000000000,228.925806451612857
32,40,316.000000000000000,316000000.000000000000000,233.088607594936718
33,41,312.000000000000000,312000000.000000000000000,245.250000000000057
34,42,263.000000000000000,263000000.000000000000000,250.281368821292801
35,43,312.000000000000000,312000000.000000000000000,44.759615384615415
36,44,313.000000000000000,313000000.000000000000000,71.268370607028785
37,45,313.000000000000000,313000000.000000000000000,60.373801916932948
38,46,317.000000000000000,317000000.000000000000000,243.305993690851722
39,47,316.000000000000000,316000000.000000000000000,244.085443037974670
40,48,314.000000000000000,314000000.000000000000000,246.146496815286639
41,49,310.000000000000000,310000000.000000000000000,252.080645161290278
42,50,287.000000000000000,287000000.000000000000000,254.463414634146346
43,51,289.000000000000000,289000000.000000000000000,254.934256055363335
44,52,307.000000000000000,307000000.000000000000000,254.162866449511455
45,53,299.000000000000000,299000000.000000000000000,249.260869565217405
46,54,313.000000000000000,313000000.000000000000000,250.555910543131006
47,55,238.000000000000000,238000000.000000000000000,248.605042016806721
48,56,312.000000000000000,312000000.000000000000000,251.471153846153783
49,57,314.000000000000000,314000000.000000000000000,252.181528662420419
50,58,258.000000000000000,258000000.000000000000000,246.794573643410899
51,59,273.000000000000000,273000000.000000000000000,238.868131868131826
52,60,312.000000000000000,312000000.000000000000000,253.657051282051242
53,61,313.000000000000000,313000000.000000000000000,253.859424920127822
54,62,277.000000000000000,277000000.000000000000000,245.523465703971056
55,63,281.000000000000000,281000000.000000000000000,243.551601423487568
56,64,314.000000000000000,314000000.000000000000000,229.124203821656039
57,65,304.000000000000000,304000000.000000000000000,191.661184210526329
58,66,241.000000000000000,241000000.000000000000000,93.398340248962654
59,67,224.000000000000000,224000000.000000000000000,227.669642857142890
60,68,270.000000000000000,270000000.000000000000000,224.685185185185247
61,69,252.000000000000000,252000000.000000000000000,224.869047619047677
62,70,239.000000000000000,239000000.000000000000000,223.610878661087895
63,71,271.000000000000000,271000000.000000000000000,223.560885608856125
64,72,232.000000000000000,232000000.000000000000000,221.495689655172413
