OID_,id,COUNT,AREA,MEAN
1,9,333099.000000000000000,314153481.968553364276886,0.258154482601270
2,10,333108.000000000000000,314161970.079708635807037,0.201628300731294
3,11,333108.000000000000000,314161970.079708635807037,0.259117163202325
4,12,333094.000000000000000,314148766.351244866847992,0.299672164614194
5,13,333097.000000000000000,314151595.721629977226257,0.288501547597247
6,14,333115.000000000000000,314168571.943940579891205,0.179721717725109
7,15,333094.000000000000000,314148766.351244866847992,0.073111494052730
8,16,333100.000000000000000,314154425.092015087604523,0.082029420594416
9,17,333109.000000000000000,314162913.203170359134674,0.084584925654966
10,18,333101.000000000000000,314155368.215476751327515,0.129201053134035
11,19,333095.000000000000000,314149709.474706590175629,0.095074978609706
12,20,333097.000000000000000,314151595.721629977226257,0.100733419994776
13,21,333099.000000000000000,314153481.968553364276886,0.215467473633965
14,22,333088.000000000000000,314143107.610474705696106,0.209539220866558
15,23,333105.000000000000000,314159140.709323585033417,0.209483496194894
16,24,333100.000000000000000,314154425.092015087604523,0.223806664665266
17,25,333100.000000000000000,314154425.092015087604523,0.429993995797058
18,26,333101.000000000000000,314155368.215476751327515,0.421178561457336
19,27,333096.000000000000000,314150652.598168253898621,0.491125681485217
20,28,333088.000000000000000,314143107.610474705696106,0.577054712268230
21,29,333100.000000000000000,314154425.092015087604523,0.506688682077455
22,30,333107.000000000000000,314161026.956246972084045,0.444788011059509
23,31,333109.000000000000000,314162913.203170359134674,0.474691467357532
24,32,333111.000000000000000,314164799.450093746185303,0.474130244873331
25,33,333102.000000000000000,314156311.338938474655151,0.464725519510540
26,34,333109.000000000000000,314162913.203170359134674,0.454613955191844
27,35,333101.000000000000000,314155368.215476751327515,0.473613108336511
28,36,333121.000000000000000,314174230.684710741043091,0.465314405276161
29,37,333095.000000000000000,314149709.474706590175629,0.481039943559645
30,38,333091.000000000000000,314145936.980859756469727,0.482441735141447
31,39,333103.000000000000000,314157254.462400138378143,0.618874642377883
32,40,333098.000000000000000,314152538.845091640949249,0.591435553500771
33,41,333077.000000000000000,314132733.252395987510681,0.460674258504791
34,42,333110.000000000000000,314163856.326632082462311,0.497430278286455
35,43,333086.000000000000000,314141221.363551259040833,0.310442348222380
36,44,333102.000000000000000,314156311.338938474655151,0.462404909006851
37,45,333097.000000000000000,314151595.721629977226257,0.385581377196432
38,46,333098.000000000000000,314152538.845091640949249,0.180574485586824
39,47,333108.000000000000000,314161970.079708635807037,0.175399570109394
40,48,333099.000000000000000,314153481.968553364276886,0.221051399133591
41,49,333107.000000000000000,314161026.956246972084045,0.195270588729748
42,50,333093.000000000000000,314147823.227783143520355,0.107234315941794
43,51,333100.000000000000000,314154425.092015087604523,0.128207745421795
44,52,333108.000000000000000,314161970.079708635807037,0.263578178848902
45,53,333096.000000000000000,314150652.598168253898621,0.101730432067633
46,54,333099.000000000000000,314153481.968553364276886,0.186322985058496
47,55,333109.000000000000000,314162913.203170359134674,0.089448198637683
48,56,333090.000000000000000,314144993.857398092746735,0.174073073343541
49,57,333104.000000000000000,314158197.585861861705780,0.130169556654979
50,58,333096.000000000000000,314150652.598168253898621,0.252587842543892
51,59,333108.000000000000000,314161970.079708635807037,0.016706293454375
52,60,333094.000000000000000,314148766.351244866847992,0.091877968381298
53,61,333099.000000000000000,314153481.968553364276886,0.088433168517468
54,62,333096.000000000000000,314150652.598168253898621,0.063648317602133
55,63,333117.000000000000000,314170458.190863966941833,0.025018236835706
56,64,333103.000000000000000,314157254.462400138378143,0.079978264981102
57,65,333101.000000000000000,314155368.215476751327515,0.067384967322224
58,66,333104.000000000000000,314158197.585861861705780,0.020894375330227
59,67,333102.000000000000000,314156311.338938474655151,0.029210271928719
60,68,333092.000000000000000,314146880.104321479797363,0.153801352178977
61,69,333093.000000000000000,314147823.227783143520355,0.185930055570066
62,70,333100.000000000000000,314154425.092015087604523,0.144836385469829
63,71,333084.000000000000000,314139335.116627871990204,0.205116427087463
64,72,333100.000000000000000,314154425.092015087604523,0.087265085559892
65,73,333096.000000000000000,314150652.598168253898621,0.095167759444725
66,74,333094.000000000000000,314148766.351244866847992,0.084921973977316
67,75,333119.000000000000000,314172344.437787353992462,0.082997367307179
68,76,333097.000000000000000,314151595.721629977226257,0.062819539053189
69,77,333103.000000000000000,314157254.462400138378143,0.054985995322768
70,78,333110.000000000000000,314163856.326632082462311,0.053114586773138
71,79,333114.000000000000000,314167628.820478856563568,0.044225100115876
72,80,333111.000000000000000,314164799.450093746185303,0.036972660764730
73,81,333107.000000000000000,314161026.956246972084045,0.035733262885499
74,82,333102.000000000000000,314156311.338938474655151,0.094868838974248
75,83,333096.000000000000000,314150652.598168253898621,0.066029012657012
76,84,333107.000000000000000,314161026.956246972084045,0.057753214432600
77,85,333114.000000000000000,314167628.820478856563568,0.064986761288928
78,86,333119.000000000000000,314172344.437787353992462,0.109411351499014
79,87,333107.000000000000000,314161026.956246972084045,0.183676716490498
80,88,333095.000000000000000,314149709.474706590175629,0.186127080862817
81,89,333106.000000000000000,314160083.832785248756409,0.325521005325633
82,90,333108.000000000000000,314161970.079708635807037,0.345080274265404
83,91,333095.000000000000000,314149709.474706590175629,0.108680706705294
84,92,333093.000000000000000,314147823.227783143520355,0.063366687381602
85,329,333104.000000000000000,314158197.585861861705780,0.384759714683704
86,330,333098.000000000000000,314152538.845091640949249,0.414343526529731
87,332,333095.000000000000000,314149709.474706590175629,0.131608099791351
88,333,333090.000000000000000,314144993.857398092746735,0.166372451889880
89,334,333094.000000000000000,314148766.351244866847992,0.194890931688953
90,335,333111.000000000000000,314164799.450093746185303,0.191818943235138
91,336,333116.000000000000000,314169515.067402243614197,0.222547100709663
92,337,333102.000000000000000,314156311.338938474655151,0.224994145937281
93,338,333103.000000000000000,314157254.462400138378143,0.276346955746421
94,339,333098.000000000000000,314152538.845091640949249,0.566400879020595
95,340,333105.000000000000000,314159140.709323585033417,0.442872367571787
96,341,333097.000000000000000,314151595.721629977226257,0.381984827242515
97,342,333105.000000000000000,314159140.709323585033417,0.392053556686330
98,343,333098.000000000000000,314152538.845091640949249,0.424559739175858
99,344,333108.000000000000000,314161970.079708635807037,0.660077212195449
100,345,333097.000000000000000,314151595.721629977226257,0.517266742120163
101,346,333108.000000000000000,314161970.079708635807037,0.420173036972994
102,347,333090.000000000000000,314144993.857398092746735,0.523708307064156
103,348,333102.000000000000000,314156311.338938474655151,0.386308097819887
104,349,333113.000000000000000,314166685.697017133235931,0.524896956888504
105,350,333100.000000000000000,314154425.092015087604523,0.414530171119783
106,351,333093.000000000000000,314147823.227783143520355,0.556565283569454
107,352,333103.000000000000000,314157254.462400138378143,0.491214429170557
108,353,333102.000000000000000,314156311.338938474655151,0.481681286813048
109,354,333103.000000000000000,314157254.462400138378143,0.453238187587622
110,355,333093.000000000000000,314147823.227783143520355,0.470805450729977
111,356,333113.000000000000000,314166685.697017133235931,0.492652643397281
112,357,333112.000000000000000,314165742.573555469512939,0.288059271356180
113,358,333098.000000000000000,314152538.845091640949249,0.576758191283045
114,359,333101.000000000000000,314155368.215476751327515,0.602282791105399
115,360,333107.000000000000000,314161026.956246972084045,0.409964365804381
116,361,333093.000000000000000,314147823.227783143520355,0.320457049532713
117,362,333092.000000000000000,314146880.104321479797363,0.332511738498673
118,363,333097.000000000000000,314151595.721629977226257,0.372128839347097
119,364,333110.000000000000000,314163856.326632082462311,0.334364023896010
