FID,Name,Lat,Lon,Zone,Surf_Spot,Wannasurf_,Wannasurf1,Quality,Frequency,Direction,Type,Experience,Surfline_n,Quality__0,Frequency_,Wannasur_1,Wannasur_2,Surfline_l,Surfline_1,Manually_a,Manually_1,SUM_10km,SUM_1km,sqtd_10km,sqtd_1km,SUM_10km_n,SUM_1km_n,seq_10km_n,seq_1km_n,NM_REGIAO,ID,hab_10km,CP_n_10km,hab_1km,CP_n_1km,added_n_10,fin_pri_10,added_n_1,fin_pri_1
0,Cardoso,-28.585450000000002,-48.798270000000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sul,0,0.054379282038500,0.077294599346700,0.000000000000000,0.000000000000000,0.077294599346700,0.048814938886600,0.000000000000000,0.000000000000000
1,Ravena,-28.454780000000000,-48.751339999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sul,1,0.188613552669000,0.268094914798000,0.000000000000000,0.000000000000000,0.268094914798000,0.169313729449000,0.000000000000000,0.000000000000000
2,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sul,2,0.140627450147000,0.199887567631000,0.202153923468000,0.255357461635000,0.199887567631000,0.126237789969000,0.255357461635000,0.138120427993000
3,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Sul,3,0.177135263249000,0.251779697887000,0.055635116755500,0.070277350786600,0.251779697887000,0.159009952430000,0.070277350786600,0.038012352201200
4,Ponta da Pinheira,-27.878140999999999,-48.576442000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,25301.605678600000829,0.000000000000000,16034.622383100000661,0.000000000000000,0.022715617707800,0.000000000000000,0.020576542377800,0.000000000000000,Sul,4,0.301821618934000,0.429008626726000,0.197938666772000,0.250032819741000,0.451724244434000,0.285283727091000,0.250032819741000,0.135240379716000
5,Mocambique,-27.518350000000002,-48.392183330000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,17994.184125899999344,0.000000000000000,11592.467378600000302,0.000000000000000,0.016155061965600,0.000000000000000,0.014876115606600,0.000000000000000,Sul,5,0.169540787809000,0.240984926158000,0.000000000000000,0.000000000000000,0.257139988124000,0.162395211459000,0.000000000000000,0.000000000000000
6,Ponta das Canas,-27.394818999999998,-48.435709000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,13332.543264399999316,0.000000000000000,8592.064001079999798,0.000000000000000,0.011969870992100,0.000000000000000,0.011025826789500,0.000000000000000,Sul,6,0.122431117731000,0.174023338261000,0.000000000000000,0.000000000000000,0.185993209253000,0.117462891583000,0.000000000000000,0.000000000000000
7,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,179450.892779999994673,0.000000000000000,120191.474784999998519,0.000000000000000,0.161109849292000,0.000000000000000,0.154236558572000,0.000000000000000,Sul,7,0.290008803065000,0.412217914610000,0.423797780148000,0.535334281565000,0.573327763902000,0.362081697730000,0.535334281565000,0.289557233283000
8,Caioba,-25.838000000000001,-48.534999999999997, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,452319.531183000013698,0.000000000000000,318997.414815999974962,0.000000000000000,0.406089545567000,0.000000000000000,0.409355684690000,0.000000000000000,Sul,8,0.146996382441000,0.208940354861000,0.089228813341600,0.112712347546000,0.615029900428000,0.388418430997000,0.112712347546000,0.060965039296200
9,Ilha Comprida,-24.783999999999999,-47.594999999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,170109.182089000009000,0.000000000000000,118399.025750999993761,0.000000000000000,0.152722921937000,0.000000000000000,0.151936385694000,0.000000000000000,Sudeste,9,0.075373459548700,0.107135679965000,0.000000000000000,0.000000000000000,0.259858601902000,0.164112135624000,0.000000000000000,0.000000000000000
10,Iguape,-24.753211000000000,-47.542059000000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,252001.905258000013418,0.000000000000000,174861.157406000012998,0.000000000000000,0.226245678405000,0.000000000000000,0.224391814764000,0.000000000000000,Sudeste,10,0.149895089274000,0.213060570776000,0.000000000000000,0.000000000000000,0.439306249181000,0.277441216948000,0.000000000000000,0.000000000000000
11,Peruibe,-24.324427000000000,-46.978886000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,65744.576347399997758,0.000000000000000,42687.554225899999437,0.000000000000000,0.059025054838000,0.000000000000000,0.054779105335300,0.000000000000000,Sudeste,11,0.371751910708000,0.528407399240000,0.000000000000000,0.000000000000000,0.587432454078000,0.370989429898000,0.000000000000000,0.000000000000000
12,Praia dos Pescadores,-24.194862000000001,-46.798881999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,142189.395483000000240,4630.607244490000085,97552.071763999992982,3117.302049639999950,0.127656718349000,0.280008833361000,0.125184384811000,0.281690135123000,Sudeste,12,0.321469463194000,0.456936032038000,0.443050860149000,0.559654450836000,0.584592750387000,0.369196032127000,0.839663284197000,0.454165903126000
13,Itanhaem,-24.151427000000002,-46.707858000000002, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,13066.650075899999138,0.000000000000000,9118.108652110000548,0.000000000000000,0.011731153809600,0.000000000000000,0.011700877301800,0.000000000000000,Sudeste,13,0.333368384850000,0.473849134742000,0.296024897962000,0.373933709658000,0.485580288552000,0.306665307933000,0.373933709658000,0.202257195417000
14,Praia Grande,-24.028497000000002,-46.438310000000001, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,561329.067032000049949,0.000000000000000,383895.745616999978665,0.000000000000000,0.503957600832000,0.000000000000000,0.492636925874000,0.000000000000000,Sudeste,14,0.214664791943000,0.305124092578000,0.000000000000000,0.000000000000000,0.809081693410000,0.510970672620000,0.000000000000000,0.000000000000000
15,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,38820.363588300002448,0.000000000000000,24607.203184099998907,0.000000000000000,0.034852671002500,0.000000000000000,0.031577367213300,0.000000000000000,Sudeste,15,0.302805626871000,0.430407293578000,0.190242081196000,0.240310621317000,0.465259964581000,0.293832129662000,0.240310621317000,0.129981734840000
16,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,45288.768522300000768,0.000000000000000,28464.864828099998704,0.000000000000000,0.040659963058400,0.000000000000000,0.036527738753100,0.000000000000000,Sudeste,16,0.299729856136000,0.426035399398000,0.227661717418000,0.287578481160000,0.466695362456000,0.294738646548000,0.287578481160000,0.155548471719000
17,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,33877.353202799997234,0.000000000000000,21645.766220099998463,0.000000000000000,0.030414868292700,0.000000000000000,0.027777082321400,0.000000000000000,Sudeste,17,0.256239286146000,0.364217992902000,0.414012496628000,0.522973674764000,0.394632861195000,0.249228007709000,0.522973674764000,0.282871498350000
18,Itaipu,-24.019545000000001,-46.386795999999997, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,431793.382886999985203,0.000000000000000,295987.827870999986771,0.000000000000000,0.387661302568000,0.000000000000000,0.379828469795000,0.000000000000000,Sudeste,18,0.259003115652000,0.368146494463000,0.165611204667000,0.209197309241000,0.755807797031000,0.477325864082000,0.209197309241000,0.113152839562000
19,Guaiuba,-24.017081999999998,-46.295202000000003, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,57739.856397600000491,0.000000000000000,36238.637136500001361,0.000000000000000,0.051838469111100,0.000000000000000,0.046503486950900,0.000000000000000,Sudeste,19,0.290407500859000,0.412784622832000,0.399017029628000,0.504031651165000,0.464623091943000,0.293429916581000,0.504031651165000,0.272625937520000
20,Santos,-24.015000000000001,-46.353999999999999, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,156231.152723000006517,0.000000000000000,107137.774323999998160,0.000000000000000,0.140263317055000,0.000000000000000,0.137485305296000,0.000000000000000,Sudeste,20,0.251200735590000,0.357056207533000,0.000000000000000,0.000000000000000,0.497319524588000,0.314079151778000,0.000000000000000,0.000000000000000
21,Morro do Maluf,-23.997560000000000,-46.251593999999997, , ,0.000000000000000,0.000000000000000,0.000000000000000,0, , , , ,0.000000000000000,0, , , , ,0.000000000000000,0.000000000000000,395813.841615999990609,0.000000000000000,247104.644663000013679,0.000000000000000,0.355359103443000,0.000000000000000,0.317098779827000,0.000000000000000,Sudeste,21,0.328282524694000,0.466620103605000,0.317894497133000,0.401559022269000,0.821979207048000,0.519116019712000,0.401559022269000,0.217199464880000
