OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Length_1,Shape_Area_1,F2010,SLR_employment_per_capita,F2010_1,F2010_12,F2010_12_13,F2010_12_13_14,F2010_12_13_14_15,F2010_12_13_14_15_16,F2010_12_13_14_15_16_17,F2010_12_13_14_15_16_17_18,F2010_12_13_14_15_16_17_18_19,F2010_12_13_14_15_16_17_18_19_20,F2010_12_13_14_15_16_17_18_19_20_21,F2010_12_13_14_15_16_17_18_19_20_21_22,Shape_Length,Shape_Area
1,2,1,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,1,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28841.000000000000000,0.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,62831.853071795863798,314159265.358979284763336
2,2,2,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,2,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28841.000000000000000,0.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,62831.853071795863798,314159265.358979284763336
3,2,3,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,10000.000000000000000,3,3523305,Itariri,SP,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15471.000000000000000,0.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,15471.000000000000000,62831.853071795863798,314159265.358979284763336
4,1,4,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,10000.000000000000000,4,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,0.000000000000000,0.000000000000000,87057.000000000000000,0.001114212527425,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,62831.853071795863798,314159265.358979284763336
5,2,5,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,10000.000000000000000,5,3522109,Itanhaém,SP,"Sports, recreation and leisure activities",24.000000000000000,97.000000000000000,0.000000000000000,0.000000000000000,87057.000000000000000,0.001114212527425,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,87057.000000000000000,62831.853071795863798,314159265.358979284763336
6,2,6,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,10000.000000000000000,6,3541000,Praia Grande,SP,"Sports, recreation and leisure activities",85.000000000000000,273.000000000000000,0.000000000000000,0.000000000000000,262051.000000000000000,0.001041781943210,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,262051.000000000000000,62831.853071795863798,314159265.358979284763336
7,2,7,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,10000.000000000000000,7,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
8,2,8,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,10000.000000000000000,8,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
9,4,9,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,10000.000000000000000,9,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
10,4,10,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,10000.000000000000000,10,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
11,4,11,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,10000.000000000000000,11,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
12,4,12,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,10000.000000000000000,12,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
13,2,13,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,10000.000000000000000,13,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
14,2,14,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,10000.000000000000000,14,3518701,Guarujá,SP,"Sports, recreation and leisure activities",104.000000000000000,581.000000000000000,0.000000000000000,0.000000000000000,290752.000000000000000,0.001998266563945,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,290752.000000000000000,62831.853071795863798,314159265.358979284763336
15,5,15,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,10000.000000000000000,15,3513504,Cubatão,SP,"Sports, recreation and leisure activities",29.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,118720.000000000000000,0.000758086253369,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,62831.853071795863798,314159265.358979284763336
16,5,16,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,10000.000000000000000,16,3513504,Cubatão,SP,"Sports, recreation and leisure activities",29.000000000000000,90.000000000000000,0.000000000000000,0.000000000000000,118720.000000000000000,0.000758086253369,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,118720.000000000000000,62831.853071795863798,314159265.358979284763336
17,3,17,25,Sudeste,NA,Pereque,-23.927582999999998,-46.178826000000001,NA,NA,NA,NA,NA,10000.000000000000000,17,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
18,3,18,26,Sudeste,NA,Praia Preta,-23.874700000000001,-46.138959000000000,NA,NA,NA,NA,NA,10000.000000000000000,18,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
19,3,19,27,Sudeste,NA,Praia da Bertioga,-23.846986000000001,-46.126967999999998,NA,NA,NA,NA,NA,10000.000000000000000,19,3506359,Bertioga,SP,"Sports, recreation and leisure activities",28.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,47645.000000000000000,0.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,47645.000000000000000,62831.853071795863798,314159265.358979284763336
