OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,AREA_KM2,F1970,F1980,F1991,F2000,F2010,pop_change,Shape_Length,Shape_Area
1,0,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,1,,,,,,,,,,0.000000000000000,6283.185307179585834,3141592.653589793015271
2,0,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,2,,,,,,,,,,0.000000000000000,6283.185307179585834,3141592.653589793015271
3,1,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,3,4207304,Imbituba,SC,181.576999999999998,20498.000000000000000,25155.000000000000000,30942.000000000000000,35700.000000000000000,40170.000000000000000,4470.000000000000000,6283.185307179585834,3141592.653589793015271
4,1,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,4,4207304,Imbituba,SC,181.576999999999998,20498.000000000000000,25155.000000000000000,30942.000000000000000,35700.000000000000000,40170.000000000000000,4470.000000000000000,6283.185307179585834,3141592.653589793015271
5,1,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,5,4211900,Palhoça,SC,394.850000000000023,20652.000000000000000,38023.000000000000000,68430.000000000000000,102742.000000000000000,137334.000000000000000,34592.000000000000000,6283.185307179585834,3141592.653589793015271
6,0,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,6,,,,,,,,,,0.000000000000000,6283.185307179585834,3141592.653589793015271
7,1,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,7,4205407,Florianópolis,SC,674.844000000000051,138337.000000000000000,187880.000000000000000,255390.000000000000000,342315.000000000000000,421240.000000000000000,78925.000000000000000,6283.185307179585834,3141592.653589793015271
8,1,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,8,4216206,São Francisco do Sul,SC,493.266000000000020,19057.000000000000000,20599.000000000000000,29593.000000000000000,32301.000000000000000,42520.000000000000000,10219.000000000000000,6283.185307179585834,3141592.653589793015271
9,1,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,9,4115705,Matinhos,PR,117.899000000000001,4317.000000000000000,5676.000000000000000,11325.000000000000000,24184.000000000000000,29428.000000000000000,5244.000000000000000,6283.185307179585834,3141592.653589793015271
10,1,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,10,3520426,Ilha Comprida,SP,196.567000000000007,0.000000000000000,0.000000000000000,0.000000000000000,6704.000000000000000,9025.000000000000000,2321.000000000000000,6283.185307179585834,3141592.653589793015271
11,1,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,11,3520426,Ilha Comprida,SP,196.567000000000007,0.000000000000000,0.000000000000000,0.000000000000000,6704.000000000000000,9025.000000000000000,2321.000000000000000,6283.185307179585834,3141592.653589793015271
12,0,12,11,Sudeste,NA,Peruibe,-24.324427000000000,-46.978886000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,12,,,,,,,,,,0.000000000000000,6283.185307179585834,3141592.653589793015271
13,1,13,12,Sudeste,NA,Praia dos Pescadores,-24.194862000000001,-46.798881999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,13,3522109,Itanhaém,SP,601.711000000000013,14515.000000000000000,27464.000000000000000,46074.000000000000000,71995.000000000000000,87057.000000000000000,15062.000000000000000,6283.185307179585834,3141592.653589793015271
14,2,14,13,Sudeste,NA,Itanhaem,-24.151427000000002,-46.707858000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,14,3522109,Itanhaém,SP,601.711000000000013,14515.000000000000000,27464.000000000000000,46074.000000000000000,71995.000000000000000,87057.000000000000000,13128.500000000000000,6283.185307179585834,3141592.653589793015271
15,0,15,14,Sudeste,NA,Praia Grande,-24.028497000000002,-46.438310000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,15,,,,,,,,,,0.000000000000000,6283.185307179585834,3141592.653589793015271
16,1,16,15,Sudeste,NA,Praia do Forte dos Andradas,-24.028369000000001,-46.288159000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,16,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
17,1,17,16,Sudeste,NA,Praia do Forte dos Andradas,-24.025659999999998,-46.285460000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,17,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
18,1,18,17,Sudeste,NA,Praia da Ponta Grossa,-24.024816000000001,-46.314497000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,18,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
19,1,19,18,Sudeste,NA,Itaipu,-24.019545000000001,-46.386795999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,19,3541000,Praia Grande,SP,149.651999999999987,19694.000000000000000,66004.000000000000000,123492.000000000000000,193582.000000000000000,262051.000000000000000,68469.000000000000000,6283.185307179585834,3141592.653589793015271
20,1,20,19,Sudeste,NA,Guaiuba,-24.017081999999998,-46.295202000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,20,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
21,0,21,20,Sudeste,NA,Santos,-24.015000000000001,-46.353999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,21,,,,,,,,,,0.000000000000000,6283.185307179585834,3141592.653589793015271
22,1,22,21,Sudeste,NA,Morro do Maluf,-23.997560000000000,-46.251593999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,22,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
23,1,23,22,Sudeste,NA,Praia da Enseada,-23.990651000000000,-46.209406000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,23,3518701,Guarujá,SP,144.794000000000011,94021.000000000000000,151120.000000000000000,210207.000000000000000,264812.000000000000000,290752.000000000000000,25940.000000000000000,6283.185307179585834,3141592.653589793015271
24,1,24,23,Sudeste,NA,Embare,-23.980865999999999,-46.317684000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,24,3548500,Santos,SP,281.033000000000015,345630.000000000000000,416677.000000000000000,428923.000000000000000,417983.000000000000000,419400.000000000000000,1417.000000000000000,6283.185307179585834,3141592.653589793015271
25,1,25,24,Sudeste,NA,Gonzaga,-23.974027000000000,-46.330098000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,1000.000000000000000,25,3548500,Santos,SP,281.033000000000015,345630.000000000000000,416677.000000000000000,428923.000000000000000,417983.000000000000000,419400.000000000000000,1417.000000000000000,6283.185307179585834,3141592.653589793015271
