OID_,id,COUNT,AREA,MEAN
1,0,83266.000000000000000,78530118.161848470568657,0.007482045492758
2,1,83260.000000000000000,78524459.421078279614449,0.058575546480903
3,2,83296.000000000000000,78558411.865699455142021,0.113594890510949
4,3,83297.000000000000000,78559354.989161148667336,0.103857281774854
5,4,83270.000000000000000,78533890.655695274472237,0.054569472799327
6,5,83294.000000000000000,78556525.618776053190231,0.088445746392297
7,6,83280.000000000000000,78543321.890312269330025,0.101308837656100
8,7,83274.000000000000000,78537663.149542063474655,0.160806494223887
9,8,83256.000000000000000,78520686.927231475710869,0.192670798501010
10,9,83281.000000000000000,78544265.013773962855339,0.142409433124003
11,10,83265.000000000000000,78529175.038386777043343,0.077859845072960
12,11,83272.000000000000000,78535776.902618676424026,0.104488903833222
13,12,83265.000000000000000,78529175.038386777043343,0.153557917492343
14,13,83268.000000000000000,78532004.408771872520447,0.137315655473891
15,14,83295.000000000000000,78557468.742237746715546,0.107761570322348
16,15,83271.000000000000000,78534833.779156967997551,0.150688715158939
17,16,83280.000000000000000,78543321.890312269330025,0.154731027857829
18,17,83269.000000000000000,78532947.532233566045761,0.139451656678956
19,18,83264.000000000000000,78528231.914925068616867,0.112089258262875
20,19,83269.000000000000000,78532947.532233566045761,0.157357479974540
21,20,83267.000000000000000,78531061.285310178995132,0.100339870536947
22,21,83272.000000000000000,78535776.902618676424026,0.156967528100682
23,22,83270.000000000000000,78533890.655695274472237,0.169724990993155
24,23,83289.000000000000000,78551810.001467555761337,0.113700488659967
25,24,83290.000000000000000,78552753.124929249286652,0.093420578700925
26,25,83293.000000000000000,78555582.495314359664917,0.454576014791160
27,26,83270.000000000000000,78533890.655695274472237,0.359697370001201
28,27,83275.000000000000000,78538606.273003771901131,0.354428099669768
29,28,83277.000000000000000,78540492.519927158951759,0.562448214993336
30,29,83270.000000000000000,78533890.655695274472237,0.455037828749850
31,30,83266.000000000000000,78530118.161848470568657,0.400355487233685
32,31,83266.000000000000000,78530118.161848470568657,0.462037326159537
33,32,83270.000000000000000,78533890.655695274472237,0.425231175693527
34,33,83274.000000000000000,78537663.149542063474655,0.429569853735860
35,34,83265.000000000000000,78529175.038386777043343,0.414591965411637
36,35,83277.000000000000000,78540492.519927158951759,0.453462540677498
37,36,83290.000000000000000,78552753.124929249286652,0.422823868411574
38,37,83274.000000000000000,78537663.149542063474655,0.455856569877753
39,38,83276.000000000000000,78539549.396465465426445,0.423447331764255
40,39,83261.000000000000000,78525402.544539973139763,0.676931576608497
41,40,83264.000000000000000,78528231.914925068616867,0.503951287471176
42,41,83263.000000000000000,78527288.791463375091553,0.475817590045999
43,42,83263.000000000000000,78527288.791463375091553,0.516387831329640
44,43,83266.000000000000000,78530118.161848470568657,0.522890495520380
45,44,83273.000000000000000,78536720.026080369949341,0.596880141222244
46,45,83294.000000000000000,78556525.618776053190231,0.592671741061781
47,46,83273.000000000000000,78536720.026080369949341,0.269138856532130
48,47,83263.000000000000000,78527288.791463375091553,0.242676819235435
49,48,83264.000000000000000,78528231.914925068616867,0.394408147578786
50,49,83259.000000000000000,78523516.297616586089134,0.031215844533324
51,50,83273.000000000000000,78536720.026080369949341,0.030586144368523
52,51,83274.000000000000000,78537663.149542063474655,0.049379157960468
53,52,83277.000000000000000,78540492.519927158951759,0.344188671541962
54,53,83272.000000000000000,78535776.902618676424026,0.050497165914113
55,54,83276.000000000000000,78539549.396465465426445,0.149899130601855
56,55,83276.000000000000000,78539549.396465465426445,0.034403669724771
57,56,83276.000000000000000,78539549.396465465426445,0.178322686007974
58,57,83265.000000000000000,78529175.038386777043343,0.139842670990212
59,58,83267.000000000000000,78531061.285310178995132,0.271824372200271
60,59,83267.000000000000000,78531061.285310178995132,0.029315335006665
61,60,83267.000000000000000,78531061.285310178995132,0.046464986128959
62,61,83271.000000000000000,78534833.779156967997551,0.045309891799066
63,62,83275.000000000000000,78538606.273003771901131,0.035496847793456
64,63,83268.000000000000000,78532004.408771872520447,0.018350386703175
65,64,83262.000000000000000,78526345.668001681566238,0.151125363310994
66,65,83273.000000000000000,78536720.026080369949341,0.126499585700047
67,66,83283.000000000000000,78546151.260697364807129,0.034388770817574
68,67,83295.000000000000000,78557468.742237746715546,0.013914400624287
69,68,83280.000000000000000,78543321.890312269330025,0.127221421709895
70,69,83276.000000000000000,78539549.396465465426445,0.213170661415054
71,70,83264.000000000000000,78528231.914925068616867,0.164356744811683
72,71,83272.000000000000000,78535776.902618676424026,0.153268805841099
73,72,83270.000000000000000,78533890.655695274472237,0.082610784195989
74,73,83267.000000000000000,78531061.285310178995132,0.064239134350943
75,74,83277.000000000000000,78540492.519927158951759,0.062514259639516
76,75,83290.000000000000000,78552753.124929249286652,0.062108296314083
77,76,83269.000000000000000,78532947.532233566045761,0.064261609962891
78,77,83296.000000000000000,78558411.865699455142021,0.031538129081829
79,78,83295.000000000000000,78557468.742237746715546,0.031550513236089
80,79,83278.000000000000000,78541435.643388867378235,0.036996565719638
81,80,83295.000000000000000,78557468.742237746715546,0.029005342457531
82,81,83261.000000000000000,78525402.544539973139763,0.030050083472454
83,82,83264.000000000000000,78528231.914925068616867,0.044905361260569
84,83,83271.000000000000000,78534833.779156967997551,0.104538194569538
85,84,83258.000000000000000,78522573.174154877662659,0.088327848374931
86,85,83267.000000000000000,78531061.285310178995132,0.060396075275920
87,86,83298.000000000000000,78560298.112622842192650,0.051309755336263
88,87,83275.000000000000000,78538606.273003771901131,0.193239267487241
89,88,83276.000000000000000,78539549.396465465426445,0.200850184927230
90,89,83276.000000000000000,78539549.396465465426445,0.308468226139584
91,90,83264.000000000000000,78528231.914925068616867,0.314661798616449
92,91,83271.000000000000000,78534833.779156967997551,0.124232926228819
93,92,83280.000000000000000,78543321.890312269330025,0.101284822286264
