OID_,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Length_1,Shape_Area_1,F2010,SLR_employment_per_capita,F2010_1,F2010_12,F2010_12_13,F2010_12_13_14,F2010_12_13_14_15,F2010_12_13_14_15_16,F2010_12_13_14_15_16_17,F2010_12_13_14_15_16_17_18,F2010_12_13_14_15_16_17_18_19,F2010_12_13_14_15_16_17_18_19_20,F2010_12_13_14_15_16_17_18_19_20_21,F2010_12_13_14_15_16_17_18_19_20_21_22,F2010_12_13_14_15_16_17_18_19_20_21_22_23,F2010_12_13_14_15_16_17_18_19_20_21_22_23_24,F2010_12_13_14_15_16_17_18_19_20_21_22_23_24_25,Shape_Length,Shape_Area
1,1,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,1,4209409,Laguna,SC,"Sports, recreation and leisure activities",14.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,51562.000000000000000,0.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,31415.926535897931899,78539816.339744821190834
2,1,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,2,4209409,Laguna,SC,"Sports, recreation and leisure activities",14.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,51562.000000000000000,0.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,51562.000000000000000,31415.926535897931899,78539816.339744821190834
3,1,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,3,4207304,Imbituba,SC,"Sports, recreation and leisure activities",29.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,40170.000000000000000,0.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,31415.926535897931899,78539816.339744821190834
4,1,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,4,4207304,Imbituba,SC,"Sports, recreation and leisure activities",29.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,40170.000000000000000,0.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,40170.000000000000000,31415.926535897931899,78539816.339744821190834
5,3,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,5,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,0.000000000000000,0.000000000000000,421240.000000000000000,0.005595385053651,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,31415.926535897931899,78539816.339744821190834
6,1,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,6,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,0.000000000000000,0.000000000000000,421240.000000000000000,0.005595385053651,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,31415.926535897931899,78539816.339744821190834
7,1,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,7,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,0.000000000000000,0.000000000000000,421240.000000000000000,0.005595385053651,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,421240.000000000000000,31415.926535897931899,78539816.339744821190834
8,1,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,8,4216206,São Francisco do Sul,SC,"Sports, recreation and leisure activities",31.000000000000000,72.000000000000000,0.000000000000000,0.000000000000000,42520.000000000000000,0.001693320790216,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,42520.000000000000000,31415.926535897931899,78539816.339744821190834
9,2,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,9,4109609,Guaratuba,PR,"Sports, recreation and leisure activities",20.000000000000000,44.000000000000000,0.000000000000000,0.000000000000000,32095.000000000000000,0.001370930051410,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,32095.000000000000000,31415.926535897931899,78539816.339744821190834
10,2,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,1.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5000.000000000000000,10,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,28841.000000000000000,0.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,28841.000000000000000,31415.926535897931899,78539816.339744821190834
