OBJECTID,Join_Count,TARGET_FID,Name,Lat,Lon,Zone,Surf_Spot,Surfline_n,Quality__0,Frequency_,Direction,Type,Experience,Latitude,Longitude,BUFF_DIST,ORIG_FID,CD_MUN,NM_MUN,SIGLA,CNAE,Units,People,Shape_Leng,Shape_Area,F2010,SLR_employ,F2010_1,F2010_12,Shape_Le_1,Shape_Ar_1
1,2,1,Cardoso,-28.585450000000002,-48.798270000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,0,4208807,Jaguaruna,SC,"Sports, recreation and leisure activities",6.000000000000000,18.000000000000000,131659.269345947948750,422680551.955484628677368,17290.000000000000000,0.000520532099479,17290.000000000000000,17290.000000000000000,62831.853071795863798,314159265.358979284763336
2,2,2,Ravena,-28.454780000000000,-48.751339999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,1,4209409,Laguna,SC,"Sports, recreation and leisure activities",14.000000000000000,0.000000000000000,139945.681340133887716,430216876.739683747291565,51562.000000000000000,0.000000000000000,51562.000000000000000,51562.000000000000000,62831.853071795863798,314159265.358979284763336
3,2,3,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,2,4207205,Imaruí,SC,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,145571.381158472300740,696657379.177068114280701,11672.000000000000000,0.000000000000000,11672.000000000000000,11672.000000000000000,62831.853071795863798,314159265.358979284763336
4,2,4,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,3,4207205,Imaruí,SC,"Sports, recreation and leisure activities",1.000000000000000,0.000000000000000,145571.381158472300740,696657379.177068114280701,11672.000000000000000,0.000000000000000,11672.000000000000000,11672.000000000000000,62831.853071795863798,314159265.358979284763336
5,4,5,Ponta da Pinheira,-27.878140999999999,-48.576442000000000, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,4,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,221966.202489499555668,856671372.116887092590332,421240.000000000000000,0.002143623040751,421240.000000000000000,421240.000000000000000,62831.853071795863798,314159265.358979284763336
6,1,6,Mocambique,-27.518350000000002,-48.392183330000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,5,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,221966.202489499555668,856671372.116887092590332,421240.000000000000000,0.005595385053651,421240.000000000000000,421240.000000000000000,62831.853071795863798,314159265.358979284763336
7,1,7,Ponta das Canas,-27.394818999999998,-48.435709000000003, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,6,4205407,Florianópolis,SC,"Sports, recreation and leisure activities",487.000000000000000,2357.000000000000000,221966.202489499555668,856671372.116887092590332,421240.000000000000000,0.005595385053651,421240.000000000000000,421240.000000000000000,62831.853071795863798,314159265.358979284763336
8,2,8,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,7,4208450,Itapoá,SC,"Sports, recreation and leisure activities",10.000000000000000,0.000000000000000,100074.046140589096467,303432678.232376039028168,14763.000000000000000,0.000846660395108,14763.000000000000000,14763.000000000000000,62831.853071795863798,314159265.358979284763336
9,2,9,Ilha Comprida,-24.783999999999999,-47.594999999999999, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,8,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,296110.762280972092412,2386008746.393126487731934,28841.000000000000000,0.000000000000000,28841.000000000000000,28841.000000000000000,62831.853071795863798,314159265.358979284763336
10,2,10,Iguape,-24.753211000000000,-47.542059000000002, , , ,0.000000000000000,0, , , ,0.000000000000000,0.000000000000000,10000.000000000000000,9,3520301,Iguape,SP,"Sports, recreation and leisure activities",8.000000000000000,0.000000000000000,296110.762280972092412,2386008746.393126487731934,28841.000000000000000,0.000000000000000,28841.000000000000000,28841.000000000000000,62831.853071795863798,314159265.358979284763336
