OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,OBJECTID_1,FID_1,cod_icao,nm_municip,TipoAero,nome,largura_m,num_pista,uf,altitude,extensao,cod_uso,pavimento,GEOCODIGO,Shape_Leng,Shape_Area
1,0,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,10000.000000000000000,1,1,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
2,1,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,10000.000000000000000,2,2,2344,SSLA,Laguna,Nacional,Laguna,23.000000000000000,1,SC,6.000000000000000,1500.000000000000000,Public,saibro,4209409.000000000000000,62831.853071795863798,314159265.358979284763336
3,0,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,10000.000000000000000,3,3,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
4,0,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,10000.000000000000000,4,4,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
5,0,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,10000.000000000000000,5,5,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
6,0,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,10000.000000000000000,6,6,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
7,0,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,10000.000000000000000,7,7,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
8,1,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,10000.000000000000000,8,8,389,SSSS,São Francisco do Sul,Nacional,São Francisco do Sul,35.000000000000000,1,SC,15.000000000000000,700.000000000000000,Public,grama,4216206.000000000000000,62831.853071795863798,314159265.358979284763336
9,0,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,10000.000000000000000,9,9,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
10,0,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,10,10,,,,,,,,,,,,,,62831.853071795863798,314159265.358979284763336
