OBJECTID,Join_Count,TARGET_FID,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,BUFF_DIST,ORIG_FID,osm_id,code,fclass,name_1,type_1,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1
1,1,1,0,Sul,NA,Cardoso,-28.585450000000002,-48.798270000000002,NA,NA,NA,NA,NA,10000.000000000000000,1,658254654,1500,building,Hotel dos Paraguaios,hotel,217.036859172760018,1741.836774828888565,62831.853071795863798,314159265.358979284763336
2,6,2,1,Sul,NA,Ravena,-28.454780000000000,-48.751339999999999,NA,NA,NA,NA,NA,10000.000000000000000,2,458135138,1500,building,Marina Sul Hotel,hotel,350.940513482573692,2773.218726190251346,62831.853071795863798,314159265.358979284763336
3,0,3,2,Sul,NA,Praia da Vila Imbituba,-28.252472220000001,-48.661850000000001,NA,NA,NA,NA,NA,10000.000000000000000,3,,,,,,,,62831.853071795863798,314159265.358979284763336
4,0,4,3,Sul,NA,Praia do Porto Imbituba,-28.220199000000001,-48.663214000000004,NA,NA,NA,NA,NA,10000.000000000000000,4,,,,,,,,62831.853071795863798,314159265.358979284763336
5,0,5,4,Sul,NA,Ponta da Pinheira,-27.878140999999999,-48.576442000000000,NA,NA,NA,NA,NA,10000.000000000000000,5,,,,,,,,62831.853071795863798,314159265.358979284763336
6,19,6,5,Sul,NA,Mocambique,-27.518350000000002,-48.392183330000002,NA,NA,NA,NA,NA,10000.000000000000000,6,644668974,1500,building, ,hotel,145.951773841821336,994.978556127830188,62831.853071795863798,314159265.358979284763336
7,2,7,6,Sul,NA,Ponta das Canas,-27.394818999999998,-48.435709000000003,NA,NA,NA,NA,NA,10000.000000000000000,7,558663275,1500,building, ,hotel,145.710719028504712,1095.762933593211301,62831.853071795863798,314159265.358979284763336
8,4,8,7,Sul,NA,Itagua&ccedil;u,-26.184728000000000,-48.526327999999999,NA,NA,NA,NA,NA,10000.000000000000000,8,905455651,1500,building, ,hotel,76.159188986971998,279.376220132250182,62831.853071795863798,314159265.358979284763336
9,3,9,8,Sul,NA,Caioba,-25.838000000000001,-48.534999999999997,NA,NA,NA,NA,NA,10000.000000000000000,9,459244826,1500,building,Sesc Caiobá,hotel,338.031059830192078,3545.297683258414509,62831.853071795863798,314159265.358979284763336
10,0,10,9,Sudeste,NA,Ilha Comprida,-24.783999999999999,-47.594999999999999,NA,NA,NA,NA,NA,10000.000000000000000,10,,,,,,,,62831.853071795863798,314159265.358979284763336
11,0,11,10,Sudeste,NA,Iguape,-24.753211000000000,-47.542059000000002,NA,NA,NA,NA,NA,10000.000000000000000,11,,,,,,,,62831.853071795863798,314159265.358979284763336
