OBJECTID,Join_Count,id,numerical_direction,numerical_frequency,numerical_experience,numerical_quality
1,1,1,1,3,1,3
2,1,2,1,2,1,3
3,1,3,1,2,0,5
4,1,5,1,1,1,3
5,1,6,1,3,0,3.5
6,2,7,1,3,1,3
7,2,8,1,3,1,3
8,1,11,1,5,1,3.5
9,3,12,1,3,1,3
10,3,13,1,3,1,3
11,3,14,1,3,1,3
12,2,15,1,3,1,3
13,2,16,1,4,0,3
14,4,17,1,3,1,3
15,5,20,0,2,0,5
16,5,21,1,3,0,3.5
17,5,22,1,3,0,3.5
18,4,24,1,2,0,3.5
19,1,25,1,2,0,3
20,2,26,1,2,0,3.5
21,2,27,1,3,1,3.5
22,1,28,1,4,0,3.5
23,1,29,1,3,1,3.5
24,4,30,0,2,1,3
25,4,31,1,3,0,3
26,5,33,0,1,0,5
27,5,34,0,1,1,3
28,4,35,1,4,1,3
29,3,37,1,2,1,3.5
30,2,39,0,3,0,3.5
31,1,41,1,3,1,3.5
32,2,42,1,4,0,4
33,4,44,1,2,1,3
34,6,45,1,4,0,4
35,6,46,1,4,1,3.5
36,5,48,0,2,0,3.5
37,5,49,1,2,0,2
38,6,50,1,3,1,3.5
39,3,53,1,2,1,3
40,2,54,1,3,1,3.5
41,3,58,0,3,0,5
42,6,59,0,3,0,3.5
43,6,60,1,3,1,3
44,5,61,1,4,1,3.5
45,6,62,1,4,0,3.5
46,6,64,0,3,0,3.5
47,3,67,1,3,0,5
48,1,71,1,3,0,3
49,1,73,1,4,1,3.5
50,5,75,0,1,1,3.5
51,3,76,0,1,1,3.5
52,3,79,0,1,0,4
53,3,80,0,1,0,4
54,4,81,0,1,0,3.5
55,2,82,1,2,0,3.5
56,3,83,1,3,1,3.5
57,3,85,1,2,0,2
58,3,86,1,2,1,3
59,5,87,1,3,1,3
60,6,88,1,3,1,3
61,6,89,0,2,0,4
62,6,90,0,2,0,4
63,7,91,1,4,0,3
64,6,92,0,2,0,3.5
65,7,94,1,1,0,4
66,5,95,1,2,0,3
67,5,96,1,3,0,3
68,6,97,0,1,0,3.5
69,8,99,1,4,1,3.5
70,5,101,1,2,0,3
71,6,102,1,3,1,3
72,6,103,1,3,1,3
73,8,104,0,2,1,3.5
74,8,105,0,2,1,3.5
75,8,106,0,1,1,3
76,8,107,1,2,0,4
77,11,108,1,2,0,3
78,11,109,0,1,0,3.5
79,9,110,0,1,1,3
80,9,111,1,3,1,2
81,8,112,1,2,0,3
82,8,113,1,3,0,2
83,8,114,1,3,1,3.5
84,4,115,0,3,1,3
85,2,116,1,4,1,3
86,2,117,1,3,0,3
87,4,119,1,4,1,3.5
88,4,120,0,1,0,3
89,4,121,0,2,1,3.5
90,4,123,0,1,1,3.5
91,2,124,0,3,1,3.5
92,3,125,1,3,1,3
93,2,126,0,2,0,3
94,1,127,1,3,1,3.5
95,1,130,1,3,1,3
96,1,132,0,4,0,3.5
97,1,133,1,4,1,3
98,1,145,1,4,1,3.5
99,1,149,1,2,0,3.5
100,1,157,1,3,0,3
101,1,159,1,2,0,3.5
102,2,160,0,3,0,3.5
103,3,162,1,2,0,3.5
104,2,163,0,3,0,3.5
105,1,168,0,2,0,3.5
106,1,172,1,3,0,3
107,2,173,1,3,0,3.5
108,2,174,0,3,1,3.5
109,1,175,1,3,1,3.5
110,1,179,0,2,0,3.5
111,2,182,1,4,1,3.5
112,2,183,0,2,1,3
113,1,186,1,2,1,3.5
114,3,194,1,1,0,4
115,5,200,0,2,0,3.5
116,5,201,0,2,1,3
117,2,204,0,2,0,5
118,3,207,1,3,0,2
119,1,213,0,2,1,4
120,5,220,0,1,0,3.5
121,6,221,1,1,1,3.5
122,3,222,1,2,1,3.5
123,1,225,0,1,1,3.5
124,1,227,0,1,0,3
125,1,228,1,2,0,2
126,1,229,1,4,0,3.5
127,1,231,1,4,1,3.5
128,1,232,1,3,1,3
129,5,234,1,2,0,3.5
130,5,235,1,2,1,3
131,5,236,0,2,0,3.5
132,5,238,0,3,0,3.5
133,5,239,0,1,1,3
134,1,242,1,3,1,3
135,1,252,1,4,1,3
136,2,255,1,3,1,3
137,2,256,1,4,0,3.5
138,1,257,1,4,1,3
139,1,258,0,3,0,3.5
140,2,262,1,4,1,3
141,2,263,1,3,1,3.5
142,2,265,1,4,0,3.5
143,2,266,1,2,0,3.5
144,1,267,0,3,0,3.5
145,1,268,1,3,1,3
146,2,271,1,4,1,3.5
147,2,272,1,3,1,3
148,1,274,1,4,1,3.5
149,1,276,1,4,1,3
150,1,278,1,4,0,3.5
151,1,279,1,1,1,3
152,1,290,1,1,1,3
153,1,291,0,1,1,3.5
154,1,296,0,2,1,3
155,1,304,1,2,0,3
156,1,307,1,3,0,3
157,1,308,1,1,1,3.5
158,1,309,1,2,1,3.5
159,1,311,1,3,1,3
