OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state
196,195,Sul,Rio Grande Do Sul,Hermenegildo,-33.668354,-53.262405,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
197,196,Sul,Rio Grande Do Sul,Navio,-32.290561,-52.258675,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Rio Grande do Sul
198,197,Sul,Rio Grande Do Sul,Tres Marias,-32.192611,-52.085066,5,2,Right and left,Sand-bar,Pros or kamikaze only...,2,2,0,5,Rio Grande do Sul
199,198,Sul,Rio Grande Do Sul,Praia do Cassino,-32.178337,-52.142143,3,2,Right and left,Sand-bar,All surfers,2,2,1,3,Rio Grande do Sul
200,199,Sul,Rio Grande Do Sul,Sao Jose do Norte,-32.008076,-52.01889,3,NA,Right and left,Beach-break,All surfers,2,1,1,3,Rio Grande do Sul
201,200,Sul,Rio Grande Do Sul,Quintão,-30.410782,-50.292664,3.5,3,Right and left,Sand-bar,Experienced surfers,2,3,0,3.5,Rio Grande do Sul
513,512,Sul,Rio Grande Do Sul,Salinas,-30.154806,-50.192222,2,2,Right and left,Beach-break,All surfers,2,2,1,2,Rio Grande do Sul
202,201,Sul,Rio Grande Do Sul,Nova Tramandaí,-30.045257,-50.150034,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
203,202,Sul,Rio Grande Do Sul,Oasis Sul,-30.039823,-50.147266,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
204,203,Sul,Rio Grande Do Sul,Tramandai - Malvina,-30.00549,-50.129156,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul
205,204,Sul,Rio Grande Do Sul,Tramandai,-29.993077,-50.125508,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
514,513,Sul,Rio Grande Do Sul,Imbé,-29.961877,-50.111065,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
515,514,Sul,Rio Grande Do Sul,Mariluz,-29.931069,-50.09665,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Rio Grande do Sul
206,205,Sul,Rio Grande Do Sul,Rainha do Mar,-29.859478,-50.064569,3.5,5,Right and left,Beach-break,All surfers,2,5,1,3.5,Rio Grande do Sul
207,206,Sul,Rio Grande Do Sul,Xangri-lá,-29.785982,-50.024636,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
208,207,Sul,Rio Grande Do Sul,Atlântida - Pier,-29.784716,-50.022554,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Rio Grande do Sul
209,208,Sul,Rio Grande Do Sul,Capao da Canoa,-29.758677,-50.010967,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Rio Grande do Sul
210,209,Sul,Rio Grande Do Sul,Capao Novo,-29.686972,-49.972559,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
516,515,Sul,Rio Grande Do Sul,Arroio Teixeira,-29.645605,-49.945509,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
211,210,Sul,Rio Grande Do Sul,Curumim,-29.625605,-49.935745,3,4,Right and left,Beach-break,Experienced surfers,2,4,0,3,Rio Grande do Sul
212,211,Sul,Rio Grande Do Sul,Itapeva,-29.372975,-49.78411,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul
213,212,Sul,Rio Grande Do Sul,Guarita,-29.357805,-49.733997,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Rio Grande do Sul
214,213,Sul,Rio Grande Do Sul,Cal,-29.349421,-49.72985,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul
215,214,Sul,Rio Grande Do Sul,Ilha dos Lobos,-29.346877,-49.704412,5,2,Left,Reef-rocky,Pros or kamikaze only...,1,2,0,5,Rio Grande do Sul
216,215,Sul,Rio Grande Do Sul,Prainha,-29.342435,-49.724497,3.5,3,Right and left,Beach-break,Experienced surfers,2,3,0,3.5,Rio Grande do Sul
217,216,Sul,Rio Grande Do Sul,Saraiva,-29.340396,-49.723241,3.5,3,Right and left,Beach-break,Experienced surfers,2,3,0,3.5,Rio Grande do Sul
218,217,Sul,Rio Grande Do Sul,Molhes,-29.327311,-49.712008,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul
219,218,Sul,Rio Grande Do Sul,Passo de Torres,-29.324159,-49.712416,3.5,2,Right and left,Rivermouth,Experienced surfers,2,2,0,3.5,Santa Catarina
220,219,Sul,Santa Catarina South,Gaivota,-29.164828,-49.582157,3,2,Right and left,Beach-break,Experienced surfers,2,2,0,3,Santa Catarina
221,220,Sul,Santa Catarina South,Arroio do Silva,-28.943866,-49.385605,3.5,2,Right and left,Beach-break,Experienced surfers,2,2,0,3.5,Santa Catarina
222,221,Sul,Santa Catarina South,Morro dos Conventos,-28.937256,-49.329643,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina
223,222,Sul,Santa Catarina South,Rincão,-28.833847,-49.216003,3.5,4,Right and left,Beach-break,Experienced surfers,2,4,0,3.5,Santa Catarina
224,223,Sul,Santa Catarina South,Jaguaruna,-28.635157,-48.948212,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Santa Catarina
225,224,Sul,Santa Catarina South,Camacho,-28.615946,-48.859506,3,2,NA,Beach-break,All surfers,1,2,1,3,Santa Catarina
226,225,Sul,Santa Catarina South,Cigana,-28.613535,-48.845387,3,3,Right and left,Beach-break,Experienced surfers,2,3,0,3,Santa Catarina
