OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state,sci_10km,sci_5km,sci_1km,sci_wo_climate,nm_regiao,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
196,195,Sul,Rio Grande Do Sul,Hermenegildo,-33.668354,-53.262405,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.2279260782,0.3073365038,0.2262599809,0.2727716575,Sul,0,0.0327169514542,0,0.046503807,0.046503807,0.0293691917
197,196,Sul,Rio Grande Do Sul,Navio,-32.290561,-52.258675,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Rio Grande do Sul,0.2488905733,0.3367660574,0.3470388644,0.3020177063,Sul,0,0.0249251612458,0,0.0354285726,0.0354285726,0.0223746959
198,197,Sul,Rio Grande Do Sul,Tres Marias,-32.192611,-52.085066,5,2,Right and left,Sand-bar,Pros or kamikaze only...,2,2,0,5,Rio Grande do Sul,0.255091628,0.3576681181,0.41195123300000003,0.3073484063,Sul,0,0.031247251032,0,0.0444147779,0.0444147779,0.0280498783
199,198,Sul,Rio Grande Do Sul,Praia do Cassino,-32.178337,-52.142143,3,2,Right and left,Sand-bar,All surfers,2,2,1,3,Rio Grande do Sul,0.2224663401,0.2738684375,0.2584585072,0.2613987771,Sul,0,0.0445070762235,0,0.0632622659,0.0632622659,0.0399528928
200,199,Sul,Rio Grande Do Sul,Sao Jose do Norte,-32.008076,-52.01889,3,NA,Right and left,Beach-break,All surfers,2,1,1,3,Rio Grande do Sul,0.2042307343,0.2379503479,0.2205724562,0.2180309297,Sul,0,0.0978719719808,0,0.1391150182,0.1391150182,0.0878572294
201,200,Sul,Rio Grande Do Sul,Quintão,-30.410782,-50.292664,3.5,3,Right and left,Sand-bar,Experienced surfers,2,3,0,3.5,Rio Grande do Sul,0.1777646541,0.2513340949,0.2536722907,0.2225605675,Sul,0,0,0,0,0,0
513,512,Sul,Rio Grande Do Sul,Salinas,-30.154806,-50.192222,2,2,Right and left,Beach-break,All surfers,2,2,1,2,Rio Grande do Sul,0.1907026276,0.2448192759,0.2259125403,0.2387588536,Sul,0,0,0,0,0,0
202,201,Sul,Rio Grande Do Sul,Nova Tramandaí,-30.045257,-50.150034,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.262602419,0.2811657579,0.2395449631,0.3287770772,Sul,0,0,0,0,0,0
203,202,Sul,Rio Grande Do Sul,Oasis Sul,-30.039823,-50.147266,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.259467499,0.2894593445,0.2445678032,0.3248521711,Sul,0,0,0,0,0,0
204,203,Sul,Rio Grande Do Sul,Tramandai - Malvina,-30.005490000000002,-50.129156,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul,0.2727615804,0.2839092771,0.310478475,0.3414963027,Sul,0,0,0,0,0,0
205,204,Sul,Rio Grande Do Sul,Tramandai,-29.993077,-50.125508,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.2575900619,0.2648185692,0.2492837507,0.3225016281,Sul,0,0,0,0,0,0
514,513,Sul,Rio Grande Do Sul,Imbé,-29.961877,-50.111065,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.2445552193,0.2808143546,0.2374909051,0.3061820623,Sul,0,0,0,0,0,0
515,514,Sul,Rio Grande Do Sul,Mariluz,-29.931069,-50.09665,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Rio Grande do Sul,0.2610549229,0.2753261443,0.2438845215,0.3268396189,Sul,0,0,0,0,0,0
206,205,Sul,Rio Grande Do Sul,Rainha do Mar,-29.859478,-50.064569,3.5,5,Right and left,Beach-break,All surfers,2,5,1,3.5,Rio Grande do Sul,0.2617364195,0.2870757482,0.276751478,0.3276928497,Sul,0,0,0,0,0,0
207,206,Sul,Rio Grande Do Sul,Xangri-lá,-29.785982,-50.024636,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.4366097491,0.5783649243,0.324474925,0.5466334916,Sul,0,0,0,0,0,0
208,207,Sul,Rio Grande Do Sul,Atlântida - Pier,-29.784716,-50.022554,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Rio Grande do Sul,0.4364857555,0.5782986146,0.3423086214,0.5464782522,Sul,0,0,0,0,0,0
209,208,Sul,Rio Grande Do Sul,Capao da Canoa,-29.758677,-50.010967,3,3,Right and left,Sand-bar,All surfers,2,3,1,3,Rio Grande do Sul,0.4481565682,0.5773124308,0.393801772,0.5553323462,Sul,0,0.0149613126422,0,0.0212659788,0.0212659788,0.0134303974
210,209,Sul,Rio Grande Do Sul,Capao Novo,-29.686972,-49.972559,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.3054544386,0.393177215,0.4214453773,0.3654240325,Sul,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
516,515,Sul,Rio Grande Do Sul,Arroio Teixeira,-29.645605,-49.945509,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.3213660897,0.4032342054,0.3630448161,0.3853453499,Sul,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
211,210,Sul,Rio Grande Do Sul,Curumim,-29.625605,-49.935745,3,4,Right and left,Beach-break,Experienced surfers,2,4,0,3,Rio Grande do Sul,0.2472614028,0.2551647917,0.2652408651,0.2925666068,Sul,0,0.0441835134975,0,0.0628023545,0.0628023545,0.0396624386
