id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
93,0.8697478992,0.3623235866,0.009759352,0.8095423292,0,0.2075424934,2.2589156604,0.545773626
94,0.8697478992,0.3623235866,0,0.7559611537,0,0.0048294676,1.9928621071,0.4602123521
95,0.8697478992,0.3623235866,0,0.8353574384,0.020993149,0,2.0884220732,0.4909438809
96,0.8697478992,0.3623235866,0,0.80798108,0.1614897066,0.005433151,2.2069754234,0.5290699481
97,0.8697478992,0.3623235866,0,0.6736251882,0.3527623272,0.0126659451,2.2711249463,0.5497000612
98,0.8613445378,0.4313873578,0,0,0,0.1891232494,1.481855145,0.295875488
99,0.8403361345,0,0,0,0,0.2148468083,1.0551829428,0.1586601917
100,0.8025210084,0.5325142065,0,0,0.5057215613,0.72727154,2.5680283162,0.6451824565
101,0.8025210084,0.5325142065,0,0,0.7403789449,0.1056128973,2.1810270571,0.5207251046
102,0.7394957983,0.4606881885,0.046016088,0,0.654753875,0,1.9009539498,0.4306552238
103,0.7394957983,0.4606881885,0.046016088,0,0.5975512155,0,1.8437512903,0.4122591815
104,0.7394957983,0.4606881885,0.1062099068,0,0.5996030869,0,1.9059969805,0.4322770331
105,0.7338935574,0.4606881885,0.2377194076,0,0.5628502175,0,1.995151371,0.460948566
106,0.7226890756,0.2970903208,0.0244942122,0,0.5921747209,0,1.6364483295,0.3455917562
107,0.7226890756,0.5272823187,0.0458170296,0,0.9566063465,0.0048251219,2.2572198923,0.5452282768
108,0.7226890756,0.5272823187,0.0365715658,0,0.9599074761,0.0120700454,2.2585204816,0.5456465388
109,0.7226890756,0.5272823187,0.0287150868,0,0.9599541533,0.0054282622,2.2440688966,0.5409989932
110,0.7142857143,0.5272823187,0.0967376771,0,0.7781884854,0,2.1164941955,0.499971712
111,0.7142857143,0.5272823187,0.0444028403,0,0.5013291512,0,1.7873000245,0.3941047831
112,0.718487395,0.5272823187,0.1934697735,0,0.9516766714,0,2.3909161586,0.5882242177
113,0.7142857143,0.5272823187,0.0299543122,0,0.3528464918,0,1.624368837,0.3417070617
114,0.7142857143,0.5272823187,0.0330615739,0,0.1593665315,0,1.4339961384,0.2804843101
115,0.7142857143,0.5272823187,0.0297530849,0,0.0749453107,0,1.3462664286,0.2522709462
116,0.7142857143,0.5272823187,0.0250425697,0,0.0331280641,0,1.2997386668,0.2373078888
117,0.7226890756,0.5548226272,0.0158655784,0,0,0,1.2933772812,0.2352621043
118,0.7226890756,0.5548226272,0.0186635464,0,0.0952373495,0,1.3914125987,0.2667896917
119,0.7226890756,0.5548226272,0.0781615004,0,0.3099317309,0.0156769441,1.6812818782,0.3600099644
120,0,0.5569996264,0,0,0,0.0048280182,0.5618276446,0
121,0.7142857143,0.59885643,0.2677500422,0,0,0.0036253658,1.5845175523,0.3288911205
122,0.7100840336,0.59885643,0.241249075,0,0,0.0024154589,1.5526049975,0.3186282287
123,0.6974789916,0.651131277,0,0,0,0.0356601456,1.3842704142,0.2644928067
124,0.6890756303,0.6508721647,0,0,0.3878883932,0.0048309179,1.7326671061,0.3765351546
125,0.6890756303,0.4428413795,0,0,0.3653654247,0.0156957696,1.5129782041,0.3058844826
126,0.6911764706,0.4356394276,0,0,0.2572776924,0,1.3840935906,0.2644359413
127,0.6932773109,0.7498304509,0,0,0,0,1.4431077618000001,0.2834145552
128,0.6890756303,0.7221467182,0.1949216599,0,0.3029774306,0.0066365332,1.9157579722,0.4354161112
129,0.3235294118,0.6726953113,0,0,0.181654718,0.0060368345,1.1839162756,0.2000600821
130,0.3235294118,0.6970914758,0,0,0.5086635235,0,1.5292844111,0.3111284639
131,0.4467787115,0.7458838049,0,0,0.6212363385,0,1.8138988549,0.4026588121
132,0.6974789916,0.53546952,0.1376644144,0,0.3379531247,0.0530445209,1.7616105716,0.3858432046
133,0.6953781513,0.5552951921,0,0,0.6307699533,0,1.8814432967,0.4243807113
134,0.7366946779,0.4102762993,0,0.5567622514,0.4423345108,0,2.1460677394,0.5094823915
135,0.731092437,0.419006311,0,0,0.6893904411,0.0054298908,1.8449190799,0.4126347358
136,0.7394957983,0.422993113,0.4724373608,0.2704427111,0.725381184,0.2492464377,2.8799966049,0.745509642
137,0.743697479,0.422993113,0,0.7991894396,0.5682454974,0,2.534125529,0.6342795175
138,0.743697479,0.7316292997,0.0442307749,0,0.5616462768,0.0042194505,2.0854232809,0.4899794867
139,0.756302521,0.6738579128,0.0534318207,0,0.548595627,0.212369063,2.2445569445,0.5411559465
140,0.7647058824,0.664547252,0.0435282124,0,0.551190173,0.0211543236,2.0451258434,0.4770200654
141,0.7464985994,0.6331305793,0.0099477835,0,0,0.0447128449,1.4342898071,0.2805787523
142,0.7394957983,0.652668896,0.3935656376,0,0.7080124228,0,2.4937427547,0.6212926524
143,0.7394957983,0.6722072127,0.5109021511,0,0.5548143378,0,2.4774194999,0.6160431887
144,0.7394957983,0.6722072127,0.4356380462,0,0.4619742034,0,2.3093152606,0.561981844
145,0.7394957983,0.6722072127,0.8384743797,0,0.7807380377,0,3.0309154284,0.794044257
146,0,0.6635565713,0.3185003417,0,0.5975986156,0.0639520474,1.643607576,0.3478941281
147,0.7394957983,0.6748015941,0.4550982494,0.1968216514,0.063016951,0.0030184172,2.1322526614,0.5050395429
148,0.7394957983,0.532664438,1,0.498084819,0,0.3028672432,3.0731122985,0.8076145248
149,0.7394957983,0.532664438,0.0997972146,0.3126540684,0,0.0024161845,1.6870277038,0.3618577885
150,0.7268907563,0.7386885516,0.7997287313,0,0,0.1061526825,2.3714607217,0.5819674625
151,0.7058823529,0.8644828071,0.0733881085,0,0.0116578672,0.0120772947,1.6674884304,0.3555740719
152,0.7058823529,0.8642488602,0.038411793,0.4065177929,0.6811850992,0.0054396832,2.7016855814,0.6881658549
153,0.7100840336,0.7978497883,0,0.7653963048,0.2598762337,0.0024161845,2.5356225449,0.6347609491
154,0.7100840336,0.7978497883,0,0.8656917056,0.0017301051,0.0042207157,2.3795763483,0.5845774007
155,0.6932773109,0.7140910646,0.0287300464,0.4096634768,0,0.2314887417,2.0772506404,0.4873512131
156,0.6344537815,0.6503872526,0.8400940194,0.4759236526,0.2267481816,0,2.8276068877,0.7286614139
157,0.5882352941,1,0.0557326744,0,0.3737942671,0.2864038984,2.304166134,0.5603259148
158,0.5840336134,1,0.0401635893,0,0.3582538674,0.7445652174,2.7270162875,0.6963120625
159,0.5840336134,1,0.0255691815,0,0.3755813644,0.6984363997,2.683620559,0.6823562488
160,0.5840336134,1,0.1567402514,0,0.2999859738,0.1298699178,2.1706297564,0.5173813932
161,0.5840336134,1,0.1155761015,0,0.5541150633,0.0114493622,2.2651741404,0.5477863167
162,0.5840336134,1,0,0,0.3944186853,0,1.9784522987,0.4555782416
163,0.5798319328,0.94471625,0.136225022,0,0.7859385945,0.0561931699,2.5029049692,0.6242391672
164,0.5714285714,0.7694779018,0,0,0.5388699476,0.2593503039,2.1391267247,0.5072502016
165,0.5714285714,0.924160494,0,0,0.6662025682,0.0966473807,2.2584390143,0.5456203393
166,0.5714285714,0.924160494,0.0097280214,0,0.6771547736,0.0386009755,2.2210728359,0.5336035939
167,0.5714285714,0.4395569615,0,0,0.6793015914,0.102687842,1.7929749663,0.3959298113
168,0.5630252101,0.4692064495,0,0,0.4657390998,0.6084572272,2.1064279866,0.4967344778
169,0.5630252101,0.5867322867,0.2696616343,0,0.7278443295,0.0132730664,2.160536527,0.5141354694
170,0.5588235294,0.5867322867,0.3851289568,0,1,0,2.5306847729,0.6331729904
171,0.5588235294,0.5867322867,0,0,0.2816878485,0.0356708672,1.4629145318,0.2897842971
172,0.5462184874,0,0,0.7441030284,0.4565475033,0.1577982431,1.9046672622,0.4318494034
173,0.5462184874,0,0,0.8827355616,0.3517003493,0.1694824079,1.9501368062,0.4464721441
174,0.5462184874,0,0,1,0.265105145,0,1.8113236324,0.4018306355
175,0,0,0.2595147681,0,0.4362574728,0.1194217678,0.8151940087,0.0814811477
176,0.5378151261,0.8599307813,0,0,0.4451163036,0,1.842862211,0.4119732588
177,0.2394957983,0.7820391613,0,0,0,0.0054364152,1.0269713748,0.1495875157
178,0.5294117647,0.7882416337,0,0,0,0,1.3176533984,0.2430691622
179,0,0.8268340067,0,0,0,0,0.8268340067,0.0852245033
180,0.5504201681,0.8181097884,0,0,0,0.0084591869,1.3769891434,0.2621511924
181,0.5504201681,0.8181097884,0,0,0,0,1.3685299565,0.2594307671
182,0.5588235294,0.7625977763,0.027394803,0.2310125341,0,0,1.5798286428,0.3273831945
183,0.5588235294,0,0,0.2715837885,0.4054399139,0.0030175114,1.2388647432,0.2177311894
184,0.5588235294,0.8309998626,0,0,0,0,1.389823392,0.266278612
185,0.5546218487,0,0,0,0,0.1007546407,0.6553764894,0.0300847639
186,0.5546218487,0,0,0.3720306581,0,0.0181213839,0.9447738907,0.1231532834
187,0.5546218487,0,0,0.3102680186,0,0.0181050681,0.8829949354,0.103285531
188,0.5546218487,0.8997134919,0,0.0092567025,0,0.0955253732,1.5591174163,0.3207225847
189,0.6365546218,0.5002382558,0.0244160528,0,0,0.2472133498,1.4084222802,0.2722599062
190,0.6722689076,0,0.3274502368,0,0,0.0911562006,1.090875345,0.1701386605
191,0.6596638655,0.4821408437,0.0453591687,0,0,0.009057971,1.1962218489,0.2040174829
192,0.6596638655,0.4821408437,0,0,0,0.0072485536,1.1490532628,0.1888483402
193,0.6596638655,0.4478418549,0,0,0,0,1.1075057204,0.1754868924
194,0.6596638655,0.4478418549,0.230077727,0,0,0.4212732453,1.7588566927,0.3849575731
445,0.862745098,0.5961761245,0,0,0,0,1.4589212225,0.2885000721
446,0.8403361345,0.4838180125,0,0,0,0.6236470097,1.9478011567,0.4457210128
447,0.824929972,0.4838180125,0,0,0,0.8334803518,2.1422283363,0.5082476618
448,0.8193277311,0.4838180125,0,0,0,1,2.3031457436,0.5599977632
449,0.8025210084,0.5325142065,0,0,0.569677414,0.6598260086,2.5645386375,0.6440601962
450,0.8025210084,0.5325142065,0,0,0.5005627032,0.5236828031,2.3592807212,0.5780504452
451,0.8025210084,0.5325142065,0,0,0.3952180098,0.5137346142,2.2439878389,0.5409729255
452,0.8025210084,0.5325142065,0,0,0.8641574278,0.0024118376,2.2016044803,0.5273426841
453,0.799719888,0.5325142065,0.1317160679,0,0.4800234477,0.2923583267,2.2363319368,0.5385108319
454,0.7857142857,0.5877600455,0.1457915578,0,0.5174546309,0.1634510055,2.2001715254,0.5268818541
455,0.7857142857,0.5877600455,0,0,0.5301381375,0.0379978352,1.9416103039,0.4437300706
456,0.7731092437,0.5509345313,0,0,0.6247292452,0.0827791858,2.031552206,0.4726548627
457,0.6470588235,0.5780011887,0.2621640363,0,0.3709187569,0.2106222924,2.0687650978,0.484622312
458,0.7394957983,0.4606881885,0,0,0.4567671584,0.0271820758,1.684133221,0.3609269397
459,0.7394957983,0.4606881885,0,0,0.4662313964,0.0326380993,1.6990534825,0.3657252089
460,0.7394957983,0.4606881885,0,0,0.2183827665,0.0403982791,1.4589650324,0.2885141611
461,0.7226890756,0.5272823187,0.0656844492,0,0.7708990951,0,2.0865549386,0.4903434213
462,0.7226890756,0.5272823187,0.109697514,0,0.9600481001,0.0096589352,2.3293759436,0.5684332428
463,0.7226890756,0.5548226272,0,0,0,0.0084439634,1.2859556662,0.23287535610000001
464,0.7058823529,0.5673865662,0.0553841935,0,0,0.1142333477,1.4428864603,0.2833433859
465,0.7114845938,0.5872502578,0.2587147196,0,0,0,1.5574495712,0.3201862154
466,0.7100840336,0.4132519623,2.30732e-4,0,0,0,1.1235667279,0.1806520189
467,0.6932773109,0.7458838049,0,0,0.6165755326,0,2.0557366484,0.4804324385
468,0.7478991597,0.664547252,0,0,0.3013406764,0.0995479983,1.8133350864,0.4024775074
469,0.7394957983,0.6722072127,0.3500850965,0,0.9825116278,0,2.7442997353,0.7018703187
470,0.7521008403,0.6693236656,0,0,0.4908682349,0,1.9122927408,0.4343017129
471,0.7394957983,0.6635565713,0.2063950069,0.3708405708,0.6251364353,0.3691218278,2.9745462104,0.7759162447
472,0.7394957983,0.6748015941,0.4501336378,0.0050198605,0.0284666829,0,1.8979175736,0.4296787429
473,0.731092437,0.7224605786,0.2131381261,0.0282187657,0,0.544359048,2.2392689554,0.53945536
474,0.7058823529,0.8642488602,0.5503465528,0.8769876804,0.323734824,0.3501363998,3.6713366701,1
475,0.7079831933,0.8199828123,0.0480433577,1,0.2305767355,0,2.8065860988,0.7219012506
476,0.7100840336,0.7978497883,0.1175615141,0.8204208422,0,0.046511552,2.4924277302,0.6208697482
477,0.6974789916,0.7140910646,0.0244588316,0.2524013385,0,0.0429259588,1.7313561851,0.37611357
478,0.6554621849,0.6748832818,0,0,0.5332296503,0.528253682,2.391828799,0.5885177176
479,0.6302521008,0.6503872526,0,0.5862669108,0.236123013,0,2.1030292772,0.4956414726
480,0.6260504202,0.6520866901,0,0.2003969052,0.6183926841,0,2.0969266996,0.4936789192
481,0.5840336134,1,0,0,0.2415207209,0.1700855481,1.9956398824,0.4611056685
482,0.5714285714,0.4395569615,0.1148054944,0,0.6112135849,0.0368689641,1.7738735763,0.3897869155
483,0.5714285714,0.4395569615,0.1774997707,0,0.5954961064,0.0573499276,1.8413313376,0.4114809388
484,0.5714285714,0.4395569615,0,0,0.5823853454,0.5167530315,2.1101239098,0.4979230652
