nm_regiao,id,sum_10km,hab_10km,normalized_carbon,normalized_cp,climate_added,climate_index
Nordeste,93,330584.048393,0.403077940942,0.2967962176,0.5729341501,0.8697303677,0.5492728349
Nordeste,94,348174.332712,0.431777193382,0.3125886609,0.6137272081,0.926315869,0.5850090583
Nordeste,95,353404.291454,0.445992996996,0.317284084,0.6339335219,0.9512176059,0.6007355962
Nordeste,96,354995.82058,0.450465829314,0.3187129485,0.6402911965,0.959004145,0.6056531368
Nordeste,97,356905.203964,0.464089307776,0.32042718059999997,0.6596555805,0.9800827611,0.6189652064
Nordeste,98,45746.1833229,0.543310179317,0.0410706271,0.7722599632,0.8133305903,0.5136539043
Nordeste,99,14795.1863728,0.391096958005,0.0132830225,0.5559044058,0.5691874283,0.3594668002
Nordeste,100,58829.4741936,0.438954016451,0.0528167209,0.6239283295,0.6767450504,0.4273941512
Nordeste,101,66404.6843243,0.455672192622,0.0596176955,0.6476915105,0.707309206,0.4466967547
Nordeste,102,0,0.337022332905,0,0.4790428457,0.4790428457,0.3025365466
Nordeste,103,0,0.337022332905,0,0.4790428457,0.4790428457,0.3025365466
Nordeste,104,0,0.349023004677,0,0.4961005757,0.4961005757,0.3133092504
Nordeste,105,0,0.366694893533,0,0.5212193619,0.5212193619,0.3291728645
Nordeste,106,0,0.385599541229,0,0.548090389,0.548090389,0.3461430955
Nordeste,107,0,0.503517013104,0,0.7156980392,0.7156980392,0.4519946704
Nordeste,108,0,0.517820551595,0,0.7360290591,0.7360290591,0.4648346003
Nordeste,109,0,0.517502679386,0,0.7355772362,0.7355772362,0.4645492543
Nordeste,110,0,0.537150333302,0,0.7635043708,0.7635043708,0.4821864635
Nordeste,111,0,0.539130286515,0,0.7663186722,0.7663186722,0.4839638181
Nordeste,112,0,0.532688524668,0,0.7571623653,0.7571623653,0.4781812091
Nordeste,113,0,0.543499174792,0,0.772528601,0.772528601,0.4878856603
Nordeste,114,0,0.540303640597,0,0.7679864753,0.7679864753,0.4850171089
Nordeste,115,0,0.545941461721,0,0.7760000625,0.7760000625,0.4900780403
Nordeste,116,1846.10831642,0.540751702481,0.0016574241,0.7686233495,0.7702807736,0.4864660588
Nordeste,117,12629.3776245,0.546365757371,0.0113385734,0.7766031555,0.7879417289,0.4976197259
Nordeste,118,12629.3776245,0.55262715205,0.0113385734,0.7855030889,0.7968416623,0.5032404238
Nordeste,119,12629.3776245,0.578347484571,0.0113385734,0.8220619163,0.8334004897,0.5263289251
Nordeste,120,12629.3776245,0.599012642782,0.0113385734,0.8514353293,0.8627739027,0.5448795224
Nordeste,121,0,0.610042705226,0,0.8671134372,0.8671134372,0.5476201286
Nordeste,122,0,0.547695016337,0,0.7784925614,0.7784925614,0.4916521626
Nordeste,123,102201.721142,0.456136729166,0.0917560433,0.6483518018,0.7401078451,0.4674105324
Nordeste,124,141464.776043,0.392743473603,0.1270061597,0.5582447596,0.6852509193,0.4327659801
Nordeste,125,50499.6620674,0.253147079017,0.0453382695,0.3598227336,0.4051610031,0.2558769258
Nordeste,126,389981.326809,0.306821652247,0.3501227094,0.4361156608,0.7862383702,0.4965439802
Nordeste,127,939791.453836,0.356024598388,0.8437386805,0.5060526265,1.349791307,0.8524523521
Nordeste,128,652466.677851,0.417660168374,0.5857803576,0.593661298,1.1794416556,0.7448690833
Nordeste,129,500366.273371,0.261795039187,0.4492255995,0.3721149263,0.8213405258,0.5187125295
Nordeste,130,445744.049791,0.251914020663,0.400186121,0.358070067,0.758256188,0.4788720061
Nordeste,131,285659.267246,0.299764582699,0.25646304,0.4260847568,0.6825477968,0.4310588398
Nordeste,132,5732.78140068,0.3945280813,0.005146854,0.5607813973,0.5659282513,0.3574084871
Nordeste,133,0,0.0288399496343,0,0.0409930447,0.0409930447,0.0258889039
Nordeste,134,0,0.208150466325,0,0.2958646416,0.2958646416,0.1868514846
Nordeste,135,88319.209816,0.45465871887,0.0792924146,0.646250961,0.7255433756,0.4582124317
Nordeste,136,88319.209816,0.498642779832,0.0792924146,0.7087698141,0.7880622287,0.4976958268
Nordeste,137,98199.9067726,0.592786028304,0.0881632403,0.8425848324,0.9307480727,0.5878081891
Nordeste,138,54105.4857368,0.543619306615,0.0485755547,0.7726993561,0.8212749108,0.5186710907
Nordeste,139,164905.497103,0.52868383267,0.1480510873,0.7514701044,0.8995211917,0.5680870455
Nordeste,140,179605.691025,0.541642687254,0.1612488262,0.7698897934,0.9311386196,0.5880548366
Nordeste,141,243144.370415,0.561351076455,0.218293441,0.797903257,1.016196698,0.64177273990000006
Nordeste,142,219517.798712,0.534130551409,0.1970816579,0.7592120591,0.956293717,0.6039413828
Nordeste,143,218570.238462,0.527672691853,0.1962309445,0.7500328709,0.9462638154,0.5976070604
