id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
93,0.0057730812,0.5259226832,0,0,0.1706059612,0.7023017256,0.8394354379
94,0.0131729661,0.5955839629,0,0,0.2104854754,0.8192424044,0.8117501882
95,0.0156065215,0.6713296689,0,0.3333333333,0.2593359811,1.2796055048,0.7027610194
96,0.0156704384,0.6837521999,0,0.3333333333,0.269731652,1.3024876236,0.697343767
97,0.0156633351,0.7307288865,0,0.3333333333,0.2683480572,1.3480736121,0.686551462
98,3.65059e-5,0.3894916038,0,1,0.0948987948,1.4844269045,0.6542703517
99,5.89672e-5,0.3169525775,0,0,0.0672059095,0.3842174542,0.9147406487
100,9.89513e-5,0.3224614461,0.0199431758,0,0.1085026987,0.4510062719,0.8989286566
101,9.89513e-5,0.4187687363,0.0091349913,0,0.0703948853,0.4983975642,0.8877089529
102,0.5605871871,0.9283823573,0.7482680842,0,0.772738672,3.0099763006,0.2931024812
103,0.5449939396,0.9606378595,0.7482680842,0,0.7744383142,3.0283381975,0.2887553737
104,0.5137833348,0.9675723853,0.7482680842,0,0.7344527163,2.9640765206,0.3039690751
105,0.5141895953,0.9524240942,0.7482680842,0,0.7529997076,2.9678814813,0.3030682655
106,0.4961545642,0.8939140167,0.7482680842,0,0.7497432591,2.8880799242,0.321960973
107,0.2851459521,0.8305018776,0.7482680842,0,0.6038329028,2.4677488167,0.4214727236
108,0.2346646393,0.8169745231,0.7482680842,0,0.6606709677,2.4605782143,0.4231703357
109,0.1932674919,0.8110141512,0.7482680842,0,0.6392815017,2.391831229,0.4394459164
110,0.0717882617,0.8915920904,0.7482680842,0,0.4055581683,2.1172066046,0.5044622253
111,0.0883695261,0.892198445,0.7482680842,0,0.4090362783,2.1378723336,0.4995696946
112,0.1281627494,0.8431150568,0.7482680842,0,0.5973513835,2.3168972739,0.4571862381
113,0.0954035699,0.8873766244,0.7482680842,0,0.403048315,2.1340965935,0.5004635863
114,0.0985169644,0.8833331951,0.4544247916,0,0.4016905125,1.8379654636,0.5705714765
115,0.1050618383,0.8846406824,0.4544247916,0,0.4061827295,1.8503100418,0.5676489458
116,0.1011686924,0.8826064037,0.4544247916,0,0.3741195618,1.8123194495,0.5766430704
117,0.1478589647,0.8988037873,0.4544247916,0,0.4155271411,1.9166146847,0.5519515801
