id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
93,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0
98,0,0,0,0.3411786409,0,0,0.3411786409,0.1172784161
99,0,0,0,0.232743237,0,0,0.232743237,0.0800042996
100,0,0.2116727782,0,0.3890940041,0,0,0.6007667823,0.2065105146
101,0,0,0,0.1842986602,0,0,0.1842986602,0.0633517236
102,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0
107,0,0.0594736114,0,0,0,0,0.0594736114,0.0204437503
108,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0
110,0,0,0,0.171106932,0,0,0.171106932,0.0588171344
111,0,0,0,0.4153752624,0,0,0.4153752624,0.142783126
112,0,0,0,0.0068432277,0,0,0.0068432277,0.0023523246
113,0,0,0,0.5395384223,0,0,0.5395384223,0.1854635784
114,0,0,0,0.6988546214,0,0,0.6988546214,0.2402277085
115,0,0,0,0.7672742701,0,0,0.7672742701,0.2637466135
116,0,0,0,0.8020956441,0,0,0.8020956441,0.275716283
117,0,0,0,0.8650850868,0,0,0.8650850868,0.2973685824
118,0,0,0,0.7916987217,0,0,0.7916987217,0.272142394
119,0,0.2607512319,0,0.5908412825,0,0,0.8515925144,0.2927305795
120,0,0.2484186051,0,0.6250578998,0,0,0.8734765049,0.3002530896
121,0,0,0,0.8407914388,1,0,1.8407914388,0.63276266
122,0,0.0231802461,0,0.8574284797,0,0,0.8806087258,0.3027047541
123,0,0,0,0.9711582001,0,0,0.9711582001,0.3338306736
124,0,0.0214405869,0,1,0,0,1.0214405869,0.3511149874
125,0,0.186713688,0,0.8190034579,0,0,1.0057171459,0.3457101348
126,0,0,0,0.9810055448,0,0,0.9810055448,0.3372156481
127,0,0,0,0.9176267179,0,0,0.9176267179,0.3154294999
128,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0
134,0,0.0711513971,0,0.216835808,0,0,0.2879872051,0.0989941316
135,0,0,0,0,0,0,0,0
136,0,0.2501530362,0,0,0,0,0.2501530362,0.0859888292
137,0,0,0,0,0,0,0,0
