id,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex
93,0.0331270396,0,1,1.0331270396,0.4944559282
94,0.0331270396,0,1,1.0331270396,0.4944559282
95,0.0331270396,0,1,1.0331270396,0.4944559282
96,0.0331270396,0,1,1.0331270396,0.4944559282
97,0.0331270396,0,1,1.0331270396,0.4944559282
98,0.0331270396,0,0,0.0331270396,0.0158546437
99,0.0331270396,0,0,0.0331270396,0.0158546437
100,0,0,0,0,0
101,0,0,0,0,0
102,0.0628906546,0.2727272727,0,0.3356179273,0.1606271711
103,0.0628906546,0.2727272727,0,0.3356179273,0.1606271711
104,0.0628906546,0.2727272727,0,0.3356179273,0.1606271711
105,0.0628906546,0.2909090909,0,0.3537997455,0.1693290126
106,0.0628906546,0.2727272727,0,0.3356179273,0.1606271711
107,0.0628906546,0.1090909091,0,0.1719815637,0.0823105973
108,0.1088195643,0.0909090909,0,0.1997286552,0.0955903909
109,0.1088195643,0.0909090909,1,1.1997286552,0.5741916754
110,0.1088195643,0.0545454545,1,1.1633650188,0.5567879923
111,0.1088195643,0.0545454545,1,1.1633650188,0.5567879923
112,0.1088195643,0.0909090909,1,1.1997286552,0.5741916754
113,0.1088195643,0.0727272727,1,1.181546837,0.5654898339
114,0.1088195643,0.0727272727,1,1.181546837,0.5654898339
115,0.0233248998,0.0727272727,1,1.0960521725,0.5245719776
116,0.0233248998,0.0727272727,1,1.0960521725,0.5245719776
117,0.0233248998,0.0727272727,1,1.0960521725,0.5245719776
118,0.0233248998,0.0545454545,1,1.0778703543000001,0.5158701361
119,0.0233248998,0.0545454545,1,1.0778703543000001,0.5158701361
120,0.0233248998,0.0363636364,1,1.0596885362,0.5071682946
121,0.0233248998,0,0,0.0233248998,0.011163327
122,0.0233248998,0.0181818182,0,0.041506718,0.0198651685
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0.0826624215,0,0,0.0826624215,0.0395623411
129,0.0826624215,0.0363636364,1,1.1190260579,0.5355673087
130,0.0826624215,0.0545454545,1,1.137207876,0.5442691502
131,0.0826624215,0.0909090909,1,1.1735715124,0.5616728333
132,0.0279271221,0,0,0.0279271221,0.0133659565
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0.4363636364,0,0.4363636364,0.2088441969
142,0,0.4363636364,0,0.4363636364,0.2088441969
143,0,0.4363636364,0,0.4363636364,0.2088441969
144,0,0.4363636364,0,0.4363636364,0.2088441969
