id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
93,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
94,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
95,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
96,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
97,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
98,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
99,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
100,Nordeste,10,1,1,1,1,0.5625,1,0,1,0,1.5625,0.2647058824
101,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
102,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
103,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
104,Nordeste,10,1,1,1,1,0.5625,1,0,1,0,1.5625,0.2647058824
105,Nordeste,12,1,1,1,1,0.6875,1,0,1,0,1.6875,0.3235294118
106,Nordeste,12,1,1,1,1,0.6875,1,0,1,0,1.6875,0.3235294118
107,Nordeste,16,1,1,1,1,0.9375,1,0,1,0,1.9375,0.4411764706
108,Nordeste,16,1,1,1,1,0.9375,1,0,1,0,1.9375,0.4411764706
109,Nordeste,17,1,1,1,1,1,1,0,1,0,2,0.4705882353
110,Nordeste,17,1,1,1,1,1,1,0,1,0,2,0.4705882353
111,Nordeste,17,1,1,1,1,1,1,0,1,0,2,0.4705882353
112,Nordeste,17,1,1,1,1,1,1,0,1,0,2,0.4705882353
113,Nordeste,17,1,1,1,1,1,1,0,1,0,2,0.4705882353
114,Nordeste,17,1,1,1,1,1,1,0,1,0,2,0.4705882353
115,Nordeste,16,1,1,1,1,0.9375,1,0,1,0,1.9375,0.4411764706
116,Nordeste,16,1,1,1,1,0.9375,1,0,1,0,1.9375,0.4411764706
117,Nordeste,15,1,1,1,1,0.875,1,0,1,0,1.875,0.4117647059
118,Nordeste,14,1,1,1,1,0.8125,1,0,1,0,1.8125,0.3823529412
119,Nordeste,12,1,1,1,1,0.6875,1,0,1,0,1.6875,0.3235294118
120,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
121,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
122,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
123,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
124,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
125,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
126,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
127,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
128,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
129,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
130,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
131,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
132,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
133,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
134,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
135,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
136,Nordeste,3,1,1,1,1,0.125,1,0,1,0,1.125,0.0588235294
137,Nordeste,3,1,1,1,1,0.125,1,0,1,0,1.125,0.0588235294
138,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
139,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
140,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
141,Nordeste,8,1,1,1,1,0.4375,1,0,1,0,1.4375,0.2058823529
142,Nordeste,8,1,1,1,1,0.4375,1,0,1,0,1.4375,0.2058823529
143,Nordeste,8,1,1,1,1,0.4375,1,0,1,0,1.4375,0.2058823529
144,Nordeste,8,1,1,1,1,0.4375,1,0,1,0,1.4375,0.2058823529
145,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
146,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
147,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
148,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
149,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
150,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
151,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
152,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
153,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
154,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
155,Nordeste,3,1,1,1,1,0.125,1,0,1,0,1.125,0.0588235294
156,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
157,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
158,Nordeste,7,1,1,1,1,0.375,1,0,1,0,1.375,0.1764705882
159,Nordeste,7,1,1,1,1,0.375,1,0,1,0,1.375,0.1764705882
160,Nordeste,7,1,1,1,1,0.375,1,0,1,0,1.375,0.1764705882
161,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
162,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
163,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
164,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
165,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
166,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
167,Nordeste,8,1,1,1,1,0.4375,1,0,1,0,1.4375,0.2058823529
168,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
169,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
170,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
171,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
172,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
173,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
174,Nordeste,4,1,1,1,1,0.1875,1,0,1,0,1.1875,0.0882352941
175,Nordeste,3,1,1,1,1,0.125,1,0,1,0,1.125,0.0588235294
176,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
177,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
178,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
179,Nordeste,9,1,1,1,1,0.5,1,0,1,0,1.5,0.2352941176
180,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
181,Nordeste,7,1,1,1,1,0.375,1,0,1,0,1.375,0.1764705882
182,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
183,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
184,Nordeste,2,1,1,1,1,0.0625,1,0,1,0,1.0625,0.0294117647
185,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
186,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
187,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
188,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
189,Nordeste,1,1,1,1,1,0,1,0,1,0,1,0
190,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
191,Nordeste,5,1,1,1,1,0.25,1,0,1,0,1.25,0.1176470588
192,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
193,Nordeste,6,1,1,1,1,0.3125,1,0,1,0,1.3125,0.1470588235
