id,region,join_count,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex
93,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
94,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
95,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
96,Nordeste,3,1,1,1,1,0.666667,0,0,1,0,1.166667,0.3720931401
97,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
98,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
99,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
100,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
101,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
102,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
103,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
104,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
105,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
106,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
107,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
108,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
109,Nordeste,3,1,1,1,1,0.666667,0,0,1,0,1.166667,0.3720931401
110,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
111,Nordeste,3,1,1,1,1,0.666667,0,0,1,0,1.166667,0.3720931401
112,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
113,Nordeste,4,1,1,1,1,1,0,0,1,0,1.5,0.558139431
114,Nordeste,4,1,1,1,1,1,0,0,1,0,1.5,0.558139431
115,Nordeste,4,1,1,1,1,1,0,0,1,0,1.5,0.558139431
116,Nordeste,3,1,1,1,1,0.666667,0,0,1,0,1.166667,0.3720931401
117,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
118,Nordeste,2,1,1,1,1,0.333333,0,0,1,0,0.833333,0.186046291
119,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
120,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
121,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
122,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
123,Nordeste,1,1,1,1,1,0,0,0,1,0,0.5,0
