id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,0.1446585639,0.1338808574,0.1985817416,0.0274798488,0.0488149258,0.2245075691,0.7779235066,0.0905885659
1,0.2283397586,0.2241364841,0.1134751431,0.5128676554,0.1693136843,0.1555383208,1.4036710463,0.2962747892
2,0.2445861403,0.1347410867,0.1134751431,0,0.1262377563,0.1676554799,0.7866956063,0.0934719973
3,0.2422367327,0.1416217562,0.1702127147,0,0.15900991,0.1467085548,0.8597896684,0.1174983667
4,0.188892906,0.2285838395,0.0851065985,0.0785418796,0.285283651,0.7560157858,1.6224246604,0.3681801533
5,0.2587119349,0.2348880958,0.1134751431,0.3647593483,0.1623951682,0.160101743,1.2943314333,0.260334333
6,0.3189078186,0.2135543856,0.1702127147,0.2218290181,0.1174628603,0.0590085028,1.1009753001,0.1967772428
7,0.2241501617,0.3259566167,0.1702127147,0.5270737742,0.3620816018,0.291683182,1.9011580511,0.4598011583
8,0.1932868915,0.5686294353,0.14184417,0.1057436936,0.3884183291,0.2291692454,1.6270917649,0.369714253
9,0.1179092353,0.3860330007,0.0283690269,0,0.1641120924,0.3588611895,1.0552845448,0.181758472
10,0.1741997069,0.3411336467,0.0283690269,0,0.2774411438,0.3263509991,1.1474945234,0.2120683351
11,0.2317989237,0.4258577796,0.0283690269,0.0286360771,0.3709893311,0.4297910896,1.515442228,0.3330145137
12,0.2613709177,0.4884504991,0.0283690269,0.50324616,0.3691959341,0.1434589752,1.794091513,0.4246078727
13,0.2417596046,0.4679488137,0,0.4828339082,0.3066652261,0.1569888369,1.6561963895,0.379281083
14,0.3696942077,0.4671169519,0.0851065985,0.0376011257,0.5109705384,0.1632180426,1.6337074648,0.3718888654
15,0.4747976694,0.4097535971,0.3404254293,0.15065576,0.2938320513,0.2453860543,1.9148505614,0.4643019522
16,0.4817863873,0.4074777416,0.3404254293,0.15065576,0.2947385681,0.2457852561,1.9208691424,0.4662802887
17,0.4834612803,0.4303322664,0.3971630009,0.1109437758,0.2492279413,0.2453222763,1.916450541,0.4648278732
18,0.3691822066,0.4833555221,0.2269502862,0.1109437758,0.4773257384,0.1242434699,1.792000999,0.4239207107
19,0.5025981232,0.4140354413,0.3687944562,0.1109437758,0.2934298385,0.233925999,1.923727634,0.4672198886
20,0.5280826107,0.442480343,0.3687944562,0.1193514423,0.3140790686,0.2326780177,2.0054659385,0.4940876621
21,0.4708031094,0.4588110667,0.3120568847,0.1422480935,0.5191158826,0.2534263213,2.1564613582,0.5437205821
22,0.399191679,0.4431391676,0.2269502862,0.1170250941,0.5219610536,0.2974446559,2.0057119364,0.4941685228
23,0.5518351179,0.5082601815,0.3971630009,0.1094440432,0.5345378831,0.1960447707,2.2972849973,0.590009989
24,0.5920251066,0.5200675578,0.3971630009,0.1094440432,0.5646529607,0.1865948154,2.3699474846,0.6138944978
25,0.196292283,0.6186277711,0.1985817416,0.0780167294,0.7947938009,0.2118798496,2.0981921756,0.5245672218
26,0.1605117046,0.5621701758,0.1985817416,0.0780167294,0.6456720656,0.314096516,1.959048933,0.4788301693
27,0.1664073203,0.6103385971,0.1985817416,0.0780167294,0.5747505145,0.3542426314,1.9823375343,0.4864852445
28,0.1046465451,0.5075210682,0.1702127147,0.1101989622,0.2206521597,0.5662777053,1.6795091552,0.3869441011
29,0.1166522496,0.4618056523,0.2269502862,0.1101989622,0.2285378668,0.4975459577,1.6416909748,0.3745130835
30,0.1409527092,0.5363817459,0.0851065985,0,0.4407751927,0.3505344522,1.5537506985,0.3456066921
31,0.1246763375,0.4696261359,0.3120568847,0.1101989622,0.3114591791,0.4494559063,1.7774734057,0.419145421
32,0.1265309576,0.5110087714,0.3120568847,0.1101989622,0.3091252932,0.4129179142,1.7818387833,0.4205803416
33,0.1251409278,0.5088447982,0.3120568847,0.1101989622,0.3112931182,0.3885456774,1.7560803685,0.4121134269
34,0.1191737508,0.5011926751,0.3120568847,0.1101989622,0.3391954911,0.374158489,1.7559762529,0.4120792036
35,0.1206016105,0.5171667316,0.3120568847,0.1101989622,0.3216232175,0.3881163507,1.7697637572,0.4166112225
36,0.1094929076,0.4978197214,0.2836878578,0.0734659748,0.3551085069,0.3775704583,1.6971454268,0.3927412283
37,0.1063951355,0.5070632474,0.2553193131,0.0574429273,0.3752262167,0.3735206019,1.6749674419,0.3854512181
38,0.112519108,0.5355853022,0.1134751431,0.0442528016,0.4258493696,0.329649776,1.5613315005,0.3480985381
39,0.1050898899,0.6676415266,0.1134751431,0.0829964211,0.318679573,0.4449386381,1.7328211918,0.4044680237
40,0.1611711788,0.6967620239,0.2553193131,0.5524662225,0.3516975954,0.4228048003,2.440221134,0.636993784
41,0.120595641,0.5713325198,0.1985817416,0.5524662225,0.3602413299,0.4336893825,2.2369068373,0.5701633977
42,0.0231211189,0.5683914889,0.0283690269,0.1781760946,0.3434180251,0.5653055282,1.7067812826,0.3959085804
43,0.0573452544,0.273506054,0.0851065985,0.1225569789,0.1765128375,0.4336101115,1.1486378348,0.212444147
44,0.0551157172,0.344541116,0.1134751431,0.1225569789,0.1914898765,0.612538787,1.4397176187,0.3081234707
45,0.0561737969,0.3112940793,0.0851065985,0.1225569789,0.1764774502,0.5287003871,1.2803092909,0.2557251874
46,0.4982210605,0.5815382375,0.3120568847,0.1494550737,0.6687636077,0.3705130708,2.5805479349,0.6831198778
47,0.2245004486,0.559267534,0.1702127147,0.0948738714,0.7498053941,0.3837158412,2.182375804,0.552238785
48,0.537180933,0.6132766163,0.3971630009,0.1494550737,0.6578708522,0.3893985017,2.7443449778,0.7369607529
49,0.6730479526,0.5908076791,0.3687944562,0.6707303956,0.334607273,0.4052105657,3.0431983222,0.8351952833
