id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
93,0.8394354379,0.6791645669,0.2339178728,0.8976349689,0.6245960765,0.0621078104,3.3368567334,0.8318896687
94,0.8117501882,0.6884488707,0.2339178728,0.8976349689,0.6530351814,0.0939937343,3.3787808163,0.8449610586
95,0.7027610194,0.6916527924,0.2339178728,0.8976349689,0.5962730926,0.1197650073,3.2420047534,0.8023160412
96,0.697343767,0.6797180991,0.2339178728,0.8976349689,0.5844997882,0.1258591887,3.2189736847,0.7951352502
97,0.686551462,0.6755541418,0.2339178728,0.8976349689,0.5772977769,0.1255899736,3.196546196,0.7881426476
98,0.6542703517,0.3241792937,0,0.0287825098,0.4411713605,0.1822309764,1.6306344921,0.2999115166
99,0.9147406487,0.3318131243,0,0.0287825098,0.2585949007,0.1734882924,1.7074194759,0.3238520871
100,0.8989286566,0.5419934499,0.280701962,0,0.2845947502,0.1851835597,2.1914023784,0.4747517319
101,0.8877089529,0.5798519957,0.280701962,0,0.3987510533,0.2190665427,2.3660805066,0.5292141258
102,0.2931024812,0.340629404,0.1871342983,0.2021836835,0.2050069193,0.0564377578,1.2844945441,0.1919895324
103,0.2887553737,0.3418024776,0.1871342983,0.2021836835,0.2133663736,0.0444409806,1.2776831873,0.1898658389
104,0.3039690751,0.3424605879,0.1871342983,0.2021836835,0.2342922215,0.0109215957,1.280961462,0.1908879628
105,0.3030682655,0.3392121808,0.1871342983,0.1857902409,0.258690784,0,1.2738957695,0.1886849708
106,0.321960973,0.3751731195,0.1871342983,0.0874295852,0.4088812392,0.0327128096,1.4132920248,0.2321469305
107,0.4214727236,0.4691882611,0.280701962,0.0710361425,0.445829071,0.0442616142,1.7324897744,0.3316686838
108,0.4231703357,0.4853133672,0.280701962,0.0710361425,0.4183264991,0.0479441974,1.7264925039,0.3297988119
109,0.4394459164,0.4882564525,0.3274855366,0.0874295852,0.401802997,0.0537235804,1.7981440681,0.3521388482
110,0.5044622253,0.3865034323,0.5146198349,0.0874295852,0.3528545501,0.0744108833,1.9202805111,0.3902194204
111,0.4995696946,0.3618827352,0.5146198349,0.0710361425,0.354023802,0.089907468,1.8910396772,0.3811025044
112,0.4571862381,0.421968248,0.4678362603,0.0874295852,0.3696685632,0.055336589,1.8594254838,0.3712456055
113,0.5004635863,0.3491100267,0.4678362603,0.0710361425,0.3523299561,0.1011173321,1.841893304,0.3657792973
114,0.5705714765,0.3360388809,0.4678362603,0.9797940477,0.3648877031,0.1135273239,2.8326556924,0.6746862684
115,0.5676489458,0.327406151,0.4678362603,0.9797940477,0.3688941515,0.1192419704,2.8308215267,0.6741143991
116,0.5766430704,0.317125449,0.4678362603,0.9797940477,0.3727094942,0.1299509977,2.8440593193,0.6782417726
117,0.5519515801,0.2240806929,0.4210526857,0.9797940477,0.3958524937,0.258183781,2.8309152811,0.6741436305
118,0.5377137197,0.2079210618,0.3274855366,0.9961874904,0.4027203268,0.2956209026,2.7676490379,0.6544180295
119,0.5776161996,0.2661395705,0.0935671491,0.9219052409,0.4622154941,0.4411718548,2.762615509,0.6528486399
120,0.7065254141,0.2901053297,0,0.0366593391,0.5484334398,0.5175675533,2.099291076,0.4460326124
121,0.7522786101,0.27263689,0,0.020265896500000002,0.4139782391,0.8928000682,2.3519597039,0.5248114411
122,0.7910852913,0.3370231546,0.0935671491,0.0366593391,0.4756876804,0.6546085182,2.3886311327,0.536245121
123,0.9486730244,0.2813414701,0,0,0.2285851389,0.5063369755,1.9649366089,0.4041426174
124,0.9792756059,0.4490256396,0,0,0.1839125543,0.4027755873,2.0149893871,0.4197484299
125,0.9350032721,0.3616143187,0,0,0.2651100062,0.3675569699,1.9292845669,0.3930267692
126,0.9053985449,0.2423847892,0,0,0.3296466976,0.338578616,1.8160086477,0.3577087944
127,0.9341781326,0.3939759462,0,0,0.47930153130000003,0.273671339,2.0811269491,0.4403692712
128,0.8654642587,0.5581835645,0,0.0718214482,0.6434982537,0.0125361047,2.1515036298,0.4623118152
129,0.7812016667,0.2050278453,0.0467835746,0.0718214482,0.1473741053,0,1.2522086401,0.1819232027
130,0.699962632,0.2577963772,0.0467835746,0.1046083335,0.1745094838,0,1.2836604011,0.1917294573
131,0.579832588,0.328560227,0.0467835746,0.9734607925,0.3890469335,0.016825513,2.3345096286,0.5193707321
132,0.8939695729,0.4622057583,0,0.0242645487,0.3151526945,0.0314666387,1.7270592131,0.3299755046
133,0.969563758,0.4242321661,0,0,0,0.1418939762,1.5356899003,0.270309014
134,0.9252866061,0.3769228202,0,0,0.2202687523,0.1695432319,1.6920214105,0.3190511683
135,0.9061541538,0.3462084147,0,0,0.2933193591,0.1067204924,1.65240242,0.3066984766
136,0.8643740316,0.6176066014,0,0,0.5895976132,0.1507434629,2.2223217091,0.4843919815
137,0.9276059056,0.6453726528,0,0,0.3479482867,0.072539489,1.9934663341,0.4130378188
138,0.918991287,0.528495869,0,0,0.5538006357,0.1541908897,2.1554786814,0.4635511851
139,0.911859782,0.3859225877,0,0,0.3406543811,0.0186943081,1.6571310589,0.3081728054
140,0.8608336234,0.4606472109,0,0,0.3965786487,0.0118222365,1.7298817195,0.3308555258
141,0.5390601194,0.5066413932,0.0935671491,0.0819672131,0.658613814,0.097260936,1.9771106248,0.407938319
142,0.3435961568,0.5665646797,0.280701962,0.4380707323,0.30640610150000003,0,1.9353396323,0.3949146607
143,0.4093103355,0.5770658729,0.280701962,0.4380707323,0.3077446667,0,2.0128935694,0.4190949809
144,0.4005219031,0.594549753,0.280701962,0.4380707323,0.3071488427,0,2.0209931931,0.4216203394
145,0.4419473061,0.5696463497,0.280701962,0.4380707323,0.3333587333,0,2.0637250834,0.4349435933
146,0.7424513507,0.6221032049,0.0467835746,0.0446281093,0.5216544308,0.0024114035,1.9800320738,0.4088491892
147,0.7528049317,0.5807014222,0.0467835746,0.0446281093,0.5363735695,0.2660028463,2.2272944536,0.4859424193
148,0.7809270666,0.6400302463,0,0.0446281093,0.5838339995,0.3079468066,2.3573662283,0.5264971259
