id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
93,0.2526346823,0.8331116742,0.1470588235,0.4902640402,0.0782935466,1.8013627668,0.5177383757
94,0.2584087269,0.8157900611,0.1470588235,0.4902640402,0.0908964403,1.802418092,0.5181604749
95,0.2601088401,0.787710705,0.1470588235,0.4902640402,0.0972307158,1.7823731246,0.5101430743
96,0.2646957918,0.759098174,0.1470588235,0.4902640402,0.1004575486,1.7615743781,0.5018241841
97,0.2672144278,0.734959047,0.1470588235,0.4902640402,0.1038552987,1.7433516372,0.4945356208
98,0.3723710114,0.4775050876,0,0.0278423837,0.2260209069,1.1037393896,0.2387094318
99,0.0496361601,0.5025295841,0,0.0092807946,0.3791801328,0.9406266716,0.173469116
100,0.0734679636,0.6183330122,0.2647058824,0,0.2496580178,1.206164876,0.2796766302
101,0.0760334422,0.6362779027,0.2352941176,0,0.2141798893,1.1617853518,0.2619261187
102,0.8080656673,0.3751658268,0.2352941176,0.1789728968,0.107409875,1.7049083835,0.4791594439
103,0.8091480369,0.3797148066,0.2352941176,0.1789728968,0.1041028103,1.7072326682,0.4800890898
104,0.8148129906,0.3934275551,0.2647058824,0.1789728968,0.0916181143,1.7435374392,0.4946099362
105,0.8375832312,0.3977831524,0.3235294118,0.1873805633,0.0825655353,1.828841894,0.5287292228
106,0.8882787051,0.405689194,0.3235294118,0.1789728968,0.0628326881,1.8593028958,0.5409127325
107,0.7594369251,0.3979190725,0.4411764706,0.1033038985,0.0521501382,1.7539865049,0.4987892568
108,0.591265476,0.3959884066,0.4411764706,0.1141972371,0.0667939479,1.6094215382,0.440967499
109,0.5776464653,0.3968098392,0.4705882353,0.5766188936,0.0697396746,2.091403108,0.6337460279
110,0.4554660965,0.4100347004,0.4705882353,0.5598035606,0.1096396435,2.0055322363,0.5994001911
111,0.4457554753,0.4088394965,0.4705882353,0.5598035606,0.1308336803,2.015820448,0.6035151749
112,0.5043227328,0.4039477444,0.4705882353,0.5617739543,0.0904997626,2.0311324294,0.6096395195
113,0.4384007575,0.4081463717,0.4705882353,0.5682112271,0.1439609052,2.0293074968,0.6089095999
114,0.4327501936,0.404968666,0.4705882353,0.5682112271,0.1587819699,2.0353002919,0.6113065426
115,0.4569655749,0.4033818675,0.4411764706,0.5506929087,0.1659186093,2.018135431,0.6044411003
116,0.4527202701,0.3984648356,0.4411764706,0.5506929087,0.1754747645,2.0185292495,0.6045986162
117,0.4309052278,0.3912187566,0.4117647059,0.5506929087,0.2659165919,2.0504981909,0.6173852576
118,0.4294256649,0.395915551,0.3823529412,0.5422852422,0.2843389882,2.0343183875,0.6109138096
119,0.4128248228,0.4054727257,0.3235294118,0.5422852422,0.3630504596,2.0471626621,0.6160511437
120,0.3371105278,0.4568135294,0.0882352941,0.5338775758,0.4603496743,1.8763866014,0.547745715
121,0.2519994083,0.5182351991,0.0882352941,0.0098019747,1,1.8682718762,0.5445000623
122,0.2358258579,0.5324941683,0.0882352941,0.0182096412,0.8177253639,1.6924903254,0.4741925839
123,0.0809641808,0.5441575939,0,0,0.6426479158,1.2677696905,0.3043167539
124,0.0543674533,0.4439959813,0,0.0033509952,0.576393683,1.0781081128,0.2284576709
125,0.0710572794,0.3572709581,0,0,0.4361368759,0.8644651134,0.1430067206
126,0.1079381775,0.3177680641,0,0,0.4058782452,0.8315844868,0.1298554318
127,0.0859016792,0.5800041533,0,0,0.2383571843,0.9042630168,0.1589247178
128,0.2185511166,0.5435941163,0.0294117647,0.0231585122,0.0319161301,0.8466316399,0.1358738529
129,0.3060277832,0.3647485863,0.0882352941,0.5023955017,0.0017187053,1.2631258706,0.3024593618
130,0.4417017707,0.364994897,0.0882352941,0.5223824242,0.0056073375,1.4229217235,0.3663730286
131,0.5392057864,0.3499063695,0.0882352941,0.5354424989,0.0058563346,1.5186462835,0.4046600525
132,0.1135712104,0.5017114221,0,0.0046943986,0.0515108168,0.6714878479,0.0658214594
133,0.0691732754,0.6283040855,0,0,0.1017935649,0.7992709258,0.1169309527
134,0.0675465338,0.4156783674,0,0,0.196973333,0.6801982342,0.0693053591
135,0.1256366909,0.5157293324,0.0294117647,0,0.0940234982,0.7648012862,0.1031441051
136,0.1286567936,0.675152397,0.0588235294,0,0.0974697858,0.9601025058,0.18125888
137,0.0991057968,0.8301069071,0.0588235294,0,0.1082588696,1.0962951029,0.2357319349
138,0.0787085584,0.5874551189,0.0294117647,0,0.1400600773,0.8356355193,0.1314757263
139,0.1110784991,0.4751741633,0,0,0.0847153073,0.67096796970000006,0.0656135234
140,0.1495287075,0.5345803959,0.0294117647,0.0095629853,0.0435161181,0.7665999715,0.1038635266
141,0.493132788,0.5657732281,0.2058823529,0.2197488388,0.0875684848,1.5721056926,0.4260422523
142,0.4957340798,0.6091194302,0.2058823529,0.2257371198,0.0395314824,1.5760044651,0.4276016473
143,0.5013926282,0.61587926690000006,0.2058823529,0.2257371198,0.0355175552,1.584408923,0.4309631846
144,0.5060249236,0.6214498283,0.2058823529,0.2257371198,0.030658696,1.5897529206,0.4331006273
145,0.5075457664,0.6423621015,0.2352941176,0.2233692039,0.0158585768,1.6244297662,0.4469703512
146,0.3955304548,0.7319561975,0.1470588235,0.1272470814,0.030818625,1.4326111822,0.3702485287
147,0.2739535931,0.8122805787,0.1176470588,0.0215852083,0.2030868236,1.4285532625,0.3686254795
148,0.1663333385,0.792955578,0.0882352941,0.0143901389,0.265933061,1.3278474105,0.3283460845
149,0.1447343654,0.5767930496,0.0294117647,0.0086340833,0.3012769737,1.0608502367,0.2215550253
150,0.1216702765,0.5400406005,0,0.0084076665,0.4747524835,1.144871027,0.2551608836
151,0.1572153964,0.853865369,0.0294117647,0.0147691023,0.6065514516,1.661813084,0.4619225847
152,0.1841345797,0.8667883356,0.0882352941,0.0231767688,0.4771913301,1.6395263083,0.4530085264
153,0.2103828164,0.9771275116,0.1176470588,0.149291766,0.1425230919,1.5969722447,0.4359881458
154,0.2241064873,0.9570949348,0.1176470588,0.1576960066,0.1188978626,1.5754423501000001,0.4273768177
155,0.5887666377,0.7428164187,0.0588235294,0.0320654875,0.0533762034,1.4758482767,0.3875421017
156,0.459768425,0.9919118443,0.0294117647,0.5921256438,0.2188167488,2.2920344266,0.7139926865
157,0.0493838713,0.5794417797,0.0882352941,0,0.0756567657,0.7927177108,0.1143098584
158,0.0557105924,0.6503066619,0.1764705882,0.0084076665,0.1212452446,1.0121407536,0.2020726569
159,0.0519164451,0.6822867511,0.1764705882,0.0125556557,0.1398466233,1.0630760634,0.2224452908
160,0.0553508349,0.7133784422,0.1764705882,0.0111729926,0.1576209403,1.1139937982,0.2428108953
161,0.0564735234,0.7271263614,0.1470588235,0.0111729926,0.1619537022,1.1037854031,0.2387278359
162,0.0637661539,0.7361079164,0.1470588235,0.0386413525,0.1768762878,1.1624505341,0.2621921722
163,0.1041868601,0.6459801341,0.2352941176,0.2572406811,0.0735029661,1.316204759,0.3236893645
164,0.1231611227,0.6059211484,0.2352941176,0.2680092768,0.0581970595,1.290582725,0.3134413004
165,0.1231171163,0.6017356993,0.2352941176,0.2680092768,0.0580790451,1.2862352551,0.3117024396
166,0.1249214725,0.5993701646,0.2352941176,0.2639781187,0.0588438383,1.2824077117,0.3101715342
167,0.1521214223,0.4933628371,0.2058823529,0.2786927632,0.1300221156,1.2600814911,0.3012416991
168,0.216907496,0.4325588018,0.0882352941,0.2429630214,0.2091341044,1.1897987177,0.2731306456
169,0.2188465307,0.460260209,0.1176470588,0.2719602007,0.1604292676,1.2291432668,0.2888673144
170,0.222619856,0.485164429,0.1176470588,0.2635525343,0.1329253628,1.2219092409,0.2859739156
171,0.2963618489,0.5648724907,0.0882352941,0.339956866,0.1352952223,1.424721722,0.3670929754
172,0.6186833299,0.6500776796,0.0882352941,0.3131674444,0.0931875355,1.7633512835,0.5025348943
173,0.6229591966,0.6461402355,0.0882352941,0.287944445,0.0981709754,1.7434501466,0.4945750217
174,0.5654689274,0.62634992330000006,0.0882352941,0.2226893861,0.111852316,1.6145958469,0.4430370711
175,0.3741735157,0.5126727198,0.0588235294,0.068947995,0.0858733245,1.1004910844,0.2374102048
176,0.0856645206,0.6417745445,0,0.0756689983,0.2665906449,1.0696987083,0.2250941551
177,0.0697867644,0.4077236355,0.0294117647,0,0,0.5069221646,0
178,0.0726274245,0.4717634218,0.0294117647,0,0,0.573802611,0.0267502222
179,0.2496568459,0.0419542803,0.2352941176,0.4624216565,0.833814952,1.8231418523,0.5264493728
180,1,0.3538174662,0.1470588235,1,0.0541100856,2.5549863753,0.819165774
181,0.8659387126,0.3335304524,0.1764705882,0.9695145127,0.0472863699,2.3927406358,0.7542722243
182,0.7121469661,0.3524933252,0.1176470588,0.3053088606,0.07799316,1.5655893707,0.4234359142
183,0.3907173576,0.5781047892,0.0294117647,0.0407235222,0.0774501809,1.1164076146,0.2437763513
184,0.1701781637,0.6563668498,0.0294117647,0,0.111494166,0.9674509442,0.1841980404
185,0.2448298849,0.6943912052,0.1176470588,0.0102371553,0.0053339304,1.0724392346,0.2261902854
