id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
93,0.8394354379,0.6791645669,0.2339178728,0.8976349689,0.0621078104,2.7122606569,0.7146676166
94,0.8117501882,0.6884488707,0.2339178728,0.8976349689,0.0939937343,2.7257456349,0.7193835947
95,0.7027610194,0.6916527924,0.2339178728,0.8976349689,0.1197650073,2.6457316608,0.6914010389
96,0.697343767,0.6797180991,0.2339178728,0.8976349689,0.1258591887,2.6344738965,0.6874639639
97,0.686551462,0.6755541418,0.2339178728,0.8976349689,0.1255899736,2.6192484191,0.6821392968
98,0.6542703517,0.3241792937,0,0.0287825098,0.1822309764,1.1894631316,0.1821135565
99,0.9147406487,0.3318131243,0,0.0287825098,0.1734882924,1.4488245752,0.2728176636
100,0.8989286566,0.5419934499,0.280701962,0,0.1851835597,1.9068076282,0.4329838908
101,0.8877089529,0.5798519957,0.280701962,0,0.2190665427,1.9673294533,0.4541496355
102,0.2931024812,0.340629404,0.1871342983,0.2021836835,0.0564377578,1.0794876248,0.1436528277
103,0.2887553737,0.3418024776,0.1871342983,0.2021836835,0.0444409806,1.0643168137,0.1383472786
104,0.3039690751,0.3424605879,0.1871342983,0.2021836835,0.0109215957,1.0466692405,0.1321755541
105,0.3030682655,0.3392121808,0.1871342983,0.1857902409,0,1.0152049855,0.1211718478
106,0.321960973,0.3751731195,0.1871342983,0.0874295852,0.0327128096,1.0044107856,0.117396891
107,0.4214727236,0.4691882611,0.280701962,0.0710361425,0.0442616142,1.2866607034,0.2161055749
108,0.4231703357,0.4853133672,0.280701962,0.0710361425,0.0479441974,1.3081660048,0.2236264274
109,0.4394459164,0.4882564525,0.3274855366,0.0874295852,0.0537235804,1.3963410711,0.2544630874
110,0.5044622253,0.3865034323,0.5146198349,0.0874295852,0.0744108833,1.567425961,0.3142950423
111,0.4995696946,0.3618827352,0.5146198349,0.0710361425,0.089907468,1.5370158752,0.3036600009
112,0.4571862381,0.421968248,0.4678362603,0.0874295852,0.055336589,1.4897569206,0.2871325587
113,0.5004635863,0.3491100267,0.4678362603,0.0710361425,0.1011173321,1.4895633479,0.2870648622
114,0.5705714765,0.3360388809,0.4678362603,0.9797940477,0.1135273239,2.4677679893,0.6291634306
115,0.5676489458,0.327406151,0.4678362603,0.9797940477,0.1192419704,2.4619273752,0.6271208461
116,0.5766430704,0.317125449,0.4678362603,0.9797940477,0.1299509977,2.4713498251,0.6304160733
117,0.5519515801,0.2240806929,0.4210526857,0.9797940477,0.258183781,2.4350627874,0.6177257393
118,0.5377137197,0.2079210618,0.3274855366,0.9961874904,0.2956209026,2.3649287111,0.5931983898
119,0.5776161996,0.2661395705,0.0935671491,0.9219052409,0.4411718548,2.3004000149,0.5706313587
120,0.7065254141,0.2901053297,0,0.0366593391,0.5175675533,1.5508576362,0.3085007535
121,0.7522786101,0.27263689,0,0.020265896500000002,0.8928000682,1.9379814648,0.4438860317
122,0.7910852913,0.3370231546,0.0935671491,0.0366593391,0.6546085182,1.9129434523,0.4351297164
123,0.9486730244,0.2813414701,0,0,0.5063369755,1.73635147,0.3733718165
124,0.9792756059,0.4490256396,0,0,0.4027755873,1.8310768328,0.4064992519
125,0.9350032721,0.3616143187,0,0,0.3675569699,1.6641745607,0.3481300457
126,0.9053985449,0.2423847892,0,0,0.338578616,1.4863619501,0.2859452667
127,0.9341781326,0.3939759462,0,0,0.273671339,1.6018254178,0.3263252499
128,0.8654642587,0.5581835645,0,0.0718214482,0.0125361047,1.5080053761,0.2935144242
129,0.7812016667,0.2050278453,0.0467835746,0.0718214482,0,1.1048345348,0.1525171709
130,0.699962632,0.2577963772,0.0467835746,0.1046083335,0,1.1091509173,0.1540266999
131,0.579832588,0.328560227,0.0467835746,0.9734607925,0.016825513,1.9454626951,0.446502374
132,0.8939695729,0.4622057583,0,0.0242645487,0.0314666387,1.4119065186,0.2599066491
133,0.969563758,0.4242321661,0,0,0.1418939762,1.5356899003,0.3031962798
134,0.9252866061,0.3769228202,0,0,0.1695432319,1.4717526582,0.2808360925
135,0.9061541538,0.3462084147,0,0,0.1067204924,1.3590830609,0.2414331841
136,0.8643740316,0.6176066014,0,0,0.1507434629,1.6327240959,0.3371311621
137,0.9276059056,0.6453726528,0,0,0.072539489,1.6455180474,0.3416054739
138,0.918991287,0.528495869,0,0,0.1541908897,1.6016780457,0.3262737108
139,0.911859782,0.3859225877,0,0,0.0186943081,1.3164766778,0.2265328431
140,0.8608336234,0.4606472109,0,0,0.0118222365,1.3333030708,0.2324173838
141,0.5390601194,0.5066413932,0.0935671491,0.0819672131,0.097260936,1.3184968108,0.2272393258
142,0.3435961568,0.5665646797,0.280701962,0.4380707323,0,1.6289335308,0.3358055225
143,0.4093103355,0.5770658729,0.280701962,0.4380707323,0,1.7051489027,0.3624596279
144,0.4005219031,0.594549753,0.280701962,0.4380707323,0,1.7138443504,0.3655006073
145,0.4419473061,0.5696463497,0.280701962,0.4380707323,0,1.7303663501,0.3712786953
146,0.7424513507,0.6221032049,0.0467835746,0.0446281093,0.0024114035,1.458377643,0.2761585707
147,0.7528049317,0.5807014222,0.0467835746,0.0446281093,0.2660028463,1.6909208841,0.357483793
148,0.7809270666,0.6400302463,0,0.0446281093,0.3079468066,1.7735322288,0.3863747035
149,0.8466028195,0.4893288664,0,0,0.308517085,1.6444487709,0.3412315256
150,0.8772824401,0.474772129,0,0.0163934426,0.2971901601,1.6656381718,0.3486419011
151,0.8509622567,0.5452769138,0.0467835746,0.0239558142,0.5241436298,1.9911221891,0.4624704515
152,0.8664534707,1,0.0467835746,0.0239558142,0.4651139156,2.4023067751,0.6062702785
153,0.783273366,0.7804213204,0.1871342983,0.2862508963,0.0586420961,2.0957219771,0.4990511793
154,0.7638896026,0.7481849488,0.1403507237,0.2698574536,0.047985584,1.9702683127,0.4551774159
155,0.6620802087,0.4195139489,0.0935671491,0.0075743686,0.0329885608,1.2157242361,0.1912976126
156,0.4075873563,0.8012246127,0,1,0.1103742023,2.3191861713,0.5772012695
157,0.9421200041,0.4994647436,0,0,0.0468629338,1.4884476815,0.2866746904
158,0.9787798118,0.6220937556,0.1403507237,0,0.2296794243,1.9709037154,0.4553996295
159,0.9640701639,0.6286736205,0.2339178728,0.0163934426,0.2495025164,2.0925576162,0.4979445363
160,0.95322677,0.6176710166,0.2339178728,0.0163934426,0.2343986142,2.0556077162,0.4850223855
161,0.9461328598,0.612077838,0.2339178728,0.0163934426,0.2015023432,2.0100243564,0.4690809337
162,0.949968647,0.6460803312,0.1871342983,0.0163934426,0.2242599074,2.0238366265,0.4739113727
163,0.8809727007,0.5696174736,0.0935671491,0.131147541,0.0759133109,1.7512181753,0.3785710135
