objectid,normalized_terr_rich,normalized_mar_rich,normalized_coral_reef,normalized_seagrass,normalized_mangrove,marine_eco_added,normalized_marine_eco,high_perce,terr_pa_high_weighted,normalized_terr_pa_high,very_high,terr_pa_ver_high_weighted,normalized_terr_pa_ver_high,extremely,normalized_terr_pa_ext_high,added_terr_pa,normalized_terr_pa,oceanic_pa,normalized_ocean_pa,mean,normalized_tree_cover,added_biodiversity,biodiversity_subindex
1,0.6860194951,0.3845038172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076280181264254,0.0874586154,0.01299621431595,0.0196889304,1.1776708581,0.1338808574
2,0.6852259184,0.3588780353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263254890055793,0.3018334224,0.040559486746865,0.0614465793,1.4073839554,0.2241364841
3,0.6688059722,0.3387652496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092316696673885,0.1058451925,0.043858069164265,0.0664438468,1.1798602611,0.1347410867
4,0.6981121883,0.336516233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069968658498753,0.0802221742,0.054470841813914,0.0825219244,1.1973725199,0.1416217562
5,0.7020987154,0.3819954533,0,0,0.0104687382,0.0104687382,0.0054908553,0,0,0,0,0,0,0.06689545336164,0.0780646518,0.0780646518,0.0780646518,0.043873292855105,0.0503026786,0.132510987295564,0.2007507377,1.4187030921,0.2285838395
6,0.2534219167,0.4086865309,0,0,0.0089153612,0.0089153612,0.0046761087,0,0,0,0,0,0,0,0,0,0,0.400425463739383,0.4591055768,0.203870146556434,0.3088580287,1.4347481618,0.2348880417
7,0.2586885245,0.408818545,0,0,0.0053205729,0.0053205729,0.0027906416,0,0,0,0,0,0,0,0,0,0,0.489291404411978,0.5609943242,0.09845628234842,0.1491587356,1.3804507709,0.2135542776
8,0.4712457159,0.3979701952,0,0,0.0948336251,0.0948336251,0.0497402554,0,0,0,0,0,0,0,0,0,0,0.44152765106803,0.5062310599,0.159305079810149,0.2413430988,1.6665303252,0.3259566167
9,0.8462550835,0.4997737689,0,0,0.1283306727,0.1283306727,0.0673094636,0,0,0,0,0,0,0.012851579482893,0.0149973433,0.0149973433,0.0149973433,0,0,0.258154482601269,0.3910974017,1.819433061,0.3860330007
10,0.7498119915,0.5309780651,0,0,0.1987467843,0.1987467843,0.1042427283,0,0,0,0,0,0,0.012565500046969,0.0146634986,0.0146634986,0.0146634986,0,0,0.201628300731294,0.3054616899,1.7051579734,0.3411336468
11,0.8965752123,0.612818812,0,0,0.0359252268,0.0359252268,0.0188427887,0,0,0,0,0,0,0,0,0,0,0,0,0.259117163202325,0.392555838,1.920792651,0.4258577797
12,0.9287034521,0.6550627839,0,0,0.0807205632,0.0807205632,0.0423379516,0,0,0,0,0,0,0,0,0,0,0,0,0.299672164614193,0.4539956221,2.0800998097,0.4884504991
13,0.93175861,0.6552878142,0,0,0.0072475203,0.0072475203,0.0038013259,0,0,0,0,0,0,0,0,0,0,0,0,0.288501547597246,0.4370724247,2.0279201748,0.4679488137
