id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
0,0.6861219196,0.4075157906,0,0,0,0,1.0936377102,0.1777858386
1,0.6809338521,0.3952872565,0,0,0.2340591905,0,1.3102802991,0.2500937936
2,0.6926070039,0.3565462451,0,0,0,0,1.049153249,0.1629384328
3,0.6926070039,0.339854144,0,0,0.7860417004,0,1.8185028483,0.4197212589
4,0.7003891051,0.3925670123,0,0.0359465876,0,0.0307749323,1.1596776373,0.1998277284
5,0.2568093385,0.4386235817,0,0,0.7962370934,0,1.4916700136,0.3106355337
6,0.2607003891,0.4244072952,0,0,0.4090017219,0.1281403198,1.222249726,0.2207121713
7,0.4046692607,0.4227041644,0,0,0.3115181422,0.0218402745,1.1607318418,0.2001795861
8,0.8287937743,0.5639150196,0,0,0.3783136185,4.97265e-4,1.7715196774,0.4040398685
9,0.9027237354,0.524527857,0,0,0,0,1.4272515924,0.2891348476
10,0.9027237354,0.4990805788,0,0,0,0,1.4018043142,0.2806414085
11,0.906614786,0.5749747967,0,0,0,0,1.4815895827,0.3072710275
12,0.9105058366,0.6400494848,0.1256661617,0,0,0.1807871179,1.857008601,0.4325731744
13,0.9241245136,0.6694859547,0,0,0,0,1.5936104683,0.3446598032
14,0.906614786,0.6247207283,0,0,0,0,1.5313355143,0.3238745338
15,0.906614786,0.6260008645,0,0,0,0.5931245058,2.1257401563,0.5222666613
16,0.906614786,0.6228016948,0,0,0,0.7015056827,2.2309221635,0.5573728511
17,0.906614786,0.6212021099,0,0,0.0014544597,0.5705173065,2.0997886621,0.5136049319
18,0.906614786,0.5914404824,0,0,0,0.4185594339,1.9166147023,0.4524676712
19,0.906614786,0.6164033554,0,0,0,0.6288309978,2.1518491392,0.5309809551
20,0.906614786,0.6164033554,0,0,0.8444018856,0,2.367420027,0.6029312126
21,0.8949416342,0.6195580362,0,0,0,0.113070558,1.6275702284,0.3559944203
22,0.8949416342,0.6195580362,0,0,0,0.0213375028,1.5358371732,0.325377035
23,0.9416342412,0.6164033554,0,0,0,0,1.5580375966,0.332786784
24,0.9416342412,0.6164033554,0,0,0,0,1.5580375966,0.332786784
25,0.8949416342,0.6195580362,0,0,0,0.4093721752,1.9238718456,0.4548898597
26,0.9338521401,0.6230400472,0,0,0,0.7937155241,2.3506077114,0.5973198314
27,0.9338521401,0.6230400472,0,0,0,0,1.5568921873,0.3324044852
28,0.9027237354,0,0,0,0,0.1674273478,1.0701510832,0.1699467983
29,0.9027237354,0,0,0,0,0.6399331413,1.5426568767,0.3276532209
30,0.9494163424,0.5379711699,9.25328e-5,0,0,0.1752711527,1.6627511978,0.3677366358
31,0.9027237354,0.5338919624,0,0,0,0.451064884,1.8876805818,0.4428104422
32,0.9182879377,0.5338919624,0,0,0,0.5423695469,1.994549447,0.4784796481
33,0.9182879377,0.5338919624,0,0,0,0.6116570257,2.0638369258,0.5016054606
34,0.9182879377,0.5341956842,0,0,0,0.5188621943,1.9713458162,0.4707350624
35,0.9182879377,0.5340438233,0,0,0,0.7536714735,2.2060032345,0.549055757
36,0.9182879377,0.5341956842,0,0,0,0.4667915706,1.9192751925,0.4533556527
37,0.9182879377,0.5341956842,0,0,0,0.4165864819,1.8690701038,0.4365988953
38,0.9208819715,0.5321795982,0,0,0,0.1143022478,1.5673638175,0.3358995605
39,0.9260700389,0.5348146424,0,0,0,0.4169547214,1.8778394027,0.4395257901
40,0.9416342412,0.5183968613,0,0,0,0.151529202,1.6115603045,0.3506508502
41,0.9571984436,0.5087207422,0,0,0,0.5665415761,2.0324607619,0.4911331603
42,0.9688715953,0.4645563695,0,0,0,0.4657973394,1.8992253042,0.4466636793
43,0.0778210117,0.3568216877,0,0,0,0.8972516026,1.331894302,0.2573078154
44,0.0778210117,0.3568216877,0,0,0,0.8244720006,1.2591147,0.2330164504
45,0.0778210117,0.3568216877,0,0,0,0.6094115209,1.0440542203,0.1612365498
46,0.9805447471,0.2685101867,0,0.2244018942,0.231603821,0.5006412494,2.2057018984,0.5489551812
47,0.9766536965,0.2612321505,0,0.0216149037,0.8348168479,0,2.0943175986,0.5117788763
48,0.9805447471,0.275788223,0,0.097525181,0.2018735557,0.8426109821,2.3983426889,0.6132521493
49,0.9805447471,0.2849893151,0,0.1152857627,0.3584320225,0.0805569368,1.8198087842,0.4201571361
50,0.9883268482,0.2941904071,0,0,0.85718466,0,2.1397019153,0.5269266234
51,0.9883268482,0.2941904071,0,0.072214533,0.6190214418,0.0114096607,1.9851628908,0.4753467337
52,0.9844357977,0.3017220247,0,0,0.4261463733,0.1018474964,1.8141516921,0.4182689904
53,0.9766536965,0,0,0.3989458833,0.454600173,0,1.8301997528,0.4236252893
54,0.9844357977,0.2863589782,0,0.3960495805,0.122560655,0.2773071925,2.0667122039,0.502565131
55,0.9649805447,0,0,0.4615048084,0.3894267238,0,1.8159120769,0.4188565472
56,0.9844357977,0.2863589782,0,0,0,0,1.2707947759,0.236914864
57,0.9844357977,0.2863589782,0,0,0,0,1.2707947759,0.236914864
58,0.9546044099,0,0,0,0.3313660721,0.127567058,1.41353754,0.2845575616
59,0.9299610895,0.3658214692,0,0,0,0.0367423946,1.3325249533,0.2575183054
60,0.9922178988,0.3129166806,0,0,0.6513247153,0.2124463068,2.1689056015,0.5366738242
61,0.9922178988,0.3129166806,0,0,0.8582189349,0.0570825357,2.22043605,0.5538729418
62,0.9494163424,0.3517326086,0,0,0.522946788,0,1.824095739,0.4215879763
63,0.9455252918,0.3659076348,0,0,0.5001582259,0.0327604118,1.8443515643,0.4283486844
64,0.9182879377,0.5393335007,0,0,0,0.7088157347,2.1664371731,0.5358499465
65,0.9182879377,0.5393335007,0,0,0.2769914237,0.1738859695,1.9084988316,0.4497588685
66,0.4766536965,0.5261795709,0,0,0.0256052284,0.2392563989,1.2676948947,0.2358802287
67,0.8949416342,0.4709160799,0,0,0.3842232984,0.0293474585,1.779428471,0.4066795559
68,0.8715953307,0.5211619685,0,0.5224747192,0.1791849102,0.1680250808,2.2624420094,0.5678931076
69,0.8715953307,0.4792394273,0,0.7069701167,0.3485391034,0.1027485643,2.5090925424,0.6502166975
70,0.8638132296,0.4373168861,0,0.6803754679,0.3692667281,0.2799526099,2.6307249216,0.6908134641
71,0.8638132296,0.4373168861,0.018296267,0.9335407838,0.1657388666,0,2.4187060331,0.6200487436
72,0.8560311284,0.6125314449,0,0,0,0.4847478764,1.9533104497,0.4647154682
73,0.8579766537,0.6125314449,0,0,0,0.3520636499,1.8225717485,0.4210793199
74,0.859922179,0.6125314449,0,0,0,0.0183822311,1.490835855,0.3103571199
75,0.859922179,0.6125314449,0,0,0,0.0164196169,1.4888732408,0.3097020657
76,0.859922179,0.6487723272,0,0.115668653,0.5853572123,0.0089507708,2.2186711423,0.5532838754
77,0.8715953307,0.6487723272,0,0.697854816,0.3508236255,0.0049681706,2.57401427,0.6718853703
78,0.8715953307,0.6487723272,0,0.7522037051,0.3178106263,0.0019878652,2.5923698545,0.6780118424
79,0.8715953307,0.6487723272,0,0.8158089982,0.2696671991,0,2.6058438552,0.6825090072
80,0.8715953307,0.5265412273,0,0.6330496861,0.3043051865,0.0322834139,2.3677748445,0.6030496387
81,0.8715953307,0.5265412273,0,0.5579425881,0.2439817855,0.0978435775,2.2979045091,0.5797292883
82,0.8638132296,0.5381680749,0,0,0,0.0059564385,1.407937743,0.2826885392
83,0.8638132296,0.5381680749,0,0,0.0064617387,0.1504903756,1.5589334188,0.3330857791
84,0.8664072633,0.539459961,0,0,0.7373000238,0,2.1431672481,0.528083234
85,0.8715953307,0.540751847,0,0,0.5982266204,0.015893373,2.0264671711,0.4891327028
86,0.8715953307,0.540751847,0,0,0,0.0279055556,1.4402527333,0.2934741879
87,0.8754863813,0.5423606169,0,0,0,0.0193584252,1.4372054234,0.2924570991
88,0.8754863813,0.5431650019,0,0,0,0.0486880715,1.4673394547,0.3025148176
89,0.8754863813,0.5431650019,0,0,0,0,1.4186513832,0.2862643892
90,0.8774319066,0.5431650019,0.0315423495,0.2241857909,0,0.0129056168,1.6892306657,0.3765745849
91,0,0.7262861415,0,0,0.8714897743,0,1.5977759158,0.3460500884
92,0.8404669261,0.41677615690000003,0,0,0.6535142724,0.0646250311,1.9753823865,0.4720823328
93,0.8054474708,0.3623235866,0.009759352,0.8095423292,0,0.1707512372,2.1578239758,0.5329751531
94,0.8054474708,0.3623235866,0,0.7559611537,0,0.0039733432,1.9277055543,0.4561694217
95,0.8054474708,0.3623235866,0,0.8353574384,0.020993149,0,2.0241216448,0.4883498456
96,0.8054474708,0.3623235866,0,0.80798108,0.1614897066,0.0044700112,2.1417118552,0.52759747319999994
97,0.8054474708,0.3623235866,0,0.6736251882,0.3527623272,0.0104206409,2.2045792137,0.5485804671
98,0.7976653696,0.4313873578,0,0,0,0.1555971902,1.3846499176,0.2749158522
99,0.7782101167,0,0,0,0,0.1767607092,0.9549708259,0.1315035314
100,0.7431906615,0.5325142065,0,0,0.5057215613,0.598347419,2.3797738483,0.6070544995
101,0.7431906615,0.5325142065,0,0,0.7403789449,0.0868907981,2.102974611,0.5146682937
102,0.6848249027,0.4606881885,0.046016088,0,0.654753875,0,1.8462830542,0.4289933503
103,0.6848249027,0.4606881885,0.046016088,0,0.5975512155,0,1.7890803947,0.4099010409
104,0.6848249027,0.4606881885,0.1062099068,0,0.5996030869,0,1.8513260849,0.4306765431
105,0.6796368353,0.4606881885,0.2377194076,0,0.5628502175,0,1.9408946489,0.4605714946
106,0.6692607004,0.2970903208,0.0244942122,0,0.5921747209,0,1.5830199543,0.34112504850000003
107,0.6692607004,0.5272823187,0.0458170296,0,0.9566063465,0.003969768,2.2029361632,0.5480320726
108,0.6692607004,0.5272823187,0.0365715658,0,0.9599074761,0.0099303769,2.2029524379,0.5480375045
109,0.6692607004,0.5272823187,0.0287150868,0,0.9599541533,0.004465989,2.1896782482,0.5436070298
