nm_regiao,id,sum_5km,hab_5km,normalized_carbon,normalized_cp,climate_added,climate_index
Sul,0,0,0.00103046013903,0,0.0013799164,0.0013799164,7.611572e-4
Sul,1,0,0.127320676289,0,0.1704984852,0.1704984852,0.0940463879
Sul,2,0,0.163168418888,0,0.2185031454,0.2185031454,0.1205255962
Sul,3,0,0.141241410853,0,0.189140109,0.189140109,0.1043290446
Sul,4,0,0.298259568703,0,0.3994072772,0.3994072772,0.2203117036
Sul,5,0,0.239871277609,0,0.3212179723,0.3212179723,0.1771827474
Sul,6,0,0.143561961963,0,0.1922476204,0.1922476204,0.1060431374
Sul,7,92243.458313,0.318153409686,0.2148904614,0.4260476459,0.6409381073,0.3535392927
Sul,8,13390.0611153,0.141856451296,0.031193501,0.1899637259,0.2211572269,0.1219895785
Sudeste,9,38986.3109169,0.0609790432443,0.0908225525,0.0816586497,0.1724812022,0.0951400479
Sudeste,10,49940.2003117,0,0.1163407453,0,0.1163407453,0.0641731617
Sudeste,11,14315.5941849,0.321807631573,0.0333496239,0.430941111,0.4642907349,0.2561011994
Sudeste,12,139775.225094,0.352037115045,0.3256205172,0.4714222119,0.7970427291,0.4396460743
Sudeste,13,0,0.209404827999,0,0.2804195438,0.2804195438,0.1546784722
Sudeste,14,175972.08276,0.179672168599,0.4099447564,0.2406037532,0.6505485096,0.3588403581
Sudeste,15,18048.3564358,0.309868694545,0.0420454709,0.4149533647,0.4569988356,0.2520790124
Sudeste,16,18162.0538921,0.310836551421,0.0423103406,0.41624944740000003,0.458559788,0.2529400285
Sudeste,17,18332.6000767,0.310473625944,0.0427076452,0.4157634443,0.4584710895,0.2528911027
Sudeste,18,6313.20257378,0.207063308706,0.0147072436,0.2772839534,0.291991197,0.1610613569
Sudeste,19,21926.9248428,0.3291214359,0.0510809881,0.4407352199,0.491816208,0.2712841573
Sudeste,20,3668.67977715,0.297350301862,0.0085465604,0.3981896539,0.4067362143,0.2243543205
Sudeste,21,27087.1198406,0.427830274306,0.063102184,0.5729188362,0.6360210202,0.3508270441
Sudeste,22,0,0.384032891244,0,0.5142686021,0.5142686021,0.283668822
Sudeste,23,23435.4178886,0.268261031458,0.0545951751,0.3592354426,0.4138306177,0.2282675694
Sudeste,24,12657.3880692,0.213693148189,0.0294866651,0.2861621468,0.3156488119,0.1741108173
Sudeste,25,158461.731083,0.42048545276,0.369152622,0.5630831914,0.9322358134,0.5142181224
Sudeste,26,229005.324186,0.406978215887,0.5334910537,0.5449952932,1.0784863469,0.5948894222
Sudeste,27,307064.683577,0.400266078053,0.7153382227,0.5360068919,1.2513451146,0.6902377339
Sudeste,28,0,0.382172868224,0,0.5117777961,0.5117777961,0.2822949018
Sudeste,29,0,0.35330613974,0,0.4731215964,0.4731215964,0.2609722728
Sudeste,30,19650.9804382,0.439390855397,0.0457789455,0.5883999161,0.6341788616,0.3498109157
Sudeste,31,0,0.217434519078,0,0.2911723155,0.2911723155,0.1606096647
Sudeste,32,2872.28284836,0.346416099673,0.0066912733,0.4638949616,0.4705862349,0.2595737759
Sudeste,33,2872.28284836,0.364960219091,0.0066912733,0.4887278823,0.4954191556,0.273271531
Sudeste,34,2872.28284836,0.436077384854,0.0066912733,0.58396276,0.5906540333,0.3258027675
Sudeste,35,2872.28284836,0.411892416295,0.0066912733,0.5515760289,0.5582673022,0.3079383562
Sudeste,36,0,0.449915574765,0,0.6024938461,0.6024938461,0.3323335682
Sudeste,37,0,0.471097162029,0,0.6308586699,0.6308586699,0.3479795091
Sudeste,38,0,0.331741802116,0,0.4442442216,0.4442442216,0.2450436105
Sudeste,39,0,0.371279107126,0,0.4971896724,0.4971896724,0.2742481421
Sudeste,40,0,0.407283504954,0,0.5454041139,0.5454041139,0.300843065
Sudeste,41,0,0.395274152304,0,0.5293220721,0.5293220721,0.2919722651
Sudeste,42,0,0.381866046048,0,0.5113669224,0.5113669224,0.2820682653
Sudeste,43,0,0.191185584617,0,0.2560216731,0.2560216731,0.1412206892
Sudeste,44,0,0.344313073,0,0.4610787429,0.4610787429,0.2543294755
Sudeste,45,0,0.28848376983,0,0.3863162464,0.3863162464,0.2130907352
Sudeste,46,158194.994852,0.359576075864,0.368531233,0.4815178337,0.8500490667,0.4688841909
Sudeste,47,371805.548719,0.417196406928,0.8661586129,0.5586787431,1.424837356,0.7859354677
Sudeste,48,191494.923746,0.313901235448,0.4461067838,0.4203534469,0.8664602307,0.4779365334
Sudeste,49,0,0.519790733646,0,0.6960655196,0.6960655196,0.383947387
Sudeste,50,0,0.593320801106,0,0.7945315777,0.7945315777,0.4382609316
Sudeste,51,0,0.593320801106,0,0.7945315777,0.7945315777,0.4382609316
Sudeste,52,0,0.160457349738,0,0.214872681,0.214872681,0.1185230443
Sudeste,53,0,0.125219290227,0,0.1676844635,0.1676844635,0.0924941831
Sudeste,54,0,0.25868695731,0,0.3464145466,0.3464145466,0.1910810925
