OID_,id,region,zone,name,lat,long,quality,frequency,direction,type,experience,numerical_direction,numerical_frequency,numerical_experience,numerical_quality,state,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex,normalized_clusters,normalized_direction,normalized_frequency,normalized_experience,normalized_quality,weighted_surf,surf_subindex,normalized_employment,normalized_hotels,normalized_airports,social_added,social_subindex,normalized_carbon,normalized_cp,climate_added,climate_index,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index,sci_wo_clim_added_indices,sci_wo_climate,sci_clim_added_indices,sci_w_climate
196,195,Sul,Rio Grande Do Sul,Hermenegildo,-33.668354,-53.262405,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,2.70169e-4,0.2083369068,0,0,0.0369840392,0.245591115,0.9452152148,0.4448335587,0.1440250977,0,0,0.329792882,0.0032838019,0.9219353403,0.0334008686,0,1,0.5,1,0.5,1.5,0.4822695993,0.0153406719,0,0,0.0153406719,0.0070938589,0,0.046503807,0.046503807,0.0293691917,0,0.0378476966,0,0,0,0,0.0378476966,0.0138369201,1.4818164617,0.2727716575,1.5111856534,0.2279260782
197,196,Sul,Rio Grande Do Sul,Navio,-32.290561,-52.258675,3,2,Right and left,Beach-break,All surfers,2,2,1,3,Rio Grande do Sul,8.28665e-5,0.2000544426,0.023098443,0,0.0171089971,0.2403447492,0.9465299665,0.4997435519,0.1746639522,0,0,0.3423568642,0.0010688114,1.0178331797,0.0710796936,0,1,0.25,1,0.5,1.5,0.4822695993,0.0827586425,0,0,0.0827586425,0.0382693886,0,0.0354285726,0.0354285726,0.0223746959,0,0.0325139577,0,0,0,0,0.0325139577,0.011886933,1.550035581,0.3020177063,1.5724102769,0.2488905733
198,197,Sul,Rio Grande Do Sul,Tres Marias,-32.192611,-52.085066,5,2,Right and left,Sand-bar,Pros or kamikaze only...,2,2,0,5,Rio Grande do Sul,0.0030118485,0.5597250165,0.0089296395,0,0.0703203932,0.6419868977,0.8458774939,0.5092173633,0.1939547331,0,0,0.5617190955,0.0035701993,1.2684613912,0.1695529917,0.058824,1,0.25,0,1,1.558824,0.5106386262,0.0413793212,0,0,0.0413793212,0.0191346943,0,0.0444147779,0.0444147779,0.0280498783,0,0.0465171814,0,7.103168e-4,0,0,0.0472274982,0.0172661266,1.5624699327,0.3073484063,1.590519811,0.255091628
199,198,Sul,Rio Grande Do Sul,Praia do Cassino,-32.178337,-52.142143,3,2,Right and left,Sand-bar,All surfers,2,2,1,3,Rio Grande do Sul,0.0064149686,0.5218236598,0.0089296395,0.0476190476,0.1265361048,0.7113234203,0.8285015974,0.507759174,0.1822245532,0,0,0.3149812353,0.0175554276,1.0225203901,0.0729213262,0.058824,1,0.25,1,0.5,1.558824,0.5106386262,0.0413793212,0,0,0.0413793212,0.0191346943,0,0.0632622659,0.0632622659,0.0399528928,0,0.0513541524,0,0.0145437265,0,0,0.0658978789,0.0240919202,1.4552881643,0.2613987771,1.4952410571,0.2224663401
200,199,Sul,Rio Grande Do Sul,Sao Jose do Norte,-32.008076,-52.01889,3,NA,Right and left,Beach-break,All surfers,2,1,1,3,Rio Grande do Sul,0.0190967952,0.3961547065,0.0089296395,0.0952380952,0.1219492602,0.6413684966,0.8460324667,0.5105416595,0.1493605052,0,0,0.0673454727,0.1096778563,0.8369254937,0,0,1,0,1,0.5,1.5,0.4822695993,0.0413793212,0,0,0.0413793212,0.0191346943,0,0.1391150182,0.1391150182,0.0878572294,0,0.0183040933,0,0,0,0,0.0183040933,0.0066918809,1.3541286412,0.2180309297,1.4419858706,0.2042307343
201,200,Sul,Rio Grande Do Sul,Quintão,-30.410782,-50.292664,3.5,3,Right and left,Sand-bar,Experienced surfers,2,3,0,3.5,Rio Grande do Sul,1.7782e-6,0.2282815838,2.486261e-4,0,0.0552115277,0.2837435158,0.9356541329,0.565630787,0.1128244528,0,0,0.3783626814,0.1049227892,1.1617407104,0.1276218087,0,1,0.5,0,0.625,1.125,0.3014184996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3646944412,0.2225605675,1.3646944412,0.1777646541
513,512,Sul,Rio Grande Do Sul,Salinas,-30.154806,-50.192222,2,2,Right and left,Beach-break,All surfers,2,2,1,2,Rio Grande do Sul,6.029563e-4,0.4504335256,0.0127808213,0,0.0814848256,0.5453021288,0.8701069257,0.6077814397,0.1197554852,0,0,0.3837369136,0.0542574448,1.1655312833,0.1291111471,0,1,0.25,1,0.25,1.25,0.3617021995,0.0898707313,0,0,0.0898707313,0.0415581724,0,0,0,0,0,0,0,0,0,0,0,0,1.4024784447,0.2387588536,1.4024784447,0.1907026276
202,201,Sul,Rio Grande Do Sul,Nova Tramandaí,-30.045257,-50.150034,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.007533993,0.5076747386,0.0132604174,0.0476190476,0.1789025636,0.7549907602,0.8175584587,0.6307218798,0.1829424379,0,0,0.3718588232,0.0863445062,1.2718676471,0.1708913297,0.176471,1,0.5,1,0.5,1.676471,0.5673761978,0.1042785088,0.0181818182,0,0.122460327,0.0566283073,0,0,0,0,0,0,0,0,0,0,0,0,1.6124542935,0.3287770772,1.6124542935,0.262602419
203,202,Sul,Rio Grande Do Sul,Oasis Sul,-30.039823,-50.147266,3,3,Right and left,Beach-break,All surfers,2,3,1,3,Rio Grande do Sul,0.007533993,0.5286178137,0.0132604174,0.0476190476,0.1882064007,0.7852376724,0.8099785109,0.6314305761,0.1817701445,0,0,0.3741837172,0.0804739551,1.2678583929,0.1693160702,0.176471,1,0.5,1,0.5,1.676471,0.5673761978,0.1042785088,0.0181818182,0,0.122460327,0.0566283073,0,0,0,0,0,0,0,0,0,0,0,0,1.6032990862,0.3248521711,1.6032990862,0.259467499
204,203,Sul,Rio Grande Do Sul,Tramandai - Malvina,-30.005490000000002,-50.129156,3.5,3,Right and left,Beach-break,All surfers,2,3,1,3.5,Rio Grande do Sul,0.0077574501,0.6453349483,0.0132604174,0.0476190476,0.2283360969,0.9423079603,0.7706163252,0.6359923314,0.171058872,0,0,0.3910775495,0.0430920156,1.2412207685,0.1588499909,0.235294,1,0.5,1,0.625,1.8602940000000001,0.6560284423,0.1042785088,0.0181818182,0,0.122460327,0.0566283073,0,0,0,0,0,0,0,0,0,0,0,0,1.6421230657,0.3414963027,1.6421230657,0.2727615804
