id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
0,0.8083724213,0.6041171268,0,0,0,0.0149696632,1.4274592113,0.2138372947
1,0.8037907389,0.5574389772,0,0,0.4136055522,0.1171947168,1.8920299851,0.3796831846
2,0.8185244361,0.4995900204,0,0,0.2423670115,0.2272743802,1.7877558482,0.3424586367
3,0.8218346926,0.4880491985,0,0,0.3036920385,0.2077919107,1.8213678403,0.3544576927
4,0.8225134721,0.5786406555,0,0.9999999999,0.0019630779,0.1091795859,2.5122967913,0.6011105888
5,0.2497651204,0.6751607719,0,0,0.6855547187,0.1769573623,1.7874379733,0.3423451594
6,0.2540115134,0.6499624508,0,0,0.6932282496,0.2026931245,1.7998953383,0.3467922811
7,0.507336205,0.6395842044,0.8577049491,0,0.581074637,0.3217327483,2.9074327438,0.7421691258
8,0.996155315,0.8087959924,0.1219956368,0,0.5717303928,0.3854850876,2.8841624246,0.7338619162
195,0.4950772846,0.0875131089,0,0,0.4226844485,0.0016578766,1.0069327186,0.063714656
196,0.5656809283,0.1667952186,0,0,0.4531156741,0.0026911754,1.1882829964,0.1284544113
197,0.5837779441,0.2068510433,0,0,0.8756013299,0,1.6662303173,0.2990755593
198,0.5777076241,0.1812145679,0,0,0.4039198821,0.014677445,1.1775195191,0.124611986
199,0.5800153491,0.1219323863,0,0,0,0.1265062339,0.8284539693,0
200,0.6553002553,-0,0,0,0.4751032421,0.020348837,1.1507523344,0.1150564396
201,0.7347546817,0.1837957199,0,0,0.4722014615,0.0047561857,1.3955080488,0.2024311338
202,0.7357593645,0.1763585436,0,0,0.4774976188,0.0118674404,1.4014829673,0.2045641041
203,0.7438265215,0.134690435,0,0,0.5120242916,0.0105708244,1.4011120725,0.2044316994
204,0.7467217895,0.120579721,0,0,0.48646658,0.0096350219,1.3634031124,0.1909700776
205,0.7630524455,0.2349785542,0,0,0.4553738929,0.0114127818,1.4648176744,0.2271737935
206,0.7602330402,0.3652613806,0,0,0.4801390059,0.0198471803,1.625480607,0.2845284282
207,0.7598701006,0.3652613806,0,0,0.4973118786,0.0198000753,1.6422434351,0.2905125458
208,0.7666060161,0.3650765395,0,0,0.4708848935,0.0096351377,1.6122025868,0.2797883429
209,0.786069612,0.3632281277,0,0,0.4618223084,0.0479319567,1.6590520048,0.2965129926
210,0.7953193992,0.3878292455,0,0,0.6191654692,0.0501543332,1.8524684471,0.365560216
211,0.818544989,0.4768321981,0,0,0.1090142535,0.2143629341,1.6187543747,0.2821272484
212,0.8182366025,0.4729861167,0,0,0.479523832,0.1121041727,1.8828507239,0.3764063045
213,0.817996524,0.4701015556,0,0,0.461157003,0.0997981925,1.8490532751,0.3643410428
214,0.8119618287,0.4817263602,0,0,0.7257350095,0.005813395,2.0252365934,0.4272362589
215,0.8171908582,0.4671400729,0,0,0.4684804957,0.0781142956,1.8309257224,0.3578697358
216,0.8173872392,0.4658433941,0,0,0.4674417513,0.0672761533,1.8179485379,0.353237045
217,0.815822186,0.4675390179,0,0,0.4967684743,0.035823261,1.8159529392,0.3525246415
218,0.8165291239,0.4652400008,0,0,0.4677245344,0.0557070294,1.8052006885,0.3486862241
219,0.8015670123,0.5011156405,0,0.262919175,0.4696504171,0.1380685379,2.1733207828,0.4801004414
220,0.8190391505,0.5059151277,0,1,0.2863021702,0.0712955985,2.6825520469,0.6618895615
221,0.8131743768,0.5396555723,0,0,0.7663229199,0.0354109862,2.1545638552,0.4734044555
222,0.8136631079,0.5418177751,0,0,0.4767002922,0.0155945876,1.8477757628,0.3638849871
223,0.8066860069,0.5935399399,0,0,0,0.0537040113,1.4539299581,0.2232870165
224,0.8069433641,0.6041018369,0,0,0,0.0166262217,1.4276714227,0.2139130515
225,0.8074873235,0.6042621316,0,0,0,0.0172977127,1.4290471678,0.2144041751
226,0.807829131,0.6039162893,0,0,0,0.0112674026,1.4230128229,0.2122499903
227,0.8079765774,0.6038276983,0,0,0,0.0112655087,1.4230697844,0.2122703248
228,0.8083724213,0.6034839863,0,0,0,0.0112668614,1.423123269,0.2122894181
229,0.804846906,0.5780137137,0,0,0.0826948925,0.0754961748,1.541051687,0.2543883717
230,0.8044341318,0.5696889175,0,0,0.1803234603,0.080370976,1.6348174856,0.2878615758
231,0.8037907389,0.5626051694,0,0,0.3561337891,0.0955858528,1.8181155502,0.3532966663
232,0.8044341318,0.5504007771,0,0,0.6192664449,0.0924344553,2.0665358091,0.4419795565
233,0.8037907389,0.550901183,0,0,0.1689215761,0.1474630008,1.6710764988,0.3008055848
234,0.8083991478,0.5135499441,0,0,0.2137375185,0.0430577723,1.5787443827,0.2678441873
235,0.8086674832,0.5041805958,0,0,0.2083265189,0.0456724117,1.5668470096,0.2635969756
236,0.8182571806,0.4832858858,0,0,0.2074701991,0.2368303986,1.7458436641,0.3274965171
237,0.8191765235,0.5087680068,0,0,0.2736891063,0.2135194484,1.815153085,0.3522391037
238,0.826409216,0.4894529157,0,0,0.1884249375,0.0433220778,1.547609147,0.256729302
239,0.8302668366,0.5046197493,0,0,5.833222e-4,0.0743579258,1.4098278339,0.207543116
240,0.8314955993,0.5064011438,0,0,0,0.1177686099,1.455665353,0.2239065305
241,0.8303665419,0.5080179593,0,0,0,0.1374852758,1.475869777,0.2311192543
242,0.8287869934,0.5063285939,0,0,0,0.1406450806,1.4757606679,0.2310803037
243,0.8292047581,0.5039626634,0,0,0,0.1514193993,1.4845868208,0.2342311287
244,0.8275319366,0.500816081,0,0,0,0.2180237165,1.5463717341,0.2562875612
245,0.8252157222,0.500816081,0,0,0,0.2055452703,1.5315770735,0.2510060545
246,0.8167872753,0.5136527291,0,0,0,0.1697777778,1.5002177822,0.2398111842
247,0.8252157222,0.5231113119,0,0,0,0.2923769853,1.6407040194,0.2899629939
248,0.8314203393,0.5332455078,0,0,0,0.3658076285,1.7304734756,0.3220095543
249,0.8302341868,0.5370534187,0,0,0,0.3393234642,1.7066110697,0.3134909772
250,0.817540375,0.5653112905,0,0.5525852229,0,0.2093531723,2.1447900607,0.4699153345
251,0.8250870436,0.5690398699,0,0.9500347493,5.61871e-5,0.1729990743,2.5172169242,0.602867014
252,0.831644504,0.5804040756,0.023730775,0.6922565069,0.1854623424,0.3100875646,2.6235857685,0.640839346
253,0.6878637129,0.612412544,0,0,0.0591313271,0.8871321901,2.2465397741,0.5062386952
254,0.600541336,0.6211231499,0,0,0.0086821488,1,2.2303466347,0.5004579492
255,0.2924476398,0.6475225736,0,0,0.3238877479,0.3919095991,1.6557675604,0.2953404875
256,0.3390680536,0.6458109272,0,0,0.3370104086,0.5832982589,1.9051876483,0.384380304
257,0.4016627582,0.6275382645,0,0,0.288313905,0.7750955233,2.092610451,0.4512878739
258,0.3731568715,0.6098663536,0,0,0.3585281292,0.5171878786,1.8587392329,0.3677988072
259,0.3467293782,0.5985980151,0,0,0.3779714495,0.3877105042,1.711009347,0.3150611065
260,0.2548479242,0.5725743138,0.1384734711,0,0.5248636633,0.2025830344,1.6933424068,0.3087542324
261,0.2548479242,0.5636519019,0.3305877552,0,0.5084623516,0.2364260982,1.8939760311,0.3803778985
