id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
9,0.8925415694,0.5385404307,0.1539405311,0,0,0.2023108538,1.787333385,0.454997982
10,0.6952597074,0.5437152482,0.1764712147,0,0,0.1071264583,1.5225726286,0.3480507727
11,0.9083449081,0.7043811764,0.0415754071,0,0,0.1463934922,1.8006949838,0.4603952536
12,0.9038707709,0.7924069006,0.3541408654,0,0,0.2187503351,2.269168872,0.6496301526
13,0.9141836724,0.8274542435,0,0,0,0.194799603,1.9364375189,0.5152269647
14,0.9001019467,0.704357923,0.4310194032,0,0,0.1512193446,2.1866986175,0.6163171961
15,0.8910310092,0.7542053753,0.0693296077,0,0.0557082419,0.2145194284,1.9847936625,0.5347598996
16,0.8906814194,0.7539976616,0.0693296077,0,0.0327379325,0.2204801959,1.9672268171,0.5276639647
17,0.8946557043,0.7525638267,0.0693296077,0,0.3715253596,0.1979493363,2.2860238346,0.6564385302
18,0.8981049911,0.7214884728,0.0292754684,0,0.2718763214,0.1576009246,2.0783461783,0.5725494143
19,0.8948519653,0.7508420556,0.0826629082,0,0.1044974291,0.2243531448,2.057207503,0.5640106778
20,0.8988147805,0.743097825,0,0,0.4907265792,0.1402753552,2.2729145399,0.6511431741
21,0.8946066391,0.749188612,0.0677718658,0,0,0.2237781244,1.9353452413,0.5147857512
22,0.8944520092,0.749517215,0,0,0,0.2425901948,1.886559419,0.4950792523
23,0.9155084341,0.7422120753,0.0827771264,0,0.0996087773,0.1599768343,2.0000832474,0.5409359601
24,0.9206118569,0.7422120753,0.0229522844,0,0.0991764283,0.1300722132,1.9150248581,0.5065775548
25,0.8995071063,0.7188721573,0.3649221325,0,0,0.66262963,2.6459310261,0.8018191005
26,0.9193819364,0.7341971213,0.5479354476,0,0,0.5227222081,2.7242367134,0.8334498258
27,0.9275409642,0.746067247,0.7635544713,0,0,0.5149521769,2.9521148594,0.9254987084
28,0.8183101808,0.6381371581,0,0,0,0.8216972628,2.2781446017,0.6532558004
29,0.8023639757,0.5975103538,0,0,0,0.6633106178,2.0631849473,0.566425201
30,0.9380293822,0.5856826417,0.0988419741,0,0,0.5826763988,2.2052303968,0.6238029054
31,0.8840613853,0.5732574988,0,0,0,0.6736320304,2.1309509145,0.5937985217
32,0.9060001058,0.5671770519,0,0,0,0.6193579244,2.0925350821,0.5782808667
33,0.9080505166,0.5672841756,0,0,0,0.6257557104,2.1010904026,0.5817366948
