id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
93,0.9963068633,0.4528652669,0.0737850872,0.8345601704,0.1980012473,0.6514227354,3.2069413705,0.8331116742
94,0.9973590282,0.4557926415,0.0762753727,0.7930401153,0.2263665024,0.6121812065,3.1610148666,0.8157900611
95,0.9979649854,0.4538730134,0.0767261706,0.7466796835,0.2191194498,0.5922019938,3.0865652965,0.787710705
96,0.9984777185,0.4551393267,0.0768916812,0.7075892073,0.2096542442,0.562949889,3.0107020669,0.759098174
97,0.9988314308,0.4562162969,0.0770335065,0.6724625123,0.2002364741,0.5419193946,2.9466996152,0.734959047
98,1,0.4310444113,0.0112396644,0,0.021633941,0.8001684872,2.2640865039,0.4775050876
99,0.9739034657,0.3933474128,0.0040274557,0,0.069608446,0.889549643,2.3304364232,0.5025295841
100,0.945176836,0.5057418407,0.0123071847,0,0.3507875495,0.8234640791,2.63747749,0.6183330122
101,0.9382533204,0.5208317027,0.0152523638,0,0.5167751922,0.6939439716,2.6850565507,0.6362779027
102,0.8510218232,0.4480001442,0.0265273562,0,0.627959152,0.0392358379,1.9927443135,0.3751658268
103,0.8507034795,0.4440030959,0.027515144,0,0.6396130163,0.0429707372,2.0048054729,0.3797148066
104,0.8489457105,0.4300894298,0.0282587129,0,0.6735648823,0.060304702,2.0411634375,0.3934275551
105,0.8475232577,0.4244859575,0.0299598462,0,0.6777562451,0.0729865562,2.0527118627,0.3977831524
106,0.8444136982,0.425727592,0.0475314414,0,0.65576172,0.1002394803,2.0736739319,0.405689194
107,0.8397004304,0.4383993724,0.0519875237,0,0.5847358463,0.1382490683,2.0530722411,0.3979190725
108,0.8384734037,0.4490309356,0.0488066254,0,0.5461116425,0.1655306688,2.047953276,0.3959884066
109,0.8376557143,0.45326006680000003,0.0460097896,0,0.539486102,0.1737195488,2.0501312215,0.3968098392
110,0.8347770679,0.4552056098,0.0380450168,0,0.6243889566,0.132778951,2.0851956021,0.4100347004
111,0.8346980194,0.4619527065,0.0395789628,8.086e-7,0.6072807373,0.1385154055,2.0820266401,0.4088394965
112,0.8356615142,0.4617136894,0.0373215309,0,0.5464497066,0.1879102135,2.0690566546,0.4039477444
113,0.8345899771,0.4690921549,0.0402811634,7.432696e-4,0.5956777648,0.1398045598,2.0801888896,0.4081463717
114,0.8345604266,0.4749244142,0.0407761927,0.0041870766,0.5750120707,0.142303344,2.0717635248,0.404968666
115,0.8344837961,0.4786318283,0.0409346678,0.0068784872,0.5636382521,0.1429892577,2.0675562892,0.4033818675
116,0.8344156728,0.4790443395,0.0403078855,0.010166926,0.5571656865,0.1334187665,2.0545192768,0.3984648356
117,0.8349521035,0.5152278393,0.0396810747,0.0769011514,0.4012964458,0.1672484172,2.0353070319,0.3912187566
118,0.8352103852,0.5235203062,0.0391593952,0.1107967718,0.3524289536,0.1866442947,2.0477601067,0.395915551
119,0.8362805203,0.5446667645,0.0268887153,0.2936793321,0.1568635216,0.2147211341,2.0730999879,0.4054727257
120,0.8362922852,0.5482737617,0.0255255455,0.490805595,0.0354875698,0.2728401747,2.2092249319,0.4568135294
121,0.8238174642,0.5590513008,0.0755784881,0.5449618278,9.936575e-4,0.3676755329,2.3720782713,0.5182351991
122,0.8236606545,0.4924079221,0.0577899129,0.5645637237,0.0296490766,0.4418131951,2.4098844849,0.5324941683
123,0.8046241202,0.6401232788,0.0279368097,0.6005808109,0,0.3675438576,2.4408088772,0.5441575939
124,0.8016395965,0.5982025302,0.0482316594,0,0.2495309134,0.4776358011,2.1752405006,0.4439959813
125,0.8021810667,0.4957712805,0.0116764219,0,0.2878246181,0.3478444934,1.9452978806,0.3572709581
126,0.8002512697,0.5026339172,0.1298845442,0.0443892476,0.1346012579,0.2287997195,1.8405599561,0.3177680641
127,0.7988753003,0.7208188691,0.6110603353,0.0215878218,0.04558768,0.3379223942,2.5358524007,0.5800041533
128,0.7821242415,0.7261114602,0.4183758247,0,0.2916188094,0.2210845376,2.4393148734,0.5435941163
129,0.6298789386,0.7223155198,0.1684903764,0.0202728415,0.1967870114,0.2273793672,1.9651240549,0.3647485863
130,0.6186399401,0.705169158,0.1374590014,0.0734703188,0.2144671277,0.2165715767,1.9657771227,0.364994897
131,0.6394645055,0.5973928678,0.0808618793,0.1147167377,0.3558596055,0.1374758238,1.9257714196,0.3499063695
132,0.809355695,0.5359811779,0.111232955,0.2141344002,0.4402679661,0.2172949551,2.3282671493,0.5017114221
133,0.805474544,0.5495186139,0,0.6420583588,0.5978385782,0.0690246865,2.6639147814,0.6283040855
134,0.8478456345,0.4082462359,0.0282709382,0.1372941944,0.6152973886,0.0632048222,2.1001592138,0.4156783674
135,0.8518904716,0.395654271,0.1298984001,0.4084626394,0.5121134069,0.0674150306,2.3654342196,0.5157293324
136,0.8570524656,0.3955849289,0.1286501399,0.799503538,0.5271360529,0.0802012118,2.7881283371,0.675152397
137,0.8642919749,0.4808424614,0.1230580316,1,0.5198666046,0.2109154621,3.1989745346,0.8301069071
138,0.8645463767,0.6135594326,0.0661615364,0.3833484286,0.446715495,0.1812766123,2.5556078816,0.5874551189
139,0.8699232496,0.6971154565,0.0737862331,0,0.4366123815,0.1804689733,2.257906294,0.4751741633
140,0.8775710817,0.6823601986,0.0895447839,0,0.5788533443,0.1870864976,2.4154159061,0.5345803959
141,0.8723731675,0.6463442815,0.4781478539,0,0.2571640749,0.2440911653,2.4981205431,0.5657732281
142,0.8686795987,0.6573316048,0.459799102,0,0.4882514648,0.1389868397,2.61304861,0.6091194302
143,0.8685161018,0.6576675613,0.4575784592,0,0.4989267712,0.1482827392,2.6309716327,0.61587926690000006
144,0.8679552165,0.6577101413,0.455928838,0,0.515103976,0.1490432406,2.6457414124,0.6214498283
145,0.8665543342,0.6617030882,0.4438755009,0,0.6112922583,0.1177630062,2.7011881878,0.6423621015
146,0.8662812431,0.6627504492,0.1106128597,0.4545611315,0.4687399595,0.3757922208,2.9387378638,0.7319561975
147,0.8573140393,0.6298064667,0.2070387969,0.7762801148,0.1938303358,0.4874400759,3.1517098294,0.8122805787
148,0.8562058677,0.597996445,0.260143601,0.9149119001,0.0081208894,0.463092843,3.1004715462,0.792955578
149,0.8511725599,0.5581952013,0.2653984334,0.5721480882,0,0.2804242014,2.5273384842,0.5767930496
150,0.8464832882,0.7356821312,0.4171112683,0.072337083,0,0.3582793152,2.4298930859,0.5400406005
151,0.8260428188,0.7331853539,0.5642864699,0.3106150372,0.563065628,0.2647723835,3.2619676913,0.853865369
152,0.8268197689,0.713506283,0.3272801479,0.7003077996,0.4453348069,0.2829828228,3.2962316291,0.8667883356
153,0.8250623408,0.8082470429,0.4616236543,0.9825912359,0.2622732947,0.248987216,3.5887847846,0.9771275116
154,0.8247998139,0.8148154944,0.4423256283,0.9902868896,0.2250015662,0.2384410428,3.5356704352,0.9570949348
155,0.8133386146,0.7638191885,0.2041909191,0.5430768664,0.1994416014,0.4436654509,2.9675326409,0.7428164187
156,0.7327642095,0.6709340703,0.8760397104,0.5022094416,0.4756832318,0.3703532825,3.6279839461,0.9919118443
157,0.6774875001,0.9541584383,0.0153741473,0,0.6166181949,0.2707230434,2.534361324,0.5794417797
158,0.6744385935,1,0.1010555384,0,0.6276849933,0.3190732602,2.7222523854,0.6503066619
159,0.6738962617,0.9941839386,0.1640182622,0,0.6359445808,0.3390013114,2.8070443547,0.6822867511
160,0.6733128844,0.9749707277,0.2275605995,0,0.6546496799,0.3589869347,2.8894808262,0.7133784422
161,0.6728190919,0.9515691876,0.2429204306,0,0.6799963456,0.3786269867,2.9259320424,0.7271263614
162,0.6728866353,0.9202893045,0.2894231004,0,0.6281336478,0.4390130383,2.9497457263,0.7361079164
163,0.6668657712,0.7112420431,0.1414581731,0,0.9461902227,0.2450248248,2.7107810349,0.6459801341
164,0.6642365744,0.6928853269,0.0589571349,0,0.9997657727,0.1887238807,2.6045686896,0.6059211484
165,0.6638757637,0.6974082006,0.0518760482,0,1,0.1803113824,2.5934713949,0.6017356993
166,0.6636599766,0.6964325404,0.0516621637,0,0.9956462181,0.1797985203,2.5871994191,0.5993701646
167,0.6623194872,0.5049618952,0.1062115685,0,0.7581789761,0.2744597943,2.3061317213,0.4933628371
168,0.6508241246,0.5313572972,0.0767592771,0,0.5712710457,0.3147042323,2.1449159769,0.4325588018
169,0.6482779187,0.5502976829,0.0715903483,0.0028517682,0.6903335805,0.2550121553,2.2183634539,0.460260209
170,0.6474168462,0.5665362758,0.0659844251,0.0353876139,0.7325864906,0.2364828207,2.2843944723,0.485164429
171,0.6457221227,0.6095626032,0.0552667084,0.3153819111,0.4733214652,0.3964775183,2.4957323289,0.5648724907
172,0.6353371896,0.7378809235,0.1354697892,0.4041202671,0.599461142,0.2093759508,2.7216452622,0.6500776796
173,0.6352549441,0.7379122083,0.143228405,0.3971781619,0.5825687202,0.2150630882,2.7112055277,0.6461402355
174,0.6348070774,0.7380771645,0.1628997569,0.3522517176,0.5346620862,0.2360357156,2.6587335182,0.62634992330000006
175,0.6294269513,0.6755529405,0.1536810546,0.0366028229,0.6093110681,0.2527550833,2.3573299207,0.5126727198
176,0.6204449495,0.8889318927,0.4561437708,0,0.5203476588,0.2137620681,2.6996303399,0.6417745445
177,0.4482063823,0.8110867864,0,0.1773332159,0.1042006767,0.5382409862,2.0790680475,0.4077236355
178,0.5224983733,0.8178351616,0,0.1079347389,0.29073479,0.5098599943,2.2488630581,0.4717634218
179,0,0.7691007686,0.1899265032,0,0.1502403569,0,1.1092676287,0.0419542803
180,0.6409404763,0.8408369756,0.1188127444,0.2074214735,0.009789672,0.1183399546,1.9361412964,0.3538174662
181,0.6413194474,0.8317937834,0.1161353254,0.1904192116,0,0.1026845651,1.8823523329,0.3335304524
182,0.6433456051,0.8018602053,0.0828822878,0.2294590503,0,0.1750833221,1.9326304706,0.3524933252
183,0.6452201767,0.8470807868,0,0.4287124208,0.2425130163,0.3672900284,2.530816429,0.5781047892
184,0.6449906803,0.8782565842,0,0.6232447856,0,0.5918283102,2.7383203603,0.6563668498
185,0.6416739284,0.8812663011,0.0943043072,0.5771427507,0.0353281766,0.6094226253,2.8391380893,0.6943912052
