id,normalized_terr_rich,normalized_mar_rich,normalized_marine_eco,normalized_terr_pa,normalized_ocean_pa,normalized_tree_cover,added_biodiversity,biodiversity_subindex
0,0.6860194951,0.3845038172,0,0,0.0874586154,0.0196889304,1.1776708581,0.1338808574
1,0.6852259184,0.3588780353,0,0,0.3018334224,0.0614465793,1.4073839554,0.2241364841
2,0.6688059722,0.3387652496,0,0,0.1058451925,0.0664438468,1.1798602611,0.1347410867
3,0.6981121883,0.336516233,0,0,0.0802221742,0.0825219244,1.1973725199,0.1416217562
4,0.7020987154,0.3819954533,0.0054908553,0.0780646518,0.0503026786,0.2007507377,1.4187030921,0.2285838395
5,0.2534219167,0.4086865309,0.0046761087,0,0.4591057143,0.3088580287,1.4347482993,0.2348880958
6,0.2586885245,0.408818545,0.002790629,0,0.5609946119,0.1491587356,1.380451046,0.2135543856
7,0.4712457159,0.3979701952,0.0497402553,0,0.5062310599,0.2413430988,1.6665303251,0.3259566167
8,0.8334698371,0.4618703815,0.1514275394,0,0.4481243047,0.3892742683,2.284166331,0.5686294353
9,0.8462550835,0.4997737689,0.0673094635,0.0149973433,0,0.3910974017,1.8194330609,0.3860330007
10,0.7498119915,0.5309780651,0.104242728,0.0146634986,0,0.3054616899,1.7051579731,0.3411336467
11,0.8965752123,0.612818812,0.0188427886,0,0,0.392555838,1.9207926509,0.4258577796
12,0.9287034521,0.6550627839,0.0423379515,0,0,0.4539956221,2.0800998096,0.4884504991
13,0.93175861,0.6552878142,0.0038013258,0,0,0.4370724247,2.0279201747,0.4679488137
14,0.9320283241,0.6052028175,0.1699103847,0,0.0463876646,0.2722737801,2.025802971,0.4671169519
15,0.9144963232,0.6248039356,0.0115072154,0,0.2182357639,0.1107620331,1.8798052712,0.4097535971
16,0.9146958772,0.6246354145,0.0130821173,0,0.1973270316,0.1242724625,1.8740129031,0.4074777416
17,0.9179191604,0.6232863792,0.0111208109,0,0.2517105034,0.1281439869,1.9321808408,0.4303322664
18,0.9274978331,0.6084989322,0.1362811909,0,0.1991181572,0.1957362726,2.067132386,0.4833555221
19,0.9174094467,0.6238558245,0.0175042956,0,0.1878974448,0.1440361474,1.890703159,0.4140354413
20,0.9252784312,0.6145819887,0.0518881606,0,0.2187422609,0.1526085405,1.9630993819,0.442480343
21,0.916706387,0.6225830995,0.132053832,0,0.0068923408,0.326427681,2.0046633403,0.4588110667
22,0.9113964473,0.6230981545,0.1128350496,0,0,0.3174465305,1.9647761819,0.4431391676
23,0.9295548876,0.6139896024,0.1636654175,0,0.1059461843,0.317362109,2.1305182008,0.5082601815
24,0.9342823021,0.6075613103,0.1796638335,0,0.1000008257,0.3390613409,2.1605696125,0.5200675578
25,0.9062322632,0.6082697785,0.2454871489,0,0,0.6514298446,2.4114190352,0.6186277711
26,0.8733142566,0.6070700557,0.1492676183,0,0,0.6380746883,2.2677266189,0.5621701758
27,0.9261913828,0.6080051193,0.1120826585,0,0,0.7440427762,2.3903219368,0.6103385971
28,0.6976351346,0.5567788725,0,0,0,0.8742230479,2.128637055,0.5075210682
29,0.6936858595,0.550978795,0,0,0,0.7676203219,2.0122849764,0.4618056523
30,0.9576975113,0.5488810928,0.0216704842,0,0,0.6738423973,2.2020914856,0.5363817459
31,0.7717003994,0.5413434286,0,0,0,0.7191453645,2.0321891925,0.4696261359
32,0.8828921317,0.5363264851,0,0,0,0.7182951269,2.1375137437,0.5110087714
33,0.8917882893,0.5361706324,0,0,0,0.7040472098,2.1320061315,0.5088447982
34,0.8879878464,0.5358141199,0,0,0,0.6887284499,2.1125304162,0.5011926751
35,0.9003222385,0.5353526904,0,0,0,0.7175116783,2.1531866072,0.5171667316
36,0.8647245288,0.5342818955,0,0,0,0.7049393566,2.1039457809,0.4978197214
37,0.8653265449,0.53338215,0,0,0,0.7287631427,2.1274718376,0.5070632474
38,0.9111247918,0.5312166757,0.0268361374,0,0,0.7308868209,2.2000644258,0.5355853022
39,0.8957717893,0.5529576904,0.1498571999,0,0,0.9375791664,2.536165846,0.6676415266
40,0.9122041197,0.5023533813,0.2997143998,0,0,0.8960096525,2.6102815533,0.6967620239
