nm_regiao,id,sum_5km,hab_5km,normalized_carbon,normalized_cp,climate_added,climate_index
Sudeste,9,38986.3109169,0.0609790432443,0.1048567216,0.1027758392,0.2076325608,0.054541159
Sudeste,10,49940.2003117,0,0.1343180608,0,0.1343180608,0.0081922399
Sudeste,11,14315.5941849,0.321807631573,0.0385029062,0.5423838689,0.5808867751,0.2905098879
Sudeste,12,139775.225094,0.352037115045,0.3759363613,0.5933335127,0.969269874,0.5360429929
Sudeste,13,0,0.209404827999,0,0.35293694,0.35293694,0.1464015811
Sudeste,14,175972.08276,0.179672168599,0.473290631,0.3028246579,0.7761152889,0.4139320021
Sudeste,15,18048.3564358,0.309868694545,0.0485424612,0.5222616399,0.5708041011,0.2841356913
Sudeste,16,18162.0538921,0.310836551421,0.0488482594,0.5238928938,0.5727411532,0.2853602822
Sudeste,17,18332.6000767,0.310473625944,0.0493069567,0.5232812087,0.5725881654,0.2852635644
Sudeste,18,6313.20257378,0.207063308706,0.016979850300000002,0.3489904758,0.3659703261,0.1546411975
Sudeste,19,21926.9248428,0.3291214359,0.0589741732,0.5547107657,0.6136849389,0.3112446599
Sudeste,20,3668.67977715,0.297350301862,0.0098672002,0.5011627796,0.5110299798,0.2463469058
Sudeste,21,27087.1198406,0.427830274306,0.0728529198,0.7210774905,0.7939304103,0.4251945985
Sudeste,22,0,0.384032891244,0,0.6472601172,0.6472601172,0.3324706551
Sudeste,23,23435.4178886,0.268261031458,0.0630313829,0.4521348838,0.5151662667,0.2489618377
Sudeste,24,12657.3880692,0.213693148189,0.0340430317,0.3601645986,0.3942076303,0.1724926256
Sudeste,25,158461.731083,0.42048545276,0.4261951755,0.7086983163,1.1348934918,0.6407490969
Sudeste,26,229005.324186,0.406978215887,0.615927667,0.6859328295,1.3018604965,0.7463044808
Sudeste,27,307064.683577,0.400266078053,0.8258743976,0.6746199987,1.5004943963,0.8718794564
Sudeste,28,0,0.382172868224,0,0.6441251807,0.6441251807,0.3304887699
Sudeste,29,0,0.35330613974,0,0.5954723635,0.5954723635,0.2997307959
Sudeste,30,19650.9804382,0.439390855397,0.0528528434,0.7405620275,0.7934148709,0.424868678
Sudeste,31,0,0.217434519078,0,0.3664704131,0.3664704131,0.154957349
Sudeste,32,2872.28284836,0.346416099673,0.0077252286,0.5838596911,0.5915849197,0.2972731809
Sudeste,33,2872.28284836,0.364960219091,0.0077252286,0.6151144851,0.6228397137,0.3170322451
Sudeste,34,2872.28284836,0.436077384854,0.0077252286,0.7349774086,0.7427026372,0.3928087551
Sudeste,35,2872.28284836,0.411892416295,0.0077252286,0.6942153647,0.7019405933,0.3670392733
Sudeste,36,0,0.449915574765,0,0.7583006932,0.7583006932,0.4026697381
Sudeste,37,0,0.471097162029,0,0.7940007516,0.7940007516,0.4252390677
Sudeste,38,0,0.331741802116,0,0.5591272066,0.5591272066,0.2767536395
Sudeste,39,0,0.371279107126,0,0.6257645214,0.6257645214,0.3188812883
Sudeste,40,0,0.407283504954,0,0.6864473725,0.6864473725,0.3572445664
Sudeste,41,0,0.395274152304,0,0.666206463,0.666206463,0.3444484037
Sudeste,42,0,0.381866046048,0,0.6436080538,0.6436080538,0.3301618459
Sudeste,43,0,0.191185584617,0,0.3222297015,0.3222297015,0.1269886776
Sudeste,44,0,0.344313073,0,0.5803151893,0.5803151893,0.2901485354
Sudeste,45,0,0.28848376983,0,0.4862188706,0.4862188706,0.2306614944
Sudeste,46,158194.994852,0.359576075864,0.4254777676,0.6060398948,1.0315176624,0.5753956136
Sudeste,47,371805.548719,0.417196406928,1,0.7031548635,1.7031548635,1
Sudeste,48,191494.923746,0.313901235448,0.5150405216,0.5290582007,1.0440987223,0.5833492725
Sudeste,49,0,0.519790733646,0,0.8760703024,0.8760703024,0.4771228693
Sudeste,50,0,0.593320801106,0,1,1,0.5554703657
Sudeste,51,0,0.593320801106,0,1,1,0.5554703657
Sudeste,52,0,0.160457349738,0,0.2704394477,0.2704394477,0.0942472379
Sudeste,53,0,0.125219290227,0,0.2110482053,0.2110482053,0.0567005058
Sudeste,54,0,0.25868695731,0,0.4359984629,0.4359984629,0.1989125005
Sudeste,55,0,0.458012932999,0,0.7719482144,0.7719482144,0.4112976065
Sudeste,56,0,0.213448907589,0,0.3597529485,0.3597529485,0.1507106145
Sudeste,57,0,0.157629408607,0,0.2656731541,0.2656731541,0.0912340201
Sudeste,58,0,0.197903449151,0,0.3335521842,0.3335521842,0.1341466727
Sudeste,59,131.735664368,0.247571108664,3.543133e-4,0.4172634909,0.4176178042,0.1872923754
Sudeste,60,0,0.203663406076,0,0.3432601818,0.3432601818,0.1402840016
Sudeste,61,0,0.185681109206,0,0.3129522998,0.3129522998,0.1211235685
Sudeste,62,0,0.141769041147,0,0.2389416331,0.2389416331,0.0743345377
Sudeste,63,31.9377346039,0.44439260359,8.5899e-5,0.7489921182,0.7490780172,0.3968392262
Sudeste,64,0,0.138334803089,0,0.2331534691,0.2331534691,0.0706753005
Sudeste,65,0,0.14933399338,0,0.2516918219,0.2516918219,0.0823951187
Sudeste,66,0,0.263560846655,0,0.4442130567,0.4442130567,0.2041057098
Sudeste,67,8504.64204025,0.297481923129,0.0228738976,0.5013846179,0.5242585155,0.2547098945
Sudeste,68,0,0.219127672548,0,0.3693241028,0.3693241028,0.1567614319
Sudeste,69,111.374469757,0.30444638818,2.995503e-4,0.5131227282,0.5134222785,0.2478593005
Sudeste,70,133466.184797,0.350715113709,0.3589677057,0.5911053734,0.9500730791,0.5239069121
Sudeste,71,124842.602213,0.260273998155,0.3357739083,0.4386733074,0.7744472157,0.4128774578
Sudeste,72,3672.81084061,0.321500989486,0.009878311,0.5418670454,0.5517453564,0.2720868849
Sudeste,73,0,0.29984814648,0,0.505372719,0.505372719,0.2427704247
Sudeste,74,0,0.189525121424,0,0.3194311089,0.3194311089,0.1252194267
Sudeste,75,0,0.186173954878,0,0.3137829561,0.3137829561,0.1216487037
Sudeste,76,0,0.185895575828,0,0.313313768,0.313313768,0.1213520862
Sudeste,77,4009.57268906,0.323447939734,0.0107840582,0.5451484916,0.5559325498,0.2747339996
Sudeste,78,4009.57268906,0.323447939734,0.0107840582,0.5451484916,0.5559325498,0.2747339996
Sudeste,79,4009.57268906,0.360842273702,0.0107840582,0.6081739811,0.6189580393,0.3145782775
Sudeste,80,4009.57268906,0.390719610874,0.0107840582,0.6585301074,0.6693141656,0.3464130717
Sudeste,81,4009.57268906,0.372737988599,0.0107840582,0.6282233623,0.6390074205,0.3272533574
Sudeste,82,2208.23900986,0.152241761621,0.0059392309,0.2565926584,0.2625318893,0.0892481342
Sudeste,83,182.336872101,0.437792340244,4.904092e-4,0.7378678439,0.7383582531,0.3900622656
Sudeste,84,0,0.424779445035,0,0.7159355348,0.7159355348,0.3758867784
Sudeste,85,0,0.459533847144,0,0.774511607,0.774511607,0.4129181655
Sudeste,86,0,0.382484456242,0,0.6446503401,0.6446503401,0.3308207721
Sudeste,87,0,0.160673262911,0,0.270803354,0.270803354,0.0944772969
Sudeste,88,0,0.162169389417,0,0.2733249687,0.2733249687,0.0960714443
Sudeste,89,14122.2547417,0.313141361829,0.0379829047,0.5277774877,0.5657603924,0.2809470936
Sudeste,90,22351.7939301,0.320825761904,0.0601168918,0.5407289974,0.6008458892,0.3031279016
Sudeste,91,0,0.478514038339,0,0.806501369,0.806501369,0.4331418715
Sudeste,92,163188.670492,0.573800461568,0.4389086474,0.9670998564,1.4060085038,0.8121461296
Sudeste,329,99109.6818295,0.405255339164,0.2665632134,0.6830290433,0.9495922567,0.5236029396
Sudeste,330,0,0.592109549378,0,0.9979585214,0.9979585214,0.5541797571
Sudeste,332,26749.5425491,0.286547797684,0.0719449794,0.4829559273,0.5549009067,0.2740818019
Sudeste,333,27952.5822639,0.303063916425,0.0751806485,0.5107926704,0.5859733189,0.2937255657
Sudeste,334,24202.3159084,0.36836880993,0.0650940148,0.6208594225,0.6859534373,0.356932304
Sudeste,335,18019.1071072,0.2419027854,0.0484637929,0.4077099353,0.4561737282,0.2116671635
Sudeste,336,3640.19184113,0.244075218805,0.0097905797,0.4113714172,0.4211619969,0.1895329895
Sudeste,337,3290.10067368,0.235966117845,0.0088489822,0.3977041044,0.4065530866,0.1802973376
Sudeste,338,463.228996277,0.398493131712,0.0012458905,0.6716318238,0.6728777143,0.3486659225
Sudeste,339,0,0.320700711916,0,0.5405182345,0.5405182345,0.2649891762
Sudeste,340,199617.863016,0.374243375154,0.5368877998,0.6307605843,1.1676483841,0.6614565129
Sudeste,341,113047.202354,0.377043803189,0.3040492611,0.6354805065,0.9395297676,0.5172415036
Sudeste,342,125821.511021,0.380304499689,0.3384067598,0.6409761785,0.9793829383,0.5424364021
Sudeste,343,216352.152063,0.371205143034,0.5818959744,0.6256398602,1.2075358346,0.6866730829
Sudeste,344,0,0.28371666977,0,0.4781842626,0.4781842626,0.2255820709
Sudeste,345,289815.406248,0.427787192181,0.7794811219,0.7210048786,1.5004860005,0.8718741486
Sudeste,346,0,0.270632820635,0,0.4561323657,0.4561323657,0.2116410144
Sudeste,347,0,0.24666296134,0,0.4157328731,0.4157328731,0.186100735
Sudeste,348,0,0.390121146529,0,0.6575214383,0.6575214383,0.3389577912
Sudeste,349,0,0.342538467132,0,0.5773242173,0.5773242173,0.2882576636
Sudeste,350,19650.9804382,0.434695124426,0.0528528434,0.732647707,0.7855005504,0.4198652994
Sudeste,351,0,0.420263185592,0,0.7083237008,0.7083237008,0.3710746297
Sudeste,352,2843.90916634,0.230633710897,0.0076489153,0.3887167119,0.3963656272,0.1738568963
Sudeste,353,2872.28284836,0.329351801182,0.0077252286,0.55509903,0.5628242586,0.2790908901
Sudeste,354,49986.4995384,0.502995263054,0.1344425862,0.8477627316,0.9822053178,0.5442206909
Sudeste,355,28.3736820221,0.447684318044,7.63132e-5,0.7545400687,0.7546163819,0.400340542
Sudeste,356,0,0.303024166416,0,0.5107256746,0.5107256746,0.2461545262
Sudeste,357,0,0.340855230432,0,0.5744872416,0.5744872416,0.2864641472
Sudeste,358,0,0.339892278543,0,0.5728642547,0.5728642547,0.2854381061
Sudeste,359,0,0.344958173936,0,0.581402461,0.581402461,0.290835901
Sudeste,360,0,0.36107266148,0,0.6085622834,0.6085622834,0.3080061526
Sudeste,361,0,0.37941707139,0,0.6394804812,0.6394804812,0.3275524231
Sudeste,362,0,0.3748781062,0,0.6318303783,0.6318303783,0.322716081
Sudeste,363,0,0.388657378951,0,0.6550543622,0.6550543622,0.3373981228
Sudeste,364,0,0.393593841366,0,0.6633744184,0.6633744184,0.3426580047
Sudeste,365,0,0.391489678055,0,0.6598280009,0.6598280009,0.3404159841
Sudeste,366,0,0.413752652962,0,0.6973506612,0.6973506612,0.36413755
Sudeste,367,0,0.364045436223,0,0.6135726837,0.6135726837,0.311173693
Sudeste,368,0,0.39560555155,0,0.6667650128,0.6667650128,0.344801515
Sudeste,369,0,0.299807789219,0,0.5053046997,0.5053046997,0.2427274234
Sudeste,370,0,0.193049460386,0,0.3253711315,0.3253711315,0.1289746679
Sudeste,371,25002.7261734,0.158650802262,0.0672467806,0.2673946404,0.334641421,0.1348352807
Sudeste,372,0,0.182935801692,0,0.3083252793,0.3083252793,0.1181983982
Sudeste,373,0,0.227479429415,0,0.3834003949,0.3834003949,0.1656603663
Sudeste,374,0,0.326121910479,0,0.549655279,0.549655279,0.2707655524
Sudeste,375,275507.606604,0.391239075554,0.7409991797,0.6594056282,1.4004048079,0.8086035119
Sudeste,376,0,0.343226854465,0,0.5784844452,0.5784844452,0.2889911516
Sudeste,377,116595.67226,0.293956224333,0.3135931474,0.4954423034,0.80903545079999994,0.4347439004
Sudeste,378,0,0.213994887037,0,0.360673158,0.360673158,0.1512923645
Sudeste,379,0,0.244968131148,0,0.4128763574,0.4128763574,0.1842948656
Sudeste,380,0,0.299621374929,0,0.5049905117,0.5049905117,0.2425287959
Sudeste,381,0,0.299621374929,0,0.5049905117,0.5049905117,0.2425287959
Sudeste,382,0,0.329152973547,0,0.5547639202,0.5547639202,0.2739952
Sudeste,383,0,0.299621374929,0,0.5049905117,0.5049905117,0.2425287959
Sudeste,384,0,0.329152973547,0,0.5547639202,0.5547639202,0.2739952
Sudeste,385,0,0.247690168533,0,0.4174641578,0.4174641578,0.1871952412
Sudeste,386,0,0.415987078856,0,0.7011166271,0.7011166271,0.3665183676
Sudeste,387,0,0.480415268823,0,0.8097057577,0.8097057577,0.4351676638
Sudeste,388,0,0.260839796626,0,0.4396269204,0.4396269204,0.2012063862
Sudeste,389,0,0.223102777042,0,0.3760238586,0.3760238586,0.1609969711
Sudeste,390,0,0.24382073288,0,0.4109424993,0.4109424993,0.1830722939
Sudeste,391,0,0.578367900809,0,0.9747979503,0.9747979503,0.5395378045
Sudeste,392,0,0.133710203911,0,0.2253590362,0.2253590362,0.065747714
Sudeste,393,0,0.115313284678,0,0.1943523377,0.1943523377,0.046145494
Sudeste,394,0,0.10609664844,0,0.178818353,0.178818353,0.0363250164
Sudeste,395,0,0.0985372282212,0,0.166077488,0.166077488,0.0282703298
Sudeste,396,0,0.10120567986,0,0.1705749734,0.1705749734,0.0311136089
Sudeste,397,0,0.106750680484,0,0.1799206775,0.1799206775,0.0370218983
Sudeste,398,0,0.102581437544,0,0.1728937151,0.1728937151,0.0325795014
Sudeste,399,0,0.11781966643,0,0.1985766658,0.1985766658,0.0488160849
Sudeste,400,0,0.119481160541,0,0.2013769959,0.2013769959,0.0505864342
Sudeste,401,0,0.115192819273,0,0.1941493018,0.1941493018,0.0460171361
Sudeste,402,0,0.303778599319,0,0.5119972176,0.5119972176,0.2469583869
Sudeste,403,0,0.230873481285,0,0.3891208278,0.3891208278,0.1692767843
Sudeste,404,0,0.336289601211,0,0.5667921984,0.5667921984,0.2815993942
Sudeste,405,0,0.249406476653,0,0.420356873,0.420356873,0.1890239957
Sudeste,406,0,0.221202308222,0,0.3728207536,0.3728207536,0.1589719903
Sudeste,407,0,0.218494053778,0,0.3682561835,0.3682561835,0.1560863007
