id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
93,5.486867e-4,0.4173827916,0,0,0.2563484881,0.6742799664,0.8103174647
94,0,0,0,0,0.3313212649,0.3313212649,0.9067956032
95,0.0157511606,0.8129776265,0,0,0.406316831,1.2350456181,0.6525677824
96,0.0179832904,0.7713762127,0,0,0.3644639589,1.153823462,0.6754164881
97,0.0028827716,0.7713762127,0,0,0.2655318799,1.0397908642,0.7074951399
98,0,0.3528367499,0,0,0.0859005757,0.4387373256,0.8765782577
99,0,0,0,0,0.008655914,0.008655914,0.9975649941
100,0,0.3766758693,0.0199431758,0,0.1116153501,0.5082343952,0.8570279507
101,0,0,0.0199431758,0,0.1358461075,0.1557892833,0.9561747231
102,0.5007015267,0,0.7482680842,0,0.5307977854,1.7797673963,0.4993314221
103,0.4873821634,0,0.7482680842,0,0.6382556115,1.8739058591,0.4728492141
104,0.072053342,0.7124706193,0.7482680842,0,0.6571621159,2.1899541614,0.3839412735
105,0.4335951185,0,0.7482680842,0,0.5560766712,1.7379398739,0.5110979744
106,0.1838681688,0.9198256106,0.7482680842,0,0.5207120549,2.3726739185,0.3325401515
107,0.0159570162,0.3866169903,0.7482680842,0,0.4285950824,1.5794371731,0.5556865661
108,0.1173359742,0.8538374575,0.7482680842,0,0.5710797519,2.2905212678,0.3556506158
109,0.0451362555,0.8641423757,0.7482680842,0,0.476672386,2.1342191014,0.3996201725
110,0.0209688176,0.7749563012,0.7482680842,0,0.2980120082,1.8422052112,0.4817669628
111,0.0279899687,0.7867941971,0.7482680842,0,0.3383813973,1.9014336473,0.4651053378
112,0.0378945652,0.9468062124,0.7482680842,0,0.6691097444,2.4020786062,0.3242682823
113,0.0345371489,0.7878351015,0.7482680842,0,0.2547624829,1.8254028175,0.486493665
114,0.0325579313,0.7878351015,0.7482680842,0,0.3243907104,1.8930518274,0.467463238
115,0.0501638854,0.8401901585,0.7482680842,0,0.3968010314,2.0354231595,0.4274125816
116,0.0263012622,0.8760540729,0.7482680842,0,0.328701287,1.9793247063,0.4431937072
117,0.0428569846,0.6803753327,0.7482680842,0,0.1516946565,1.623195058,0.5433769811
118,0,0.7327401656,0.7482680842,0,0.3684824122,1.849490662,0.4797174836
119,0.0074878906,0.7475650488,0.160581499,0,0.440141359,1.3557757974,0.6186050257
120,0,0.6293410141,0.2614139126,0,0.0910286008,0.9817835275,0.7238132558
121,0.0133796759,0.4612089755,0.2614139126,0,0.098507551,0.834510115,0.7652429225
122,0.0855686795,0,0.0245026272,0,0.3031068544,0.4131781611,0.8837683381
123,0,0.0576021274,0.0075905053,0,0,0.0651926327,0.9816605795
124,0,0.1473015512,0.0102772674,0,0,0.1575788186,0.9556713067
125,0,0.4146132314,0.0102772674,0,0.0259974258,0.4508879246,0.8731601576
126,0,0,0.0102772674,0,0.104697983,0.1149752504,0.9676561694
127,0,0.1683286788,9.781745e-4,0,0.0071096429,0.1764164962,0.9503720562
128,0,0.3218459429,0.3527059073,0,0.0425497514,0.7171016016,0.7982712573
129,8.10977e-4,0.5593583541,0.3527059073,0,0.2723516391,1.1852268775,0.6665823542
130,0.0042999379,0,0.3527059073,0,0.1004393855,0.4574452307,0.8713155137
131,0.0112771687,0,0.3527059073,0,0.2933733953,0.6573564713,0.8150782342
132,0.0067763656,0.5112649546,0.0133260185,0,0.233364441,0.7647317797,0.7848723527
133,0,0.0127281647,0.0035844946,0,0,0.0163126593,0.9954110655
134,0,0.5963291116,0.0013771667,0,0.0021468,0.5998530783,0.8312545851
135,0,0.4020002768,0.0105668585,0,0.0426531681,0.4552203034,0.8719414108
136,0,0.5877473181,0.0105668585,0,0.0583471614,0.656661338,0.815273783
137,0,0.332688598,0.0105668585,0,0.0699075736,0.4131630301,0.8837725946
138,0,0.4037967847,0.0105668585,0,0.0303768414,0.4447404846,0.8748895016
139,0,0.2318714,0,0,0.1041049163,0.3359763163,0.905486085
140,0.0087404443,0.6084123367,0.0038451267,0,0.4342033481,1.0552012558,0.7031600235
141,0.0800418956,0.7940275003,0.4343512998,0,0.4767360562,1.7851567519,0.4978153358
142,0.2406771397,0,0.4343512998,1,0.3365414441,2.0115698836,0.4341227763
143,0.267427684,0.7405027161,0.4343512998,0,0.5723000119,2.0145817118,0.4332755152
144,0.3064504248,0.8273414577,0.4343512998,0,0.7341822108,2.3023253931,0.3523299826
145,0.3247504548,0.8375904219,0.4343512998,0,0.4000469498,1.9967391263,0.4382948351
146,0.0072462029,0.6418015746,0.4343512998,0,0.2789768491,1.3623759264,0.6167483352
147,0,0.4947081062,0.4343512998,0,0.0149098451,0.9439692511,0.7344508369
148,0,0.6330029434,0.2224816029,0,0.0828853644,0.9383699107,0.7360259943
149,0,0.4999045888,0.0092636985,0,0.0664661092,0.5756343965,0.8380675726
150,0.0026968825,0,0.004192636,0,0.0189910569,0.0258805754,0.9927195032
151,0.0021493641,0,0.0233281743,0,0.0011210704,0.0265986088,0.9925175123
152,0.0016882249,0,0.0687167574,0,0.0092479247,0.079652907,0.9775927417
153,0.1698223166,0.5968461391,0.0687167574,0,0.2240533299,1.059438543,0.7019680269
154,0.2694667596,0.5963567885,0.0687167574,0,0.2642655939,1.1988058994,0.6627624227
155,0.1818072295,0.6394973971,0.1031201835,0,0.4793973411,1.4038221512,0.6050890462
156,0.8289233878,0.8279179764,0.4040793737,0,0.5968900576,2.6578107955,0.2523279423
157,0.0523808138,0.4180482578,0.0024196948,0,0.1072042644,0.5800530308,0.8368245611
158,0,0.0872322523,0.0024196948,0,0.0197627247,0.1094146718,0.9692204227
159,0,0.0516763581,0.0024196948,0,0.0597187469,0.1138147998,0.9679826172
160,0,0.2210488997,0.0024196948,0,0.0651726636,0.2886412581,0.918801969
161,0,0.4208504845,0.0024196948,0,0.0696540354,0.4929242147,0.8613348766
162,0.0068836376,0.6342154078,0.0024196948,0,0.3615094683,1.0050282085,0.7172742657
163,0.0176481973,0.5296396797,0.0121322595,0,0.1806379476,0.7400580841,0.7918133407
164,0.0600127527,0.4051227327,0.0116994816,0,0.1686868611,0.6455218281,0.8184074524
165,0.0639749761,0.4149363334,0.0116994816,0,0.1616093417,0.6522201328,0.8165231439
166,0.0721653581,0.424749934,0.0116994816,0,0.1962626011,0.7048773748,0.8017100698
167,0.0283475541,0.620299755,0.0068504391,0,0.1658843772,0.8213821254,0.7689359736
168,0.011077621,0.4889953679,0.0152646702,0,0.1570253702,0.6723630293,0.8108567207
169,0.0257101122,0.5045130404,0.0152646702,0,0.2094614049,0.7549492277,0.7876242946
170,0,0,0.0152646702,0,0,0.0152646702,0.9957058767
171,0.0521373571,0,0.250226042,0,0.405226938,0.7075903371,0.800946883
172,0.0686693836,0.613446392,0.2941666693,0,0.3692260077,1.3455084526,0.6214933452
173,0.0665885109,0.691054853,0.2941666693,0,0.5004715418,1.552281575,0.5633257412
174,0.2681858549,0.7191679865,0.2941666693,0,0.9407366933,2.222257204,0.3748540644
175,0.0011454008,0.4925240689,0.016078743,0,0.1857170845,0.6954652972,0.804357793
176,0.0054095708,0.6843998479,0.0103287503,0,0.4185626335,1.1187008025,0.6852968871
177,0,0,0,0,0.0106189296,0.0106189296,0.9970127757
178,0,0.2841724004,0,0,5.821521e-4,0.2847545525,0.919895343
179,2.382461e-4,0.333044195,0.0018630363,0,0,0.3351454774,0.9057198093
180,0.5553620183,1,1,0,0.9994194775,3.5547814958,0
181,0.742143816,0.6977996846,1,0,0.7178377617,3.1577812623,0.111680629
182,0.0132316274,0.4002630029,0.6206018347,0,0.5539604722,1.5880569372,0.5532617296
183,0.0746100827,0.5415855602,0.1339262444,0,0.3384034661,1.0885253534,0.6937855802
184,0.0750228214,0.6639458358,0.0266488193,0,0.3399309952,1.1055484717,0.6889967856
185,0.1726111544,0.6788120627,0.0131763964,0,0.3916943511,1.2562939646,0.6465903837
186,0.0059421456,0.3294438151,0.0131763964,0,0.2271942672,0.5757566243,0.8380331885
187,0.0054799835,0.3374587211,0.0131763964,0,0.2923437333,0.6484588343,0.8175812395
188,0,0.5037448312,0.0131763964,1,0.150835315,1.6677565426,0.5308413345
189,0,0.0366979458,0.0491050025,0,0,0.0858029483,0.975862666
190,0.0058714683,0.7527055025,0.4659489097,0,0.4886478907,1.7131737712,0.5180649575
191,0.0127693432,0.7103578751,0.4659489097,0,0.374031419,1.563107547,0.5602802735
192,0.0559082327,0.7611821841,0.4659489097,0,0.4190654785,1.702104805,0.5211787822
193,0.0020666768,0.7780750108,0.4659489097,0,0.3646694105,1.6107600078,0.5468751006
194,0,0.5761958486,0.0614126255,0,0.0982162444,0.7358247185,0.7930042341
445,0,0,0,0,0,0,1
446,0,0.1733119012,0.0199431758,0,0.0896736108,0.2829286878,0.9204089792
447,0,0.2090902768,0.0199431758,0,0.0763184786,0.3053519312,0.9141010688
448,0,0.2000672187,0.0199431758,0,0.069495858,0.2895062525,0.9185586363
449,0,0.393410476,0.0199431758,0,0.1157888304,0.5291424822,0.8511462708
450,0,0.393410476,0.0199431758,0,0.1520028653,0.5653565171,0.8409588556
451,0,0.6667649184,0.0199431758,0,0.2409057305,0.9276138247,0.7390518023
452,0,0.5112412787,0.0199431758,0,0,0.5311844545,0.850571841
453,0,0.4795101537,0.0199431758,0,0.0248792519,0.5243325814,0.85249935
454,0,0.2367069314,0,0,0.0965807257,0.3332876571,0.906242435
455,6.624084e-4,0.4176074917,0,0,0.2512516168,0.6695215169,0.8116560701
456,0,0.2802177178,0,0,0.0488264953,0.3290442131,0.9074361635
457,0,0.5740850981,0.0127548804,0,0.2277213321,0.8145613106,0.7708547455
458,0.1663028752,0,0.7482680842,0,0.3564714595,1.2710424189,0.6424414777
459,0.3101936035,0,0.7482680842,0,0.8031063658,1.8615680535,0.4763199776
460,0.2079363349,0.3820195365,0.7482680842,0,0.4608403024,1.799064258,0.4939029979
461,0.2617955735,0.8646522963,0.7482680842,0,1,2.874715954,0.1913100827
462,0.0443385119,0.8876626218,0.7482680842,0,0.6989784283,2.3792476462,0.330690888
463,0.10733273,0.7967289509,0.7482680842,0,0.3150145825,1.9673443476,0.4465639168
464,0,0.4925718012,0.2614139126,0,0,0.7539857138,0.7878953419
465,0.0126064672,0.5718209887,0.2614139126,0,0.0713311054,0.9171724739,0.7419890716
466,0.0693972376,0.5208171554,0.0245026272,0,0.127390458,0.7421074782,0.7912368231
467,0.0564516817,0.7474169531,0.3527059073,0,0.3986275963,1.5552021384,0.5625041538
468,0.0958330013,0.5610095479,0.0325339546,0,0.5412884758,1.2306649796,0.6538001053
469,0,0,0,0,0,0,1
470,0.2031763408,0.7370309659,0.4343512998,0,0.6505012844,2.0250598909,0.4303278856
471,0.0104565906,0.525462974,0.4343512998,0,0.1282897032,1.0985605676,0.6909625616
472,0,0,0.4343512998,0,0,0.4343512998,0.8778120961
473,0,0.3016194796,0.0032434207,0,0.0943730697,0.39923597,0.8876904332
474,0.0482011106,0.6874715487,0.0687167574,0,0.2627984724,1.0671878891,0.6997880488
475,0.4917259689,0.6673567119,0.0687167574,0,0.5351950781,1.7629945163,0.5040498218
476,0.261110969,0.6137148746,0.0687167574,0,0.2751576754,1.2187002764,0.6571659108
477,0.169944585,0.6616369632,0.1031201835,0,0.4594322698,1.3941340015,0.6078144316
478,0,0.2862273578,0.0160465663,0,0.2248256921,0.5270996162,0.851720952
479,0.4573849306,0.6508176224,0.0486255683,0,0.8444299338,2.0012580551,0.4370236096
480,0.2342201277,0.6036679556,0.0486255683,0,0.3058834708,1.1923971224,0.6645652837
481,0.0026483681,0.4665374109,0.0024196948,0,0.1663588935,0.6379643673,0.8205334511
482,0.1141664429,0.5309663512,0.0116994816,0,0.3099879761,0.9668202518,0.7280225935
483,0.1481554335,0.6371827684,0.0116994816,0,0.3016508475,1.098688531,0.690926564
484,0.0111193525,0.5277038657,0.0116994816,0,0.1414522364,0.6919749362,0.8053396708
485,0.0036967929,0.5718830848,0.0116994816,0,0.0406110474,0.6278904067,0.8233673694
486,0.0188392957,0.4682450195,0.0152646702,0,0.3193881479,0.8217371333,0.7688361059
487,0.1641551189,0.7122739444,0.2941666693,0,0.719090531,1.8896862636,0.4684100089
488,0,0.4660931879,0.016078743,0,0.1361976933,0.6183696242,0.8260456726
489,0.0030395846,0.6054795989,0.0224207888,0,0.3308900362,0.9618300085,0.7294264051
490,0.0051569268,0.6155977467,0.0391237616,0,0.297232255,0.9571106901,0.7307540024
491,0.0135799584,0.3210912291,0.0018630363,0,0.2003790625,0.5369132863,0.8489602562
492,0.0376880153,0.4195859304,0.0018630363,0,0.2382335989,0.6973705809,0.8038218153
493,0.1155557164,0.4883157685,0.0018630363,1,0.3601579261,1.9658924473,0.4469723527
494,0.1570100698,0.4872553284,0.0018630363,1,0.4397343037,2.0858627382,0.4132233611
495,0.1528846072,0.4872553284,0.0018630363,1,0.409595796,2.0515987679,0.4228622011
496,0.0143169779,0.5513629355,0.0018630363,1,0.1956843345,1.7632272842,0.5039843416
497,0.0074097407,0.4891628117,0.0018630363,1,0.0830206469,1.5814562356,0.5551185811
498,0.106115164,0.7926737039,1,0,0.5516460812,2.4504349491,0.3106650994
499,0.8507118187,0.6977996846,1,0,0.7016366372,3.2501481405,0.0856967877
500,0.2579319964,0.6381130512,1,0,0.8539106076,2.7499556552,0.2264065574
501,0.0187692176,0.8570098539,1,1,0.5174026317,3.3931817032,0.0454598385
