id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1
2,0,0.7802609346,0.0566360469,0,0.0330578529,0.8699548344,0.7276437307
3,0.0022822416,0.8386600699,0.0566360469,0,0.3602259104,1.2578042688,0.60621992709999994
4,0.0044234091,0,0.4382895154,0,0.1226146476,0.5653275721,0.8230132159
5,0,0,0,0,0,0,1
6,0.0190150084,0.7381131032,1,0,0.2370152057,1.9941433173,0.3756946765
7,0.183679608,0.7769845882,0.1294773519,0,0.5181901744,1.6083317225,0.4964804949
8,0.0169600958,0.8773199302,0.0664428255,0,0.399641098,1.3603639495,0.5741116257
195,0,0.5403493544,0,0,0.6568298089,1.1971791633,0.6251997947
196,0,0.3185955695,0.1353690212,0,0.0712970855,0.5252616762,0.8355566233
197,0,0,0,0,0,0,1
198,0.0015738695,0.7071609337,0.1353690212,0,0.6240011934,1.4681050178,0.5403811902
199,0,0.64469135,0.021628128,0,0.1935640562,0.8598835342,0.730796747
200,0,0.2325673646,0.0014570795,0,0.0482974805,0.2823219246,0.9116136343
201,0.0018121031,0.8629805802,0.1336078556,0,0.8606870636,1.8590876025,0.417976493
202,0,0.8867171376,0.1336078556,0,0.7982682538,1.818593247,0.430654038
203,0.0053634468,0.7320533508,0.1336078556,0,0.5203285874,1.3913532406,0.5644098258
204,0.0596805391,0.9009779042,0.1336078556,0,0.6071751434,1.7014414423,0.4673306874
205,0.0271152071,0.611967769,0.0570921761,0,0.7937089494,1.4898841016,0.5335628248
206,0.0015750728,0.8145116841,0.0536838771,0,0.5991564292,1.4689270632,0.5401238329
207,0.0015750728,0.8145116841,0.0536838771,0,0.4723807862,1.3421514202,0.579813412
208,0.5260431205,0,0.1462401014,0,0.806597984,1.4788812059,0.5370074951
209,0.0090639436,0.7273723515,0.1462401014,0,0.7489960415,1.631672438,0.4891732303
210,0.0077339613,0.7303941604,0.0631422236,0,0.7654201156,1.5666904609,0.5095171012
211,0,0.5528323909,0.0478428888,0,0.1398064559,0.7404817356,0.7681778007
212,0.0140073728,0.9187503734,0.0478428888,0,0.5167142021,1.4973148371,0.5312364886
213,0.084464088,0.9482291337,0.0478428888,0,0.6997995744,1.7803356849,0.4426313114
214,0,0,0.0478428888,0,0,0.0478428888,0.9850218538
215,0.5294387007,1,0.0478428888,0,0.7955395345,2.372821124,0.2571422292
216,0.6432193598,1,0.0478428888,0,0.862834842,2.5538970906,0.2004528785
217,0.1306893954,0.8161214571,0.0380297751,0,0.4001020211,1.3849426487,0.5664167862
218,0.0877573129,0.9745317565,0.0380297751,0,0.4543115883,1.5546304328,0.5132927274
219,0,0.7108413706,0.0352739943,0,1,1.7461153649,0.4533446477
220,0,0.649716542,0.0642825467,0,0.2261297444,0.9401288331,0.7056743965
221,0,0,0,0,0,0,1
222,0,0.3891196159,0,0,0.0226303559,0.4117499718,0.8710936686
