id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
0,0.0254350627,0.5346332793,0.0086348915,0,0.048243857,0.6169470905,0.820461297
1,0.0248655854,0.6101098078,0.0086348915,0,0.1473612941,0.7909715788,0.766185879
2,0.004293555,0.7207461521,0.0096639873,0.125,0.1895145781,1.0492182725,0.6856429199
3,0.0204622607,0.7189638589,0.0096639873,0.125,0.20362728,1.0777173869,0.6767545079
4,0.0039623574,0.6182246298,0.0823600884,0,0.1492117555,0.8537588311,0.7466035524
5,9.238108e-4,0.6263005792,0.1706331533,0,0.0984815577,0.896339101,0.7333234562
6,0.0130484761,0.7062114471,0.1706331533,0,0.1315437333,1.0214368098,0.6943075079
7,0.0120369124,0.6131659227,0.0220931288,0.125,0.145764308,0.9180602719,0.726548975
8,0.0060270865,0.698049326,0.0108984698,0,0.2032144129,0.9181892952,0.7265087347
9,2.666666e-4,0.3647274175,0.0040374712,0,0.0788734861,0.4479050414,0.873182773
10,0.0125817872,0.6273572408,0.0040374712,0,0.2239255226,0.8679020218,0.74219252040000006
11,0.0292759829,0.7938445304,0.0179918797,0,0.3561507236,1.1972631166,0.6394701319
12,0.0219549193,0.8194714103,0.0325635294,0,0.3566172041,1.2306070631,0.6290706953
13,0.0022064324,0.7795600055,0.0283833684,0,0.2938674027,1.104017209,0.6685520196
14,0.0307775306,0.8258877046,0.1052477397,0,0.4342106545,1.3961236294,0.5774487604
15,0.0242336097,0.6941543017,0.0295724496,0.25,0.1589429937,1.1569033547,0.6520576877
16,0.0325264011,0.7053389096,0.0295724496,0.25,0.1858002163,1.2032379766,0.6376066699
17,0.0268447696,0.6688220374,0.0295724496,0.25,0.1072125405,1.0824517971,0.6752779221
18,0.0341610384,0.7179138122,0.1052477397,0,0.196203142,1.0535257323,0.684299493
19,0.0717886299,0.7624359601,0.0295724496,0.375,0.2515421988,1.4903392384,0.5480644386
20,0.003831663,0.510437127,0.0674100947,0,0.0213104352,0.6029893199,0.8248144995
21,0.060980434,0.8847753898,0.0295724496,0.25,0.4638487582,1.6891770316,0.4860501529
22,0.0228964319,0.8115926364,0.0560813937,0,0.2995041564,1.1900746184,0.6417121081
23,0.1966220218,0.945431755,0.04053758,0.5,0.6601434278,2.3427347846,0.28221608
24,0.2002334319,0.9541429023,0.04053758,0.5,0.6385014752,2.3334153894,0.2851226483
25,5.21899e-5,0.5406679282,0.0324028232,0,0.1549613939,0.7280843352,0.7857993913
26,0.0036866703,0.533760775,0.0324028232,0,0.1124823936,0.6823326621,0.8000685967
27,0.0088968224,0.6192298377,0.0470724821,0,0.1798127553,0.8550118975,0.7462127413
28,0.0038879236,0.4130770487,0.0343839046,0,0.0775703602,0.5289192371,0.8479157581
29,0.0054501275,0.490166161,0.0343839046,0,0.0954636951,0.6254638882,0.8178050458
30,0.0291111728,0.4480271413,0.0380635704,0,0.0892276297,0.6044295142,0.8243653262
31,0.003220272,0.5030876526,0.0343839046,0,0.105445571,0.6461374002,0.8113573124
32,0.0030817667,0.4848928511,0.0343839046,0,0.0902089839,0.6125675063,0.8218272184
33,0.0050012062,0.4644593761,0.0343839046,0,0.0830945583,0.5869390452,0.8298203201
34,0.0062369126,0.4673906076,0.0343839046,0,0.082852527,0.5908639518,0.8285962053
35,0.0059951874,0.4589207576,0.0343839046,0,0.0818916147,0.5811914643,0.8316128974
36,0.0050451031,0.496214835,0.0343839046,0,0.0923508939,0.6279947366,0.8170157152
37,0.0050451031,0.4799395148,0.0343839046,0,0.1047544566,0.6241229791,0.8182232536
38,0.0012072227,0.4696573165,0.0362237375,0,0.1045928784,0.6116811551,0.8221036569
39,5.452633e-4,0.4081678365,0.025813872,0,0.1286724738,0.5631994456,0.8372243165
40,0.0076669276,0.6124954117,0.025813872,0.0625,0.2753193414,0.9837955527,0.7060472061
41,1.233633e-4,0.3290574532,0.025813872,0,0.0703511181,0.4253458066,0.8802186327
42,8.56848e-5,0.1522881833,0.025813872,0,0.0373128965,0.2155006366,0.9456659409
43,0.00530109,0.1388133449,0.1086690506,0,0.0297577873,0.2825412728,0.9247570528
44,1.887863e-4,0,0.1086690506,0,0.0179610073,0.1268188442,0.973324355
45,0.0018583938,0.0885430167,0.1086690506,0,0.0258454474,0.2249159085,0.9427294702
46,8.01106e-4,0.4840384176,1,0,0.0732341217,1.5580736453,0.5269391746
47,0.0021687808,0.5463678065,1,0,0.0580559596,1.6065925469,0.5118069154
48,0.0084186575,0.5045986668,1,0,0.1514842504,1.6645015747,0.493746028
49,0.1643250823,0.8920395723,1,0,0.4792942538,2.5356589084,0.2220461719
50,0.1477734732,0.9115887357,1,0,0.4351099591,2.494472168,0.2348916489
51,0.1683161644,0.8893264407,1,0,0.473411649,2.5310542541,0.223482289
52,0.1713771722,0.713802139,1,0,0.288210065,2.1733893762,0.3350321688
53,0.0011118891,0.7282153395,0.1096635549,0,0.2386773186,1.0776681021,0.676769879
54,0.0053442251,0.7985670382,0.0852192882,0,0.3219305248,1.2110610763,0.6351667719
55,0.0034945623,0.6856888503,0.1096635549,0,0.1989342369,0.9977812044,0.7016853079
56,0.0236607311,0.800491767,0.0852192882,0,0.3442649924,1.2536367787,0.6218881002
57,0.0629847642,0.7532430454,0.0607750215,0,0.2822686441,1.1592714752,0.6513191093
58,0.0174652394,0.4947033541,0.0783680185,0.0625,0.0920248623,0.7450614743,0.7805044967
59,1.747882e-4,0.7540666771,0.0082976249,0,0.0881183408,0.850657431,0.7475708289
60,0.5846920552,0.8427214219,0.5303875108,0,0.4203653543,2.3781663422,0.2711655513
61,0.5551335578,0.8236124152,0.5303875108,0,0.4295090711,2.3386425549,0.2834923801
62,0.0012097169,0.8200548658,0.0470724821,0,0.2026409641,1.0709780289,0.6788564045
63,0.0014351025,0.6150063897,0.0551063471,0,0.0777136049,0.7492614442,0.7791945941
64,0.0038940872,0.5965238692,0.0743229804,0,0.1669261873,0.8416671241,0.7503747599
65,0.0148147428,0.6646323898,0.0202273523,0,0.2182754078,0.9179498927,0.7265834005
66,0.0118741887,0.656317574,0.0202273523,0.125,0.1336949747,0.9471140897,0.71748756
67,0.0160556637,0.7501890243,0.0069226146,0,0.3229610514,1.096128354,0.6710124256
68,0.0130389747,0.6377361155,0.0233178825,0.0625,0.1001730847,0.8367660574,0.7519033232
69,0.0708538349,0.597928321,0.0233178825,0.0625,0.1562886205,0.9108886589,0.7287856849
70,0.1731211123,0.6377329188,0.036506955,0,0.1899363732,1.0372973593,0.6893608596
71,0.3258998569,0.752533918,0.036506955,0,0.3831563899,1.4980971198,0.5456448811
72,0.0700006272,0.567633634,0.036506955,0,0.1275939742,0.8017351904,0.762828883
73,9.860617e-4,0.5937341991,0.0924316062,0,0.1762454316,0.8633972986,0.7435974706
74,0.0018571682,0.6313535337,0.0924316062,0,0.2143990964,0.9400414045,0.7196934159
75,0.0017121765,0.6313535337,0.0924316062,0,0.2093188349,0.9348161513,0.7213230877
76,0.0050796923,0.666101668,0.0924316062,0,0.1857520417,0.9493650082,0.716785535
77,0.0984780532,0.8204645671,0.1483562574,0,0.3876757941,1.4549746718,0.5590940739
78,0.0986278138,0.8226200556,0.1483562574,0,0.3831285321,1.4527326589,0.5597933214
79,0.098749633,0.8322133543,0.1483562574,0,0.375285306,1.4546045507,0.5592095086
80,0.121789053,0.8201544726,0.1483562574,0,0.3968096432,1.4871094262,0.5490717647
81,0.1285247914,0.8219940024,0.1483562574,0,0.4245024332,1.5233774844,0.537760345
82,0.2593762225,0.8279277214,0.1335911117,0.3125,0.306647594,1.8400426496,0.4389976112
83,0.0281226825,0.85348044,0.1335911117,0.125,0.2932991973,1.4334934315,0.5657937246
84,0.0166296066,0.8252257932,0.1335911117,0,0.2666613472,1.2421078587,0.6254837836
85,0.0272769856,0.8557956681,0.1904389223,0,0.3562907341,1.4298023101,0.5669449256
86,0.031117937,0.8480788241,0.1904389223,0,0.3552587798,1.4248944632,0.5684756035
87,0.0143152359,0.6812968728,0.1904389223,0,0.2175636509,1.1036146819,0.6686775612
88,0.0136887437,0.6625287296,0.1904389223,0,0.2075013125,1.0741577081,0.6778647141
89,8.688361e-4,0.5863681032,0.0995606885,0,0.2104557989,0.8972534267,0.7330382929
90,8.688361e-4,0.5797002611,0.0787654599,0,0.2199520304,0.8792865875,0.7386418589
91,0,0.3044793869,0.0620246378,0,0.0228386995,0.3893427242,0.8914474107
92,0,0.370460454,0.0401433816,0,0.0232597478,0.4338635834,0.8775620762
93,0.0032969557,0.5495461215,0,0,0.1706059612,0.7234490384,0.7872450652
94,0.0075229646,0.6157361553,0,0,0.2104854754,0.8337445953,0.7528456683
95,0.0089127466,0.6877074263,0,0.0625,0.2593359811,1.018456154,0.6952371262
96,0.008949249,0.6995109383,0,0.0625,0.269731652,1.0406918393,0.6883021762
97,0.0089451924,0.7441467601,0,0.0625,0.2683480572,1.0839400097,0.6748137727
98,2.08482e-5,0.4199134504,0,0.1875,0.0948987948,0.7023330934,0.7938307863
99,3.36756e-5,0.3509890692,0,0,0.0672059095,0.4182286543,0.8824383572
100,5.65102e-5,0.3562234289,0.0133998642,0,0.1085026987,0.478182502,0.8637397236
101,5.65102e-5,0.4477316931,0.006137821,0,0.0703948853,0.5243209096,0.8493499019
102,0.3201463925,0.9319510894,0.5027629923,0,0.772738672,2.5275991462,0.2245598812
103,0.3112412266,0.9625992887,0.5027629923,0,0.7744383142,2.5510418218,0.2172484905
104,0.2934171257,0.9691882646,0.5027629923,0,0.7344527163,2.4998210989,0.233223404
