id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
9,2.666666e-4,0.3665105472,0,0,0.0978282323,0.4646054461,0.8755282097
10,0.0125817872,0.6304243514,0,0,0.2777389352,0.9207450738,0.7414025441
11,0.0292759829,0.7977255871,0.0140109774,0,0.4417402786,1.282752826,0.6349559041
12,0.0219549193,0.8234777552,0.0286416982,0,0.4423188629,1.3163932356,0.6250641034
13,0.0022064324,0.783371226,0.0244445916,0,0.3644891327,1.1745113827,0.6667837804
14,0.0307775306,0.8299254184,0.1016205586,0,0.5385594435,1.5008829511,0.5708157891
15,0.0242336097,0.697547979,0.0256384931,0.25,0.1971399121,1.1945599939,0.6608885826
16,0.0325264011,0.7087872678,0.0256384931,0.25,0.2304514181,1.2474035801,0.64535018
17,0.0268447696,0.6720918669,0.0256384931,0.25,0.1329776816,1.1075528112,0.6864726266
18,0.0341610384,0.7214236483,0.1016205586,0,0.2433543578,1.1005596031,0.6885289458
19,0.0717886299,0.7661634622,0.0256384931,0.375,0.3119924055,1.5505829907,0.5562017313
20,0.003831663,0.5129326225,0.0636295258,0,0.0264317238,0.6068255351,0.8337090759
21,0.060980434,0.8891010018,0.0256384931,0.25,0.5753201274,1.8010400563,0.4825560347
22,0.0228964319,0.8155604625,0.0522549002,0,0.3714805017,1.2621922963,0.6410016291
23,0.1966220218,0.9500539122,0.0366480744,0.5,0.8187880086,2.502112017,0.2764091936
24,0.2002334319,0.9588076477,0.0366480744,0.5,0.7919450975,2.4876342515,0.2806663109
25,5.21899e-5,0.5433112202,0.0284803406,0,0.1922014607,0.7640452114,0.7874793856
26,0.0036866703,0.5363702983,0.0284803406,0,0.1395139771,0.7080512863,0.8039441302
27,0.0088968224,0.622257214,0.0432094679,0,0.2230250603,0.8973885646,0.7482704134
28,0.0038879236,0.4150965567,0.0304694529,0,0.0962119413,0.5456658745,0.8516927802
29,0.0054501275,0.492562553,0.0304694529,0,0.118405373,0.6468875064,0.8219290458
30,0.0291111728,0.4502175182,0.0341640356,0,0.1106706666,0.6241633932,0.8286109621
31,0.003220272,0.5055472169,0.0304694529,0,0.1307860768,0.6700230186,0.8151261596
32,0.0030817667,0.4872634622,0.0304694529,0,0.1118878583,0.6327025401,0.8261000669
33,0.0050012062,0.4667300892,0.0304694529,0,0.1030637057,0.605264454,0.8341681043
34,0.0062369126,0.4696756513,0.0304694529,0,0.1027635098,0.6091455266,0.8330268936
35,0.0059951874,0.4611643927,0.0304694529,0,0.1015716726,0.5992007056,0.8359511204
