id,normalized_built_area,normalized_human_mod,normalized_pop_change,normalized_ports,normalized_roads,added_pressure,pressure_index
93,0.0111331698,0.4775469088,0,0.3333333333,0.1455152803,0.9675286922,0.7582287955
94,0.0114804789,0.5024318752,0,0.3333333333,0.1420145372,0.9892602246,0.7526911111
95,0.0117252438,0.5095878534,0,0.3333333333,0.1410124397,0.9956588702,0.751060592
96,0.0118567984,0.5250861578,0,0.3333333333,0.1426463007,1.0129225902,0.7466614069
97,0.0136700177,0.5332875719,0,0.3333333333,0.142110953,1.0224018759,0.7442458712
98,0.0047622404,0.3408873516,0,1,0.0725257585,1.4181753505,0.6433938669
99,5.87472e-5,0.1641636386,0,0,0.0392891839,0.2035115697,0.9529175836
100,3.02717e-5,0.2152086694,0.0091349913,0,0.0580242234,0.2823981558,0.9328155029
101,4.07673e-5,0.2329325154,0.0091349913,0,0.0499454673,0.2920537413,0.930355042
102,0.4327460137,0.9771113558,0.7482680842,0.3333333333,0.566522478,3.057981265,0.2255343494
103,0.4331453811,0.9710984829,0.7482680842,0.3333333333,0.5762096531,3.0620549346,0.2244962866
104,0.4326521921,0.9562383041,0.7482680842,0.3333333333,0.6128839721,3.0833758858,0.2190632275
105,0.4622303798,0.9577662093,0.7482680842,0.3333333333,0.6674772899,3.1690752965,0.1972250855
106,0.5300898155,0.9458825024,0.7482680842,0.3333333333,0.8023020146,3.35987575,0.1486048283
107,0.3687679083,0.9181957531,0.7482680842,0,0.8397275381,2.8749592837,0.2721724766
108,0.3601579065,0.8991858338,0.4544247916,0,0.8220941331,2.535862665,0.3585819402
109,0.3423768546,0.8945974647,0.4544247916,0,0.7932062481,2.484605359,0.3716434574
110,0.155745855,0.8710801018,0.4544247916,0,0.5435094217,2.0247601701,0.488822379
111,0.145184907,0.8613522816,0.4544247916,0,0.5272507272,1.9882127074,0.4981354965
112,0.2025780901,0.8729836666,0.3286709161,0,0.6786533185,2.0828859913,0.4740106093
113,0.1358329601,0.8594124852,0.4544247916,0,0.510861824,1.9605320609,0.5051891493
114,0.12649366,0.8540370196,0.4544247916,0,0.5043097967,1.9392652679,0.5106084076
115,0.1231197243,0.8486661918,0.3900878319,0,0.5033605733,1.8652343213,0.5294731619
116,0.1203034729,0.8501466472,0.3900878319,0,0.4887184917,1.8492564437,0.5335446853
117,0.0983390521,0.8159768101,0.3900878319,0,0.4627483791,1.7671520732,0.55446673
118,0.0964731957,0.8061070115,0.3900878319,0,0.4689154648,1.7615835039,0.555885727
119,0.0885754,0.761062783,0.3900878319,0,0.4593775878,1.6991036027,0.5718070145
120,0.0421205358,0.6636981012,0.3900878319,0,0.3182343803,1.4141408492,0.6444219488
121,0.0153208804,0.5142559837,0.1429582699,0,0.1741469612,0.8466820952,0.789023233
122,0.0094135831,0.481823355,0.1429582699,0,0.1516151659,0.7858103739,0.80453472
123,2.62228e-5,0.2561357807,0.0120148142,0,0.0576670335,0.3258438512,0.9217445602
124,0,0.1850883354,0.014103088,0,0.0259529387,0.2251443621,0.9474050603
125,0,0.2316691405,0.0102772674,0,0.0421869403,0.2841333482,0.9323733367
126,8.2187e-5,0.3644171705,0.0056277209,0,0.0481638307,0.4182909091,0.8981869656
