id,normalized_heritage,normalized_priority,normalized_wsr,normalized_protected,normalized_bandeira,normalized_ramsar,response_added,response_index
9,0,0,0,0.5516098589,0,0,0.5516098589,0.212494152
10,0,0,0,0.5620190516,0,0,0.5620190516,0.2165040378
11,0,0,0,0.5852962521,0,0,0.5852962521,0.2254710077
12,0,0,0,0.2883489308,0,0,0.2883489308,0.1110793444
13,0,0,0,0.5835057531,0,0,0.5835057531,0.2247812619
14,0,0,0,0.5880015729,0,0,0.5880015729,0.2265131661
15,0,0,0,0.3487851406,0,0,0.3487851406,0.1343609101
16,0,0,0,0.2718144652,0,0,0.2718144652,0.1047098476
17,0,0,0,0.3536830603,0,0,0.3536830603,0.1362477134
18,0,0.6457835416,0,0.5766195028,0,0,1.2224030444,0.4709007536
19,0,0,0,0.2318261995,0,0,0.2318261995,0.0893053503
20,0,0,0,0,0,0,0,0
21,0,0,0,0.3551198055,0,0,0.3551198055,0.1368011842
22,0,0,0,0.3954029436,0,0,0.3954029436,0.1523192739
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0.4201492488,0,0,0.4201492488,0.1618521803
26,0,0.0026310453,0,0.9070084792,0,0,0.9096395245,0.3504162883
27,0,0,0,0.4218827432,0,0,0.4218827432,0.1625199664
28,0,0.0425448191,0,0.3505730699,0,0,0.393117889,0.1514390127
29,0,0.2674175345,0,0.4957851256,0,0,0.7632026601,0.2940050824
30,0,0,0,0.521302378,0,0,0.521302378,0.2008189392
31,0,0.1926635642,0,0.4075822352,0,0,0.6002457994,0.2312299537
32,0,0,0,0.3096322701,0,0,0.3096322701,0.1192782282
33,0,0.0051334035,0,0.2874686145,0,0,0.292602018,0.1127177418
34,0,0.0823070644,0,0.4067085959,0,0,0.4890156603,0.1883812741
35,0,0.2126490999,0,0.4049683209,0,0,0.6176174208,0.2379219442
36,0,0.1017232898,0,0.3822655013,0,0,0.4839887911,0.1864447962
37,0,0.012362544,0,0.2821520565,0,0,0.2945146005,0.1134545173
38,0,0,0,0.3791699921,0,0,0.3791699921,0.146065928
39,0,0.0236887417,0,0.2754947367,0,0,0.2991834784,0.1152530878
40,0,0,0,0.2479900746,0,0,0.2479900746,0.0955320862
41,0,0,0,0.223740226,0,0,0.223740226,0.0861904276
42,0,0.3602206878,0,0.6460829124,0,0,1.0063036002,0.3876537496
43,0,0.9739889558,0,0.9704370188,0,0,1.9444259746,0.7490423564
44,0,0.9424130328,0,0.9004332775,0,0,1.8428463103,0.7099112853
45,0,0.950411602,0,0.8516815825,0,0,1.8020931845,0.6942121443
46,0,0.4487251183,0,0.520134441,0,0,0.9688595593,0.3732293524
47,0,0,0,0,0,0,0,0
48,0,0.6151227308,0,0.7402771658,0,0,1.3553998966,0.5221345249
49,0,0.097215449,0,0.3117729342,0,0,0.4089883832,0.1575527309
50,0,0,0,0,0,0,0,0
51,0,0.0113865522,0,0.1281907062,0,0,0.1395772584,0.0537687111
52,0,0,0,0.0645305874,0,0,0.0645305874,0.0248588241
53,0,0,0,0,0,0,0,0
54,0,0.4244324724,0,0.2413878095,0,0,0.6658202819,0.2564909127
55,0,0,0,0,0,0,0,0
56,0,0,0,0.3593012606,0,0,0.3593012606,0.1384119871
57,0,0,0,0.3446294678,0,0,0.3446294678,0.1327600392
58,0,0.2150382029,0,0.1538110957,0,0,0.3688492986,0.1420901343
59,0,0.3280955278,0,0.7350794764,0,0,1.0631750042,0.4095620614
60,0,0.2219658262,0,0.1436415939,0,0,0.3656074201,0.1408412802
61,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0
63,0,0.2040956508,0,0.3472566818,0,0,0.5513523326,0.2123949463
64,0,0.4554352557,0,0.8705948127,0,0,1.3260300684,0.5108205198
65,0,0.3553273964,0,0.5052376558,0,0,0.8605650522,0.331511553
66,0,0.3483998713,0,0.20789489320000001,0,0,0.5562947645,0.2142988968
67,0,0,0,0,0,0,0,0
68,0,0,0,0.227102544,0,0,0.227102544,0.087485678
69,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0.011383554,0,0,0.011383554,0.0043852346
72,0,0.5422340172,0,0.6173238322,0,0,1.1595578494,0.4466911856
73,0,0.5259184021,0,0.6177663401,0,0,1.1436847422,0.4405764608
74,0,0.3542341522,0,0.6223416977,0,0,0.9765758499,0.3762018639
75,0,0.2699094493,0,0.6283536199,0,0,0.8982630692,0.3460337883
76,0,0,0,0.1586544856,0,0,0.1586544856,0.0611177444
77,0,0,0,0.0097854116,0,0,0.0097854116,0.0037695895
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0
80,0,0.1341998327,0,0.0684794001,0,0,0.2026792328,0.0780771971
81,0,0.2706609766,0,0.1433152609,0,0,0.4139762375,0.1594741793
82,0,0,0,0.2801738631,0,0,0.2801738631,0.1079301004
83,0,0,0,0.0881182658,0,0,0.0881182658,0.0339453979
84,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0
87,0,0,0,0.0418823545,0,0,0.0418823545,0.0161341485
88,0,0,0,0.1284413346,0,0,0.1284413346,0.04947887
89,0,0,0,0.1532842329,0,0,0.1532842329,0.0590489864
90,0,0,0,0.0779641055,0,0,0.0779641055,0.030033757
91,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0
329,0.1335963338,0.06036618,0,0.5513902252,0,0.9999999999,1.7453527389,0.6723542811
330,0,0.0321948846,0,0.3181534067,0,0,0.3503482913,0.1349630755
332,0,0,0,0.2630878641,1,0,1.2630878641,0.4865735813
333,0,0,0,0.2683842999,0,0,0.2683842999,0.1033884607
334,0,0,0,0.2985371351,0,0,0.2985371351,0.1150041
335,0,0.2460094409,0,0.1734712511,0,0,0.419480692,0.1615946352
336,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0
338,0,0,0,0.2224975807,0,0,0.2224975807,0.085711729
339,0,0.3152035407,0,0.3621197161,0,0,0.6773232568,0.2609221513
340,0,3.403093e-4,0,0.5730149369,0,0,0.5733552462,0.2208710284
341,0,0,0,0.5675192709,0,0,0.5675192709,0.2186228622
342,0,0,0,0.62715816,0,0,0.62715816,0.2415972797
343,0,0,0,0.8058762575,0,0,0.8058762575,0.3104440379
344,0,0.1375036433,0,0.333941915,0,0,0.4714455583,0.1816128238
345,0,0,0,0.2980291058,0,0,0.2980291058,0.1148083941
346,0,0.0287034835,0,0.5799081916,0,0,0.6086116751,0.2344527018
347,0,0.1970538328,0,0.3776386691,0,0,0.5746925019,0.2213861733
348,0,0,0,0.4647562529,0,0,0.4647562529,0.1790359332
349,0,0.2743703464,0,0.478090417,0,0,0.7524607634,0.2898670305
350,0,0,0,0.3113932055,0,0,0.3113932055,0.1199565854
351,0,0,0,0.3057300656,0,0,0.3057300656,0.1177749998
352,0,0,0,0.3110154186,0,0,0.3110154186,0.1198110522
353,0,0,0,0.3868204144,0,0,0.3868204144,0.1490130653
354,0,0,0,0.4084300777,0,0,0.4084300777,0.1573376574
355,0,0.0383803117,0,0.3277068413,0,0,0.366087153,0.1410260855
356,0,1.560538e-4,0,0.2852047963,0,0,0.2853608501,0.1099282597
357,0,0,0,0.2593540236,0,0,0.2593540236,0.0999097685
358,0,0,0,0.2923423629,0,0,0.2923423629,0.1126177161
359,0,0.0803702871,0,0.3149846593,0,0,0.3953549464,0.1523007842
360,0,0,0,0.2970816962,0,0,0.2970816962,0.1144434279
361,0,0.0010015748,0,0.2294967598,0,0,0.2304983346,0.0887938229
