id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
93,0.8103174647,0.545773626,0,0.0304079071,0.3667514099,0,1.7532504077,0.3827839255
94,0.9067956032,0.4602123521,0,0.0304079071,0.3923921723,0,1.7898080347,0.395017209
95,0.6525677824,0.4909438809,0.186046291,0.0304079071,0.3889770251,0,1.7489428865,0.3813424991
96,0.6754164881,0.5290699481,0.3720931401,0.0304079071,0.4000975005,0,2.0070849839,0.4677246229
97,0.7074951399,0.5497000612,0.186046291,0.0304079071,0.3790504599,0,1.8526998591,0.4160627084
98,0.8765782577,0.295875488,0,0.0304079071,0.3923921723,0.1172784161,1.7125322412,0.3691584001
99,0.9975649941,0.1586601917,0,0,0.0948947526,0.0800042996,1.331124238,0.2415277902
100,0.8570279507,0.6451824565,0,0,0.2407428827,0.2065105146,1.9494638045,0.4484428401
101,0.9561747231,0.5207251046,0,0,0.3150227344,0.0633517236,1.8552742857,0.4169241891
102,0.4993314221,0.4306552238,0.186046291,0.1761695029,0.2014207436,0,1.4936231834,0.2959048335
103,0.4728492141,0.4122591815,0.186046291,0.1465592437,0.2139648905,0,1.4316788208,0.2751763833
104,0.3839412735,0.4322770331,0,0.0577284661,0.2738868929,0,1.1478336656,0.180193242
105,0.5110979744,0.460948566,0,0.0577284661,0.3183014041,0,1.3480764106,0.2472004979
106,0.3325401515,0.3455917562,0,0.0577284661,0.3172041287,0,1.0530645025,0.1484806245
107,0.5556865661,0.5452282768,0,0.0577284661,0.5098702109,0.0204437503,1.6889572702,0.3612695045
108,0.3556506158,0.5456465388,0.186046291,0.0873387253,0.4437294892,0,1.6184116601,0.3376628178
109,0.3996201725,0.5409989932,0.3720931401,0.0873387253,0.4437294892,0,1.8437805203,0.4130780289
110,0.4817669628,0.499971712,0.186046291,0.0873387253,0.3125411186,0.0588171344,1.6264819441,0.340363378
111,0.4651053378,0.3941047831,0.3720931401,0.0873387253,0.3256926037,0.142783126,1.787117716,0.3941169473
112,0.3242682823,0.5882242177,0,0.0577284661,0.2811269183,0.0023523246,1.253700209,0.2156193772
113,0.486493665,0.3417070617,0.558139431,0.0577284661,0.3336493568,0.1854635784,1.963181559,0.4530332141
114,0.467463238,0.2804843101,0.558139431,0.0577284661,0.3382805249,0.2402277085,1.9423236786,0.4460535389
115,0.4274125816,0.2522709462,0.558139431,0.0577284661,0.3382805249,0.2637466135,1.8975785633,0.4310804751
116,0.4431937072,0.2373078888,0.3720931401,0.0577284661,0.3423477942,0.275716283,1.7283872794,0.3744639736
117,0.5433769811,0.2352621043,0.186046291,0.0577284661,0.3461639489,0.2973685824,1.6659463738,0.3535693652
118,0.4797174836,0.2667896917,0.186046291,0.0577284661,0.38393487,0.272142394,1.6463591964,0.3470149055
119,0.6186050257,0.3600099644,0,0.0998874406,0.4251758583,0.2927305795,1.7964088685,0.3972260469
120,0.7238132558,0,0,0.0214103462,0.5400356065,0.3002530896,1.5855122981,0.3266537
121,0.7652429225,0.3288911205,0,0.0214103462,0.3398017302,0.63276266,2.0881087794,0.4948376262
122,0.8837683381,0.3186282287,0,0,0.5270915393,0.3027047541,2.0321928602,0.4761264749
123,0.9816605795,0.2644928067,0,0,0.1546710653,0.3338306736,1.7346551251,0.3765613837
124,0.9556713067,0.3765351546,0,0,0.1546710653,0.3511149874,1.837992514,0.4111411876
125,0.8731601576,0.3058844826,0,0,0.1546710653,0.3457101348,1.6794258403,0.3580800009
126,0.9676561694,0.2644359413,0,0,0,0.3372156481,1.5693077588,0.3212311729
127,0.9503720562,0.2834145552,0,0,0.3932433165,0.3154294999,1.9424594278,0.4460989646
128,0.7982712573,0.4354161112,0,0.0758773275,0.5301356737,0,1.8397003697,0.4117126876
129,0.6665823542,0.2000600821,0,0.0758773275,0.0773355326,0,1.0198552964,0.1373678235
130,0.8713155137,0.3111284639,0,0.0758773275,0,0,1.2583213051,0.2171657352
131,0.8150782342,0.4026588121,0,0.0758773275,0.3771614846,0,1.6707758584,0.3551854563
132,0.7848723527,0.3858432046,0,0.025634809,0.503720022,0,1.7000703883,0.3649882887
133,0.9954110655,0.4243807113,0,0,0,0,1.4197917768,0.2711986203
134,0.8312545851,0.5094823915,0,0,0.1890334544,0.0989941316,1.6287645626,0.3411272109
135,0.8719414108,0.4126347358,0,0,0.1445641255,0,1.4291402721,0.2743269085
136,0.815273783,0.745509642,0,0,0.8811079082,0.0859888292,2.5278801624,0.6419983816
137,0.8837725946,0.6342795175,0,0,0.2414223252,0,1.7594744373,0.3848666733
138,0.8748895016,0.4899794867,0,0,0.4926488824,0.0457496232,1.9032674939,0.4329841627
139,0.905486085,0.5411559465,0,0,0.3267383609,0,1.7733803924,0.3895200249
140,0.7031600235,0.4770200654,0,0,0.3860496116,0,1.5662297005,0.3202011618
141,0.4978153358,0.2805787523,0,0.0471483346,0.4709651414,0,1.2965075641,0.2299440081
142,0.4341227763,0.6212926524,0.186046291,0.1951996306,0.3078935855,0,1.7445549358,0.3798741586
143,0.4332755152,0.6160431887,0.3720931401,0.2544201489,0.3292689274,0,2.0051009203,0.4670606955
144,0.3523299826,0.561981844,0.186046291,0.4320817041,0.332105634,0,1.8645454557,0.420026602
145,0.4382948351,0.794044257,0,0.2840304081,0.2811128155,0,1.7974823157,0.3975852547
146,0.6167483352,0.3478941281,0,0.0471483346,0.4811017534,0,1.4928925513,0.295660342
147,0.7344508369,0.5050395429,0,0.0471483346,0.4130990815,0.462966719,2.1627045149,0.5197996069
148,0.7360259943,0.8076145248,0,0.0471483346,1,0.4271277133,3.017916567,0.8059793277
149,0.8380675726,0.3618577885,0,0,0.5225040492,0.3096264615,2.0320558718,0.4760806344
150,0.9927195032,0.5819674625,0,0,0.4840734389,0.4846802697,2.5434406743,0.6472053977
