id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,1,0.2377886186,0,0,0,0.3425828517,1.5803714703,0.2207257947
1,1,0.3474502244,0,0,0,0.2407163324,1.5881665568,0.2243227665
2,0.7276437307,0.2046018158,0,0,0.1716584309,0.3447331035,1.4486370809,0.1599381585
3,0.60621992709999994,0.5990338004,0,0,0.0472424017,0,1.2524961292,0.0694306997
4,0.8230132159,0.3128171194,0,0.1656341968,0.1680790576,0.4557232452,1.9252668349,0.3798746249
5,1,0.4565448901,0,0,0,0,1.4565448901,0.1635871452
6,0.3756946765,0.3195007412,0.2352941176,0.4450328002,0,0.144698335,1.5202206705,0.1929697551
7,0.4964804949,0.2808279398,0,0.4680127671,0.3598666833,0,1.6051878851,0.2321771037
8,0.5741116257,0.6169377568,0.2352941176,0.3516533238,0.0757683938,0,1.8537652177,0.3468808537
195,0.6251997947,0.0964895794,0.4705882353,0.0307979431,0,0.0036052131,1.2266807656,0.0575184349
196,0.8355566233,0.2113126004,0.4705882353,0.0830731526,0,0.1201385772,1.7206691888,0.2854649013
197,1,0.1492358792,0.4705882353,0,0,0.4043122782,2.0241363927,0.4254970834
198,0.5403811902,0.1444063856,0.4705882353,0.0830731526,0,0.1505285083,1.388977472,0.1324087744
199,0.730796747,0,0.4705882353,0,0,0,1.2013849823,0.0458459257
200,0.9116136343,0.1832624218,0.2941176471,0,0,0,1.3889937032,0.1324162642
201,0.417976493,0.1076405413,0.7058823529,0.1262319445,0,0,1.3577313317,0.1179905271
202,0.430654038,0.1187945522,0.7058823529,0.1262319445,0,0,1.3815628876,0.1289873819
203,0.5644098258,0.3454148553,0.5294117647,0.1262319445,0,0,1.5654683903,0.213848904
204,0.4673306874,0.2901294521,0.4705882353,0.1262319445,0,0,1.3542803193,0.1163980888
205,0.5335628248,0.2660624276,0.5294117647,0.1030506886,0,0,1.4320877057,0.1523015998
206,0.5401238329,0.347842223,0.7058823529,0.2238820237,0,0,1.8177304325,0.3302529297
207,0.579813412,0.384481799,0.7058823529,0.2238820237,0,0,1.8940595876,0.3654743244
208,0.5370074951,0.3338787945,0.4705882353,0.8068208806,0,0,2.1482954055,0.482789131
209,0.4891732303,0.3414972926,0.4705882353,0.5845986586,0.24813949,0,2.1339969068,0.4761912188
210,0.5095171012,0.3430917934,0.2352941176,0.5845986586,0,0,1.6725016708,0.2632384381
211,0.7681778007,0.3047575928,0.4705882353,0.1996654219,0,0.240610107,1.9837991577,0.4068838331
212,0.5312364886,0.4075330025,0.4705882353,0.1996654219,0.1736960942,0.1157494755,1.898468718,0.3675088775
213,0.4426313114,0.3805060827,0.5294117647,0.3107765329,0.1078842069,0.0426193434,1.813829242,0.3284527609
214,0.9850218538,0.3637757935,0.2352941176,0.1996654219,0,0.200053773,1.9838109598,0.406889279
215,0.2571422292,0.4065283203,0.5294117647,0.6441098658,0,0.1067755769,1.9439677569,0.3885039953
216,0.2004528785,0.3971642999,0.5294117647,0.8663320878,0,0.1132919276,2.1066529585,0.4635736024
217,0.5664167862,0.449981022,0.7647058824,0.0960141096,0.2349836464,0.0155572929,2.1276587395,0.4732665291
218,0.5132927274,0.419941806,0.5294117647,0.0960141096,0.2381747937,0.0155269461,1.8123621475,0.3277757834
219,0.4533446477,0.3650952636,0.2352941176,0.0482971144,0,0,1.1020311433,0
220,0.7056743965,0.2406389233,0.2941176471,0,0,0,1.2404309669,0.0638633402
221,1,0.622834309,0.5294117647,0,0,0,2.1522460737,0.4846121309
222,0.8710936686,0.6087207487,0.2941176471,0,0,0.0083102106,1.782242275,0.3138772421
223,0.8165131313,0.2644648806,0.5294117647,0.0828017574,0,0.3306654451,2.0238569791,0.4253681505
224,0.7521583743,0.2351890184,0.2352941176,0.1939128684,0,0.3423850989,1.7589394776,0.3031243781
225,0.7913444157,0.2351890184,0.2352941176,0,0,0.3424007381,1.6042282898,0.2317343072
226,0.6104539011,0.2351890184,0.5294117647,0,0,0.3424397774,1.7174944616,0.2839999523
227,0.6765198573,0.2371387186,0.4705882353,0,0,0.3424603618,1.726707173,0.2882510743
228,0.5753539516,0.2377886186,0.4705882353,0,0,0.3424856525,1.626216458,0.2418805475
229,0.8079728822,0.2369654602,0.4705882353,0,0.1514096645,0.3428987602,2.0098350024,0.4188978369
230,0.7400172463,0.394113876,0.4705882353,0,0.1302000661,0.3271990722,2.0621184959,0.4430235796
231,0.7818750187,0.5257728528,0.5294117647,0,0.1849188967,0.1151417634,2.1371202963,0.4776324785
232,0.7159374225,0.6629688693,0.5294117647,0,0.1606650359,0,2.0689830924,0.4461911852
233,0.8152218455,0.2249673051,0.0588235294,0,0.021118591200000002,0.3436595787,1.4637908499,0.1669307274
234,0.5040693205,0.3640682212,0.7647058824,0,0,0.2215031858,1.8543466099,0.3471491319
235,0.5268865358,0.2950368216,0.7647058824,0,0,0.2800994713,1.8667287111,0.3528627399
236,0.7176098972,0.2614128774,0.3529411765,0,0.21885548,0.3040080812,1.8548275123,0.3473710399
237,0.5897423418,0.3838198486,0.3529411765,0,0.160136075,0.2412419548,1.7278813967,0.2887929091
238,0.5907690278,0.3570326826,0.4705882353,0,0.0917640077,0.2201710123,1.7303249657,0.2899204718
239,0.7497158762,0.2347252491,0.5882352941,0,0.512175028,0.3408159307,2.4256673781,0.6107799058
240,0.7342755292,0.3917862821,0.5294117647,0,0.2930599804,0.3207787553,2.2693123117,0.5386312821
241,0.6714966171,0.3536197722,0.5294117647,0,0.2930814079,0.3072278978,2.1548374597,0.4858079024
242,0.7254643543,0.3999747645,0.0588235294,0,0.2961469009,0.3060972112,1.7865067603,0.3158450501
243,0.7174626258,0.3423545307,0.1176470588,0,0.4019630838,0.3456772564,1.9251045555,0.3797997425
244,0.6342900349,0.2344196585,0.5294117647,0,0.5268200597,0.322508539,2.2474500568,0.5285431433
245,0.6290666983,0.2653437058,0.5294117647,0,0.4625804065,0.2174348341,2.1038374094,0.4622743929
246,0.6980414201,0.3152127949,0.1176470588,0,0.1526549037,0.3450972359,1.6286534134,0.2430050584
247,0.4559226265,0.2426039246,0.4705882353,0,0.1405015856,0.1316313018,1.4412476738,0.1565283838
248,0.7495507476,0.3653947863,0.5294117647,0,0.357020289,0.4460258105,2.4474033981,0.6208097946
249,0.688555799,0.3750783404,0.5294117647,0,0.2092066623,0.4082619373,2.2105145037,0.5114995681
250,0.6857399882,0.6019407291,0.1176470588,0.1656341968,0.3552606432,1,2.9262226161,0.8417565693
251,0.5193258754,0.6625565731,0.0588235294,0.1656341968,0.1413293211,0.4159615974,1.9636310932,0.3975774631
252,0.4858801136,0.6026437279,0.2352941176,0.4450328002,0.3520349516,0.5380374148,2.6589231257,0.7184136498
253,0.483038304,0.6524313065,0.0588235294,0.4450328002,0.1670114081,0.5273490404,2.3336863886,0.5683361145
