id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,0.820461297,0.1587839828,0.1263156578,0,7.611572e-4,0.227553705,1.3338757998,0.2343296563
1,0.766185879,0.2976751068,0.0842104386,0.0761151961,0.0940463879,0.1314674196,1.449700428,0.2739184286
2,0.6856429199,0.2681639115,0.1263156578,0,0.1205255962,0.1400561879,1.3407042733,0.2366636235
3,0.6767545079,0.2810074964,0.1684208771,0,0.1043290446,0.1096558966,1.3401678226,0.2364802651
4,0.7466035524,0.2211492713,0.0842104386,0.1640042322,0.2203117036,0.6054769477,2.0417561458,0.4762826353
5,0.7333234562,0.2737802113,0.0842104386,0.1640042322,0.1771827474,0.1003012154,1.5328023011,0.3023225874
6,0.6943075079,0.2796035587,0.1684208771,0.1640042322,0.1060431374,0.054891484,1.4672707973,0.2799239678
7,0.726548975,0.3669414657,0.1263156578,0.1003757545,0.3535392927,0.1196455758,1.7933667215,0.3913833137
8,0.7265087347,0.4933648101,0.0842104386,0.0782404145,0.1219895785,0.1831960494,1.6875100258,0.3552015733
9,0.873182773,0.3473920868,0,0,0.0951400479,0.3551432685,1.6708581762,0.3495099835
10,0.74219252040000006,0.2580497349,0,0,0.0641731617,0.3212151755,1.3856305925,0.2520194062
11,0.6394701319,0.3450402123,0,0.0450499976,0.2561011994,0.2808603528,1.566521894,0.3138479193
12,0.6290706953,0.4203859588,0.0421052193,0.7050091637,0.4396460743,0.12815279,2.3643699014,0.5865517784
13,0.6685520196,0.3753093456,0,0.0326582654,0.1546784722,0.1519745071,1.3831726099,0.2511792696
14,0.5774487604,0.3945768332,0,0.0305352797,0.3588403581,0.1626429836,1.524044215,0.29932908
15,0.6520576877,0.3872450379,0.2526317788,0.0712563076,0.2520790124,0.2719252457,1.8871950701,0.4234537739
16,0.6376066699,0.3827755694,0.2526317788,0.0712563076,0.2529400285,0.2699705285,1.8671808827,0.4166129394
17,0.6752779221,0.4683377699,0.2105260964,0.0712563076,0.2528911027,0.1992873139,1.8775765126,0.420166158
18,0.684299493,0.4198345622,0.0842104386,0.0305352797,0.1610613569,0.1938768128,1.5738179432,0.3163417036
19,0.5480644386,0.4060020854,0.2526317788,0.0712563076,0.2712841573,0.2235864743,1.772825242,0.3843622512
20,0.8248144995,0.4732157367,0.1263156578,0.0585704416,0.2243543205,0.1131622565,1.8204329126,0.4006345178
21,0.4860501529,0.3752906653,0.1684208771,0.0585704416,0.3508270441,0.2309674557,1.6701266367,0.3492599438
