id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
9,0.8755282097,0.454997982,0,0,0.054541159,0.3669385312,1.7520058819,0.1843798869
10,0.7414025441,0.3480507727,0,0,0.0081922399,0.3382107331,1.4358562898,0.0508153846
11,0.6349559041,0.4603952536,0,0.0643742967,0.2905098879,0.2951183148,1.7453536571,0.181569505
12,0.6250641034,0.6496301526,0.0421052193,0.5026713929,0.5360429929,0.1150266319,2.470540493,0.4879409863
13,0.6667837804,0.5152269647,0,0.0428648029,0.1464015811,0.1364083895,1.5076855186,0.0811612571
14,0.5708157891,0.6163171961,0,0.0400783302,0.4139320021,0.1459841383,1.7871274558,0.1992177854
15,0.6608885826,0.5347598996,0.2526317788,0.0987707442,0.2841356913,0.4588546248,2.2900413213,0.4116850535
16,0.64535018,0.5276639647,0.2526317788,0.0987707442,0.2853602822,0.4571001212,2.2668770711,0.4018987953
17,0.6864726266,0.6564385302,0.2105260964,0.0987707442,0.2852635644,0.3936566947,2.3311282565,0.4290431529
18,0.6885289458,0.5725494143,0.0842104386,0.0400783302,0.1546411975,0.174018816,1.7140271424,0.1683349147
19,0.5562017313,0.5640106778,0.2526317788,0.0987707442,0.3112446599,0.415466993,2.1983265850000002,0.3729381014
20,0.8337090759,0.6511431741,0.1263156578,0.0768751923,0.2463469058,0.1015715165,2.0359615224,0.3043433307
21,0.4825560347,0.5147857512,0.1684208771,0.0768751923,0.4251945985,0.4220919712,2.089924425,0.327141172
22,0.6410016291,0.4950792523,0.0842104386,0.0768751923,0.3324706551,0.1285805745,1.7582177419,0.1870042268
23,0.2764091936,0.5409359601,0.0842104386,0.1644573999,0.2489618377,8.60634e-4,1.3158354639,1.098886e-4
24,0.2806663109,0.5065775548,0.1684208771,0.1863529518,0.1724926256,0.0010650354,1.3155753556,0
25,0.7874793856,0.8018191005,0.1684208771,0,0.6407490969,0.1377268937,2.5361953538,0.5156783582
26,0.8039441302,0.8334498258,0.2105260964,0,0.7463044808,0.1884133407,2.7826378739,0.6197935409
27,0.7482704134,0.9254987084,0.1263156578,0,0.8718794564,0.1496724888,2.8216367248,0.6362694822
28,0.8516927802,0.6532558004,0.1684208771,0.129551053,0.3304887699,0.3809870441,2.5143963247,0.5064688683
29,0.8219290458,0.566425201,0.1684208771,0.129551053,0.2997307959,0.3190655167,2.3051224895,0.4180564321
30,0.8286109621,0.6238029054,0.0421052193,0,0.424868678,0.1884111588,2.1077989236,0.3346926557
31,0.8151261596,0.5937985217,0.1263156578,0.129551053,0.154957349,0.2444638803,2.0642126214,0.3162786425
32,0.8261000669,0.5782808667,0.2105260964,0.129551053,0.2972731809,0.2218521332,2.2635833971,0.4005073087
33,0.8341681043,0.5817366948,0.2105260964,0.129551053,0.3170322451,0.2413935066,2.3144077002,0.4219791781
34,0.8330268936,0.5730252309,0.2105260964,0.129551053,0.3928087551,0.2499608225,2.3888988515,0.4534496395
35,0.8359511204,0.5961374822,0.2526317788,0.129551053,0.3670392733,0.2639038776,2.4452145853,0.4772414872
36,0.821396131,0.578473314,0.2526317788,0.129551053,0.4026697381,0.1947849173,2.3795069322,0.4494818121
37,0.8216815086,0.599222935,0.1684208771,0.129551053,0.4252390677,0.1443367797,2.2884522211,0.4110137024
38,0.8253639732,0.5815462427,0.0421052193,0,0.2767536395,0.1324599054,1.8582289801,0.2292562227
39,0.8380190194,0.7565485947,0.0842104386,0.1742887203,0.3188812883,0.1738318956,2.3457799569,0.4352330932
40,0.7036882991,0.7604805593,0.0842104386,0.6340953103,0.3572445664,0.1653073196,2.7050264933,0.5870048684
41,0.882789193,0.5875623488,0.1263156578,0.1742887203,0.3444484037,0.2458187803,2.3612231039,0.4417573978
42,0.9470819028,0.628247463,0,0.1742887203,0.3301618459,0.4150301696,2.4948101016,0.498194228
43,0.9278234103,0.2652996639,0.1263156578,0.1286820488,0.1269886776,0.5936115983,2.1687210567,0.3604305804
44,0.9746460088,0.3513298468,0.1263156578,0.1286820488,0.2901485354,0.6216176204,2.492739718,0.4973195479
45,0.9451166021,0.3149148113,0.1263156578,0.1286820488,0.2306614944,0.6443446582,2.3900352726,0.4539297461
46,0.5481282523,0.8126660814,0.2105260964,0.1480965792,0.5753956136,0.2191981369,2.5140107598,0.5063059777
47,0.5348444563,0.9511525424,0.0842104386,0.1480965792,1,0.2294190492,2.9477230657,0.6895374913
48,0.5112745716,0.9388263791,0.2526317788,0.1480965792,0.5833492725,0.6318966742,3.0660752554,0.7395380345
49,0.2313934551,0.7098404626,0.2947369981,0.191887683,0.4771228693,0.385906833,2.2908883011,0.4120428792
50,0.2465983742,0.6719635895,0.1263156578,0.673589825,0.5554703657,0.3564301384,2.6303679506,0.5554636887
51,0.233167023,0.7069123847,0.1684208771,0.7392764807,0.5554703657,0.3571291774,2.7603763086,0.6103886422
52,0.3516761592,0.6923780371,0.2105260964,0.1699921311,0.0942472379,0.0903540234,1.6091736851,0.1240372145
53,0.6784085105,0.7753208001,0,0.046179253,0.0567005058,0.0160878619,1.5726969313,0.1086267898
54,0.6332299073,0.4959890678,0.1684208771,0.046179253,0.1989125005,0.1891552897,1.7318868954,0.1758801688
55,0.7047684269,0.7336525181,0,0.046179253,0.4112976065,0.0130412328,1.9089390373,0.2506798263
56,0.6191297067,0.2591441944,0.2947369981,0.046179253,0.1507106145,0.5473654532,1.9172662199,0.2541978318
57,0.6513553702,0.3602651293,0.2105260964,0.1393457229,0.0912340201,0.4416065493,1.8943328882,0.2445091303
58,0.7869460015,0.5513779434,0.0421052193,0.046179253,0.1341466727,0.1560728218,1.7168279117,0.1695181626
59,0.7558827422,0.2677332716,0.0421052193,0.079121182,0.1872923754,0.2300035679,1.5621383584,0.1041660834
60,0.282498248,0.6068661362,0.1684208771,0.8618989359,0.1402840016,0.0480221132,2.107990312,0.3347735121
