id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,0.8600958831,0.2281751201,0.3116883117,0.058558539,0.0889890449,0.3391190988,1.8866259976,0.1448162185
1,0.7516960836,0.3205217951,0.1558441558,0.535305291,0.3086568869,0.2349409217,2.3069651341,0.262127433
2,0.7494634732,0.2176078907,0.1558441558,0,0.2301299687,0.2532439129,1.6062894013,0.0665779016
3,0.7390890486,0.2293858555,0.2597402597,0,0.2898732257,0.2216035437,1.7396919332,0.1038088222
4,0.7847426097,0.6215736748,0.1038961039,0.1595054406,0.5202468083,0.9892668283,3.1792314656,0.5055656805
5,0.5366702157,0.3302213114,0.1558441558,0.7930448721,0.2961711136,0.2685175152,2.3804691838,0.2826414623
6,0.4577377017,0.2884764555,0.2597402597,0.4560007999,0.2142272385,0.0996482703,1.7758307256,0.1138946916
7,0.7583556373,0.4913153995,0.2597402597,0.5586524351,0.6613331292,0.3223337003,3.0517305611,0.4699818277
8,0.7819763511,0.9406863492,0.2077922078,0.2230024481,0.7112644954,0.433897205,3.2986190566,0.5388852125
195,0.9839237037,0.0144658339,0.4675324675,0.0144064428,0.0535396966,0.0241883388,1.5580564833,0.0531167182
196,0.967239298,0.0704970765,0.4675324675,0.077718737,0.0407888116,0.0207795638,1.6445559544,0.0772576014
197,0.8391587686,0.1828276729,0.5194805195,0.0388593685,0.0511346035,0.0301212375,1.6615821705,0.082009398
198,0.7946177058,0.0776262092,0.5194805195,0.0388593685,0.0728336612,0.0408517756,1.5442692398,0.0492688769
199,0.8134668441,0,0.4675324675,0.0388593685,0.1601627124,0.011698086,1.4917194785,0.0346029184
200,0.9650343544,0.1299717439,0.2727272727,0,0,0,1.367733371,0
201,0.7558883025,0.2039664052,0.6233766234,0.1177541902,0,0,1.7009855213,0.0930063634
202,0.7430603742,0.2013497363,0.6233766234,0.1177541902,0,0,1.6855409241,0.0886959762
203,0.6795400357,0.183190876,0.7402597403,0.1177541902,0,0,1.7207448422,0.0985209342
204,0.6705440432,0.1815994556,0.7272727273,0.1053644259,0,0,1.684780652,0.0884837941
205,0.7576466094,0.2169415456,0.5844155844,0.0977689022,0,0,1.6567726416,0.0806671208
206,0.7071156647,0.2609165868,0.5714285714,0.6799717786,0,0,2.2194326015,0.2376982357
207,0.7057659425,0.2622258184,0.5714285714,0.6799717786,0,0,2.2193921109,0.2376869353
208,0.7123165179,0.2631364526,0.5714285714,0.7224925582,0.024483459,0,2.2938575591,0.2584692784
209,0.8113444086,0.2842346149,0.5714285714,0.196674461,0.0723041666,5.698801e-4,1.9365561026,0.1587510648
210,0.8431411556,0.36432262,0.3116883117,0.1458333126,0.0723041666,0.0195460474,1.7568356139,0.1085934017
211,0.7272065771,0.3111299996,0.7792207792,0.5979125273,0.1225283497,0.2111038446,2.7491020775,0.3855221334
212,0.7352123787,0.3445229263,0.8311688312,0.2111639769,0.4361350541,0.1333976517,2.6916008189,0.3694742761
213,0.7361305994,0.3470373481,0.8961038961,0.2111639769,0.4381417248,0.1269864787,2.755564024,0.3873255791
214,0.7379665238,0.3937134113,0.5714285714,0.2572675996,0.3875869104,0.0965221223,2.4444851388,0.3005074871
215,0.7318097709,0.3532687582,0.6363636364,0.2572675996,0.4113167213,0.1184160078,2.5084424942,0.3183571575
216,0.7340685273,0.3539384511,0.6363636364,0.2572675996,0.3921112713,0.1163870171,2.4901365028,0.3132481921
217,0.7417712352,0.3666181957,0.8961038961,0.2111639769,0.2904109415,0.0983760008,2.6044442462,0.3451500044
218,0.7417767957,0.3641863327,0.5844155844,0.2111639769,0.2912502795,0.096163469,2.2889564382,0.257101439
219,0.8088429714,0.5425588405,0.2077922078,0.043021135,0.0050693525,0,1.6072845072,0.0668556227
220,0.7808415414,0.6698489934,0.3246753247,0.0284617166,0.1551479909,8.148534e-4,1.9597904204,0.1652354623
221,0.8551754123,0.4453925206,0.5844155844,0.0545999677,0.3459734666,0,2.2855569516,0.2561526863
222,0.7802754959,0.4228725057,0.2727272727,0.0779397937,0,0.092040061,1.645855129,0.0776201842
223,0.8165269244,0.1997696433,0.5324675325,0.1140102442,0,0.2439367321,1.9067110765,0.1504217042
224,0.8461118509,0.2029808901,0.4675324675,0.1140102442,0,0.3517639614,1.9823994141,0.1715453399
225,0.8523959745,0.2084054081,0.4675324675,0.058558539,0,0.3543111335,1.9412035226,0.1600480996
226,0.851752578,0.2235177515,0.7922077922,0.058558539,0.0220495015,0.3451996362,2.2932857984,0.2583097074
227,0.8562244882,0.233115892,0.5194805195,0.058558539,0.060250084,0.3333053332,2.0609348559,0.1934635656
228,0.8551643579,0.2193955275,0.5194805195,0.058558539,0.0612730969,0.348993779,2.0628658198,0.1940024726
229,0.83063375,0.2778663422,0.7792207792,0.1189567313,0.153140711,0.2809304743,2.440748788,0.2994647199
230,0.8249960772,0.2831572225,0.7272727273,0.1189567313,0.1549061327,0.2732964919,2.3825853829,0.2832320661
231,0.7910068263,0.2995073112,0.7922077922,0.1189567313,0.2252770021,0.2543297828,2.4812854459,0.3107779767
232,0.7679409582,0.3206480278,0.7922077922,0.1189567313,0.3152950008,0.2467008331,2.5617493434,0.3332344094
233,0.775269041,0.3260911121,0.1688311688,0.535305291,0.2555665028,0.2290415114,2.2901046271,0.2574218837
234,0.8164074106,0.2735397203,0.5844155844,0.4163485596,0.0186067754,0.262855032,2.3721730823,0.2803261277
235,0.8151924487,0.2698460674,0.5844155844,0.4163485596,0.0213215389,0.2623783652,2.3695025642,0.2795808206
236,0.748849477,0.2434256353,0.5454545455,0,0.230483357,0.2312002336,1.9994132484,0.1762936809
237,0.7420661094,0.2048635914,0.5454545455,0,0.2365845765,0.2562518636,1.9852206864,0.1723327205
238,0.7230587953,0.2344742421,0.8831168831,0,0.3926972901,0.2003384193,2.4336856299,0.2974934839
239,0.7303591243,0.2174218919,0.8051948052,0,0.4386034262,0.2349389618,2.4265182094,0.2954931495
240,0.7729000837,0.2223075367,0.9480519481,0.0222382776,0.4783696469,0.2396577654,2.6835252584,0.3672204917
241,0.7689314306,0.2294327738,0.9480519481,0.0222382776,0.5236345775,0.2441791771,2.7364681847,0.3819961774
242,0.773085891,0.2436095754,0.4285714286,0.0222382776,0.6115468401,0.2398425556,2.3188945683,0.2654567838
243,0.7644399196,0.2627979842,0.4935064935,0.0222382776,0.6178474457,0.2295067542,2.3903368748,0.2853954072
244,0.7499611591,0.2916773972,1,0.0222382776,0.4780667236,0.2283522946,2.7702958521,0.3914370417
245,0.7558703035,0.2914147364,1,0.0222382776,0.4710905272,0.244435845,2.7850496897,0.3955546469
246,0.7940623778,0.2965893609,0.3896103896,0.0222382776,0.3780187368,0.2944903887,2.1750095314,0.2253003316
247,0.7675576309,0.3310292026,0.7272727273,0.0333574165,0.3728594641,0.2698780495,2.5019544909,0.3165464397
248,0.7486772298,0.3710567758,0.7402597403,0.0738910687,0.2812485029,0.5874730154,2.8026063329,0.4004544789
249,0.7545363315,0.3891577936,0.6883116883,0.0738910687,0.3694738074,0.8015339923,3.0769046818,0.4770075991
250,0.7686350212,0.5035134575,0.3376623377,0.1595054406,0.4876283259,0.9909076176,3.2478522005,0.5247168398
251,0.7818177772,0.6785666122,0.1688311688,0.1595054406,0.5275788219,1,3.3162998207,0.543819685
252,0.7379796295,0.7153836099,0.4675324675,0.2126739207,0.5288450186,0.7907059972,3.4531206434,0.5820046064
253,0.7129776693,0.4599545194,0.3246753247,0.2856534647,0.4631059282,0.4405137014,2.6868806077,0.3681569263
254,0.7174530562,0.4143230297,0.8311688312,0.2856534647,0.4608715765,0.4167077088,3.1261776671,0.4907590518
255,0.6465948031,0.356138467,0.8961038961,0.4163485562,0.321013046,0.3633756497,2.9995744181,0.455425723
256,0.6683488346,0.3626214566,0.6883116883,0.2856534647,0.2728196524,0.3337800265,2.6115351231,0.3471289764
257,0.615881406,0.3863154735,0.8831168831,0.2856534647,0.3344020406,0.3192116231,2.824580891,0.4065872937
258,0.5815368577,0.4611307951,0.4285714286,0.7020020243,0.5203455244,0.3062429131,2.9998295432,0.4554969251
259,0.5066854877,0.4881438714,0.5714285714,0.8326971158,0.5788312957,0.3114519493,3.2892382913,0.5362671623
260,0.4892180131,0.4689443358,0.4415584416,0.8326971158,0.5782016919,0.2916908097,3.1023104079,0.4840980085
