id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,added_indices,sci
0,0.8723039187,0.1338808574,0.1985817416,0.0274798488,0.0488149258,0.2245075691,1.5055688614,0.22600278
1,0.7998807049,0.2241364841,0.1134751431,0.5128676554,0.1693136843,0.1555383208,1.9752119926,0.3868176706
2,0.7837170145,0.1347410867,0.1134751431,0,0.1262377563,0.1676554799,1.3258264805,0.1644555127
3,0.7857907399,0.1416217562,0.1702127147,0,0.15900991,0.1467085548,1.4033436756,0.1909988994
4,0.860224483,0.2285838395,0.0851065985,0.0785418796,0.285283651,0.7560157858,2.2937562374,0.4958933804
5,0.7719904725,0.2348880958,0.1134751431,0.3647593483,0.1623951682,0.160101743,1.8076099709,0.3294274971
6,0.718858043,0.2135543856,0.1702127147,0.2218290181,0.1174628603,0.0590085028,1.5009255245,0.2244128116
7,0.8013332255,0.3259566167,0.1702127147,0.5270737742,0.3620816018,0.291683182,2.4783411149,0.5590988122
8,0.829628482,0.5686294353,0.14184417,0.1057436936,0.3884183291,0.2291692454,2.2634333554,0.4855102392
9,0.8960255181,0.3860330007,0.0283690269,0,0.1641120924,0.3588611895,1.8334008276,0.3382587852
10,0.8463402351,0.3411336467,0.0283690269,0,0.2774411438,0.3263509991,1.8196350516,0.3335451173
11,0.793928033,0.4258577796,0.0283690269,0.0286360771,0.3709893311,0.4297910896,2.0775713373,0.4218674898
12,0.7696434978,0.4884504991,0.0283690269,0.50324616,0.3691959341,0.1434589752,2.3023640931,0.4988408767
13,0.7880011551,0.4679488137,0,0.4828339082,0.3066652261,0.1569888369,2.20243794,0.4646242294
14,0.684751731,0.4671169519,0.0851065985,0.0376011257,0.5109705384,0.1632180426,1.9487649881,0.3777617048
15,0.5879036905,0.4097535971,0.3404254293,0.15065576,0.2938320513,0.2453860543,2.0279565825,0.4048784383
16,0.5817350367,0.4074777416,0.3404254293,0.15065576,0.2947385681,0.2457852561,2.0208177918,0.4024339783
17,0.5707744742,0.4303322664,0.3971630009,0.1109437758,0.2492279413,0.2453222763,2.0037637349,0.3965943394
18,0.6716439101,0.4833555221,0.2269502862,0.1109437758,0.4773257384,0.1242434699,2.0944627025,0.4276514199
19,0.5538831705,0.4140354413,0.3687944562,0.1109437758,0.2934298385,0.233925999,1.9750126813,0.3867494226
20,0.531389062,0.442480343,0.3687944562,0.1193514423,0.3140790686,0.2326780177,2.0087723898,0.3983093997
21,0.5914295242,0.4588110667,0.3120568847,0.1422480935,0.5191158826,0.2534263213,2.277087773,0.4901857759
22,0.6546379871,0.4431391676,0.2269502862,0.1170250941,0.5219610536,0.2974446559,2.2611582445,0.4847311973
23,0.504260689,0.5082601815,0.3971630009,0.1094440432,0.5345378831,0.1960447707,2.2497105684,0.4808112916
24,0.4687866398,0.5200675578,0.3971630009,0.1094440432,0.5646529607,0.1865948154,2.2467090178,0.4797835026
25,0.8285043274,0.6186277711,0.1985817416,0.0780167294,0.7947938009,0.2118798496,2.73040422,0.6454100941
26,0.8600863716,0.5621701758,0.1985817416,0.0780167294,0.6456720656,0.314096516,2.6586236,0.6208310216
27,0.8548825542,0.6103385971,0.1985817416,0.0780167294,0.5747505145,0.3542426314,2.6708127682,0.6250048286
28,0.9096070972,0.5075210682,0.1702127147,0.1101989622,0.2206521597,0.5662777053,2.4844697073,0.5611973608
29,0.8990101559,0.4618056523,0.2269502862,0.1101989622,0.2285378668,0.4975459577,2.4240488811,0.5405081014
30,0.8759316954,0.5363817459,0.0851065985,0,0.4407751927,0.3505344522,2.2887296847,0.4941721916
31,0.8919276237,0.4696261359,0.3120568847,0.1101989622,0.3114591791,0.4494559063,2.5447246919,0.5818298328
