id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,climate_index,response_index,sci,state,top_index,
40,0.854859844,0.696762024,0.255319313,0.552466223,0.351697595,0.4228048,0.783578208,São Paulo,pressure,0.854859844
151,0.862800308,0.859541387,0.028369027,0.014769102,0.942747197,0.516134581,0.814550654,Pernambuco,climate,0.942747197
152,0.838227764,0.879892055,0.085106599,0.023176769,0.911888599,0.403730381,0.786356039,Pernambuco,climate,0.911888599
153,0.814144496,0.984277028,0.113475143,0.149291766,0.954005907,0.1200742,0.784043467,Pernambuco,biodiversity,0.984277028
154,0.797714796,0.963825983,0.113475143,0.157696007,0.956653468,0.100002552,0.768326217,Pernambuco,biodiversity,0.963825983
156,0.567739525,0.978302083,0.028369027,0.592125644,0.966437004,0.176779313,0.843790182,Paraíba,biodiversity,0.978302083
314,0.852160528,0.348536518,0.652482314,0.558095226,0.356203351,0.349222842,0.777685506,Santa Catarina,pressure,0.852160528
315,0.848185382,0.340267734,0.712766014,0.558095226,0.354008808,0.337736169,0.78945054,Santa Catarina,pressure,0.848185382
323,0.837458847,0.564230381,0.595744742,0.56816535,0.545794074,0.395546499,0.911310926,Paraná,sci,0.911310926
324,0.832000277,0.564200896,0.684397469,0.56816535,0.546050487,0.381958848,0.935223245,Paraná,sci,0.935223245
325,0.830309006,0.564055928,0.26241157,0.56816535,0.540422183,0.376864307,0.786426638,Paraná,pressure,0.830309006
329,0.881039811,0.520643777,0.539007171,0.028636077,0.446000201,0.904153646,0.847121267,São Paulo,response,0.904153646
340,0.849617567,0.615511029,0.829787285,0.078016729,0.822606688,0.254770706,0.891919757,São Paulo,sci,0.891919757
342,0.849975148,0.554857149,0.769503585,0.078016729,0.724795237,0.275880457,0.824366688,São Paulo,pressure,0.849975148
344,0.975001046,0.464668751,0.329787527,0.437920497,0.216870337,0.627694798,0.755511176,São Paulo,pressure,0.975001046
345,0.855931373,0.629444638,0.680851341,0.078016729,0.576527737,0.364685323,0.801229015,São Paulo,pressure,0.855931373
352,0.895612006,0.498806361,0.826241157,0.110198962,0.30242286,0.461511633,0.770183852,São Paulo,pressure,0.895612006
353,0.893056095,0.508615774,0.826241157,0.110198962,0.305644004,0.438846143,0.766009471,São Paulo,pressure,0.893056095
361,0.833542708,0.438068457,0.709219886,0.628414499,0.323294401,0.316402098,0.822967474,São Paulo,pressure,0.833542708
362,0.829074277,0.447305992,0.709219886,0.628414499,0.32209266,0.312932776,0.823001046,São Paulo,pressure,0.829074277
363,0.825663598,0.490615611,0.496454113,0.628414499,0.328739554,0.30963356,0.764954409,São Paulo,pressure,0.825663598
364,0.824639158,0.465044382,0.797872612,0.628414499,0.335596992,0.300604474,0.858315447,São Paulo,sci,0.858315447
366,0.86612929,0.59997298,0.737588912,0.552466223,0.352896441,0.415422454,0.917315731,São Paulo,sci,0.917315731
367,0.90396264,0.572064272,0.712766014,0.552466223,0.356317869,0.436884816,0.920734971,São Paulo,sci,0.920734971
368,0.953725332,0.509514326,0.656028442,0.165992842,0.351448721,0.443351516,0.765139399,São Paulo,pressure,0.953725332
377,0.51988919,0.616271875,0.726950527,0.149455074,0.641949462,0.382393378,0.750363431,Rio de Janeiro,sci,0.750363431
378,0.494419772,0.631003944,0.996453872,0.15786274,0.562850353,0.373252366,0.811633736,Rio de Janeiro,surf,0.996453872
379,0.485122621,0.632050035,0.968085327,0.166270407,0.45910028,0.489635447,0.80629921,Rio de Janeiro,surf,0.968085327
383,0.475285196,0.621393757,1,0.174678073,0.35998596,0.461376711,0.76947392,Rio de Janeiro,surf,1
387,0.428363435,0.600344701,0.638297801,0.653915063,0.322639397,0.424637074,0.761077035,Rio de Janeiro,sci,0.761077035
454,0.962433342,0.613307432,0.510638626,0.462421657,0.860885632,0.356260403,1,Bahia,sci,1
455,0.966795504,0.60257608,0.329787527,0.462421657,0.905072494,0.398736429,0.965567201,Bahia,pressure,0.966795504
