id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
93,0.8103174647,0.545773626,0,0.0304079071,0,1.3864989978,0.3439319723
94,0.9067956032,0.4602123521,0,0.0304079071,0,1.3974158624,0.3487632894
95,0.6525677824,0.4909438809,0.186046291,0.0304079071,0,1.3599658614,0.3321895902
96,0.6754164881,0.5290699481,0.3720931401,0.0304079071,0,1.6069874834,0.4415103368
97,0.7074951399,0.5497000612,0.186046291,0.0304079071,0,1.4736493992,0.3825008509
98,0.8765782577,0.295875488,0,0.0304079071,0.1172784161,1.3201400689,0.3145644716
99,0.9975649941,0.1586601917,0,0,0.0800042996,1.2362294854,0.2774293919
100,0.8570279507,0.6451824565,0,0,0.2065105146,1.7087209218,0.4865330168
101,0.9561747231,0.5207251046,0,0,0.0633517236,1.5402515513,0.4119759914
102,0.4993314221,0.4306552238,0.186046291,0.1761695029,0,1.2922024398,0.3022005237
103,0.4728492141,0.4122591815,0.186046291,0.1465592437,0,1.2177139303,0.2692352334
104,0.3839412735,0.4322770331,0,0.0577284661,0,0.8739467727,0.11709923
105,0.5110979744,0.460948566,0,0.0577284661,0,1.0297750065,0.1860618525
106,0.3325401515,0.3455917562,0,0.0577284661,0,0.7358603738,0.0559883519
107,0.5556865661,0.5452282768,0,0.0577284661,0.0204437503,1.1790870593,0.252140704
108,0.3556506158,0.5456465388,0.186046291,0.0873387253,0,1.1746821709,0.250191297
109,0.3996201725,0.5409989932,0.3720931401,0.0873387253,0,1.4000510311,0.3499294975
110,0.4817669628,0.499971712,0.186046291,0.0873387253,0.0588171344,1.3139408255,0.3118209632
111,0.4651053378,0.3941047831,0.3720931401,0.0873387253,0.142783126,1.4614251123,0.3770909271
112,0.3242682823,0.5882242177,0,0.0577284661,0.0023523246,0.9725732907,0.1607469257
113,0.486493665,0.3417070617,0.558139431,0.0577284661,0.1854635784,1.6295322022,0.4514876233
114,0.467463238,0.2804843101,0.558139431,0.0577284661,0.2402277085,1.6040431537,0.4402073079
115,0.4274125816,0.2522709462,0.558139431,0.0577284661,0.2637466135,1.5592980384,0.4204051166
116,0.4431937072,0.2373078888,0.3720931401,0.0577284661,0.275716283,1.3860394852,0.3437286126
117,0.5433769811,0.2352621043,0.186046291,0.0577284661,0.2973685824,1.3197824249,0.3144061944
118,0.4797174836,0.2667896917,0.186046291,0.0577284661,0.272142394,1.2624243264,0.2890220596
119,0.6186050257,0.3600099644,0,0.0998874406,0.2927305795,1.3712330102,0.33717592749999997
120,0.7238132558,0,0,0.0214103462,0.3002530896,1.0454766916,0.1930107176
121,0.7652429225,0.3288911205,0,0.0214103462,0.63276266,1.7483070492,0.5040520703
122,0.8837683381,0.3186282287,0,0,0.3027047541,1.5051013209,0.3964200679
123,0.9816605795,0.2644928067,0,0,0.3338306736,1.5799840598,0.4295598266
124,0.9556713067,0.3765351546,0,0,0.3511149874,1.6833214487,0.4752923435
125,0.8731601576,0.3058844826,0,0,0.3457101348,1.524754775,0.4051178097
126,0.9676561694,0.2644359413,0,0,0.3372156481,1.5693077588,0.4248349722
127,0.9503720562,0.2834145552,0,0,0.3154294999,1.5492161113,0.4159433056
128,0.7982712573,0.4354161112,0,0.0758773275,0,1.309564696,0.3098842835
