id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
9,0.8631479005,0.241120323,0,0,0.212494152,1.3167623755,0.1947884509
10,0.9831012407,0.2264301338,0,0,0.2165040378,1.4260354123,0.2456641235
11,0.7464649918,0.2718737023,0,0,0.2254710077,1.2438097018,0.1608229234
12,0.6731413628,0.6677611188,0,0.0793508438,0.1110793444,1.5313326698,0.2946887406
13,0.7910334803,0.3337743495,0,0.0793508438,0.2247812619,1.4289399355,0.2470164202
14,1,0.3005910032,0,0,0.2265131661,1.5271041693,0.2927200225
15,0.8280769956,0.5500093222,0.0941176471,0.14231049639999999,0.1343609101,1.7488753714,0.3959729327
16,0.8175209692,0.5936034855,0.0941176471,0.14231049639999999,0.1047098476,1.7522624458,0.397549897
17,0.8547317526,0.5384465,0,0.14231049639999999,0.1362477134,1.6717364624,0.360058365
18,0.8101304467,0.456868425,0,0.0741925568,0.4709007536,1.8120921821,0.4254056075
19,0.7357975019,0.5594395396,0,0.14231049639999999,0.0893053503,1.5268528882,0.2926030302
20,1,0.6940080387,0,0,0,1.6940080387,0.3704276332
21,0.6320817553,0.3401235799,0,0.14231049639999999,0.1368011842,1.2513170158,0.1643182015
22,0.611023312,0.3016626601,0,0.14231049639999999,0.1523192739,1.2073157424,0.1438319549
23,0.5038980049,0.3104721629,0,0.3126143246,0,1.1269844924,0.1064310874
24,0.5748374961,0.3104721629,0,0.5254115291,0,1.4107211881,0.2385340804
25,0.7290788822,0.4643539645,0,0.14231049639999999,0.1618521803,1.4975955234,0.2789812974
26,0.8637300691,0.6438217094,0,0.14231049639999999,0.3504162883,2.0002785632,0.5130219946
27,0.6750591394,0.3110405866,0.0941176471,0,0.1625199664,1.2427373395,0.1603236497
28,0.7356697465,0.0085184703,0,0.2398234607,0.1514390127,1.1354506902,0.1103728055
29,0.9542623566,0.2066259832,0,0.2398234607,0.2940050824,1.6947168829,0.370757659
30,0.9848013801,0.342150451,0,0,0.2008189392,1.5277707703,0.2930303806
31,0.7783273401,0.4356440104,0,0.2398234607,0.2312299537,1.6850247649,0.3662451733
32,0.7748988843,0.4804509215,0,0.2398234607,0.1192782282,1.6144514947,0.3333874557
33,0.7817429774,0.5095010841,0,0.2398234607,0.1127177418,1.643785264,0.3470447611
34,0.7827386768,0.4707703257,0,0.2398234607,0.1883812741,1.6817137373,0.364703615
35,0.7994679584,0.5691311505,0,0.2398234607,0.2379219442,1.8463445138,0.4413529122
36,0.7901945484,0.4489386744,0.0941176471,0.2398234607,0.1864447962,1.7595191268000001,0.4009284846
37,0.7279071668,0.4278891859,0.0941176471,0.2398234607,0.1134545173,1.6031919778,0.3281452156
38,0.8282509861,0.3010742251,0,0.2398234607,0.146065928,1.5152145999,0.2871844406
39,0.7757768576,0.4316636912,0,0.32264133,0.1152530878,1.6453349666,0.3477662763
40,0.5995038271,0.3174266854,0,0.32264133,0.0955320862,1.3351039287,0.203327967
41,0.7934049391,0.4923687107,0.0941176471,0.32264133,0.0861904276,1.7887230545,0.414525338
42,0.8986804654,0.4295286932,0,0.32264133,0.3876537496,2.0385042382,0.5308192206
43,0.9232122825,0.1746407241,0,0.2382147697,0.7490423564,2.0851101327,0.5525181346
44,0.9536539991,0.144126419,0,0.2382147697,0.7099112853,2.0459064731,0.5342655756
45,0.9544765716,0.0539580076,0.0941176471,0.2382147697,0.6942121443,2.0349791403,0.5291779948
46,0.6006428373,0.5862622384,0.0941176471,0.2741547315,0.3732293524,1.9284068067,0.4795597239
47,1,0.5274187115,0,0,0,1.5274187115,0.292866468
48,0.5446217609,0.6399976332,0.0941176471,0.2741547315,0.5221345249,2.0750262976,0.547823272
49,0.48833270560000003,0.4108093843,0.0941176471,0.2741547315,0.1575527309,1.4249671994,0.2451667816
50,1,0.5482888977,0.0941176471,0,0,1.6424065448,0.3464028528
51,0.401899147,0.4861881776,0.0941176471,0.2741547315,0.0537687111,1.3101284143,0.1916997911
52,0.3411760181,0.3904300282,0,0.2741547315,0.0248588241,1.0306196019,0.0615652289
53,0.6428261651,0.4346985542,0,0.0854865167,0,1.163011236,0.1232045282
54,0.7245275343,0.5611256405,0,0.0854865167,0.2564909127,1.6276306042,0.3395234255
55,0.7316031982,0.4384268704,0,0.0854865167,0,1.2555165853,0.1662734498
56,0.5672947928,0.1378897565,0.0941176471,0.2579552441,0.1384119871,1.1956694276,0.1384096283
57,0.664198472,0.1378897565,0.0941176471,0.2579552441,0.1327600392,1.2869211589,0.1808948866
58,0.5009804792,0.1698299294,0,0.0854865167,0.1420901343,0.8983870596,0
59,0.7550529132,0.1763271872,0,0.1464682473,0.4095620614,1.4874104091,0.274239281
60,0.6199953743,0.5527197599,0.0941176471,0.2741547315,0.1408412802,1.681828793,0.3647571829
61,0.7004555229,0.5851513483,0.0941176471,0.2741547315,0,1.6538792498,0.3517443497
62,0.6590903608,0.4075668079,0.1882352941,0.1841967139,0,1.4390891767,0.2517417348
63,0.7808292548,0.417106769,0,0.0527730946,0.2123949463,1.4631040647,0.2629226593
64,0.8138398945,0.5533781058,0,0.281663646,0.5108205198,2.1597021661,0.5872469201
65,0.7805785123,0.4597267742,0,0.281663646,0.331511553,1.8534804855,0.4446752995
66,0.7511972061,0.1758238469,0,0.281663646,0.2142988968,1.4229835958,0.2442432495
67,0.5525789296,0.4004121065,0,0.0521506834,0,1.0051417195,0.049703159
68,0.6787476124,0.6157300622,0,0.0476726455,0.087485678,1.4296359981,0.2473404951
69,0.8073399813,0.7268879181,0,0.1488111821,0,1.6830390815,0.3653206727
70,0.8084241617,0.7715514165,0,0.1488111821,0,1.7287867603,0.3866200161
71,0.2219269666,0.7127895273,0,1,0.0043852346,1.9391017285,0.484539098
72,0.9703932066,0.4755864213,0,0.1488111821,0.4466911856,2.0414819956,0.5322056139
73,0.8296966174,0.4207716036,0,0.1488111821,0.4405764608,1.8398558639,0.4383319068
74,0.7230012022,0.2816846893,0.0941176471,0.1488111821,0.3762018639,1.6238165846,0.3377476827
75,0.7188092658,0.280861824,0.0941176471,0.1488111821,0.3460337883,1.5886337073,0.3213671317
76,0.677574563,0.6266538143,0,0.1223063127,0.0611177444,1.4876524344,0.2743519638
77,0.5913174964,0.7807429098,0.0941176471,0.1223063127,0.0037695895,1.5922539555,0.3230526579
78,0.5605584238,0.7883335504,0.0941176471,0.1223063127,0,1.565315934,0.310510772
79,0.5426437619,0.7933620256,0.0941176471,0.1223063127,0,1.5524297473,0.304511182
80,0.5267916493,0.6705907079,0.1882352941,0.1223063127,0.0780771971,1.5860011611,0.3201414629
81,0.4684334866,0.6358977528,0.1882352941,0.1223063127,0.1594741793,1.5743470255,0.314715495
82,0.4131853213,0.2351778872,0,0.2189947835,0.1079301004,0.9752880924,0.0358038165
83,0.7328387211,0.2988239786,0.0941176471,0.0870055163,0.0339453979,1.246731261,0.1621831518
84,0.7068436364,0.5822233396,0,0.0870055163,0,1.3760724923,0.2224022353
85,0.6672263497,0.5262211559,0,0.0870055163,0,1.2804530219,0.1778834317
86,0.8225900634,0.249134854,0,0.0870055163,0,1.1587304337,0.1212114592
87,0.678535751,0.2481114091,0.0941176471,0.0870055163,0.0161341485,1.123904472,0.1049970822
88,0.6682376013,0.2608728053,0.0941176471,0.0870055163,0.04947887,1.15971244,0.1216686647
89,0.6903041428,0.2404593566,0,0.0870055163,0.0590489864,1.0768180021,0.0830744204
90,0.7557466523,0.417875872,0,0.1043970585,0.030033757,1.3080533398,0.1907336716
91,0.9026947073,0.3900993097,0,0.1113820439,0,1.4041760609,0.2354867802
92,0.9888777846,0.4881066239,0,0.0796902698,0,1.5566746783,0.3064875499
329,0.7816886858,0.7187583779,0.4705882353,0.0786361774,0.6723542811,2.7220257575,0.8490552466
330,0.6182419431,0.396879224,0.5294117647,0,0.1349630755,1.6794960073,0.3636710775
332,0.6287905326,0.3333228876,0.5294117647,0.14231049639999999,0.4865735813,2.1204092626,0.5689528107
333,0.6214869928,0.3274817877,0.4705882353,0.14231049639999999,0.1033884607,1.6652559729,0.357041159
334,0.6409269692,0.3938594064,0.2941176471,0.14231049639999999,0.1150041,1.5862186191,0.3202427076
335,0.7779885072,0.4035902558,0.2941176471,0.0719785318,0.1615946352,1.7092695771,0.3775331466
336,0.5928292832,0.407806954,0.4705882353,0.3126143246,0,1.7838387971,0.4122513106
337,0.5506268319,0.313183326,0.4705882353,0.3126143246,0,1.6470127178,0.3485474089
338,0.6323355619,0.3781740113,0.5294117647,0.14231049639999999,0.085711729,1.7679435633,0.4048507594
339,0.9083870352,0.3677942562,0.2941176471,0.8511888205,0.2609221513,2.6824099103,0.8306107801
340,0.7893595129,0.6266585133,0.5882352941,0.14231049639999999,0.2208710284,2.3674348451,0.6839637321
341,0.7929622399,0.5252737796,0.1529411765,0.14231049639999999,0.2186228622,1.8321105546,0.4347258222
342,0.801383303,0.6614041495,0.6235294118,0.14231049639999999,0.2415972797,2.4702246404,0.7318209173
343,0.8398507826,0.5422541375,0.2941176471,0,0.3104440379,1.9866666051,0.5066844978
344,0.9455202927,0.3750841476,0.2941176471,0.8511888205,0.1816128238,2.6475237317,0.814368367
345,0.6062548175,0.3476684759,0.5647058824,0,0.1148083941,1.6334375699,0.3422270502
346,0.8374862953,0.1758763364,0.2941176471,0.2398234607,0.2344527018,1.7817564413,0.4112818011
347,0.8104112017,0.5365553959,0.5294117647,0.2398234607,0.2213861733,2.3375879963,0.6700675455
348,0.6443807526,0.2684576806,0.4705882353,0,0.1790359332,1.5624626017,0.3091823089
349,0.7692336573,0.0713453258,0.3529411765,0.2398234607,0.2898670305,1.7232106508,0.384023874
350,0.8713938659,0.4468224199,0.4705882353,0,0.1199565854,1.9087611065,0.4704130191
351,0.6980887101,0.0420022269,0.5294117647,0.2398234607,0.1177749998,1.6271011622,0.3392769263
352,0.7558130832,0.3452764819,0.5294117647,0.2398234607,0.1198110522,1.9901358427,0.508299716
353,0.8065695676,0.3811179782,0.5294117647,0.2398234607,0.1490130653,2.1059358365,0.562214229
354,0.7668730943,0.2827300963,0.2352941176,0,0.1573376574,1.4422349656,0.2532063607
355,0.74092259,0.3843381583,0.5647058824,0.2398234607,0.1410260855,2.0708161769,0.5458631112
356,0.6435590578,0.2938320227,0.2941176471,0.1885653694,0.1099282597,1.5300023567,0.2940693694
357,0.8952225423,0.2690389903,0.0588235294,0.32264133,0.0999097685,1.6456361605,0.3479065071
358,0.6816030004,0.3727708668,0.5294117647,0.32264133,0.1126177161,2.019044678,0.5217591794
359,0.6734199634,0.4613744659,0.2941176471,0.32264133,0.1523007842,1.9038541906,0.4681284422
360,0.7838679219,0.5449159491,0.0588235294,0.32264133,0.1144434279,1.8246921583,0.4312719427
361,0.7116529288,0.4140622082,0.4705882353,0.32264133,0.0887938229,2.0077385252,0.5164952264
362,0.7536463495,0.3277751516,0.4705882353,0.32264133,0.1492697543,2.0239208207,0.5240294287
363,0.6233832787,0.2966479907,0.2352941176,0.32264133,0.0916815514,1.5696482684,0.3125278334
364,0.7785030892,0.4779590816,0.5294117647,0.32264133,0.1154812819,2.2239965474,0.6171812936
365,0.8980995762,0.2848371643,0.0588235294,0.32264133,0.2044566023,1.7688582022,0.4052765997
366,0.8345058999,0.5668969968,0.4705882353,0.32264133,0.1016155855,2.2962480474999998,0.6508203665
367,0.7390432695,0.3645174619,0.6235294118,0.32264133,0.1200867637,2.1698182369,0.5919567911
368,0.8234551484,0.6291773603,0.5294117647,0.32264133,0.2206882775,2.5253738809,0.7574974683
369,0.9109051182,0.6467826641,0.2352941176,0.32264133,0.5076723422,2.6232955721,0.8030881469
370,0.8785369321,0.7141690232,0.2941176471,0.3700026585,0.145496339,2.4023225999,0.700206879
371,0.8234954552,0.633109803,0.2941176471,0.3700026585,0.3661762978,2.4869018616,0.7395855487
372,0.9374840618,0.7587454892,0.5294117647,0.3700026585,0.4505876517,3.0462316259,1
373,0.9546362222,0.0636962131,0.3882352941,0.2382147697,0.6965227485,2.3413052476,0.6717982347
374,0.9183515352,0.2412319988,0.2941176471,0.2382147697,0.4472508611,2.1391668119,0.5776860075
375,0.4862262917,0.9340397536,0.1176470588,0.2741547315,0.1668978527,1.9789656883,0.5030990816
376,0.8830419308,0.4081784722,0.0588235294,0.2382147697,0.4949991782,2.0832578803,0.5516557573
377,0.5781752107,0.6127458437,0.3882352941,0.2741547315,0.4220645752,2.2753756552,0.6411025347
378,0.5518077284,0.6169334508,0.5294117647,0.2741547315,1,2.9723076754,0.9655822625
379,0.400072822,0.5991734303,0.6235294118,0.2741547315,0.0140126796,1.9109430752,0.4714289067
380,0.3439862282,0.5795047456,0.8470588235,0.3450871329,0.0294580474,2.1450949776,0.5804460609
381,0.3544996523,0.5853502751,0.6117647059,0.3450871329,0.0333071523,1.9300089185,0.4803056399
382,0.3717469299,0.5950693355,0.9058823529,0.3450871329,0.0300404851,2.2478262363,0.6282759925
383,0.2793704836,0.595959554,0.8705882353,0.3450871329,0.0508145956,2.1418200014,0.5789212876
384,0.3291383833,0.6351874935,0.8117647059,0.3450871329,0.0836318482,2.2048095638,0.6082481594
385,0.9447009028,0.4637455143,0.5294117647,0.2382147697,0.4682609036,2.6443338551,0.8128832146
386,0.2208537914,0.6195473355,0.2941176471,0.2741547315,0.0023357479,1.4110092534,0.2386681987
387,0.3801500628,0.5198638231,0.3294117647,0.2741547315,0.10792182,1.6115022021,0.332014315
388,0.2561080684,0.4815107911,0.3882352941,0.3450871329,0.0203299181,1.4912712046,0.2760368019
389,0.3622265638,0.3861771262,0.5294117647,0.3450871329,0.0028403649,1.6257429525,0.3386445669
390,0.2549202219,0.3916532297,0.3882352941,0.3450871329,0.0152472254,1.395143104,0.2312811887
391,0.3027224705,0.4920842189,0.5294117647,0.2741547315,0.0943041532,1.6926773388,0.3698080819
392,0.3222952088,0.4662066344,0.2941176471,0.2741547315,0.0121135443,1.3688877661,0.2190571487
393,0.3405972127,0.463691033,0.4470588235,0.2741547315,0.0353965308,1.5608983315,0.3084540112
394,0.076879048,0.3852962544,0.2470588235,0.2741547315,0.044292712,1.0276815694,0.0601973308
395,0.2414713012,0.4147848915,0.9058823529,0.4869519359,0.0363238328,2.0854143143,0.5526597564
396,0.2645001452,0.4247163406,1,0.4869519359,0.0352395806,2.2114080023,0.6113202805
397,0,0.3485666712,0.5647058824,0.2741547315,0.0215681233,1.2089954084,0.1446139789
398,0.0206125166,0.3590058032,0.4705882353,0.3450871329,0.0221218469,1.2174155349,0.148534247
399,0.4200217899,0.5119954981,0.3411764706,0.4160195345,0.0231524512,1.7123657443,0.3789746695
400,0.2628540929,0.4320306995,0.6117647059,0.4869519359,0.0363038787,1.8299053129,0.433699099
