id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
93,0.7582287955,0.8331116742,0.1470588235,0.4902640402,0.0782935466,2.30695688,0.6816447429
94,0.7526911111,0.8157900611,0.1470588235,0.4902640402,0.0908964403,2.2967004762,0.6770983707
95,0.751060592,0.787710705,0.1470588235,0.4902640402,0.0972307158,2.2733248765,0.6667366319
96,0.7466614069,0.759098174,0.1470588235,0.4902640402,0.1004575486,2.2435399932,0.6535338399
97,0.7442458712,0.734959047,0.1470588235,0.4902640402,0.1038552987,2.2203830806,0.6432690389
98,0.6433938669,0.4775050876,0,0.0278423837,0.2260209069,1.3747622451,0.2684293633
99,0.9529175836,0.5025295841,0,0.0092807946,0.3791801328,1.8439080951,0.4763883809
100,0.9328155029,0.6183330122,0.2647058824,0,0.2496580178,2.0655124153,0.5746192759
101,0.930355042,0.6362779027,0.2352941176,0,0.2141798893,2.0161069516,0.5527192384
102,0.2255343494,0.3751658268,0.2352941176,0.1789728968,0.107409875,1.1223770656,0.1565541885
103,0.2244962866,0.3797148066,0.2352941176,0.1789728968,0.1041028103,1.1225809179,0.1566445505
104,0.2190632275,0.3934275551,0.2647058824,0.1789728968,0.0916181143,1.1477876761,0.1678179897
105,0.1972250855,0.3977831524,0.3235294118,0.1873805633,0.0825655353,1.1884837483,0.1858574016
106,0.1486048283,0.405689194,0.3235294118,0.1789728968,0.0628326881,1.119629019,0.1553360576
107,0.2721724766,0.3979190725,0.4411764706,0.1033038985,0.0521501382,1.2667220564,0.2205382192
108,0.3585819402,0.3959884066,0.4411764706,0.1141972371,0.0667939479,1.3767380024,0.2693051604
109,0.3716434574,0.3968098392,0.4705882353,0.5766188936,0.0697396746,1.8854001001,0.4947806071
110,0.488822379,0.4100347004,0.4705882353,0.5598035606,0.1096396435,2.0388885188,0.5628176595
111,0.4981354965,0.4088394965,0.4705882353,0.5598035606,0.1308336803,2.0682004692,0.5758108138
112,0.4740106093,0.4039477444,0.4705882353,0.5617739543,0.0904997626,2.0008203059,0.545943103
113,0.5051891493,0.4081463717,0.4705882353,0.5682112271,0.1439609052,2.0960958886,0.5881760601
114,0.5106084076,0.404968666,0.4705882353,0.5682112271,0.1587819699,2.1131585059,0.5957394333
115,0.5294731619,0.4033818675,0.4411764706,0.5506929087,0.1659186093,2.090643018,0.5857589576
116,0.5335446853,0.3984648356,0.4411764706,0.5506929087,0.1754747645,2.0993536647,0.5896201396
117,0.55446673,0.3912187566,0.4117647059,0.5506929087,0.2659165919,2.1740596931,0.6227351982
118,0.555885727,0.395915551,0.3823529412,0.5422852422,0.2843389882,2.1607784496,0.6168480005
119,0.5718070145,0.4054727257,0.3235294118,0.5422852422,0.3630504596,2.2061448538,0.6369576377
120,0.6444219488,0.4568135294,0.0882352941,0.5338775758,0.4603496743,2.1836980224,0.6270075955
121,0.789023233,0.5182351991,0.0882352941,0.0098019747,1,2.4052957009,0.7252355464
122,0.80453472,0.5324941683,0.0882352941,0.0182096412,0.8177253639,2.2611991875,0.6613616587
123,0.9217445602,0.5441575939,0,0,0.6426479158,2.1085500699,0.5936966446
124,0.9474050603,0.4439959813,0,0.0033509952,0.576393683,1.9711457198,0.5327892026
125,0.9323733367,0.3572709581,0,0,0.4361368759,1.7257811707,0.4240260737
126,0.8981869656,0.3177680641,0,0,0.4058782452,1.6218332749,0.3779489267
127,0.9210508535,0.5800041533,0,0,0.2383571843,1.7394121911,0.4300683175
128,0.8456004045,0.5435941163,0.0294117647,0.0231585122,0.0319161301,1.4736809278,0.3122772031
129,0.7617045908,0.3647485863,0.0882352941,0.5023955017,0.0017187053,1.7188026782,0.4209327063
130,0.6160113436,0.364994897,0.0882352941,0.5223824242,0.0056073375,1.5972312964,0.367043569
131,0.5374616839,0.3499063695,0.0882352941,0.5354424989,0.0058563346,1.516902181,0.3314359559
132,0.8952307212,0.5017114221,0,0.0046943986,0.0515108168,1.4531473587,0.3031752557
133,0.9343798739,0.6283040855,0,0,0.1017935649,1.6644775243,0.3968519101
134,0.9357735776,0.4156783674,0,0,0.196973333,1.548425278,0.3454092486
135,0.8800281307,0.5157293324,0.0294117647,0,0.0940234982,1.519192726,0.3324512894
136,0.8771316557,0.675152397,0.0588235294,0,0.0974697858,1.7085773679,0.416400117
137,0.9018878085,0.8301069071,0.0588235294,0,0.1082588696,1.8990771146,0.5008432388
138,0.921450087,0.5874551189,0.0294117647,0,0.1400600773,1.6783770479,0.4030131737
139,0.8914458451,0.4751741633,0,0,0.0847153073,1.4513353157,0.3023720286
140,0.8550938073,0.5345803959,0.0294117647,0.0095629853,0.0435161181,1.4721650713,0.311605267
141,0.4979701996,0.5657732281,0.2058823529,0.2197488388,0.0875684848,1.5769431042,0.3580503902
142,0.4856373067,0.6091194302,0.2058823529,0.2257371198,0.0395314824,1.565907692,0.3531587057
143,0.4802103907,0.61587926690000006,0.2058823529,0.2257371198,0.0355175552,1.5632266855,0.3519702918
144,0.475767718,0.6214498283,0.2058823529,0.2257371198,0.030658696,1.559495715,0.3503164586
145,0.4585719394,0.6423621015,0.2352941176,0.2233692039,0.0158585768,1.5754559392,0.3573911722
146,0.6211824542,0.7319561975,0.1470588235,0.1272470814,0.030818625,1.6582631816,0.3940972686
147,0.7917717488,0.8122805787,0.1176470588,0.0215852083,0.2030868236,1.9463714182,0.521807459
148,0.8047755788,0.792955578,0.0882352941,0.0143901389,0.265933061,1.9662896508,0.5306366453
149,0.8402875872,0.5767930496,0.0294117647,0.0086340833,0.3012769737,1.7564034585,0.4376000632
