id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
0,0.8723039187,0.1338808574,0.1985817416,0.0274798488,0.2245075691,1.4567539356,0.2620271643
1,0.7998807049,0.2241364841,0.1134751431,0.5128676554,0.1555383208,1.8058983083,0.4117079794
2,0.7837170145,0.1347410867,0.1134751431,0,0.1676554799,1.1995887242,0.1517785065
3,0.7857907399,0.1416217562,0.1702127147,0,0.1467085548,1.2443337656,0.1709610418
4,0.860224483,0.2285838395,0.0851065985,0.0785418796,0.7560157858,2.0084725864,0.498553094
5,0.7719904725,0.2348880958,0.1134751431,0.3647593483,0.160101743,1.6452148027,0.3428217536
6,0.718858043,0.2135543856,0.1702127147,0.2218290181,0.0590085028,1.3834626642,0.2306066457
7,0.8013332255,0.3259566167,0.1702127147,0.5270737742,0.291683182,2.1162595131,0.5447621591
8,0.829628482,0.5686294353,0.14184417,0.1057436936,0.2291692454,1.8750150263,0.4413388356
9,0.8960255181,0.3860330007,0.0283690269,0,0.3588611895,1.6692887352,0.3531424293
10,0.8463402351,0.3411336467,0.0283690269,0,0.3263509991,1.5421939078,0.2986559221
11,0.793928033,0.4258577796,0.0283690269,0.0286360771,0.4297910896,1.7065820062,0.3691303347
12,0.7696434978,0.4884504991,0.0283690269,0.50324616,0.1434589752,1.933168159,0.4662695204
13,0.7880011551,0.4679488137,0,0.4828339082,0.1569888369,1.8957727139,0.4502378122
14,0.684751731,0.4671169519,0.0851065985,0.0376011257,0.1632180426,1.4377944497,0.2538990903
15,0.5879036905,0.4097535971,0.3404254293,0.15065576,0.2453860543,1.7341245312,0.380938022
16,0.5817350367,0.4074777416,0.3404254293,0.15065576,0.2457852561,1.7260792237,0.3774889383
17,0.5707744742,0.4303322664,0.3971630009,0.1109437758,0.2453222763,1.7545357936,0.3896884836
18,0.6716439101,0.4833555221,0.2269502862,0.1109437758,0.1242434699,1.6171369641,0.3307845733
19,0.5538831705,0.4140354413,0.3687944562,0.1109437758,0.233925999,1.6815828428,0.3584130056
20,0.531389062,0.442480343,0.3687944562,0.1193514423,0.2326780177,1.6946933212,0.3640335661
21,0.5914295242,0.4588110667,0.3120568847,0.1422480935,0.2534263213,1.7579718904,0.3911615641
22,0.6546379871,0.4431391676,0.2269502862,0.1170250941,0.2974446559,1.7391971909,0.3831127094
23,0.504260689,0.5082601815,0.3971630009,0.1094440432,0.1960447707,1.7151726853,0.3728132234
24,0.4687866398,0.5200675578,0.3971630009,0.1094440432,0.1865948154,1.6820560571,0.3586158761
25,0.8285043274,0.6186277711,0.1985817416,0.0780167294,0.2118798496,1.9356104191,0.4673165356
26,0.8600863716,0.5621701758,0.1985817416,0.0780167294,0.314096516,2.0129515344,0.5004732527
27,0.8548825542,0.6103385971,0.1985817416,0.0780167294,0.3542426314,2.0960622537,0.5361034423
28,0.9096070972,0.5075210682,0.1702127147,0.1101989622,0.5662777053,2.2638175476,0.6080213969
29,0.8990101559,0.4618056523,0.2269502862,0.1101989622,0.4975459577,2.1955110143,0.578737873
30,0.8759316954,0.5363817459,0.0851065985,0,0.3505344522,1.847954492,0.4297377813
31,0.8919276237,0.4696261359,0.3120568847,0.1101989622,0.4494559063,2.2332655128,0.5949235101
32,0.8902906268,0.5110087714,0.3120568847,0.1101989622,0.4129179142,2.2364731593,0.5962986522
33,0.8915175489,0.5088447982,0.3120568847,0.1101989622,0.3885456774,2.2111638714,0.5854483704
34,0.8967845305,0.5011926751,0.3120568847,0.1101989622,0.374158489,2.1943915415,0.5782579466
35,0.8955242175,0.5171667316,0.3120568847,0.1101989622,0.3881163507,2.2230631467,0.5905496791
36,0.9032284265,0.4978197214,0.2836878578,0.0734659748,0.3775704583,2.1357724388,0.553127497
37,0.9082921899,0.5070632474,0.2553193131,0.0574429273,0.3735206019,2.1016382796,0.5384939265
38,0.9042850456,0.5355853022,0.1134751431,0.0442528016,0.329649776,1.9272480685,0.4637315331
39,0.9044260473,0.6676415266,0.1134751431,0.0829964211,0.4449386381,2.2134777762,0.5864403588
40,0.8548598442,0.6967620239,0.2553193131,0.5524662225,0.4228048003,2.782212204,0.8302610799
41,0.8906742018,0.5713325198,0.1985817416,0.5524662225,0.4336893825,2.6467440682,0.7721848726
42,0.9788664779,0.5683914889,0.0283690269,0.1781760946,0.5653055282,2.3191086165,0.6317250934
43,0.9497285554,0.273506054,0.0851065985,0.1225569789,0.4336101115,1.8645082983,0.4368345224
44,0.9516964761,0.344541116,0.1134751431,0.1225569789,0.612538787,2.1448085011,0.5570013247
45,0.9507625527,0.3112940793,0.0851065985,0.1225569789,0.5287003871,1.9984205965,0.4942437305
46,0.5605856229,0.5815382375,0.3120568847,0.1494550737,0.3705130708,1.9741488896,0.4838382674
47,0.6842244156,0.559267534,0.1702127147,0.0948738714,0.3837158412,1.8922943769,0.448746623
48,0.5261973466,0.6132766163,0.3971630009,0.1494550737,0.3893985017,2.0754905392,0.5272841938
49,0.4062731192,0.5908076791,0.3687944562,0.6707303956,0.4052105657,2.4418162158,0.684330763
50,0.3320244301,0.562109835,0.2836878578,0.6707303956,0.1698041514,2.0183566699,0.5027904749
51,0.3198864099,0.5726879187,0.2836878578,0.6707303956,0.1773140305,2.0243066125,0.50534126
52,0.3779002557,0.5598395131,0.4539005724,0.2083087391,0.1353511373,1.7353002176,0.3814420476
53,0.7170761455,0.5585573319,0,0.0703694615,0.0743389998,1.4203419387,0.2464170677
54,0.6899287225,0.4853506109,0.2269502862,0.0703694615,0.3095496801,1.7821487612,0.4015263702
55,0.7418564361,0.5412429896,0,0.5064028473,0.049579956,1.839082229,0.4259341755
56,0.6068036018,0.4491973565,0.2836878578,0.1059138921,0.2919537385,1.7375564467,0.38240931
57,0.5162008246,0.473456373,0.3971630009,0.1227292251,0.2634886986,1.7730381222,0.3976205708
58,0.8082081244,0.5008270711,0.0283690269,0.0693734525,0.1941541796,1.6009318545,0.3238373211
59,0.8114503609,0.2058737134,0.0283690269,0.0542711992,0.2339295667,1.3338938671,0.2093561301
60,0.1088837908,0.5072200568,0.4822695993,0.8010858949,0.1986342898,2.0980936316,0.5369743093
61,0.0567772988,0.5022029876,0.4539005724,0.8010858949,0.1951746845,2.0091414382,0.4988398358
62,0.7599228457,0.3972415694,0.14184417,0.5571873707,0.108237158,1.9644331138,0.4796730413
63,0.748321748,0.3544722567,0,0.0657572013,0.18582076820000001,1.3543719742,0.2181352484
64,0.7424816829,0.5417889402,0.1134751431,0.1106147522,0.3069936799,1.8153541983,0.4157617905
65,0.7549532029,0.5393888767,0.14184417,0.1650512403,0.2933413018,1.8945787917,0.4497259688
66,0.781228684,0.4537026449,0.0567375716,0.1953566002,0.0715101054,1.5585356061,0.3056617309
67,0.7695453647,0.4003780845,0,0.0134152685,0.0138848503,1.197223568,0.1507645463
68,0.7981259915,0.6830437748,0.0283690269,0.0505436005,0.0499959793,1.610078373,0.3277585023
69,0.8033944858,0.7072152741,0.0567375716,0.0505436005,0.0261175596,1.6440084916,0.342304599
70,0.7498227587,0.7676380365,0.0567375716,0.6895262531,0.0154765014,2.2792011213,0.6146164505
71,0.7291484132,0.8411566796,0.0567375716,0.7239508486,0.0492487022,2.4002422152,0.6665076766
72,0.7787078896,0.5972790178,0.1134751431,0.5642051854,0.1553530257,2.2090202616,0.5845293888
73,0.7984342738,0.5744995353,0.14184417,0.0697424033,0.179412859,1.7639332414,0.39371724
74,0.8044351493,0.5815368163,0.1134751431,0.0697424033,0.1652091492,1.7343986612,0.3810555436
75,0.8041417073,0.5797855091,0.1134751431,0.0697424033,0.1638861807,1.7310309435,0.3796117778
76,0.7756700338,0.6153112069,0.14184417,0.0697424033,0.1179315955,1.7204994095,0.37509683
77,0.7079857582,0.72376742,0.2553193131,0.0580429018,0.0413248284,1.7864402215,0.4033661514
78,0.6981224664,0.7255231124,0.2553193131,0.0462652483,0.0397293612,1.7649595014,0.3941572054
79,0.6773323796,0.7280060707,0.2269502862,0.0546729147,0.0361180313,1.7230796825,0.3762030124
80,0.6420501645,0.7339237446,0.2553193131,0.0546729147,0.0301901289,1.7161562658,0.3732348917
81,0.623371426,0.7414491639,0.2553193131,0.0546729147,0.0286043419,1.7034171596,0.3677735412
82,0.3090024653,0.5438736433,0.1702127147,0.6163512612,0.2029171928,1.8423572773,0.4273382133
83,0.5174412058,0.4273820253,0.1702127147,0.5999909959,0.0386640277,1.7536909694,0.3893263011
84,0.5401568561,0.3947010627,0.1702127147,0.1291616728,0.0211361913,1.2553684976,0.1756917143
85,0.6110729005,0.3894791139,0.1702127147,0.0955310069,0.0191765404,1.2854722764,0.1885974304
86,0.655181093,0.3940396672,0.2269502862,0.0955310069,0.031044316,1.4027463693,0.2388737149
87,0.7508287724,0.3905693798,0.1702127147,0.0562128086,0.0964265149,1.4642501904,0.265240865
88,0.7537597278,0.3960951871,0.1702127147,0.0562128086,0.0986484154,1.4749288536,0.2698188881
89,0.8169780223,0.6318400902,0.1134751431,0.0448878248,0.1290635442,1.7362446246,0.381846922
90,0.8296531661,0.6827574941,0.0851065985,0.0448878248,0.1435317191,1.7859368026,0.403150332
91,0.9212642764,0.5850057875,0,0.0573039481,0,1.563574012,0.3078217334
92,0.9070601488,0.4508392189,0,0.0409991317,0.0114700839,1.4103685833,0.2421414153
93,0.8346013731,0.7630813674,0.14184417,0.4902640402,0.0633461478,2.2931370985,0.6205909086
94,0.8292388732,0.7508078231,0.14184417,0.4902640402,0.0741326995,2.286287606,0.6176544797
95,0.8276629571,0.7244408993,0.14184417,0.4902640402,0.0796746308,2.2638866974,0.6080510419
96,0.8233865119,0.6988575262,0.14184417,0.4902640402,0.0825460113,2.2368982596,0.5964808959
97,0.8210806492,0.676749705,0.14184417,0.4902640402,0.0855647098,2.2155032742,0.587308705
98,0.8643004249,0.3670260172,0,0.0278423837,0.2004029141,1.4595717399,0.2632351781
99,0.9532477002,0.3817081969,0,0.0092807946,0.3275398502,1.6717765419,0.3542089707
100,0.9343824705,0.5146854421,0.2553193131,0,0.2194912126,1.9238784383,0.4622869473
101,0.9320163319,0.5529285295,0.2269502862,0,0.1898728279,1.9017679755,0.4528080258
102,0.3842190554,0.3835948607,0.2269502862,0.1789728968,0.0913813044,1.2651184035,0.1798715722
103,0.3831900085,0.3878736082,0.2269502862,0.1789728968,0.0882357375,1.2652225372,0.1799162151
104,0.3777899886,0.3998189799,0.2553193131,0.1789728968,0.0767149497,1.2886161281,0.1899452233
105,0.357052153,0.402723294,0.3120568847,0.1873805633,0.0685992136,1.3278121086,0.2067488345
106,0.3108854331,0.4082733475,0.3120568847,0.1789728968,0.051276952,1.2614655141,0.1783055511
107,0.356719154,0.3952813354,0.4255320278,0.1033038985,0.0433556393,1.324192055,0.2051968903
108,0.4172663057,0.3892110663,0.4255320278,0.1141972371,0.055803306,1.4020099429,0.2385580034
109,0.4296564326,0.3887750372,0.4539005724,0.5766188936,0.0585700266,1.9075209624,0.4552743745
110,0.5401923524,0.4082614306,0.4539005724,0.5598035606,0.093180034,2.05533795,0.5186446274
111,0.5490598799,0.4062785876,0.4539005724,0.5598035606,0.1108367766,2.0798793771,0.5291657216
112,0.5164541032,0.3937912798,0.4539005724,0.5617739543,0.0767000671,2.0026199768,0.4960440363
113,0.5557587927,0.4054188232,0.4539005724,0.5682112271,0.1218329063,2.1051223217,0.5399875615
114,0.5608403579,0.4017765144,0.4539005724,0.5682112271,0.1342520299,2.1189807017,0.5459287531
115,0.5740028831,0.4000390267,0.4255320278,0.5506929087,0.1402352299,2.0905020762,0.5337197525
116,0.5779415392,0.3962769069,0.4255320278,0.5506929087,0.1483865659,2.0988299485,0.5372899739
117,0.5978692131,0.3837298692,0.3971630009,0.5506929087,0.2241742035,2.1536291954,0.5607828226
118,0.5991887162,0.3857512434,0.3687944562,0.5422852422,0.239578196,2.135597854,0.5530526511
