id,pressure_index,biodiversity_subindex,surf_subindex,social_subindex,response_index,added_indices,sci
9,0.8893024261,0.4422212649,0.0283690269,0,0.3713878671,1.731280585,0.2489476542
10,0.8373435582,0.4310273909,0.0283690269,0,0.3684902799,1.6652302559,0.2149963578
11,0.7761210038,0.4825952555,0.0283690269,0.0379917954,0.4798957832,1.8049728648,0.2868270785
12,0.748716114,0.5788713925,0.0283690269,0.4727312739,0.1175596451,1.9462474524,0.3594452695
13,0.7722379973,0.5296400366,0,0.4525754293,0.1286468966,1.8831003598,0.3269862993
14,0.6594915976,0.6459048634,0.0851065985,0.0371288016,0.1337515142,1.5613833753,0.161616817
15,0.5778235077,0.5004874189,0.3404254293,0.1876250216,0.2510173801,1.8573787576,0.3137648399
16,0.5702841413,0.4962352255,0.3404254293,0.1876250216,0.2513445121,1.8459143298,0.3078718763
17,0.5592566463,0.524994197,0.3971630009,0.148411877,0.2509651162,1.8807908374,0.3257991549
18,0.6463786498,0.6600729564,0.2269502862,0.148411877,0.1018132062,1.7836269756,0.2758548302
19,0.5389507039,0.5044699234,0.3687944562,0.148411877,0.241626263,1.8022532235,0.2854291241
20,0.5095438694,0.5605147116,0.3687944562,0.1664293597,0.2406035857,1.8458859826,0.3078573052
21,0.5743827295,0.6077322718,0.3120568847,0.1696075389,0.2576060995,1.9213855244,0.3466657012
22,0.6447661158,0.5764772159,0.2269502862,0.1155550908,0.2936775951,1.8574263038,0.3137892797
23,0.4754959536,0.6930990887,0.3971630009,0.1566464118,0.2105839128,1.9329883678,0.3526298135
24,0.4376982426,0.7139957792,0.3971630009,0.1566464118,0.2028400028,1.9083434373,0.3399617866
25,0.8185221095,0.8430224775,0.1985817416,0.0770367272,0.1736281741,2.1107912299,0.4440243269
26,0.8547176499,0.711354741,0.1985817416,0.0770367272,0.2573911802,2.0990820399,0.4380055502
27,0.8476617596,0.7336870652,0.1985817416,0.0770367272,0.2902895268,2.1472568204,0.4627684284
28,0.9075119238,0.512442227,0.1702127147,0.1088147049,0.4640449017,2.1630264721,0.4708743702
29,0.8964709115,0.4657524057,0.2269502862,0.1088147049,0.407721623,2.1057099313,0.4414124296
30,0.8719934269,0.5735609422,0.0851065985,0,0.2872508027,1.8179117703,0.2934779556
31,0.8896562338,0.4756697053,0.3120568847,0.1088147049,0.368313497,2.1545110257,0.4664972467
32,0.8875392534,0.5222389711,0.3120568847,0.1088147049,0.3383718821,2.1690216962,0.4739560449
33,0.8887872186,0.5207449921,0.3120568847,0.1088147049,0.3183996809,2.1488034812,0.4635634455
34,0.8942592105,0.5129169234,0.3120568847,0.1088147049,0.30660988,2.1346576035,0.4562921587
35,0.8926024527,0.529152931,0.3120568847,0.1088147049,0.3180478626,2.1606748359,0.4696655784
36,0.9011496903,0.5073730305,0.2836878578,0.0725431366,0.3094058702,2.0741595854,0.42519487
37,0.9058591555,0.516056898,0.2553193131,0.0567213616,0.3060871537,2.0400438819,0.4076586612
38,0.9015364553,0.5669858959,0.1134751431,0.0436969228,0.2701365364,1.8958309535,0.3335300996
39,0.8988726431,0.7169962735,0.1134751431,0.0819538668,0.3646117526,2.1759096791,0.477496617
